GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,471.2,454.1,437.9,426,416.3,406.9,398.7,392.5,388,383,376.5,372.1,369.3,367.8,368.2,369,372.7,376.5,379.9,383.2,383.4,386.4,388.5,390.2,391.4,393.5,395.5,397.6,399.6,399.9
ABNE_P,91,87.1,83.6,80.8,78.4,77.1,75.4,74.1,73.1,71.9,70.9,69.9,69.2,68.7,68.3,68.4,68.5,68.6,68.7,68.8,69,69,69,69,69,68.8,68.9,69.1,69.2,69.2
ABTH_1,398.2,381,365.1,352.6,342.1,333.6,325.9,319.8,315.1,309.8,304.5,299.6,296,292.8,289.4,286.7,284.3,282,279.9,278.1,277.4,275.6,273.7,272,270.6,270.4,269.8,269.4,269.2,268.8
ACTL_2;CBNK_H;GREE_H;PERI_H,199.3,192,185.1,179.9,175.8,171.8,168.2,165.6,163.7,161.6,158.6,156.9,155.6,154.8,154.8,154.9,156.1,157.5,158.7,159.9,159.5,160.4,161.1,161.7,162,162.7,163.3,164.2,164.9,165
ALNE_P,49.7,47.7,45.9,44.5,43.4,42.9,42,41.3,40.8,40.3,39.9,39.4,39.1,39,39,39.6,40.1,40.7,41.2,41.6,42.1,42.6,42.9,43.2,43.4,43.5,43.8,44,44.3,44.4
ALVE1,391.2,376.6,362.9,352.7,344.3,336.5,329.6,324.3,320.5,316.2,310.8,307,304.5,303,302.8,303,305.3,307.7,309.9,312,311.8,313.7,314.9,315.9,316.5,317.9,319.2,320.7,322,322.2
AMEM_1,135.9,134.6,132.9,132.6,132.9,130.8,129.3,128.8,128.7,128.7,127,127.1,128,130.3,135.3,140.8,149.6,158.1,165.9,173.2,177,184.1,189.9,194.8,198.6,202.8,206.6,210.3,213.6,214.6
ARBR_P,50.1,48.1,46.2,44.8,43.6,43.2,42.3,41.6,41.1,40.5,40.1,39.6,39.3,39.2,39.2,39.9,40.4,40.9,41.3,41.8,42.3,42.8,43.1,43.4,43.6,43.6,43.9,44.2,44.4,44.5
ARDK_P;CLAC_P,5.7,5.5,5.3,5.1,5,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8
ARMO_P,64.1,61.4,58.9,57,55.4,54.5,53.3,52.4,51.7,51,50.3,49.6,49.1,48.8,48.6,48.8,49,49.2,49.4,49.5,49.8,49.9,50,50.1,50.1,50.1,50.2,50.4,50.6,50.6
AXMI1,331,319.2,308,299.7,293,286.5,280.7,276.4,273.4,269.9,265.4,262.4,260.5,259.6,260.1,261.2,264.2,267.3,270.1,272.7,273.7,276.2,278,279.5,280.6,282.5,284.1,285.8,287.4,287.7
AYRR,59.9,57.5,55.2,53.5,52.1,51.4,50.3,49.5,48.9,48.2,47.6,47,46.6,46.4,46.4,46.9,47.4,47.9,48.3,48.7,49.2,49.6,49.9,50.2,50.3,50.3,50.6,50.9,51.1,51.2
BAGA,47.9,46,44.2,42.9,41.7,41.3,40.4,39.8,39.3,38.8,38.4,37.9,37.6,37.5,37.5,38.1,38.6,39.1,39.6,40,40.5,41,41.3,41.6,41.8,41.8,42,42.3,42.6,42.6
