GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,553.9,542.9,537.4,536.7,530.5,526.1,522.8,524.7,524.5,521.8,519.3,519.6,523.9,524.6,530.2,534.6,544,552.4,560.8,565.2,569.3,575.4,578.8,580.3,581.5,581.2,581.3,582.1,581.7,579.3
ABNE_P,89.1,86.5,85.1,84.6,83.2,82.6,81.8,81.6,81.1,80.5,80.2,80.1,80.7,80.7,81.4,82.5,83.9,85.1,86.4,87.1,88.2,89.3,90,90.5,91,90.9,91,91.2,91.1,90.8
ABTH_1,413.2,403.1,397.5,395.4,389.3,385.5,382.5,383.2,382.4,379.7,378,377.4,379.7,378.9,380.5,381.6,384.8,387.4,390.3,390.8,393.7,395.5,395.8,395,394.5,393.4,392.3,391.7,390.4,388.5
ACTL_2;CBNK_H;GREE_H;PERI_H,263.4,258,255.2,254.6,251.5,249.3,247.7,248.5,248.3,247,245.7,245.7,247.6,247.7,250,251.7,255.6,259.2,262.6,264.3,265.6,268.2,269.3,269.7,270.1,269.7,269.4,269.6,269.2,268.1
ALNE_P,75.1,72.9,71.8,71.4,70.3,69.9,69.2,69.1,68.7,68.2,68,67.9,68.5,68.5,69.2,70.2,71.6,72.8,74,74.7,75.7,76.8,77.5,78.1,78.5,78.5,78.6,78.8,78.8,78.5
ALVE1,510.2,499.4,493.9,492.7,486.5,482.4,479.3,480.7,480.4,477.7,475.4,475.4,479.1,479.3,483.6,486.9,494.4,500.9,507.6,510.8,514,518.7,521.1,521.8,522.5,521.7,521.4,521.7,521,518.8
AMEM_1,148.3,148.3,149.2,151.6,152.4,151.7,151.6,153.2,154.2,154.6,154.1,155.3,158,160.3,166,171.3,180.2,188.5,196.2,202.1,205.7,212.2,217,220.6,223.4,225.6,227.6,229.9,231.5,231
ARBR_P,81.5,79.1,77.9,77.4,76.2,75.7,74.9,74.8,74.4,73.8,73.6,73.5,74,74.1,74.8,75.9,77.3,78.5,79.7,80.4,81.5,82.6,83.4,83.9,84.4,84.2,84.4,84.6,84.5,84.2
ARDK_P;CLAC_P,9.1,8.8,8.7,8.7,8.5,8.4,8.4,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.3,8.4,8.6,8.7,8.8,8.9,9,9.1,9.2,9.2,9.2,9.2,9.2,9.3,9.3,9.2
ARMO_P,69.1,67.1,66,65.6,64.6,64.1,63.5,63.4,63,62.5,62.3,62.2,62.7,62.7,63.3,64.2,65.3,66.3,67.3,67.9,68.8,69.7,70.3,70.7,71.1,71.1,71.2,71.3,71.3,71
AXMI1,370.8,363.7,360.2,360,356,353.1,351,352.3,352.2,350.5,348.9,349.2,352.2,352.9,356.9,360.5,367.4,373.5,379.6,383,386.4,391,393.7,394.9,396,396.3,396.5,397.3,397.2,395.6
AYRR,117.7,114.1,112.3,111.6,109.7,108.8,107.7,107.4,106.8,105.9,105.5,105.3,106,106,106.8,108,109.7,111.1,112.6,113.4,114.7,116,116.9,117.5,118.1,117.9,118,118.2,118,117.6
