GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,0.467941806,0.49361198,0.509288422,0.517453236,0.532084583,0.556840298,0.578330088,0.600342425,0.623922408,0.649723219,0.67774486,0.711187937,0.748550125,0.788067823,0.829479759,0.872263383,0.916679969,0.962860156,1.010607987,1.063320024,1.118775439,1.177300824,1.238765542,1.303365549,1.371231481,1.442493975,1.517348987,1.595861836,1.67809784,1.764252955
ABTH_1,,33.09278517,35.23584228,37.20906736,37.84842289,38.81119314,39.93963323,41.06637466,42.1934424,43.32148909,44.01467933,43.6394379,43.04980116,42.5467931,42.10375129,41.61208944,41.24840818,40.53081527,39.74309333,39.03396275,38.13391497,37.04745043,35.70335588,34.20943416,32.46867532,30.81004749,29.38495415,28.22555427,27.14137303,26.01418838,25.13279305
ACTL_2,,0.057814483,0.060986048,0.062922882,0.063931649,0.065739361,0.068797944,0.07145302,0.074172657,0.077085977,0.080273683,0.083735773,0.087867684,0.092483804,0.097366239,0.102482708,0.10776865,0.113256345,0.118961934,0.124861206,0.131373809,0.138225358,0.145456203,0.153050205,0.161031574,0.169416449,0.178220972,0.187469352,0.197169661,0.207329967,0.217974481
ALNE_P,,0.019765619,0.020849914,0.021512079,0.021856956,0.022474977,0.023520646,0.024428363,0.025358153,0.026354159,0.027443972,0.028627592,0.03004021,0.031618369,0.033287576,0.035036795,0.036843953,0.038720087,0.040670714,0.042687558,0.044914087,0.047256495,0.049728577,0.052324814,0.055053485,0.057920107,0.060930198,0.064092035,0.067408377,0.070881983,0.07452113
ALVE1,,0.237429861,0.250454699,0.258408798,0.262551558,0.269975384,0.282536232,0.293439976,0.304608857,0.316573148,0.32966427,0.343882222,0.360850967,0.379808237,0.399859195,0.420871274,0.442579336,0.465115951,0.488547401,0.512774262,0.53951992,0.567657546,0.59735285,0.628539547,0.661317064,0.695751686,0.731909695,0.769890518,0.809727299,0.851453177,0.895167581
AMEM_1,,4.882604868,5.108441646,5.334964858,5.560801636,5.843612433,6.126423231,6.409234029,6.832763792,7.256979989,7.579603957,7.848686076,7.934490323,7.95302404,8.112276722,8.767134735,8.615432827,8.294181726,8.384791011,8.662110337,8.803515736,8.973064928,9.14261412,9.312163312,9.453568711,9.59497411,9.736379509,9.807082208,9.877784907,9.999283721,10.14686703
ARBR_P,,0.390371518,0.411786371,0.424864144,0.431675484,0.443881405,0.464533388,0.482460835,0.500824208,0.520495358,0.542019192,0.565395711,0.593294959,0.624463651,0.657430537,0.691977653,0.727669075,0.764722765,0.803247704,0.84308042,0.887054431,0.933317052,0.982140737,1.033416505,1.087307827,1.143923685,1.203373061,1.265819426,1.331317271,1.399921088,1.471794347
ARMO_P,,0.058555742,0.061767971,0.063729637,0.064751339,0.066582227,0.069680025,0.072369143,0.07512365,0.078074323,0.081302899,0.084809377,0.088994266,0.093669571,0.098614605,0.103796673,0.109150388,0.114708443,0.120487185,0.126462094,0.133058197,0.139997592,0.147321147,0.155012514,0.163096214,0.171588595,0.180506003,0.18987296,0.19969764,0.209988215,0.220769206
AXMI1,,0.524528379,0.553302758,0.570874898,0.580027055,0.596427719,0.624177056,0.648265532,0.672939745,0.699371172,0.728291986,0.759702186,0.797189418,0.839069685,0.883366121,0.929785858,0.977743157,1.027530887,1.079295482,1.132817292,1.191903613,1.254065058,1.319667714,1.388565146,1.460977007,1.537049729,1.616929749,1.700836718,1.788843852,1.88102437,1.977597923
AYRR,,0.000185303,0.000195468,0.000201676,0.000204909,0.000210703,0.000220506,0.000229016,0.000237733,0.00024707,0.000257287,0.000268384,0.000281627,0.000296422,0.000312071,0.00032847,0.000345412,0.000363001,0.000381288,0.000400196,0.000421069,0.00044303,0.000466205,0.000490545,0.000516126,0.000543001,0.00057122,0.000600863,0.000631953,0.000664518,0.000698635
BAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARKC1,,86.0534603,91.25216682,96.06378265,97.78122785,99.50056513,101.2236764,102.9466168,104.6690791,106.392365,107.1025902,105.2582639,102.9082068,100.7551702,98.7019244,96.75438536,95.06549078,92.6977639,90.08107157,87.83127555,85.31864514,82.37007038,79.19094543,75.66076215,71.55379939,67.63475822,64.25551744,61.49066233,58.89729503,56.20049913,54.07151092
BEDD_1,,30.71089229,32.61573811,34.3739391,34.98600955,35.6013846,36.22206124,36.84135967,37.46075973,38.08105657,38.32786822,37.63896751,36.76549126,35.96637576,35.20898672,34.49161442,33.87436852,33.00723536,32.05782426,31.24457328,30.33608151,29.26754574,28.11498223,26.83381404,25.34071159,23.91828019,22.69658794,21.70326805,20.77469507,19.80931248,19.05521518
BERW,,0.063250096,0.066719846,0.068838777,0.069942387,0.071920057,0.075266202,0.078170904,0.081146236,0.084333462,0.087820869,0.091608459,0.096128845,0.101178965,0.106520437,0.112117947,0.117900864,0.123904502,0.13014652,0.136600431,0.143725338,0.151221057,0.159131733,0.167439709,0.176171472,0.185344678,0.194976986,0.205094882,0.215707196,0.226822756,0.238468049
