GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.985103251,0.988662011,0.994000149,0.999338288,1.006455806,1.013573325,1.020690843,1.029587741,1.038484639,1.047381537,1.056278435,1.065175332,1.07407223,1.082969128,1.091866026,1.102542304,1.113218581,1.123894859,1.134571136,1.145247413,1.15770307,1.170158728,1.182614385,1.195070042,1.207525699,1.221760735,1.235995772,1.250230809,1.264465845,1.278700882
ABNE_P,2.326477555,2.334882129,2.34748899,2.360095851,2.376905,2.393714148,2.410523296,2.431534731,2.452546167,2.473557602,2.494569037,2.515580473,2.536591908,2.557603343,2.578614779,2.603828501,2.629042223,2.654255946,2.679469668,2.704683391,2.7340994,2.76351541,2.792931419,2.822347428,2.851763438,2.885381734,2.919000031,2.952618327,2.986236624,3.01985492
ABTH_1,0.543212563,0.545174959,0.548118553,0.551062147,0.554986939,0.558911731,0.562836523,0.567742513,0.572648503,0.577554493,0.582460483,0.587366473,0.592272463,0.597178453,0.602084443,0.607971631,0.613858819,0.619746007,0.625633195,0.631520383,0.638388769,0.645257155,0.652125541,0.658993927,0.665862313,0.673711897,0.681561481,0.689411065,0.697260649,0.705110233
ALNE_P,0.929933225,0.933292679,0.938331859,0.943371039,0.950089945,0.956808852,0.963527759,0.971926392,0.980325025,0.988723658,0.997122292,1.005520925,1.013919558,1.022318192,1.030716825,1.040795185,1.050873545,1.060951905,1.071030265,1.081108625,1.092866711,1.104624798,1.116382884,1.128140971,1.139899058,1.153336871,1.166774684,1.180212497,1.193650311,1.207088124
ALVE1,35.09184986,35.21862179,35.40877969,35.59893758,35.85248145,36.10602531,36.35956917,36.676499,36.99342883,37.31035866,37.62728849,37.94421832,38.26114815,38.57807798,38.8950078,39.2753236,39.65563939,40.03595519,40.41627098,40.79658678,41.24028854,41.6839903,42.12769206,42.57139382,43.01509558,43.52218331,44.02927103,44.53635876,45.04344649,45.55053421
AMEM_1,0.006365772,0.006388769,0.006423264,0.00645776,0.006503753,0.006549747,0.006595741,0.006653233,0.006710725,0.006768217,0.006825709,0.006883201,0.006940693,0.006998185,0.007055677,0.007124668,0.007193658,0.007262649,0.007331639,0.007400629,0.007481118,0.007561607,0.007642096,0.007722585,0.007803074,0.007895061,0.007987049,0.008079036,0.008171023,0.008263011
ARBR_P,0.770258439,0.773041055,0.777214979,0.781388904,0.786954136,0.792519369,0.798084601,0.805041141,0.811997682,0.818954223,0.825910763,0.832867304,0.839823844,0.846780385,0.853736925,0.862084774,0.870432622,0.878780471,0.88712832,0.895476168,0.905215325,0.914954482,0.924693638,0.934432795,0.944171952,0.955302417,0.966432881,0.977563346,0.988693811,0.999824276
ARMO_P,7.695794232,7.723595864,7.765298312,7.80700076,7.862604025,7.918207289,7.973810553,8.043314633,8.112818714,8.182322794,8.251826874,8.321330954,8.390835035,8.460339115,8.529843195,8.613248092,8.696652988,8.780057884,8.863462781,8.946867677,9.044173389,9.141479102,9.238784814,9.336090527,9.433396239,9.544602768,9.655809296,9.767015824,9.878222353,9.989428881
AXMI1,0.268953876,0.269925492,0.271382916,0.27284034,0.274783572,0.276726804,0.278670036,0.281099076,0.283528116,0.285957156,0.288386196,0.290815236,0.293244276,0.295673316,0.298102356,0.301017204,0.303932052,0.3068469,0.309761748,0.312676596,0.316077252,0.319477908,0.322878564,0.32627922,0.329679876,0.33356634,0.337452804,0.341339268,0.345225732,0.349112196
AYRR,0.011670582,0.011712743,0.011775985,0.011839226,0.011923548,0.012007869,0.012092191,0.012197593,0.012302995,0.012408397,0.012513799,0.012619202,0.012724604,0.012830006,0.012935408,0.013061891,0.013188373,0.013314856,0.013441338,0.013567821,0.013715384,0.013862947,0.01401051,0.014158073,0.014305636,0.014474279,0.014642922,0.014811566,0.014980209,0.015148853
