GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,17,162.5,323.8,512.9,731.9,931,1194.6,1483.4,1792.3,2120.8,2360.9,2729.3,3118.1,3534.3,4140,7315.9,10979.2,14754.4,18607.1,22527.6,24849.6,28725.4,32601.6,36364.2,40048.7,42393.8,46023,49660.4,53319.1,56871.4
ABNE_P,1.3,12,23.8,37.8,54,71.3,91.5,113.5,137.2,162.3,200.6,232,265,300.4,351.9,693.4,1040.6,1398.5,1763.7,2135.4,2484.5,2872.1,3259.7,3635.8,4004.3,4186.8,4545.2,4904.3,5265.6,5616.7
ABTH_1,9,85.8,170.9,270.7,386.4,532,682.6,847.6,1024.2,1211.8,1458.9,1686.5,1926.8,2183.9,2558.3,5169.9,7758.6,10426.4,13149.1,15919.4,18972.5,21931.4,24891.2,27763.8,30576.7,34225,37155,40091.5,43045.2,45913.1
ACTL_2;CBNK_H;GREE_H;PERI_H,4.7,44.8,89.2,141.3,201.6,275.2,353.2,438.6,530,627.2,781.7,903.6,1032.4,1170.2,1370.7,2799.3,4201,5645.7,7120,8619.8,10213.1,11806,13399.3,14945.5,16459.8,17930.2,19465.1,21003.8,22550.8,24053.4
ALNE_P,1.1,10.6,21.1,33.3,47.6,57.7,74,91.9,111.1,131.4,142.6,164.9,188.3,213.5,250,386.9,580.8,780.5,984.3,1191.8,1205.3,1393.4,1581.4,1763.7,1942.6,1883.5,2044.7,2206.1,2368.7,2526.7
ALVE1,12.1,115.4,229.9,364.2,519.7,661,848.2,1053.3,1272.6,1505.9,1676.4,1937.9,2214.1,2509.6,2939.6,5194.7,7795.7,10476.3,13211.9,15995.6,17644.5,20396.5,23149,25820.3,28436.7,30102,32679,35261.7,37859.5,40381.9
AMEM_1,8.1,77.4,154.3,244.4,348.8,462.4,593.3,736.8,890.2,1053.3,1263.8,1460.9,1669.1,1891.9,2216.1,4759.9,7143.1,9599.4,12105.9,14656.7,17877.7,20666,23454.9,26161.9,28812.6,32283.3,35047.1,37816.9,40603.1,43308
ARBR_P,2.2,20.9,41.6,65.9,94,124.3,159.5,198.1,239.3,283.1,349.9,404.5,462.1,523.8,613.6,1209.3,1814.8,2438.8,3075.5,3723.5,4332.5,5008.2,5683.9,6340.1,6982.5,7301,7926,8552.2,9182.4,9794.2
ARDK_P;CLAC_P,0.1,1,2.1,3.3,4.7,5.6,7.2,9,10.8,12.9,14.2,16.4,18.7,21.3,24.9,36.3,54.5,73.1,92.2,111.6,107.8,124.7,141.6,157.9,174,159.6,173.1,186.9,200.8,214.2
ARMO_P,1.7,16.1,32.1,50.9,72.6,92.5,118.7,147.4,178.1,210.7,248.4,287.1,328,371.8,435.5,789,1183.9,1591,2006.6,2429.3,2707.4,3129.6,3551.9,3961.8,4363.4,4459.4,4841.2,5223.5,5608.6,5982
AXMI1,9.6,91.4,182.1,288.5,411.7,524.2,672.6,835.3,1009.2,1194.2,1358.1,1570,1793.6,2033,2381.5,4553.1,6833,9182.5,11580,14019.9,16201.5,18728.6,21255.8,23708.7,26111,28447.7,30883.2,33324.1,35779.2,38163
AYRR,2.8,26.9,53.5,84.8,121,161.7,207.5,257.6,311.3,368.3,454.4,525.2,600.1,680.2,796.7,1619.4,2430.3,3266,4118.9,4986.7,5890,6808.7,7727.4,8619.1,9492.4,10056.4,10917.3,11780,12648.1,13490.5
BAGA,2.3,22.1,43.9,69.5,99.3,132.9,170.5,211.7,255.9,302.7,375,433.4,495.2,561.3,657.6,1339.7,2010.6,2701.8,3407.4,4125.3,4877.8,5638.5,6399.4,7137.7,7861.2,8325.6,9038.4,9752.6,10471.5,11168.8
BAIN,1.5,14.7,29.4,46.5,66.4,88.8,114,141.6,171.1,202.4,250.7,289.8,331.2,375.3,439.7,895.9,1344.5,1806.7,2278.5,2758.6,3261.5,3770.4,4279.2,4773.1,5256.6,5567.4,6043.8,6521.6,7002.2,7468.5
BARKC1;BARKW3,9.7,92.6,184.6,292.3,417.2,534.8,686.1,852.1,1029.5,1218.1,1402.6,1621.4,1852.5,2099.8,2459.6,5334.5,8005.5,10758.5,13567.6,16426.3,20271,23432.7,26594.7,29664.2,32669.6,37233.4,40421.3,43615.6,46829.2,49949.1
BEAU_P;ORRI_P,1.3,12.1,24.1,38.2,54.4,69.4,89,110.6,133.6,158.1,186.2,215.3,246,278.8,326.6,591.6,888,1193.4,1504.8,1822.1,2030.5,2347.3,2664,2971.4,3272.2,3344.4,3630.8,3917.5,4206.3,4486.7
BEDDT1,10.5,100.3,199.8,316.6,451.8,599.5,769.3,955.3,1154.2,1365.7,1625.3,1879,2146.6,2433.2,2850.2,6256.2,9388.8,12617.2,15911.7,19264.5,23765.1,27471.7,31178.6,34776.9,38300.4,43364.7,47077.2,50797.7,54540.2,58173.8
BEDD_1,19,181.2,361.1,572,816.3,1083.3,1390,1726.1,2085.5,2467.7,2936.9,3395.1,3879,4396.8,5150.2,11304.7,16965.1,22798.6,28752,34809.7,42942.1,49639.9,56338.5,62840.4,69207.3,78358.3,85066.1,91789.3,98551.7,105117.6
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.5,14.7,29.3,46.4,66.2,84.4,108.2,134.4,162.4,192.2,226.4,261.8,299,338.9,397.1,719.3,1079.5,1450.7,1829.4,2214.9,2468.3,2853.4,3238.4,3612.1,3978.2,4065.9,4413.7,4762.7,5113.4,5454.1
BERW,1.1,10.5,20.9,33.2,47.3,63.2,81.2,100.8,121.8,144.1,177.7,205.5,234.8,266.1,311.7,633.6,950.9,1277.8,1611.5,1951,2304.4,2663.9,3023.3,3372.2,3713.9,3934.5,4271.3,4608.7,4948.3,5278.2
BESW_1,11.3,108.1,215.3,341.1,486.8,635.9,815.9,1013.2,1224.1,1448.5,1700.6,1965.9,2246,2545.8,2982.1,6023.6,9039.7,12148.2,15320.1,18548,21975.6,25403.2,28831,32158.5,35416.6,39045.2,42388,45737.9,49107.8,52379.3
BICF_1,9.2,87.7,174.8,276.9,395.2,511.2,656,814.6,984.3,1164.6,1288.6,1489.7,1701.9,1929.1,2259.7,3768.7,5655.7,7600.5,9585.3,11604.8,12296.6,14214.6,16132.8,17994.4,19817.8,20428.2,22177,23929.9,25692.7,27404.6
BIRK_1,9.3,88.8,177,280.3,400,524,672.4,835.1,1008.9,1193.8,1392.9,1610.1,1839.5,2085.1,2442.4,5076.8,7618.8,10238.6,12912.3,15632.9,18707.2,21624.7,24543.1,27375.3,30149.2,33451.3,36315,39185.3,42071.9,44875.2
BISW_1,25.4,242.1,482.4,764.2,1090.6,1413.2,1813.3,2251.8,2720.6,3219.2,3713.9,4293.3,4905,5559.8,6512.6,12635.5,18962.3,25482.6,32136.6,38907.6,45229.6,52284,59339.4,66187.6,72893.9,79630.4,86447.5,93279.6,100152,106824.2
BLYTB1,4.9,46.9,93.4,147.9,211,277,355.5,441.4,533.3,631.1,725,838.2,957.6,1085.4,1271.5,2482.3,3725.2,5006.2,6313.5,7643.7,8861,10243.2,11625.3,12966.9,14280.7,15559.4,16891.3,18226.4,19569.2,20873.1
BLYTH132,3.9,37.5,74.8,118.4,169,221.8,284.7,353.4,427.1,505.3,580.6,671.1,766.8,869.1,1018.1,1987.7,2982.9,4008.6,5055.4,6120.4,7095.3,8201.8,9308.5,10382.8,11435,12458.6,13525.3,14594.2,15669.4,16713.3
BOAG_P,0.7,6.8,13.6,21.6,30.8,39.3,50.4,62.6,75.6,89.5,105.4,121.9,139.3,157.8,184.9,335,502.6,675.5,851.8,1031.3,1149.3,1328.5,1507.8,1681.8,1852.5,1893.1,2055.2,2217.5,2381,2539.5
BOLN_1,29.3,279.5,556.8,882,1258.7,1615.6,2073.1,2574.3,3110.4,3680.3,4236.2,4897,5594.8,6341.6,7428.4,15061.3,22602.7,30374.6,38306.2,46377.2,55255.1,63873.1,72492.4,80858.5,89051.1,98947.4,107418,115907.5,124447,132738.2
BONN,3.8,36.6,73,115.6,165,220.9,283.4,352,425.2,503.2,623.3,720.5,823.1,933,1093,2226.8,3341.9,4490.9,5663.8,6857.1,8107.5,9372.2,10636.8,11864.5,13066.5,13838.9,15023.6,16210.8,17405.3,18564.7
