GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,46.01795861,108.1929058,165.9600745,225.3716302,286.0991375,364.258931,473.7492048,579.0805255,684.2858426,790.0387299,874.5962719,1026.224639,1173.610709,1319.281316,1463.506489,1502.592134,1655.914553,1792.492148,1925.408541,2056.898997,2042.723935,2128.604405,2214.681218,2300.461404,2384.846569,2373.645529,2428.464423,2487.881063,2549.762536,2612.876522
ABNE_P,,2.355997881,5.527997359,8.485763432,11.51989399,14.61690298,19.98295299,25.99606611,31.79094144,37.56513717,43.36717496,52.34009765,61.41517904,70.23624627,78.93836947,87.56622128,97.3094383,107.2315745,116.0609816,124.6872298,133.2017916,137.2411402,143.0213759,148.7992144,154.5644529,160.2341676,161.2970092,165.0141778,169.0582999,173.263292,177.5521443
ABTH_1,,9.556991404,22.46484033,34.44699753,46.78797353,59.39453746,97.13025511,126.3374324,154.4287616,182.4747746,210.675512,245.7666947,288.3767912,329.8146259,370.7426262,411.2584522,457.281195,503.9281577,545.4960339,585.940277,625.9527839,621.8174307,647.9661711,674.1741143,700.2845671,725.9726165,739.4417986,756.5170631,775.027592,794.3036106,813.9584755
ACTL_2,,2.327497907,5.469188876,8.388225922,11.40182772,14.47429905,20.5971831,26.79362369,32.75297819,38.6962241,44.67931,54.58531401,64.06174535,73.26749479,82.36313222,91.34501257,105.6014706,116.3683472,125.9760938,135.2946146,144.5447393,150.9520283,157.2980573,163.668895,170.0089872,176.2476872,178.0086691,182.1237654,186.5673675,191.2194986,195.9512332
ACTL_C,,4.037496369,9.48286781,14.5656016,19.76766582,25.09829194,35.7277182,46.47389596,56.80389675,67.12565912,77.50492551,94.70950326,111.1310509,127.0906393,142.8753134,158.4912271,183.1834595,201.887536,218.5328425,234.7304378,250.7681082,261.8955969,272.911599,283.9371657,294.9350214,305.7612337,308.8118142,315.9403711,323.6806296,331.7291656,339.9432895
ALNE_P,,1.814498368,4.263614984,6.535013218,8.871836365,11.2478851,12.53029429,16.29604144,19.89666899,23.53530887,27.1545234,28.17384408,33.04497753,37.8043515,42.4959997,47.13799906,44.52225205,49.04740089,53.10826165,57.0287096,60.94054249,58.76724699,61.24335689,63.71842477,66.18518956,68.60674798,67.5937491,69.15044795,70.85196926,72.61452347,74.40119898
ALST_3,,0.560499496,1.323190857,2.015775221,2.749257277,3.47597083,5.691865708,7.393574358,9.051891168,10.70182252,12.34296518,14.41284054,16.89350273,19.3211288,21.7303608,24.10190599,26.8000653,29.54390524,31.95916233,34.33383971,36.67553086,36.43745659,37.97215408,39.50911005,41.0332294,42.53776728,43.33235108,44.34250823,45.41355138,46.554521,47.69163648
ALVE1,,34.89346862,82.03783315,125.8396451,170.892483,216.9362308,276.1988072,359.2242469,439.1041795,518.8861304,599.067483,663.1838018,778.1399648,889.9055624,1000.368374,1109.729266,1139.3686,1255.628523,1359.171126,1459.961877,1559.677548,1548.933575,1614.049897,1679.311271,1744.35891,1808.340068,1799.845771,1841.407336,1886.464507,1933.403993,1981.243098
AMEM_1,,21.32748082,50.14893349,76.92458345,104.4717765,132.6216563,181.1774088,235.624377,288.020682,340.3484084,392.9510843,485.7392826,569.9516595,651.7923654,732.7062831,812.803473,963.1764619,1061.447002,1148.999007,1234.201743,1318.495343,1411.141354,1470.455757,1529.918089,1589.179058,1647.472485,1686.87495,1725.835825,1768.074376,1812.05388,1856.904188
ARBR_P,,4.065996343,9.556378413,14.64688286,19.88573208,25.25872136,34.51973232,44.90033641,54.90168773,64.86348526,74.88065543,90.38806531,106.0357924,121.2745852,136.3393225,151.2243207,168.0355965,185.170254,200.4454168,215.309729,230.0171863,237.0308353,246.9887095,256.9833094,266.9442843,276.7231208,278.5538794,284.9929956,291.9632286,299.2199706,306.6265262
ARDK_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMO_P,,2.954497343,6.93940094,10.64784492,14.45468396,18.34243069,23.21789825,30.19941013,36.90722776,43.6338536,50.37264169,57.77207273,67.77188505,77.50631387,87.13850562,96.64985419,102.2413007,112.6784967,121.9723668,131.0112943,139.9630781,141.4734401,147.4125691,153.3871048,159.3288337,165.162927,165.1898429,169.0173209,173.1557632,177.4562073,181.838402
AXMI1,,27.03697568,63.57196963,97.52125446,132.4197477,168.0943842,217.0893961,282.3353847,345.1088169,407.8220943,470.8340826,543.3906448,637.5998733,729.1754578,819.6759624,909.283766,992.3882621,1093.626514,1183.831432,1271.607912,1358.462553,1398.06972,1456.836694,1515.744785,1574.469033,1632.211146,1647.691023,1685.72741,1726.985925,1769.936704,1813.742134
AYRR,,5.243995283,12.33507921,18.92227708,25.70471221,32.62064933,45.14591326,58.71748266,71.78105967,84.80976828,97.9208571,119.9138676,140.6884971,160.9026147,180.8853563,200.6635068,226.7843746,249.9308959,270.5577427,290.6154336,310.4631506,323.175772,336.7642156,350.3796504,363.9589878,377.3173197,381.5566867,390.3641903,399.9200043,409.8715684,420.0158252
BAGA,,4.312996121,10.14446324,15.55723296,21.13386115,26.82736461,37.28376782,48.47856773,59.25271755,70.01863147,80.84086204,99.15165177,116.3499808,133.0545592,149.5801306,165.9276945,187.6817515,206.8324377,223.8789957,240.4938583,256.9066446,267.3843608,278.6392424,289.897327,301.1287164,312.1745592,315.6144428,322.9073798,330.7942811,339.0244621,347.4114854
BAIN,,2.887997402,6.777677613,10.40400114,14.13421839,17.93244438,24.91726823,32.419638,39.61842221,46.83134935,54.06441145,66.29423807,77.78926222,88.96591194,100.017543,110.9414366,125.491509,138.3066422,149.7158401,160.8151304,171.7900548,178.7926258,186.3181169,193.8588526,201.3546424,208.7497877,211.0387734,215.9195312,221.2061081,226.6994587,232.3189137
BARKC1,,10.70649037,25.17003053,38.62485424,52.43828756,66.57821051,88.30581582,114.8482921,140.391771,165.9000007,191.5494759,236.3271291,277.2958406,317.122813,356.4647421,395.4408195,471.5619174,519.6664998,562.5236495,604.2396977,645.5249289,695.7283756,724.9923675,754.2983437,783.5222696,812.2555982,833.557935,852.8042023,873.6702266,895.4036346,917.5586356
BARKW3,,14.99098652,35.24098316,54.06829344,73.42034923,93.19166922,123.6240473,160.7832978,196.5397336,232.2425996,268.1203391,330.8193534,388.1548146,443.9177207,499.0024028,553.5687012,660.1108095,727.4778774,787.4624552,845.8548441,903.6325916,973.9359616,1014.874762,1055.911177,1096.820009,1137.039072,1166.847416,1193.80271,1222.997941,1253.437233,1284.454812
BEAU_P,,2.213498009,5.204550705,7.981819627,10.82836302,13.76127939,17.42366086,22.6549465,27.68042082,32.71451436,37.78504116,43.31094796,50.82891378,58.13589647,65.35990873,72.49950215,76.68775004,84.49004677,91.47338725,98.24725786,104.9556277,106.0940584,110.5647302,115.045449,119.4866995,123.8721953,123.9022126,126.7533677,129.8668224,133.0827543,136.3741222
BEDDT1,,29.08897384,68.37956308,104.8853365,142.4385135,180.8217851,247.0024025,321.2432614,392.6640422,464.0284141,535.729168,667.1913923,782.8642093,895.3026634,1006.422004,1116.439043,1336.236623,1472.576674,1594.025044,1712.229259,1829.172641,1970.201714,2053.04194,2136.05215,2218.791977,2300.166919,2361.731099,2416.262535,2475.398975,2536.976965,2599.755707
BEDD_1,,50.79645431,119.4106238,183.1754451,248.765617,315.7785808,431.3533336,561.0278712,685.7572816,810.3585323,935.5745212,1165.170725,1367.161742,1563.532775,1757.602712,1949.710968,2333.583845,2571.700312,2783.791413,2990.206087,3194.440962,3440.749568,3585.398671,3730.38504,3874.870882,4016.998333,4124.496646,4219.755487,4322.994491,4430.538861,4540.195128
BERB_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERW,,2.051998154,4.822295568,7.396594563,10.052499,12.76305187,17.6693529,22.97828066,28.0739813,33.19305114,38.318791,46.90812257,55.05847303,62.96617867,70.76235137,78.50681138,88.71932637,97.79358949,105.8397019,113.698607,121.4585046,126.4399583,131.7570106,137.0837084,142.3954303,147.6252529,149.2842748,152.7353061,156.4623942,160.364907,164.3190254
BESW_1,,27.80647499,65.36562835,100.268561,136.1641349,172.8537904,231.8309188,301.5414335,368.5693947,435.5337241,502.8368338,607.343098,712.6436321,814.9868997,916.1481524,1016.301073,1171.344411,1290.84526,1397.300738,1500.933742,1603.447982,1694.418883,1765.662738,1837.060968,1908.213906,1978.194224,2016.487866,2063.06214,2113.551234,2166.120191,2219.719997
BICF_1,,24.92797758,58.60265285,89.89707238,122.0805164,154.9748225,203.3511159,264.4873393,323.2662099,382.0028598,441.0330496,482.8422292,566.538331,647.9232108,728.3409165,807.9346458,802.5928553,884.4847825,957.4324439,1028.422962,1098.664569,1063.29921,1108.002,1152.80988,1197.467552,1241.374378,1221.799286,1250.019926,1280.609034,1312.457686,1344.94907
BIRK_1,,15.30448623,35.9760892,55.18997481,74.95521066,95.15247328,141.0681825,183.4813555,224.2857478,265.022369,305.972099,395.49607,464.0642727,530.7149345,596.6081411,661.8213825,830.5310427,915.2586379,990.7575837,1064.214477,1136.919216,1240.240204,1292.389689,1344.641049,1396.717927,1447.946802,1497.010833,1531.587155,1569.062861,1608.086415,1647.888292
BISW_1,,64.55244194,151.7552892,232.7895256,316.1308536,401.2874632,537.7175147,699.3717786,854.8571035,1010.169389,1166.265652,1382.908429,1622.666696,1855.740204,2086.066401,2314.097875,2594.322195,2859.031734,3094.833901,3324.327497,3551.365716,3698.082217,3853.537234,4009.365645,4164.684194,4317.415128,4376.744406,4477.823496,4587.375721,4701.498959,4817.8473
BLYTB1,,8.397992446,19.74494801,30.28539708,41.13765949,52.21086441,76.08263659,98.96180722,120.9542559,142.9302353,165.0176606,203.2524364,238.4877794,272.7384342,306.5886198,340.1154393,404.4398125,445.6937821,482.4491086,518.2369053,553.6248116,586.9009569,611.5638156,636.2830549,660.9387226,685.1767401,702.2436097,718.4679578,736.0447816,754.3487006,773.0237781
BLYTH132,,6.896993797,16.21643906,24.88832148,33.78381795,42.88813239,62.48767677,81.28620672,99.35215813,117.4155243,135.5502212,166.9668429,195.92011,224.0413035,251.8647701,279.3883254,332.2232563,366.123536,396.3218745,425.7082164,454.7854791,482.1074489,502.3779625,522.6918033,542.9210406,562.8484936,576.866839,590.1749196,604.6224408,619.6677499,635.002535
BOAG_P,,1.253998872,2.940424127,4.519237997,6.139445697,7.789739757,9.868630472,12.82558817,15.67682601,18.51067269,21.3722334,24.52838524,28.76594975,32.90013641,36.99708487,41.03379774,43.41122811,47.84255174,51.78938686,55.61588667,59.40590839,60.06779746,62.579807,65.11117722,67.63435538,70.11110829,70.12998925,71.74864179,73.5077325,75.3408585,77.2087914
BOLN_1,,78.69792922,185.0114861,283.8178999,385.4188836,489.2562634,637.7551257,829.4814428,1013.899269,1198.103833,1383.257204,1640.746179,1925.191486,2201.696844,2474.969917,2745.534104,3114.525283,3432.314021,3715.388041,3990.910809,4263.480421,4481.454469,4669.853693,4858.67838,5046.8887,5231.987022,5324.216879,5447.180749,5580.460445,5719.268031,5860.830448
BONN,,7.172493549,16.86333237,25.86369659,35.13314667,44.59937957,61.955344,80.57487157,98.49944374,116.3931957,134.3715237,164.8181949,193.397215,221.1579207,248.6088337,275.8033182,311.953844,343.7836246,372.1346529,399.7391854,427.05086,444.4576148,463.1329988,481.8718674,500.5379033,518.8855428,524.6084954,536.7098641,549.8378391,563.5240505,577.4656078
BOTW_1,,13.26198807,31.16849575,47.8096365,64.93644488,82.42507239,106.3437068,138.3007962,169.056093,199.7673537,230.6466521,276.3547499,324.2909434,370.8473803,416.8804511,462.4659188,534.2941228,588.8198209,637.3697938,684.63605,731.3977153,777.4205802,810.100905,842.8610145,875.5145216,907.6241243,927.8116968,949.2453085,972.4646191,996.654077,1021.327251
BRAC_P,,3.343996992,7.850932419,12.04588257,16.36061079,20.76669752,28.39790553,36.94631618,45.15013348,53.35685088,61.60362802,74.3577033,87.2377513,99.760114,112.1489209,124.4094364,138.2276371,152.3381146,164.9064515,177.1186584,189.2270568,194.9943987,203.1828446,211.3911482,219.5783988,227.6334685,229.1463484,234.434068,240.1758455,246.1410478,252.2341025
BRAI_1,,36.3564673,85.47812937,131.1229269,178.0776584,226.0450569,293.8681601,382.2240831,467.2000253,552.0791815,637.4085136,718.2519581,842.7705982,963.8384532,1083.455048,1201.897861,1258.437849,1386.856677,1501.232782,1612.546753,1722.682379,1728.453627,1801.110486,1873.927945,1946.527468,2017.921213,2016.60583,2063.158369,2113.646083,2166.233005,2219.832301
BRAP,,3.799996582,8.938889346,13.72027651,18.63760301,23.65442713,32.73846499,42.57233049,52.03744198,61.49197613,70.98872947,86.93574337,102.0041073,116.6414574,131.1298243,145.4592417,164.404445,181.1791912,196.1355224,210.6675965,225.0574268,234.297475,244.1461013,254.0134696,263.8474368,273.5362522,276.6074625,282.991424,289.9334667,297.1329141,304.492756
BRAW_1,,24.97547754,58.72026982,90.07589115,122.3166489,155.2778559,235.0863384,305.7663331,373.72941,441.6459439,509.8867797,678.5381847,796.195978,910.5328389,1023.545818,1135.429891,1477.607645,1628.353629,1762.652606,1893.362129,2022.692225,2239.834484,2333.993453,2428.366312,2522.441845,2614.954315,2716.588451,2779.316821,2847.319647,2918.156207,2990.366681
BRED_1,,15.72248586,36.94642916,56.68554998,76.97920374,97.71934404,145.654434,189.4522596,231.5666168,273.636031,315.9131899,416.1858595,488.3285863,558.4644129,627.7927765,696.4118566,900.0648825,991.8920642,1073.705387,1153.312024,1232.088771,1359.538157,1416.67955,1473.962211,1531.053613,1587.218896,1645.58732,1683.571872,1724.766466,1767.680427,1811.421191
BRFO_1,,68.47593841,160.988221,246.9487209,335.3587879,425.7083864,546.0710442,710.2358062,868.1288377,1025.874096,1184.390908,1335.903738,1567.509286,1792.626159,2015.135223,2235.421502,2358.48704,2599.135732,2813.513198,3022.140371,3228.55877,3261.449948,3398.571431,3535.993664,3672.960395,3807.674513,3816.726852,3904.854393,4000.395136,4099.919032,4201.393593
BRID_P,,2.802497479,6.586550045,10.09513236,13.71255317,17.39767964,23.79117969,30.9538565,37.82553556,44.69968551,51.61805799,62.28664757,73.08975194,83.56881091,93.96391307,104.2316598,115.7903731,127.613606,138.1521343,148.3912589,158.5121337,163.3403226,170.217075,177.1048598,183.9646526,190.6974639,191.9678203,196.4042085,201.2120048,206.2049402,211.3181224
BRIM_1,,13.07198824,30.74213425,47.15938643,64.0425146,81.28424094,106.1184891,138.0205732,168.7062615,199.3758236,230.1796209,280.9900353,329.7077473,377.0577431,423.8505668,470.1930626,555.9455405,612.6908947,663.2056089,712.3991419,761.0450668,816.966132,851.3187236,885.7291157,920.0416303,953.7842329,978.1039627,1000.689547,1025.16255,1050.673115,1076.674256
BRLE_1,,24.58597789,57.79403622,88.64534099,120.3938555,152.8179381,200.320914,260.5426626,318.4778907,376.3256735,434.494614,479.7278968,562.9023941,643.7336803,723.6378972,802.7266962,810.9119858,893.6466563,967.3711075,1039.097625,1110.07424,1083.44672,1128.982145,1174.643323,1220.138064,1264.889905,1248.262691,1277.09888,1308.34279,1340.886779,1374.073162
BROA_P,,0.759999316,1.778956597,2.7310503,3.693787384,4.688104247,5.937557753,7.738464124,9.445451653,11.1803593,12.8989546,14.79911433,17.36345376,19.83865903,22.30919394,24.75592756,26.17680796,28.84107657,31.22907093,33.54893809,35.83037006,36.21702431,37.73880565,39.26333021,40.79501036,42.30023671,42.29032993,43.28398481,44.33227635,45.44518468,46.56859951
BROR_P,,0.360999675,0.852722997,1.316756395,1.78786056,2.263837412,2.518343461,3.276452777,4.00119827,4.720112777,5.448696341,5.649254082,6.628782917,7.590443456,8.537788816,9.47120125,8.942387813,9.839601406,10.668755,11.45956375,12.23259065,11.79312721,12.30382646,12.80103358,13.30056299,13.7767734,13.56593568,13.89552558,14.22730306,14.5717907,14.93639164
BROX,,6.630994036,15.58424787,23.91294638,32.48508905,41.23036169,57.06197744,74.1944109,90.69382745,107.1704869,123.7410059,151.5158915,177.7898941,203.340094,228.5667362,253.5423619,286.5899803,315.8210839,341.8711868,367.2218323,392.3103026,408.3948931,425.5426876,442.7519088,459.9215572,476.7832483,482.1608793,493.2911582,505.3538049,517.9284473,530.74727
BRWA1,,31.05547207,73.0254332,112.0218311,152.1199471,193.0857232,251.527231,327.1494986,399.8793178,472.5333178,545.559061,608.6709142,714.2018908,816.7859334,918.1499504,1018.505368,1048.616913,1155.600943,1250.905636,1343.684307,1435.43891,1425.050631,1484.965786,1545.013068,1604.861812,1663.723536,1655.869906,1694.099368,1735.560246,1778.717383,1822.745147
BUMU_P,,5.956494642,13.99641885,21.47450861,29.16236706,37.02354571,50.61256126,65.83083408,80.46125482,95.09830903,109.7745516,132.4919077,155.4548531,177.7839581,199.8421416,221.6890891,246.322137,271.4675745,293.8500136,315.6425826,337.1969214,347.4674097,362.0719139,376.7190571,391.3144741,405.662635,408.3346641,417.7703238,427.9952157,438.6391036,449.4955455
BURM_1,,43.56696081,102.4296745,157.1329298,213.3963378,270.8761678,363.8494442,473.2318701,578.4464559,683.5462858,789.1713864,900.0179153,1056.054162,1207.718416,1357.629012,1506.042114,1591.338559,1753.708142,1898.355402,2039.129574,2178.401983,2186.225352,2278.138323,2370.239378,2462.07317,2552.365008,2548.960672,2607.816782,2671.621939,2738.086479,2805.851707
BUSH_1,,14.81998667,34.82932379,53.43429962,72.57701878,92.12213973,123.4397783,160.5461861,196.233631,231.8945729,267.7422663,317.4687657,372.4980251,426.0013168,478.8879512,531.2350757,595.5630284,656.3164744,710.449588,763.1486384,815.2688049,848.9288132,884.6239091,920.4045555,956.0524083,991.1161217,1004.744315,1027.941713,1053.086003,1079.290232,1106.004238
