GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,-5.256,-5.351,-5.319,-5.32,-5.888,-6.686,-7.382,-7.711,-7.879,-8.103,-8.599,-10.111,-11.808,-12.724,-13.634,-14.684,-16.151,-17.023,-17.583,-17.924,-18.244,-18.603,-18.877,-19.163,-19.33,-19.528,-19.685,-19.807,-20.081,-20.141
ABNE_P,-0.848,-0.858,-0.85,-0.849,-0.938,-1.062,-1.168,-1.215,-1.236,-1.268,-1.344,-1.58,-1.844,-1.988,-2.133,-2.301,-2.538,-2.681,-2.775,-2.837,-2.895,-2.964,-3.022,-3.083,-3.125,-3.166,-3.2,-3.226,-3.273,-3.285
ABTH_1,-3.931,-4.002,-3.978,-3.979,-4.404,-5.001,-5.521,-5.767,-5.893,-6.06,-6.431,-7.562,-8.831,-9.516,-10.197,-10.982,-12.079,-12.731,-13.15,-13.405,-13.645,-13.913,-14.118,-14.331,-14.457,-14.605,-14.722,-14.814,-15.018,-15.063
ACTL_2;CBNK_H;GREE_H;PERI_H,-2.501,-2.547,-2.531,-2.533,-2.802,-3.182,-3.513,-3.671,-3.75,-3.857,-4.094,-4.813,-5.62,-6.056,-6.49,-6.989,-7.687,-8.102,-8.368,-8.531,-8.682,-8.855,-8.984,-9.121,-9.2,-9.294,-9.369,-9.428,-9.558,-9.586
ALNE_P,-0.714,-0.722,-0.716,-0.715,-0.79,-0.895,-0.984,-1.023,-1.041,-1.068,-1.132,-1.331,-1.553,-1.675,-1.796,-1.938,-2.138,-2.258,-2.338,-2.39,-2.439,-2.497,-2.546,-2.597,-2.632,-2.667,-2.696,-2.718,-2.757,-2.767
ALVE1,-4.844,-4.933,-4.902,-4.904,-5.427,-6.163,-6.804,-7.107,-7.262,-7.469,-7.926,-9.32,-10.883,-11.728,-12.567,-13.534,-14.886,-15.69,-16.206,-16.521,-16.816,-17.146,-17.399,-17.662,-17.817,-17.999,-18.144,-18.257,-18.509,-18.564
AMEM_1,-1.39,-1.415,-1.407,-1.407,-1.557,-1.768,-1.952,-2.039,-2.084,-2.143,-2.274,-2.674,-3.123,-3.365,-3.606,-3.883,-4.271,-4.502,-4.65,-4.74,-4.825,-4.92,-4.992,-5.068,-5.112,-5.164,-5.206,-5.238,-5.31,-5.326
ARBR_P,-0.775,-0.784,-0.777,-0.776,-0.858,-0.971,-1.069,-1.111,-1.13,-1.16,-1.229,-1.444,-1.686,-1.818,-1.95,-2.104,-2.321,-2.452,-2.538,-2.595,-2.648,-2.711,-2.764,-2.82,-2.858,-2.895,-2.927,-2.95,-2.993,-3.004
ARDK_P;CLAC_P,-0.087,-0.088,-0.087,-0.087,-0.096,-0.109,-0.119,-0.124,-0.126,-0.13,-0.137,-0.162,-0.189,-0.203,-0.218,-0.235,-0.26,-0.274,-0.284,-0.29,-0.296,-0.303,-0.309,-0.315,-0.32,-0.324,-0.327,-0.33,-0.335,-0.336
ARMO_P,-0.657,-0.665,-0.659,-0.658,-0.727,-0.823,-0.905,-0.941,-0.958,-0.983,-1.042,-1.224,-1.429,-1.541,-1.653,-1.783,-1.967,-2.078,-2.151,-2.199,-2.244,-2.297,-2.342,-2.389,-2.422,-2.454,-2.48,-2.5,-2.537,-2.546
