GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BRED_1,4756.5,4828.8,4901.1,4973.3,5045.6,5117.8,5190.1,5262.3,5334.6,5406.8,5479.1,5551.3,5623.6,5695.8,5768.1,5840.1,5912.1,5984.4,6056.6,6128.9,6201.3,6273.8,6346.1,6418.4,6490.6,6562.9,6635.1,6707.3,6779.6,6851.8,
CARR_1,5107.9,5185.6,5263.2,5340.8,5418.3,5496.0,5573.6,5651.1,5728.7,5806.3,5883.9,5961.5,6039.1,6116.7,6194.3,6271.7,6349.0,6426.6,6504.1,6581.8,6659.6,6737.4,6815.0,6892.6,6970.2,7047.8,7125.3,7202.9,7280.5,7358.1,
HARK_1,7283.1,7393.9,7504.5,7615.2,7725.8,7836.4,7947.0,8057.7,8168.3,8278.9,8389.6,8500.2,8610.9,8721.5,8832.1,8942.4,9052.8,9163.4,9274.0,9384.6,9495.6,9606.5,9717.2,9827.8,9938.5,10049.1,10159.8,10270.4,10381.0,10491.6,
HEYS1,94.7,96.2,97.6,99.0,100.5,101.9,103.4,104.8,106.3,107.7,109.1,110.6,112.0,113.4,114.9,116.3,117.8,119.2,120.6,122.1,123.5,124.9,126.4,127.8,129.3,130.7,132.1,133.6,135.0,136.4,
HEYS_1,1527.8,1551.1,1574.2,1597.4,1620.6,1643.8,1667.1,1690.3,1713.5,1736.7,1759.9,1783.1,1806.3,1829.5,1852.7,1875.9,1899.0,1922.2,1945.4,1968.6,1991.9,2015.2,2038.4,2061.6,2084.8,2108.0,2131.2,2154.4,2177.6,2200.8,
HUTT_1,3717.2,3773.8,3830.2,3886.7,3943.2,3999.7,4056.1,4112.6,4169.0,4225.5,4282.0,4338.4,4394.9,4451.4,4507.8,4564.1,4620.4,4676.9,4733.3,4789.9,4846.4,4903.1,4959.6,5016.1,5072.5,5129.0,5185.4,5241.9,5298.4,5354.9,
KEAR_1,7970.5,8091.8,8212.9,8333.9,8455.0,8576.1,8697.1,8818.2,8939.3,9060.4,9181.4,9302.5,9423.6,9544.7,9665.7,9786.4,9907.2,10028.2,10149.3,10270.3,10391.8,10513.3,10634.3,10755.4,10876.5,10997.6,11118.6,11239.7,11360.8,11481.9,
KEAR_3,1613.2,1637.7,1662.2,1686.7,1711.2,1735.7,1760.2,1784.7,1809.3,1833.8,1858.2,1882.7,1907.3,1931.7,1956.2,1980.7,2005.1,2029.6,2054.1,2078.6,2103.2,2127.8,2152.3,2176.8,2201.3,2225.8,2250.3,2274.8,2299.3,2323.8,
KIBY_G,597.0,606.1,615.2,624.2,633.3,642.4,651.4,660.5,669.6,678.6,687.7,696.8,705.8,715.0,724.0,733.0,742.1,751.2,760.2,769.3,778.4,787.5,796.5,805.6,814.7,823.8,832.9,841.9,851.0,860.0,
MACC_3,1949.7,1979.4,2009.0,2038.6,2068.2,2097.9,2127.5,2157.1,2186.7,2216.3,2245.9,2275.6,2305.2,2334.7,2364.4,2393.9,2423.4,2453.1,2482.7,2512.3,2542.0,2571.7,2601.3,2630.9,2660.6,2690.2,2719.8,2749.4,2779.0,2808.6,
