GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BRED_1,1329.1,1300.0,1284.6,1281.2,1274.6,1274.0,1269.0,1262.5,1239.0,1255.9,1281.9,1313.4,1357.0,1401.4,1455.4,1526.4,1593.2,1654.4,1709.5,1754.5,1804.0,1840.0,1863.8,1877.8,1890.5,1906.2,1916.4,1928.4,1938.8,1944.7,
CARR_1,1338.4,1301.6,1276.3,1263.7,1249.7,1245.9,1245.9,1258.5,1276.3,1292.8,1318.3,1349.3,1392.6,1436.6,1491.0,1558.9,1622.4,1679.8,1730.8,1773.0,1818.7,1850.3,1869.2,1877.8,1886.7,1898.8,1904.6,1912.1,1918.0,1919.7,
HARK_1,1606.4,1566.6,1542.0,1532.1,1518.0,1515.3,1517.9,1536.4,1561.4,1582.0,1607.9,1645.9,1698.3,1751.4,1816.7,1874.0,1950.8,2020.7,2083.8,2136.4,2166.9,2204.9,2228.1,2240.2,2252.9,2251.0,2259.0,2268.5,2275.7,2277.6,
HEYS1,23.9,23.5,23.5,23.9,24.5,25.5,27.1,29.5,32.9,35.8,39.3,43.5,48.4,53.6,59.2,65.0,70.6,75.4,79.6,83.2,86.5,88.7,89.6,88.7,88.0,87.2,86.0,85.0,84.0,82.9,
HEYS_1,381.7,374.4,371.3,372.0,371.6,372.3,375.9,383.6,393.0,401.0,409.2,422.4,439.5,457.5,478.6,505.2,538.0,569.3,598.8,622.5,643.8,666.3,684.8,700.3,712.7,723.7,735.7,748.3,760.1,768.9,
HUTT_1,798.1,780.0,769.7,767.1,762.8,764.4,770.1,785.4,806.3,823.7,844.5,872.9,909.8,948.0,993.5,1030.8,1081.3,1127.0,1167.6,1201.8,1220.0,1243.6,1256.6,1260.2,1264.4,1256.5,1256.8,1258.3,1258.5,1255.7,
KEAR_1,2223.2,2159.8,2115.5,2092.4,2067.3,2059.3,2057.8,2076.7,2104.3,2127.8,2165.5,2211.9,2277.9,2344.6,2427.0,2544.1,2648.0,2743.2,2829.2,2898.9,2983.8,3040.7,3079.1,3103.7,3126.1,3162.6,3182.0,3204.3,3224.0,3236.6,
KEAR_3,394.4,385.0,379.8,379.0,378.8,383.3,391.3,406.3,427.1,445.3,468.5,495.8,529.5,564.7,604.0,649.2,689.8,725.8,757.0,783.1,811.0,828.4,836.2,833.4,831.3,831.2,826.1,822.4,818.4,813.1,
MACC_3,438.2,430.3,426.3,426.4,425.4,427.2,429.2,435.4,443.0,450.9,462.1,475.4,493.2,512.2,537.1,569.1,602.5,633.7,662.0,686.1,710.2,730.8,745.6,755.9,765.0,773.4,780.7,788.4,795.0,797.7,
ORMO,71.8,70.5,70.0,70.3,70.6,71.5,73.3,76.3,80.3,83.8,87.9,93.1,99.4,106.2,113.7,121.9,130.6,138.6,145.7,151.6,157.0,161.5,164.3,165.3,166.0,166.5,166.8,167.3,167.7,167.7,
PADIB1,982.5,960.5,949.1,947.8,944.9,951.1,962.8,987.1,1019.1,1046.7,1084.8,1129.4,1185.7,1244.3,1310.6,1404.2,1492.4,1574.6,1649.9,1710.9,1780.0,1833.0,1871.8,1897.1,1917.3,1940.8,1958.6,1978.6,1997.2,2010.5,
PENE_1,1639.0,1592.4,1559.7,1541.7,1520.9,1512.3,1507.2,1516.2,1530.1,1542.1,1563.2,1589.9,1629.9,1669.3,1720.4,1781.3,1837.5,1887.4,1931.4,1968.2,2006.7,2031.3,2043.5,2047.2,2053.4,2063.8,2066.9,2071.4,2074.0,2073.0,
PENW_1,1131.2,1101.4,1081.7,1072.6,1061.1,1057.7,1057.7,1068.0,1082.1,1094.0,1113.1,1136.8,1170.3,1204.1,1245.9,1303.5,1358.3,1408.9,1455.1,1492.9,1534.7,1566.1,1588.4,1604.1,1618.2,1635.5,1648.1,1662.0,1674.2,1682.6,
RRIG,40.0,40.0,41.0,43.2,46.3,51.4,59.0,70.3,86.1,99.2,114.5,132.4,153.3,175.5,199.2,222.9,245.5,265.2,282.1,296.2,309.1,317.7,320.3,315.6,311.5,306.3,300.0,294.6,289.3,283.6,
ROCH_1,1010.9,983.4,965.1,956.2,946.0,944.2,945.8,958.0,975.5,990.5,1012.6,1039.4,1075.9,1113.0,1157.8,1213.9,1263.6,1308.0,1347.1,1379.8,1416.8,1439.8,1451.9,1454.8,1458.7,1467.7,1468.9,1471.4,1472.7,1471.4,
SMAN_1,1390.3,1357.7,1339.6,1334.8,1326.1,1327.5,1333.3,1350.6,1370.4,1392.8,1426.5,1466.9,1520.6,1575.6,1639.1,1737.0,1830.7,1919.2,2001.6,2067.7,2142.6,2203.3,2251.5,2289.8,2321.0,2354.2,2384.6,2417.0,2447.3,2471.3,
STAL_1,1536.9,1494.2,1464.2,1449.0,1433.2,1430.3,1430.8,1446.8,1470.0,1491.3,1522.9,1561.2,1614.5,1669.1,1737.4,1822.2,1897.4,1964.6,2023.3,2072.6,2129.1,2163.9,2181.9,2185.7,2191.3,2207.0,2208.0,2211.1,2212.4,2208.3,
STAH_1,566.5,552.2,543.3,539.9,535.6,535.7,538.3,546.9,558.7,568.7,583.0,600.4,623.6,647.3,675.3,712.8,748.3,781.1,810.8,835.0,861.7,881.6,895.3,903.7,910.9,919.7,925.7,932.5,938.6,942.5,
WABO,154.2,150.6,148.6,148.4,148.5,150.4,153.8,160.1,168.8,176.4,185.9,197.2,211.0,225.5,241.6,259.5,276.1,290.8,303.5,314.1,325.0,332.0,335.1,333.9,332.9,332.2,330.0,328.4,326.6,324.3,
WASF_1,591.9,576.8,566.4,561.4,555.2,552.8,551.4,555.2,560.8,565.7,573.8,584.1,599.3,614.8,635.7,662.7,687.4,709.8,729.6,746.5,766.2,778.9,786.3,790.2,794.6,802.5,805.5,808.9,811.3,811.2,
WHGA_1,1149.9,1117.8,1095.6,1084.2,1071.5,1067.5,1066.9,1077.1,1091.9,1104.3,1124.1,1148.4,1182.9,1217.7,1260.7,1320.6,1373.7,1422.1,1465.7,1501.4,1544.2,1572.6,1591.1,1602.1,1612.6,1630.0,1638.7,1648.7,1657.5,1662.6,
BLYTH132,250.2,245.9,244.3,245.4,246.1,248.8,253.0,260.6,270.3,279.1,289.3,302.8,319.6,337.4,358.1,382.1,409.3,434.6,457.6,476.6,493.4,509.5,521.3,528.6,534.6,538.8,543.6,549.0,553.8,556.5,
BLYTB1,2164.2,2096.6,2045.1,2013.1,1979.6,1961.7,1946.0,1947.0,1952.0,1956.6,1969.5,1988.7,2023.7,2057.1,2106.1,2150.9,2195.9,2233.9,2265.4,2292.3,2313.0,2324.4,2323.0,2315.0,2313.5,2314.6,2309.0,2304.8,2298.7,2289.0,
BRAW_1,1708.9,1666.2,1640.5,1631.2,1619.2,1621.6,1629.6,1654.1,1685.0,1717.7,1764.4,1820.3,1893.9,1969.4,2057.4,2178.0,2287.9,2388.8,2480.1,2554.6,2640.3,2701.0,2742.0,2765.4,2785.5,2814.0,2830.4,2849.8,2867.0,2878.1,
CAMB_01,149.2,146.7,145.4,145.8,145.9,146.8,148.2,151.5,155.8,159.7,164.2,170.2,178.0,186.5,197.4,208.4,221.8,234.1,245.1,254.6,262.0,269.5,274.4,277.0,279.4,280.6,282.0,283.6,284.9,284.5,
CREB_1,2081.4,2026.0,1990.1,1974.2,1955.2,1953.7,1960.2,1988.7,2028.7,2061.3,2104.3,2161.9,2239.5,2318.6,2412.3,2515.6,2627.2,2728.9,2820.5,2895.5,2959.4,3016.2,3052.1,3070.4,3087.6,3100.5,3112.7,3127.9,3140.6,3147.1,
DRAX_1,544.8,530.6,520.7,515.8,509.9,507.1,505.1,507.7,511.3,514.7,519.3,527.0,539.0,551.2,568.4,583.8,604.0,622.2,638.4,652.3,661.2,671.0,676.8,680.1,684.0,685.8,688.3,691.0,693.0,692.5,
ELLA_1,1340.9,1306.3,1284.5,1276.1,1266.3,1268.5,1276.6,1300.2,1332.6,1360.5,1399.7,1446.5,1507.7,1570.9,1644.4,1743.2,1833.2,1915.7,1989.9,2050.6,2120.2,2169.0,2201.1,2217.9,2232.3,2253.6,2264.6,2278.1,2289.9,2296.6,
FERRA2,394.0,384.8,379.3,377.9,376.6,378.4,381.2,387.9,396.0,406.6,420.1,436.8,458.4,481.1,508.2,540.6,571.4,599.2,623.7,644.2,666.2,681.6,690.5,693.1,695.5,700.3,700.9,702.3,703.1,701.8,
Ferrybridge B (_M),436.3,434.2,439.1,449.2,458.8,471.4,484.4,498.2,507.0,537.1,572.4,616.1,668.5,724.2,785.1,864.3,940.1,1010.0,1073.3,1124.8,1181.5,1224.8,1254.7,1269.3,1279.9,1295.3,1303.0,1312.8,1321.9,1327.1,
FOUR_1,109.0,106.6,105.3,105.1,104.6,105.0,105.9,108.2,111.2,113.9,117.1,121.5,127.0,132.8,139.5,145.7,153.1,159.9,165.8,170.8,174.2,177.7,179.6,180.1,180.6,180.0,180.0,180.2,180.2,179.9,
GRIW_1,956.2,930.1,911.8,902.6,892.3,888.3,887.3,895.4,907.5,917.2,931.7,950.8,978.4,1006.5,1042.7,1085.9,1128.2,1166.4,1200.4,1228.8,1258.5,1279.6,1292.3,1298.5,1305.2,1315.5,1320.0,1325.5,1329.7,1330.4,
