GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.2,10.4,15.3,20.4,25.5,29.7,35.6,41.9,49.4,57.9,63.9,73.1,82.5,92.0,101.8,97.7,107.1,116.7,126.3,135.9,135.3,142.7,149.8,156.0,161.4,160.3,164.4,168.6,172.5,176.2
ABNE_P,0.5,0.8,1.1,1.5,1.9,2.3,2.7,3.2,3.8,4.4,5.4,6.2,7.0,7.8,8.7,9.3,10.1,11.1,12.0,12.9,13.5,14.3,15.0,15.6,16.1,15.8,16.2,16.6,17.0,17.4
ABTH_1,3.3,5.5,8.1,10.7,13.4,17.0,20.3,24.0,28.2,33.1,39.5,45.2,51.0,56.8,62.9,69.0,75.7,82.5,89.3,96.1,103.3,109.0,114.3,119.1,123.2,129.4,132.8,136.1,139.3,142.2
ACTL_2;CBNK_H;GREE_H;PERI_H,1.7,2.9000000000000004,4.3,5.6000000000000005,7.0,8.8,10.6,12.4,14.6,17.099999999999998,21.2,24.200000000000003,27.4,30.400000000000002,33.8,37.4,41.0,44.599999999999994,48.400000000000006,52.099999999999994,55.5,58.7,61.5,64.1,66.4,67.8,69.5,71.3,73.0,74.5
ACTL_C;WISD_1;WISD_6,4.6000000000000005,7.700000000000001,11.399999999999999,15.1,18.900000000000002,23.7,28.4,33.400000000000006,39.5,46.3,57.1,65.3,73.7,82.2,91.0,100.9,110.6,120.5,130.5,140.4,150.2,158.4,166.1,173.10000000000002,179.1,183.0,187.7,192.5,196.99999999999997,201.20000000000002
ALNE_P,0.4,0.7,1.0,1.3,1.7,1.8,2.2,2.6,3.1,3.6,3.9,4.4,5.0,5.6,6.1,5.2,5.7,6.2,6.7,7.2,6.6,6.9,7.3,7.6,7.8,7.1,7.3,7.5,7.7,7.8
ALST_3;USKM_1,3.1,5.2,7.7,10.2,12.8,16.1,19.3,22.7,26.8,31.4,37.5,42.800000000000004,48.4,53.9,59.7,65.5,71.80000000000001,78.2,84.7,91.1,98.0,103.4,108.5,113.0,116.9,122.8,126.0,129.2,132.2,134.9
ALVE1,4.4,7.4,10.9,14.5,18.1,21.1,25.3,29.8,35.1,41.1,45.4,51.9,58.6,65.3,72.3,69.4,76.0,82.9,89.7,96.5,96.0,101.3,106.3,110.7,114.6,113.8,116.8,119.7,122.5,125.1
AMEM_1,2.9,4.9,7.3,9.7,12.1,14.8,17.7,20.8,24.5,28.8,34.2,39.2,44.2,49.2,54.5,63.6,69.7,75.9,82.2,88.4,97.3,102.7,107.7,112.2,116.1,122.1,125.2,128.4,131.4,134.2
ARBR_P,0.8,1.3,2.0,2.6,3.3,4.0,4.8,5.6,6.6,7.7,9.5,10.8,12.2,13.6,15.1,16.1,17.7,19.3,20.9,22.5,23.6,24.9,26.1,27.2,28.1,27.6,28.3,29.0,29.7,30.3
