GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
ABNE_P,3.035252884,4.586759333,4.528284831,4.460364809,4.393067984,4.319508172,4.241243079,4.180654885,4.112061466,3.99247737,3.852298245,3.626647446,3.368654863,3.183143784,3.136716373,2.858722001,2.502290428,2.357813771,2.312415041,2.259570756,2.227352816,2.183115279,2.14807213,2.1251883,2.108576665,2.089690704,2.076317931,2.057277275,2.042624133,2.057302942,
ABTH_1,1.225021325,5.906870841,5.762698905,5.810618731,6.181538906,6.715944712,7.252866893,7.792617924,8.335537526,8.88181794,9.431574834,9.985350259,10.54308469,11.10499526,11.57532841,12.00940082,12.38082066,12.75384673,13.04856186,13.26523601,13.46035419,13.47257858,13.48537144,13.4983141,13.51181197,13.52560402,13.53996557,13.55475163,13.57005019,13.58595833,
ABHA1,19.26625289,21.0081296,20.65433429,20.25435081,19.81848777,19.35486244,18.86896994,18.3676575,17.82875448,17.2611646,16.72394422,16.21767443,15.71904999,15.23191369,14.77929119,14.35946359,13.97135888,13.58184958,13.17515506,12.79610528,12.44295217,12.11423159,11.83116556,11.6082584,11.43743281,11.25627978,11.10293542,10.97434994,10.86814851,10.78237169,
ACTL_2,0.134106186,0.134551053,0.134855157,0.135029337,0.135359279,0.135901624,0.136396557,0.136906663,0.137455461,0.138055374,0.138706487,0.139470316,0.140322167,0.141226517,0.142181634,0.143174916,0.144215421,0.145309877,0.146456729,0.147714038,0.149045091,0.150457596,0.151955103,0.153539077,0.155218435,0.156995679,0.158878037,0.160869235,0.162975256,0.16520144,
ALNE_P,0.045848269,0.04600036,0.046104327,0.046163876,0.046276676,0.046462094,0.046631301,0.046805697,0.04699332,0.047198418,0.047421021,0.04768216,0.04797339,0.048282569,0.048609106,0.048948689,0.049304417,0.049678591,0.050070677,0.050500526,0.050955586,0.051438495,0.051950463,0.052491992,0.053066132,0.053673736,0.054317277,0.05499803,0.055718036,0.056479125,
ALVE1,7.797690331,7.25421528,7.05109013,6.826537747,6.585334388,6.33115926,6.066314913,5.793971245,5.50404692,5.213741715,4.937038929,4.674198067,4.414672372,4.160117935,3.920964208,3.696494549,3.486186333,3.289500947,3.105784403,2.934621101,2.775217663,2.626957699,2.499363859,2.399106993,2.322449448,2.241181496,2.172529816,2.115152693,2.067964213,2.030063535,
ARBR_P,0.905503308,0.908507109,0.910560462,0.911736544,0.913964359,0.917626352,0.920968209,0.92441251,0.928118071,0.932168761,0.936565163,0.941722648,0.947474459,0.953580755,0.960029841,0.966736609,0.97376224,0.98115216,0.988895866,0.997385389,1.006372838,1.015910259,1.026021636,1.036716849,1.048056103,1.060056291,1.072766232,1.086211078,1.100431213,1.115462713,
ARMO_P,0.135825496,0.136276066,0.136584069,0.136760482,0.137094654,0.137643953,0.138145231,0.138661877,0.139217711,0.139825314,0.140484775,0.141258397,0.142121169,0.143037113,0.144004476,0.145010491,0.146064336,0.147172824,0.14833438,0.149607808,0.150955926,0.152386539,0.153903246,0.155507527,0.157208415,0.159008444,0.160914935,0.162931662,0.165064681,0.167319407,
AXMI1,1.216692701,1.220728801,1.22348782,1.225068079,1.228061515,1.232982006,1.23747234,1.242100327,1.247079356,1.252522125,1.258429415,1.265359345,1.273087849,1.281292662,1.289958071,1.298969718,1.30840981,1.318339383,1.328744326,1.340151397,1.352227513,1.365042608,1.378628908,1.392999685,1.408235839,1.424360067,1.441437964,1.459503327,1.478610417,1.498807713,
AYRR,0.000429827,0.000431253,0.000432228,0.000432786,0.000433844,0.000435582,0.000437168,0.000438803,0.000440562,0.000442485,0.000444572,0.00044702,0.00044975,0.000452649,0.000455711,0.000458894,0.000462229,0.000465737,0.000469412,0.000473443,0.000477709,0.000482236,0.000487035,0.000492112,0.000497495,0.000503191,0.000509225,0.000515607,0.000522357,0.000529492,
BARKC1,0.570237843,12.4374579,12.67496244,12.91084912,13.14656779,13.38259418,13.61829647,13.85382065,14.08958273,14.32574067,14.49366978,14.66057923,14.82632413,14.95560484,15.08334765,15.17302463,15.26063017,15.26493709,15.2696478,15.27492759,15.28054657,15.28631967,15.2927303,15.2992895,15.30644603,15.31389161,15.32192803,15.33037919,15.33933366,15.3488915,
BARKW3,20.47160866,18.9312075,18.35387973,17.71753032,17.03233724,16.30803665,15.55414706,14.77889693,13.95353506,13.12650428,12.33730444,11.58595494,10.84294919,10.1133775,9.426721683,8.781103555,8.174941659,7.606636438,7.074358518,6.57626033,6.110526602,5.675326688,5.297519533,4.995932366,4.759903408,4.509715134,4.293946607,4.108764452,3.951031732,3.818141723,
BEDD_1,35.58883599,37.52513907,36.67524838,35.72704187,34.69880495,33.6070333,32.46650979,31.29109858,30.03335518,28.76021513,27.53222752,26.36735873,25.21652299,24.07881968,23.01233219,22.00421924,21.06140393,20.14504793,19.26747791,18.44715418,17.68086152,16.96549746,16.3458442,15.85290237,15.46922261,15.0624528,14.71332344,14.41540413,14.16354941,13.95349687,
BESW_1,1.356065142,1.281167932,1.253451046,1.222485812,1.189510625,1.155152027,1.119210606,1.082253788,1.042922836,1.003641171,0.966358958,0.931235627,0.896750939,0.863064677,0.831627776,0.802315045,0.775071758,0.74983628,0.726514297,0.705164169,0.685601707,0.6677564,0.652963309,0.642155628,0.634829999,0.62705754,0.621255027,0.617242815,0.614881456,0.61405603,
BERW,0.14671446,0.147201152,0.147533847,0.147724402,0.148085365,0.1486787,0.149220165,0.149778229,0.150378624,0.151034938,0.151747267,0.15258291,0.153514849,0.154504224,0.155549139,0.156635805,0.157774135,0.158971489,0.160226166,0.161601683,0.163057878,0.164603181,0.16624148,0.167974376,0.169811622,0.171755956,0.173815288,0.175993694,0.178297715,0.180733199,
BICF_1,5.781887465,5.499753475,5.55584018,5.601788017,5.676469833,5.748209227,5.815114188,5.963593129,6.105359326,6.186833748,6.242506803,6.195531424,6.110560666,6.112344304,6.417315403,6.246338706,5.980214348,5.966603931,6.070513455,6.183790776,6.235097497,6.291776379,6.357844324,6.419013244,6.490858194,6.56187671,6.596987469,6.637859758,6.714472226,6.812130913,
BIRK_1,6.722725035,6.282559294,6.118445858,5.936550775,5.74158197,5.536692211,5.322998571,5.103257348,4.869347834,4.635277126,4.412403868,4.201117198,3.992778567,3.788630209,3.597138765,3.417685581,3.249872404,3.093281232,2.947376333,2.811988449,2.686366694,2.570032732,2.470731949,2.393887202,2.336488311,2.275628248,2.225320915,2.184487254,2.152262538,2.127930523,
BISW_1,13.64916533,14.65581107,14.5426407,14.40530841,14.26369478,14.12389314,13.9730846,13.8172591,13.64992481,13.48520076,13.32586355,13.18351673,13.0485412,12.9160598,12.79824021,12.68949286,12.59417998,12.5026392,12.42418593,12.36176471,12.31267561,12.27684765,12.26195864,12.27323171,12.30830589,12.34529841,12.39807582,12.46577999,12.54790973,12.64407379,
