GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1089.8,1350.2,1726.9,2227.9,2890.8,3817.6,5025.0,6596.7,8600.8,9885.1,11119.0,12415.1,13800.6,15255.3,14795.2,14225.9,13526.0,12504.7,11629.9,10619.0,9493.4,8223.5,6820.2,5276.9,3759.7,2165.2,451.7,0.0,0.0,0.0
ABNE_P,66.3,80.3,99.2,122.7,151.8,190.7,238.9,299.2,373.2,428.9,482.5,538.7,598.8,661.9,642.0,617.3,586.9,542.6,504.6,460.8,411.9,356.8,295.9,229.0,163.1,93.9,19.6,0.0,0.0,0.0
ABTH_1,370.7,455.4,575.3,730.8,932.6,1211.1,1568.6,2028.7,2609.4,2999.0,3373.4,3766.6,4186.9,4628.3,4488.7,4316.0,4103.6,3793.8,3528.4,3221.7,2880.2,2494.9,2069.2,1601.0,1140.6,656.9,137.0,0.0,0.0,0.0
ACTL_2;CBNK_H;GREE_H;PERI_H,750.0,874.8,1014.8,1147.2,1263.6,1374.0,1442.8,1455.6,1387.2,1594.4,1793.2,2002.4,2225.6,2460.4,2386.0,2294.4,2181.6,2016.8,1875.6,1712.4,1531.2,1326.4,1100.0,851.2,606.4,349.2,72.8,0.0,0.0,0.0
ACTL_C;WISD_1;WISD_6,3113.1000000000004,3611.1000000000004,4148.1,4619.4,4978.200000000001,5243.1,5248.200000000001,4907.700000000001,4089.8999999999996,4700.700000000001,5287.5,5904.0,6562.799999999999,7254.599999999999,7035.599999999999,6765.0,6432.0,5946.6,5530.5,5049.6,4514.4,3910.5,3243.2999999999997,2509.5,1788.0,1029.6,214.79999999999998,0.0,0.0,0.0
ALNE_P,13.7,17.2,22.2,29.1,38.4,51.6,68.9,91.7,121.0,139.0,156.4,174.6,194.1,214.5,208.1,200.1,190.2,175.9,163.6,149.3,133.5,115.7,95.9,74.2,52.9,30.5,6.4,0.0,0.0,0.0
ALST_3;USKM_1,642.6,800.6,1033.0,1346.8,1766.8,2358.6,3136.2,4155.0,5461.4,6276.8,7060.4,7883.4,8763.2,9686.8,9394.8,9033.2,8588.8,7940.2,7384.8,6742.8,6028.2,5221.8,4330.8,3350.8,2387.4,1374.8,286.8,0.0,0.0,0.0
ALVE1,1444.5,1763.7,2206.2,2769.0,3486.0,4463.5,5701.0,7275.5,9242.6,10622.8,11948.8,13341.6,14830.5,16393.7,15899.3,15287.5,14535.4,13437.9,12497.8,11411.5,10201.9,8837.2,7329.2,5670.7,4040.3,2326.8,485.4,0.0,0.0,0.0
AMEM_1,556.6,657.5,779.6,910.3,1048.7,1211.4,1378.9,1551.8,1722.2,1979.3,2226.4,2485.9,2763.3,3054.6,2962.5,2848.5,2708.4,2503.9,2328.7,2126.3,1900.9,1646.6,1365.6,1056.6,752.8,433.5,90.4,0.0,0.0,0.0
ARBR_P,26.4,32.5,41.0,52.1,66.5,86.4,111.9,144.8,186.2,214.0,240.7,268.8,298.8,330.3,320.3,308.0,292.9,270.7,251.8,229.9,205.5,178.1,147.7,114.3,81.4,46.9,9.8,0.0,0.0,0.0
ARDK_P;CLAC_P,14.8,18.2,23.0,29.4,37.6,49.0,63.4,82.4,106.4,122.2,137.4,153.4,170.6,188.6,182.8,175.8,167.2,154.6,143.8,131.2,117.4,101.6,84.4,65.2,46.4,26.8,5.6,0.0,0.0,0.0
AXMI1,691.9,847.1,1064.1,1342.7,1700.5,2191.0,2815.9,3615.3,4618.7,5308.4,5971.0,6667.0,7411.0,8192.2,7945.2,7639.5,7263.6,6715.2,6245.4,5702.5,5098.1,4416.1,3662.5,2833.8,2019.0,1162.7,242.6,0.0,0.0,0.0
AYRR,20.6,25.5,32.6,41.9,54.2,71.4,93.8,122.8,159.8,183.7,206.6,230.7,256.5,283.5,274.9,264.4,251.4,232.4,216.1,197.3,176.4,152.8,126.7,98.1,69.9,40.2,8.4,0.0,0.0,0.0
BAGA,187.2,232.3,298.0,385.7,502.2,665.5,878.9,1157.3,1513.0,1738.9,1956.0,2183.9,2427.7,2683.6,2602.6,2502.5,2379.4,2199.7,2045.8,1868.0,1670.0,1446.6,1199.8,928.3,661.4,380.9,79.5,0.0,0.0,0.0
BAIN,59.3,73.8,95.0,123.6,161.7,215.4,285.7,377.8,495.7,569.7,640.8,715.5,795.4,879.2,852.7,819.9,779.5,720.7,670.3,612.0,547.1,473.9,393.1,304.1,216.7,124.8,26.0,0.0,0.0,0.0
BARKC1;BARKW3,1495.6,1771.4,2109.2,2478.2,2878.4,3359.6,3873.4,4427.0,5005.6,5753.2,6471.4,7225.6,8032.0,8878.6,8610.8,8279.6,7872.2,7277.8,6768.6,6180.2,5525.2,4786.2,3969.4,3071.2,2188.2,1260.2,262.8,0.0,0.0,0.0
BEAU_P;ORRI_P,24.0,30.2,39.0,51.2,67.6,90.6,121.2,161.2,212.6,244.4,275.0,307.0,341.2,377.2,365.8,351.8,334.4,309.2,287.6,262.6,234.8,203.4,168.6,130.4,93.0,53.6,11.2,0.0,0.0,0.0
BEDDT1,791.1,935.8,1111.9,1302.2,1506.3,1748.9,2003.5,2272.3,2545.8,2925.9,3291.2,3674.8,4084.9,4515.5,4379.3,4210.8,4003.6,3701.3,3442.4,3143.2,2810.0,2434.1,2018.8,1561.9,1112.9,640.9,133.7,0.0,0.0,0.0
