GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.332790758,0.576376686,0.780205894,1.006106423,1.282601211,1.608671581,2.002653708,2.460303106,2.968886322,3.528403356,4.15052654,4.838439238,5.581530239,6.379799542,7.233247147,8.145410126,9.109214335,10.12819685,11.20235766,12.33169678,13.52328834,14.76298406,16.05785808,17.40791041,18.81314104,20.27354997,21.7891372,23.35990274,24.98584657,26.66696871
ABNE_P,0.02944265,0.050993173,0.069026342,0.089012204,0.113474239,0.142322323,0.177178693,0.217667831,0.262663183,0.31216475,0.367205206,0.428066188,0.493808903,0.564433351,0.639939531,0.720640375,0.805910019,0.896061396,0.991094505,1.091009347,1.196431785,1.306110091,1.42067013,1.540111901,1.664435405,1.793640641,1.92772761,2.066696311,2.210546744,2.35927891
ABTH_1,0.066659161,0.11545028,0.156277988,0.201526659,0.256909539,0.322222582,0.40113859,0.492807375,0.594678384,0.706751616,0.831365081,0.969156416,1.118000161,1.277896313,1.448844873,1.63155433,1.824607707,2.028713492,2.243871685,2.470082287,2.708762272,2.957077691,3.216445517,3.486865752,3.768338394,4.060863446,4.364440905,4.679070773,5.004753048,5.341487733
ACTL_2;CBNK_H;GREE_H;PERI_H,0.017537539,0.030374127,0.041115599,0.053020195,0.067591027,0.084774412,0.105536638,0.129654028,0.156455548,0.185941198,0.218726092,0.254977988,0.294137692,0.336205204,0.381180524,0.42925005,0.480040986,0.53373973,0.590346282,0.649860642,0.712655606,0.777985582,0.846223367,0.917368959,0.991422359,1.068383568,1.148252584,1.231029408,1.316714041,1.405306481
ACTL_C;WISD_1;WISD_6,0.017417308,0.030165891,0.040833724,0.052656706000000005,0.067127644,0.084193226,0.104813113,0.12876516100000002,0.155382938,0.18466644399999999,0.217226575,0.253229939,0.292121177,0.33390028699999996,0.37856726999999996,0.426307247,0.476749976,0.530080579,0.586299055,0.645405403,0.7077698649999999,0.7726519599999999,0.8404219270000001,0.911079768,0.9846254809999999,1.061059069,1.1403805280000001,1.222589861,1.307687067,1.3956721449999998
ALNE_P,0.010925518,0.018922442,0.025614153,0.033030466,0.042107788,0.052812676,0.065747106,0.080771732,0.097468515,0.115837455,0.136261754,0.158845923,0.183241595,0.20944877,0.237467448,0.267413752,0.299055436,0.332508624,0.367773316,0.40484951,0.443969452,0.484668653,0.527179357,0.571501564,0.617635275,0.665580489,0.715337206,0.766905427,0.82028515,0.875476377
ALST_3;USKM_1,0.135947753,0.235454602,0.318720505,0.411002723,0.523953111,0.657155531,0.81810046,1.005053991,1.212814405,1.441381701,1.695524122,1.9765421,2.280100867,2.606200422,2.954840766,3.327466822,3.721188744,4.137451455,4.576254955,5.037599244,5.524374166,6.030800033,6.559766688,7.111274133,7.685322366,8.281911388,8.9010412,9.5427118,10.20692319,10.89367537
ALVE1,0.286871852,0.496847474,0.67255206,0.867282537,1.105626211,1.386704962,1.726324918,2.120827251,2.559235486,3.041549625,3.577831434,4.170825034,4.811383363,5.499506419,6.235194201,7.021495734,7.852312972,8.730694939,9.656641633,10.63015305,11.65732725,12.72596812,13.84217373,15.00594406,16.21727912,17.47617891,18.78264342,20.13667266,21.53826663,22.98742533
AMEM_1,0.032087495,0.05557391,0.075227006,0.097008206,0.123667675,0.155107194,0.193094725,0.237221018,0.286258321,0.340206633,0.400191395,0.466519544,0.538167953,0.615136623,0.697425552,0.785375785,0.878305236,0.976554947,1.080124918,1.18901515,1.303907726,1.423438479,1.548289491,1.678460764,1.813952298,1.954764092,2.100896146,2.25234846,2.409121035,2.57121387
ARBR_P,0.02899222,0.050213053,0.067970341,0.087650449,0.11173825,0.140145001,0.17446812,0.214337833,0.258644823,0.307389089,0.361587507,0.421517406,0.486254354,0.555798352,0.630149398,0.709615638,0.793580783,0.882352976,0.975932219,1.074318511,1.17812814,1.28612853,1.398935969,1.516550457,1.638971994,1.766200581,1.898236216,2.0350789,2.176728634,2.323185416
ARDK_P;CLAC_P,0.001046186,0.00181194,0.002452713,0.00316287,0.00403208,0.005057138,0.00629569,0.00773439,0.00933321,0.011092148,0.013047901,0.015210474,0.017546509,0.020056007,0.022738968,0.025606511,0.028636397,0.031839745,0.035216556,0.03876683,0.042512805,0.046410003,0.050480665,0.054724788,0.059142375,0.063733424,0.068497935,0.07343591,0.078547346,0.083832246
