LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,177.87331753714878,794.8840332204152,3255.280905286765,6079.478203192452,8794.943902368681,9836.96281924804,10194.783601817142
E06000002,288.6724321409317,1177.3763418301314,4682.8486650085,8740.537759278508,12651.478705367765,14194.786068094303,14726.192471714085
E06000003,264.40573014723543,1206.2577796165574,4829.802964153866,8997.172944946773,12977.442742120047,14525.885056282732,15061.084234602182
E06000004,311.65541721698344,1511.3409237479032,6306.709570811454,11814.57126344172,17110.16733186264,19141.64708435399,19832.15779131129
E06000005,228.4816992691697,959.1838185174306,3769.1417711599406,7003.408116010627,10097.863256274331,11308.703207005832,11732.437390355057
E06000006,180.7507178830314,975.5257211853144,4128.951211146567,7692.719707087288,11074.076643488892,12310.371487859938,12744.733505314878
E06000007,316.7503401614126,1642.676970891492,6896.580537421805,12856.508022861148,18521.128541783768,20616.62237556357,21351.52033749478
E06000008,248.2804220063016,1146.48708947102,4671.99474286168,8664.664628856526,12450.283382778598,13848.82102780073,14342.877002354351
E06000009,443.6441224451396,1565.380508422105,5772.75591487248,10702.94276881656,15429.973670907386,17386.085780970934,18083.47107271376
E06000010,556.0700473120347,2430.4759481241244,10044.812187891052,18780.81318515665,27187.42325233217,30420.03945360138,31551.10316065511
E06000011,738.2754083833502,3489.217017246952,13090.980005441854,24068.69417181984,34324.625338335136,38388.9448075457,39877.1699215606
E06000012,337.32454283342133,1355.0367878930756,5508.4527581749,10953.124665372396,16346.200224153556,18936.768708502303,19494.88733748061
E06000013,321.22931105992075,1483.6834705464105,5847.114714117335,11528.761399774672,17068.510759444798,19743.991763653183,20333.276321454643
E06000014,515.5341737089373,1846.2877162578247,6857.689805086207,12709.689138400669,18325.666676514807,20623.53039051385,21425.09485655971
E06000015,643.3644076053665,2264.3419811888,8666.375325165245,18530.853961823846,28877.221596579948,34968.45675980797,35915.930395159194
E06000016,720.3018551756868,2613.374405856366,9899.250840188615,21178.20286357468,33037.80898983046,40114.08248981726,41283.1042373266
E06000017,85.82376037652735,377.06918647303655,1331.1015498193606,2764.3564248181456,4224.282822091234,5089.451920747469,5238.688991417508
E06000018,760.5118911924577,2703.233500287354,10227.875261118032,21894.187236376743,34185.961599500384,41523.380474564685,42734.69931741527
E06000019,561.4321668249173,2201.13685437608,6887.802494886972,13786.807406185046,20594.24421487705,24712.528362069737,25538.17853520024
E06000020,259.1935376341184,1327.9322413485322,5497.406132958353,11833.292060491623,18435.23733078505,22251.15640563791,22816.815196960488
E06000021,534.875083166577,2158.047558350196,8498.065337662274,18206.224796947296,28361.124965297004,34289.40545917388,35193.33079021644
E06000022,567.3282571583486,1866.85852040256,6533.442856705652,13683.482571863897,21102.54211788428,25532.258791158463,26283.1897407118
E06000023,1363.8297518384572,4450.163593992937,16040.577584667022,34092.279234686466,53080.09806789457,64531.36028952301,66472.7685915709
E06000024,559.1334052191767,2125.8107719131303,7847.276471898055,16589.93638812024,25671.047308412333,31037.8014984296,31910.69620926236
E06000025,621.0841753361526,2366.456523139332,8605.505141876449,18117.67817534324,27967.37097284176,33794.96206708532,34756.032549056
E06000026,660.0899561920066,2420.6125625229643,9294.791555203046,19884.140657140404,30991.73540558416,37527.379261927126,38542.15543451049
E06000027,577.964884811964,1676.2546851935972,5785.247434528855,12177.531525075749,18889.59692737133,22933.74512630685,23618.265221439284
E06000030,521.8713375031871,1865.5864056321489,6998.369488241228,14913.966708466796,23214.288723348065,28129.944035929268,28918.62863210193
E06000031,354.01901591871336,1539.4890664314253,6067.4159820034265,13000.969642811317,20247.33781280744,24496.43624046141,25159.10610095815
E06000032,472.2576941112664,1654.7712358983586,6192.618542635607,13193.225128207165,20534.232748296334,24889.09060219505,25594.328607412
E06000033,496.08397363218864,1715.4333118459183,6428.228598906904,13692.488014583336,21303.439552498818,25804.47666225659,26519.91214741034
E06000034,588.6990628631446,1583.6270826436669,5259.362717356664,10998.793871586004,17027.742431339342,20673.351376173057,21290.32086564209
E06000035,509.87874410377,2148.06116936528,8503.412693967577,18246.52357686321,28442.253072465177,34413.521167478284,35335.35081445967
E06000036,313.7000094500468,1017.6082712217363,3717.021475636597,7885.031870474922,12256.804554901097,14846.85656141883,15260.403517574285
E06000037,475.95454884434434,1648.6187041324977,5247.313693574434,10670.789841245543,16158.73541581044,19496.915692761795,20138.461128683903
E06000038,559.4084229987149,1599.739532076459,5475.142488980716,11547.96912483222,17949.163146312745,21853.42208233795,22540.528062748897
E06000039,380.4423768576477,1141.9798134023356,3985.065887304473,8441.864640379781,13139.759766582756,15996.73531245384,16489.862837788758
E06000040,336.067013815084,1318.4360514707346,4973.164826344067,10584.548756616288,16439.29699637041,19904.51909171264,20463.46633044684
E06000041,283.2176697441695,1217.7022859694907,4786.409098655543,10258.022407764292,15980.141339934991,19337.4108166542,19858.731918026817
