LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,37329.13246339928,37334.04026068027,33978.60092804119,23805.98896966613,11731.172592446786,2651.8701090225736,389.74025133435
E06000002,52765.87964308087,52791.34357478075,48049.36774019191,33668.85204836601,16588.407602148916,3750.5235830902,551.1794212684812
E06000003,54186.039888408086,54217.11964098938,49346.68644436496,34588.98219483502,17052.112127486747,3866.523822312642,568.2065700440703
E06000004,72746.2290308949,72792.405014105,66250.83940217747,46434.946311714695,22895.60286842645,5192.077190709246,762.8789915272899
E06000005,42015.976215830575,42000.28427637142,38227.28785828229,26782.152755010968,13191.955801982462,2978.796162686583,437.7752085728784
E06000006,47740.6489837879,47736.8416395009,43336.13981871928,30288.07514689955,14854.388003904216,3348.0283759238696,489.03159898164046
E06000007,79443.9065215188,79432.98561294415,72111.48740363821,50400.43314010017,24716.8329702816,5570.467020296245,813.6571245430231
E06000008,53143.40009360418,53126.903525595546,48230.842033175264,33711.36227545964,16531.114137847897,3725.963643390137,544.2314142277189
E06000009,61415.20832981724,61458.954573370655,55808.72094314512,39025.70775597971,19118.65734266373,4307.524103654552,629.1704215852366
E06000010,113658.2250673768,115311.1416456852,104897.73316716027,73453.76133237126,36164.31257790209,8167.799178376357,1201.849135114696
E06000011,137214.80828144596,137498.93983421894,125168.5349272705,87772.11327705267,43254.3303205468,9815.555308392217,1442.7970395070338
E06000012,61628.78191586541,62340.76682684463,56696.05751953775,40409.39011467192,20357.24443710216,5237.471848908672,759.6573582741554
E06000013,62819.13267405394,63574.30720072983,57830.33003472411,41266.44516971767,20813.44514479436,5387.363055517421,781.1886652411715
E06000014,73799.95784418896,73933.52597993679,67300.61753998634,47182.05315665805,23247.202450830737,5267.864119248119,774.1817310433521
E06000015,97985.19647216854,98849.71482999156,90511.25923525856,66020.58999551577,34395.40847116127,9830.029695149193,1416.864564146867
E06000016,110321.88173378278,110504.47700713277,101209.22676927363,73840.53849293121,38450.10574115987,10979.481156130154,1582.294609583782
E06000017,13755.875885777265,13761.966611211625,12605.614929272288,9204.90937301991,4796.9598413574895,1375.5239213999978,198.4418757555424
E06000018,113581.64415399576,114394.79205059203,104767.06372580703,76433.92176803263,39796.604783839866,11364.49174606608,1637.792341281671
E06000019,61652.49786787202,62000.12098052673,56810.74215051044,41493.07199377557,21583.14205255376,6172.467301565618,890.0838772960875
E06000020,64372.08156304959,64665.32509394784,59214.79937021781,43195.46037698363,22517.33809150441,6438.295757144887,928.0666922895084
E06000021,97631.5370761985,98130.091928916,89862.74670292609,65547.1834623045,34155.559561466915,9756.74358266053,1406.1456184858844
E06000022,69130.83131469786,69222.06460658497,63403.39561718424,46272.531086296935,24098.431991511905,6889.735488361632,993.2345266979712
E06000023,174389.2755743564,174423.59100387842,159724.3269896758,116536.43475875272,60668.08377426396,17339.423178583693,2499.390799623948
E06000024,86034.4386003934,86100.57477307066,78856.07292568943,57543.352334133495,29980.543181539702,8574.225364038855,1236.1262907127464
E06000025,93186.17790310938,93245.75467893596,85402.82842544315,62315.84630780802,32459.08507904271,9276.07636885572,1337.1235228110418
E06000026,106208.31331750636,106193.49688495656,97236.88816197956,70926.85832414919,36952.09094238695,10560.380516691475,1522.0912058493827
E06000027,61732.32699375817,61834.78922075362,56636.73464678407,41327.50655392411,21518.38930502325,6146.5591747873705,885.902563441889
E06000030,78389.87061905798,78450.08059299843,71848.12186972366,52416.458536868886,27303.76774392895,7799.064843308094,1124.0665522672596
E06000031,69478.90598070162,69482.95128924662,63629.79609000187,46419.84002541495,24187.788604738696,6913.795796629723,996.6038538629364
E06000032,69051.44005739401,69161.64001665317,63341.88856324156,46208.29422167507,24065.052881757525,6870.67090278646,990.1318119702848
E06000033,72255.67732087389,72187.99014858683,66090.43554630276,48207.57703441908,25107.20358995587,7178.293059371164,1034.6864383859804
E06000034,55351.56846787311,55406.317602739095,50749.01072026573,37034.40936472741,19286.445849129494,5511.844140458873,794.5369048531793
E06000035,97952.00363141389,97997.80964863511,89738.99142128024,65461.21328860631,34109.470203708064,9747.756658670069,1405.0030189511265
E06000036,41329.681372658924,41355.10981347448,37874.73568573142,27632.87846715072,14395.711090805433,4113.580343923185,592.9326878786072
E06000037,49496.75142288333,49585.21350323936,45431.070568435214,33175.30780203532,17260.502660861668,4935.241127891722,711.5994265175467
E06000038,57577.2246139392,57704.13391204332,52858.27083893064,38572.161889397685,20073.53702814641,5729.4860981761485,825.6810446261344
E06000039,42624.08964857424,42657.79890901844,39069.09880096138,28506.839758552807,14839.340079235915,4238.3320579253295,610.8829709662617
E06000040,55363.163606391085,55402.1018955322,50739.62042890275,37024.39368505871,19291.523195396483,5517.077745186552,795.3775721912046
E06000041,54845.451016699735,54851.794936409344,50232.53285210687,36650.490013439136,19101.828110647704,5463.340081562073,787.6328068416757
E06000042,92581.34258458175,92623.73275366344,84823.70400001596,61882.48223663159,32246.21232710326,9216.776386898657,1328.5334564309333
E06000043,134523.70173064747,134366.43423335472,123021.32168328697,89755.66224641049,46729.04155830722,13367.845524433764,1927.196377368996
E06000044,86215.96871936697,86327.84132299582,79054.76347841963,57675.72254427569,30032.198189383696,8581.5412404408,1236.8473810655832
E06000045,83443.97563923817,83581.94722897321,76569.67742334267,55887.853078618566,29061.78767385851,8293.748848597676,1195.2645624303689
E06000046,63638.81220350253,63711.75869759604,58358.21011404666,42598.83155191472,22187.33502264419,6348.446969561663,915.388895061694
E06000047,210861.24932201632,211128.88993925063,192160.3045534145,134736.09272681296,66468.52604376925,15117.245638312495,2221.5916736212616
E06000049,143755.39242689015,143761.33456628473,130532.1749163359,91255.759577447,44724.907133274064,10074.618643286216,1471.5858422384506
E06000050,129561.28129261086,129541.38679059768,117618.51888369716,82224.66085020531,40301.81346262384,9078.45143268738,1326.0795293423164
E06000051,104454.38358066214,105146.8280353314,96431.21114451856,69513.0084060209,35597.0742998168,9375.054338847964,1355.6202255639903
E06000052,178838.50200682093,179429.75476097857,164477.17837363732,120209.344813519,62430.95521014789,17844.481212568942,2573.264387767013
E06000053,,611.4754429092534,561.3331226974747,411.36918588175047,212.57776917367275,60.76214520896752,8.768137848207632
E06000054,159374.3909748312,159624.87739820415,146246.40434132086,106795.72235204132,55577.87028422868,15899.172846901727,2292.684341970954
E06000055,61297.68367531728,61363.00549709918,56202.18324086884,41015.90442705973,21366.702726232976,6111.156124351024,881.0660800478661
E06000056,97327.00680320377,97357.25507630744,89164.46613468998,65073.843618809326,33915.01549835207,9708.596029682394,1400.0101352758911
E06000057,118191.07281990696,118441.50287810684,107832.44837010742,75643.05030481692,37269.23941599552,8466.578106266848,1244.2603538292894
E06000058,169763.47990514414,170042.27797843734,155740.41297355446,113627.8527672958,59171.04903532784,16897.829607158856,2435.305380365647
E06000059,143823.36227239025,143994.41293310214,131905.9677591805,96303.69843998672,50148.86384500576,14352.374600297204,2069.7095008607
E07000004,65103.08789698395,65174.68055813682,59700.1344764245,43582.69265383132,22699.440950339696,6496.704102176971,936.8629948950786
E07000005,34491.65641826045,34508.877747090766,31604.151658501338,23064.86242534008,12021.95048564973,3441.855130340557,496.3229196032248
E07000006,25887.361040314107,25883.635224307887,23703.57710561617,17298.564677026494,9019.630498555358,2583.645396398321,372.6146041392437
E07000007,61409.8853837766,61462.22954444836,56293.4486789709,41082.96542298498,21402.024040980563,6121.44113530648,882.5606201408649
