LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,2058.8195247710523,4163.908117177542,6202.269131423128,6022.265993137818
E06000002,0.0,0.0,0.0,2930.5553977771765,5927.525254809796,8829.064445195336,8572.795504334948
E06000003,0.0,0.0,0.0,2978.211452432636,6026.073631704347,8976.635837887967,8718.967753956216
E06000004,0.0,0.0,0.0,3963.548572443024,8017.558726645664,11943.154964557843,11596.912484246031
E06000005,0.0,0.0,0.0,2343.869715566873,4741.041214520911,7061.379441428637,6857.55239259048
E06000006,0.0,0.0,0.0,2583.107801175224,5200.958198198344,7731.204184314797,7483.591688647699
E06000007,0.0,0.0,0.0,4313.4899431978265,8684.699976194175,12909.86716276602,12495.905628480932
E06000008,0.0,0.0,0.0,2882.138509460921,5802.520339431123,8624.392713159352,8347.49282138366
E06000009,0.0,0.0,0.0,3469.6312198110827,6987.059572092893,10385.000501159884,10051.59839013071
E06000010,0.0,0.0,0.0,6408.6122083838245,12973.374882924783,19330.308895969232,18768.582015114607
E06000011,0.0,0.0,0.0,7652.588192164541,15504.357333721133,23095.87388734917,22454.74018719605
E06000012,0.0,0.0,0.0,1714.4602600715498,3459.9934916928664,5148.495589741469,4968.130259162089
E06000013,0.0,0.0,0.0,1671.8018087427863,3377.7859176339043,5027.060833205781,4853.150215312915
E06000014,0.0,0.0,0.0,4124.320011704611,8345.372577267555,12429.675935660578,12070.794397865302
E06000015,0.0,0.0,0.0,278.33898601022,560.8543917180631,835.3091602486438,793.9859567918731
E06000016,0.0,0.0,0.0,327.08193886709387,659.5724389147347,982.3329556342736,934.1648253221524
E06000017,0.0,0.0,0.0,30.92369382136961,62.380854848297176,92.91345902340024,88.44645636985697
E06000018,0.0,0.0,0.0,335.6762726125652,676.9086448769656,1008.1038422023636,958.5305792919193
E06000019,0.0,0.0,0.0,165.78517978144845,334.82366045950835,498.6362167625539,475.420736572141
E06000020,0.0,0.0,0.0,179.2860154483066,361.24830859105936,538.1118033054316,511.5487530049266
E06000021,0.0,0.0,0.0,288.1425170551088,580.5967967095871,864.7524783701103,822.0491057161001
E06000022,0.0,0.0,0.0,190.9598300660487,385.0200435003212,573.3583294411361,545.3575024610635
E06000023,0.0,0.0,0.0,479.950006479836,967.7173456990464,1441.149407681586,1370.2947328828227
E06000024,0.0,0.0,0.0,233.928399617615,471.556044514552,702.3061433655881,667.8909683824505
E06000025,0.0,0.0,0.0,266.3937285542856,537.0166377690963,799.7901816611699,760.6982023636809
E06000026,0.0,0.0,0.0,298.7852050548652,602.0369155844132,896.6514167904977,852.27466289069
E06000027,0.0,0.0,0.0,180.2364919079861,363.3269068660076,541.0047312454178,514.3860491578827
E06000030,0.0,0.0,0.0,230.97068686240144,465.5257359297509,693.3026484093158,659.1323793791962
E06000031,0.0,0.0,0.0,195.8069052148447,394.6236135248269,587.7797311330065,558.79096412792
E06000032,0.0,0.0,0.0,208.3246335740464,419.9379853096832,625.4123700143987,594.6578726197081
E06000033,0.0,0.0,0.0,193.3774162883276,389.7359549956201,580.4119549552128,551.7258329497116
E06000034,0.0,0.0,0.0,157.619948960077,317.60530538937303,472.8792981627062,449.4983037220577
E06000035,0.0,0.0,0.0,279.50516928045573,563.2934195639411,839.0083872671063,797.6585269738953
E06000036,0.0,0.0,0.0,119.0685583552328,239.9224816536367,357.2845959807613,339.60931380513404
E06000037,0.0,0.0,0.0,134.47166267809365,271.4345071074233,404.1856835044406,384.9687284996605
E06000038,0.0,0.0,0.0,175.25791131717526,353.45385678843314,526.3052843571697,500.520312693513
