LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,0.0461362649669874,0.0913847369741664,0.1333694376943546,0.1269334968853972
E06000002,0.0,0.0,0.0,0.0456188273172487,0.0903680808927226,0.1318829475264402,0.125518049663146
E06000003,0.0,0.0,0.0,0.0454867538696948,0.090139394438856,0.1315616490642721,0.1252545740314413
E06000004,0.0,0.0,0.0,0.0457523472382046,0.0906372854908673,0.1322831970550703,0.1259003019011918
E06000005,0.0,0.0,0.0,0.04571608959387,0.0905652077050424,0.1321642258115173,0.125807776538801
E06000006,0.0,0.0,0.0,0.0455969032167518,0.0899116913039378,0.1309498735483626,0.1242427035739036
E06000007,0.0,0.0,0.0,0.0455787780586644,0.0898726546465197,0.1308936507136385,0.1241842093017334
E06000008,0.0,0.0,0.0,0.0452313343178454,0.0891822100170064,0.1298710524970212,0.1232083138467604
E06000009,0.0,0.0,0.0,0.043675811769261,0.086138792872961,0.1254418362500254,0.1190090623686921
E06000010,0.0,0.0,0.0,0.04632742900688,0.0918551377217963,0.1341063187388474,0.1276374815766151
E06000011,0.0,0.0,0.0,0.0441233745656084,0.0875489883358061,0.1277773918022721,0.1217664817569416
E06000012,0.0,0.0,0.0,0.0228266799225672,0.0451160709618651,0.065775191171139,0.0622125839943558
E06000013,0.0,0.0,0.0,0.0213540375135056,0.042254245655922,0.0616141442170908,0.0583036413513287
E06000014,0.0,0.0,0.0,0.0445722959038587,0.0883272123829491,0.128893212669829,0.1226889425980037
E06000015,0.0,0.0,0.0,0.0023059618170482,0.0045507091508468,0.0066406683390198,0.0061871447722831
E06000016,0.0,0.0,0.0,0.0023278847275978,0.0045974673749716,0.006708892188218,0.0062535821083602
E06000017,0.0,0.0,0.0,0.0017382425421451,0.0034340053911309,0.005011231284,0.0046756340546029
E06000018,0.0,0.0,0.0,0.0023018306426835,0.0045460219165009,0.0066334623895727,0.0061823261154098
E06000019,0.0,0.0,0.0,0.0018753289581051,0.0037091283451158,0.0054118942758155,0.0050574513346194
E06000020,0.0,0.0,0.0,0.0023321835713128,0.004602188640007,0.0067167385832331,0.0062586106903655
E06000021,0.0,0.0,0.0,0.0024309298263889,0.0047971952716986,0.0070006295954069,0.0065230845616106
E06000022,0.0,0.0,0.0,0.0021415445012256,0.0042287732205482,0.0061700411828166,0.005752433596566
E06000023,0.0,0.0,0.0,0.0021324820340237,0.0042110936154649,0.0061446454879123,0.005726909923666
E06000024,0.0,0.0,0.0,0.0021694585492335,0.0042829803877991,0.006249835286546,0.0058257866553231
E06000025,0.0,0.0,0.0,0.0022649888728268,0.0044717059784524,0.0065251424988853,0.0060832036712502
E06000026,0.0,0.0,0.0,0.0023057931462546,0.0045502304421861,0.0066399943080801,0.0061863549386792
E06000027,0.0,0.0,0.0,0.0022607219587182,0.0044632855748725,0.006511716722243,0.0060687352280113
E06000030,0.0,0.0,0.0,0.0023645404048004,0.0046674670934365,0.0068107189912719,0.0063467694424112
E06000031,0.0,0.0,0.0,0.0023046088241243,0.0045487851954024,0.0066382733216929,0.0061857971767318
E06000032,0.0,0.0,0.0,0.0024027741403189,0.0047436046186036,0.0069219027590658,0.0064511808691103
E06000033,0.0,0.0,0.0,0.0021594815378248,0.0042625030335766,0.0062196477213455,0.0057951582643842
E06000034,0.0,0.0,0.0,0.0022132970706552,0.0043678364529217,0.0063718237700661,0.0059368174307121
E06000035,0.0,0.0,0.0,0.0023457685973288,0.0046299752734013,0.0067568420094695,0.0062965889796854
E06000036,0.0,0.0,0.0,0.0023178019585882,0.0045740107804497,0.0066737879771599,0.0062179474168603
E06000037,0.0,0.0,0.0,0.0019417792356041,0.003838542293776,0.0056001525447618,0.0052280540821802
E06000038,0.0,0.0,0.0,0.0022914188216282,0.0045259969392527,0.006603261600382,0.00615543706376
E06000039,0.0,0.0,0.0,0.0022492039533944,0.0044414131518319,0.0064803318978514,0.0060398987692015
E06000040,0.0,0.0,0.0,0.0021942955148909,0.0043317827537525,0.0063213405682569,0.0058917814930455
E06000041,0.0,0.0,0.0,0.0022378925724851,0.0044169229734828,0.0064458355595351,0.0060065360104767
E06000042,0.0,0.0,0.0,0.0023120647047781,0.0045632604976125,0.0066589637886519,0.0062045114667626
E06000043,0.0,0.0,0.0,0.0019754802347761,0.0039008210758378,0.0056918832357417,0.0053044336213874
