LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,669.4582839708402,763.948443357435,1090.6420863108342,2323.3934573264505,4414.746120595572,6245.602959922677,7364.351039095423
E06000002,994.0649494594117,1134.3751596207444,1600.4817756214538,3350.614159834792,6315.449984865587,8913.245839527643,10501.231956746302
E06000003,616.2338817365447,784.3663987710408,1279.2946528842556,3087.3468296428664,6110.889583290837,8762.54966330856,10384.33267446322
E06000004,1257.3108254084648,1444.1154960361414,2081.8034611204607,4485.439675202954,8562.564742341194,12131.229365167674,14311.96899080256
E06000005,707.2080468864908,834.0554038609921,1218.002153773662,2625.626868905112,4985.122087039636,7052.872387369034,8316.878178389883
E06000006,630.6480833374414,801.3171841581998,1257.1398288945531,2932.3557557477925,5734.25729587359,8191.620285867951,9690.065120770843
E06000007,888.2594660053004,1169.3084185177154,1924.371225397988,4708.034038555468,9368.248759193548,13457.892950311008,15951.8894761447
E06000008,882.116801627214,1030.7244508519398,1506.0156138965542,3273.7883204970826,6254.768183052085,8865.791778505372,10461.7497622173
E06000009,1255.8678955246005,1437.4952081890283,2000.3416772051207,4065.53102778104,7536.286556620626,10588.144747253124,12457.549455096952
E06000010,1715.2159028535464,2038.319671024529,3055.332236486711,6838.689960837978,13216.065337212776,18807.05733938388,22225.251894783072
E06000011,1475.8556191800567,2087.83573086288,3524.011634313621,8302.065541006743,15971.719596981002,22707.41977563584,26833.986359221744
E06000012,689.1273498439152,1032.3739190575309,1596.318105449555,3679.18075334832,7182.285060971508,10252.401157858669,12129.73707149568
E06000013,701.3191563702171,1127.6692878775689,1764.7505283896355,3946.181748548855,7497.5718519533875,10610.568376617231,12516.590451537744
E06000014,1091.5102755761948,1329.8955605592664,2010.2978969118624,4484.156732256722,8615.04656288355,12244.331111806045,14465.48445834208
E06000015,1517.4731206350789,1533.0070170182294,2253.5886716218984,5093.5419688489565,10150.71035958014,14621.585596198893,17500.935758382228
E06000016,3122.6286603862327,3420.1821715665624,4129.352187115616,6806.637119750454,11204.745521009008,15159.975874619722,17685.610864590726
E06000017,214.67316663478056,227.85926578573208,343.5631793413468,713.1470518984203,1274.232665048837,1776.3470964486298,2094.0321449189346
E06000018,4575.805636365813,4177.084029584276,5020.710259499179,8320.749983134301,14210.432828872885,19407.131138468543,22759.863469866363
E06000019,1061.4514280466346,1226.6607038733491,1951.2556216548649,4134.923070843167,7572.382648315138,10574.001876712142,12475.377229486176
E06000020,962.0047023234926,996.0109048531168,1438.2940150144766,3191.072209567761,6060.945897674697,8642.072585017799,10244.631494341107
E06000021,1619.5116608729566,1654.6366981737424,2328.639677996621,5009.98211073531,9412.580977012938,13377.284417379044,15840.124049668118
E06000022,1418.2980846608646,1624.6719058717092,2185.838588044704,4257.694505869609,7857.979048306457,11031.870189235253,13072.040643030248
E06000023,3907.8926402279353,4493.553193709723,5829.9380577604725,10923.40496743665,19915.784194667936,27860.509003281302,32982.1322011944
E06000024,1453.9972649112024,1552.952381461305,2227.6457269422767,4771.023426631774,9223.232428021382,13150.069388392529,15675.152784504176
E06000025,1475.1868656913855,1693.592796002338,2449.120489909443,5243.511740842944,10215.037771540006,14552.282377646923,17345.717830746093
E06000026,1482.1268713285342,1700.3318772043988,2468.9020123320943,5512.299509316332,10939.48065733263,15737.85484324745,18829.263301316783
E06000027,1314.758706249035,1433.128618938588,1895.455418531212,3690.1718947120335,6871.881411384669,9685.018004151732,11498.890014632863
E06000030,1652.401543919975,1691.5934664557822,2264.088960900567,4520.138635307287,8538.558951482248,12089.123272957437,14377.296482776745
E06000031,1279.1235292046283,1326.7560028487262,1841.3713542583264,3850.851671166282,7417.801021353127,10566.156686582664,12592.747699787742
E06000032,1545.601946976497,1579.0814340300358,2039.1044466794287,3992.371180083361,7604.37970245937,10784.50164741434,12842.273481514789
E06000033,1322.3052449719091,1538.5890890736453,2088.149463288599,4193.518852365915,7913.192743732252,11197.871335008444,13312.514610862923
E06000034,695.3540404615402,757.5383941427707,1162.6394249941604,2755.7149082728874,5584.77460927207,8090.510259014696,9706.336721347345
E06000035,1584.076696242904,1722.1500854767228,2439.2416622733226,5261.719825305766,10287.038568816355,14725.765019299237,17584.869695977242
E06000036,748.7076352254805,806.7220175203105,1130.506560658591,2344.317366269512,4463.654664703879,6346.026161477022,7570.765832750693
E06000037,1272.1128159018065,1333.2130715803944,1835.2220868238453,3464.975021440982,6137.769997886372,8481.514255584172,9976.8445152544
E06000038,1598.1889717807728,1741.5571362597052,2175.355954329727,3852.451869459859,6826.4852263783605,9455.902506640408,11152.592359676057
E06000039,643.5202444658744,772.3540913406143,1102.0597233208318,2329.6604551751525,4464.28858434297,6363.586537694331,7602.466959072806
E06000040,786.8285872478536,849.7961611957259,1311.3205651492497,2976.0578506762013,5840.587083306672,8382.335643922379,10034.447551450256
E06000041,847.2474769944334,859.4617988281633,1259.3571012679297,2835.215114200437,5640.2108051009545,8117.577198871891,9713.617951191443
E06000042,2391.898416457066,2379.0328124946363,2968.055555072417,5207.2030953975045,8881.337166211766,12183.478625081096,14286.61478091742
