LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,427.7082094758966,410.8567155192495,354.17572264269575,270.35963557425123,231.6470209145841,223.27880747213368,238.4283469725793
E06000002,1226.020705913431,1174.650990558053,1012.714196390932,773.1502495719383,662.9100353190586,639.4101244936021,683.1765505796124
E06000003,904.1435228302336,849.8070539198607,732.1394453096724,558.4231178767103,478.0275361714404,460.49262042759176,491.5242544662239
E06000004,947.852562596335,913.7038563430526,787.4406481923669,600.9541239449456,511.9420743850792,490.5312958202606,521.4456115955403
E06000005,763.2567516830287,721.4537154253637,621.7808791252257,474.5700209199204,404.9723152342304,388.6923007867154,413.6836651207853
E06000006,821.1507963787219,753.3441808788831,651.5482269595,500.5276889061607,414.50907286660896,383.7678374320401,396.50910592461577
E06000007,1864.9862355959604,1677.5688710790728,1450.8866614976182,1114.589707247133,923.040935432229,854.5854526230553,882.9580822174977
E06000008,717.9801088391118,693.1404549915642,597.4463924271291,456.0658247365886,388.6240372091007,372.4296810604095,395.9306765658609
E06000009,4138.010629512874,4075.6251148525753,3513.650062881128,2682.831068361534,2287.358226373098,2193.109970494168,2332.469066172404
E06000010,3163.898479768305,3044.022845907613,2624.721512899456,2004.896232068469,1705.651868172367,1631.1897932045497,1731.1620511704066
E06000011,3283.6362828482897,3057.7545790177955,2632.7956332876865,2006.6657583660128,1709.2139531366363,1638.4620328839508,1742.3345513062493
E06000012,1408.1427488072347,1258.6353497095374,1084.6844222439329,827.7649519970877,705.4319677274792,676.2131701121867,719.0685839031266
E06000013,1066.905702317138,948.238503380408,816.42944496916,622.1066963124729,533.0863929662459,514.3204486995448,549.6608011314825
E06000014,2499.04596684074,2427.813769557731,2092.5344841652413,1597.1914464852075,1361.1019510693511,1304.577528495558,1387.1234070627463
E06000015,2477.981658577028,2221.553844694713,1940.8658168177744,1508.574439861921,1364.072836969025,1374.6342521229574,1515.0063354150416
E06000016,5560.942325807404,5683.773531084579,4923.3969825260665,3786.93469057734,3119.686683732048,2866.646531695281,2948.325750932612
E06000017,241.71828282395649,271.8380974582766,235.24687332671303,180.6905048807509,148.28852740051408,135.77628437734805,139.2713782029283
