LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1751.541166473684,1669.2919396304303,1618.8870161875825,1513.4627416855262,1671.6821458916995,1905.6668586217547,2227.227358368325
E06000002,2842.594131159235,2703.08707657144,2594.314056551289,2389.716052867628,2611.294781251016,2955.739751025827,3441.9874098062164
E06000003,2603.6368321948503,2468.747676095292,2391.824408421829,2233.0612804483144,2463.619610927879,2806.523222938111,3278.972162157509
E06000004,3068.9105064680048,2915.094061571597,2856.381002136556,2709.0402519183635,3021.0169269791218,3465.5219775063483,4062.9214350749294
E06000005,2249.8883339949525,2142.157837362221,2057.4595356240548,1897.0092104097805,2077.5327605723064,2355.056157602323,2745.042279468052
E06000006,1779.8752934131255,1673.7284860552302,1662.9933322027623,1608.1875757422238,1785.1877597766738,2039.7870885289767,2381.63264127556
E06000007,3119.080860294768,2933.8296128506568,2899.322283835193,2783.642388934844,3074.2883338137763,3500.989200251276,4080.629829613521
E06000008,2444.8488733149748,2325.860243801988,2260.7769673159187,2120.43143359154,2345.900361467781,2677.1480355612603,3130.400657090337
E06000009,4368.6200633463,4157.883361236623,3924.465978528632,3527.4857411138178,3779.468314254952,4221.264958919906,4881.1392000541855
E06000010,5475.692435469367,5207.229211587694,5044.403965269093,4709.113116769589,5183.760726180927,5895.735594150678,6880.888952384362
E06000011,7269.891785250484,6844.964335161154,6603.332781192026,6128.001357636639,6735.251129889493,7654.898292698717,8933.86081299716
E06000012,3321.677649101545,2522.335399826409,2471.837811552676,2344.747770624648,2614.664199365565,2999.276818591412,3516.196819175434
E06000013,3163.185856034644,2357.591649918724,2336.80344682888,2251.095692078413,2539.176121794513,2934.661217466501,3453.903819421884
E06000014,5076.530535765179,4820.020669941247,4551.253917464306,4093.188364654705,4392.488510854289,4911.6285083241855,5683.664335175068
E06000015,6335.291096875337,5662.195589311404,5484.935485321481,5115.922136706513,5604.164151907291,6329.3276677638205,7319.407734479066
E06000016,7092.90392227648,7263.903148277828,6906.839847206997,6306.763004097687,6329.913652921183,6702.691856587959,7411.231687008399
E06000017,845.1174771036858,954.566583624688,905.2458267275632,823.4903125639522,822.4911718077133,867.5909023923358,956.8160226354194
E06000018,7488.857257852345,6787.988025030999,6581.736557238905,6146.148826422232,6752.169387659455,7641.082011361981,8847.677010115913
E06000019,5528.493907867696,5113.260024455208,4889.588655732468,4474.276094045862,4873.178034550519,5483.454542394899,6333.36358237957
E06000020,2552.3117100196,2411.728004156865,2389.5854093244807,2313.013867787845,2404.7644431112367,2614.036733174167,2936.089694176216
E06000021,5266.9829295314175,5010.05357660637,4826.837086680488,4495.699362390417,4516.894144831568,4781.688731051412,5280.896401051821
E06000022,5586.55345880686,5101.43228779619,4879.290313164018,4467.160801245365,4851.132041446176,5446.962875460564,6281.6919886146325
E06000023,13429.804916680429,12331.443427257367,11817.02270920436,10853.201888997197,11751.849608928876,13167.05261546194,15159.170216959945
E06000024,5505.857710150687,5143.8001239944015,4980.425285402422,4640.491670180789,5106.073723077888,5785.019582740481,6704.859958258823
E06000025,6115.894817779102,5082.030405136984,4971.281733850768,4691.099641150775,5328.778396633563,6168.049577281783,7246.756299810828
E06000026,6499.989699717865,6008.291080881718,5826.08204272175,5441.495948594112,5972.3015393346,6754.160201103534,7817.171347366761
E06000027,5691.29368328638,5204.38180403409,4938.927875579384,4470.352360995539,4807.311059779066,5360.924029175159,6158.22519597115
E06000030,5138.933393135828,4781.597974059591,4620.067067828318,4292.488512551728,4705.867998236549,5318.157552169791,6154.328348379328
E06000031,3486.070247532335,3284.653267677749,3233.694730742605,3083.7840953243945,3441.6755937311736,3936.181197644286,4584.451188793303
E06000032,4650.381540486284,4364.087739530917,4224.988412024046,3928.094135631756,4431.847516177656,5107.644941193511,5988.917873477402
E06000033,4885.0019433811685,4458.854021982029,4300.399851134098,3986.491609667162,4342.673726704285,4885.562860862143,5637.026906604275
E06000034,5796.9944989299365,5403.393226949411,5089.2604369182845,4554.349547216547,4860.4689936226505,5391.372700383343,6175.367835750561
E06000035,5020.840801606633,4648.177271874538,4572.574650857245,4355.965579799214,4858.66036756685,5554.540334730458,6468.007711345845
E06000036,3089.0438660659843,3065.335348315479,2919.6296742927484,2660.1201659876283,2825.485584005599,3122.018846310467,3560.898827090989
E06000037,4686.7849389336325,4425.472028511455,4206.451671549923,3815.592991351594,4123.2411539764535,4614.301454788754,5312.72117911482
E06000038,5508.565845182096,4982.393644834474,4728.413939192765,4280.165264508463,4600.858556212566,5129.142869654525,5890.717000708354
E06000039,3746.26444125377,3691.90902613125,3493.76492777798,3153.2777845471287,3322.8326953879377,3650.954056133473,4150.3195433169285
E06000040,3309.294601018829,3319.712230359389,3206.9097872688426,2982.0301188836474,3218.131691977492,3596.093286759402,4128.20653664187
E06000041,2788.88039250774,2649.663583253201,2603.414287099477,2475.7078771413285,2763.018071056869,3160.196196696235,3681.452096847576
E06000042,4967.248030919899,5301.639622322182,5074.449945694464,4679.478471856021,4720.996367962403,5019.026000204786,5562.0046731194825
E06000043,10062.484528011795,9231.497240189388,8858.154811875516,8152.357372648679,8825.430192424894,9886.173524248592,11378.582453760406
E06000044,6429.130655314673,5784.306945299734,5558.817269508606,5125.747924061918,5575.580698525986,6266.79345248339,7228.687272547834
E06000045,11218.097206102357,10200.11881510055,9543.642786615826,8456.217105404825,8929.577243101357,9829.103432467036,11206.171442046994
E06000046,5486.787523376959,5167.533119204979,4917.746169141969,4468.812311924221,4834.87392700682,5415.073732187026,6237.369548194005
E06000047,7234.277973600962,6824.787814599442,6850.143684491092,6708.862803620023,7649.709592225045,8901.080164108309,10510.590939324307
E06000049,7499.550110556554,7093.454201775754,6843.369461357702,6350.961805673972,6978.397582179512,7928.970253351129,9251.76457614732
E06000050,6766.989293660231,6401.7559674462045,6171.628281186448,5721.791626143071,6280.591168397397,7131.183305324208,8317.786028174862
E06000051,8153.214183908251,7590.40086831943,7195.144833251332,6548.888047730638,6425.228130917627,6674.731919449167,7279.189268092907
E06000052,26567.458164672567,25515.76263759297,23868.238136962667,21130.66614402127,22469.991984123302,24864.22411530957,28454.58099355765
E06000053,,181.5570408199081,167.4779061774888,145.01509743374726,152.17812232692145,166.81048567122954,189.96044513719104
E06000054,15706.735833535777,14993.306529835932,14205.796065301354,12823.749561497176,13824.049072412328,15444.76265378397,17768.144198246482
E06000055,4072.713608173514,4315.478895403324,4083.610397925789,3702.852688262845,3686.4329712309777,3878.28232255753,4269.6007142390745
E06000056,5561.569406092115,5304.592751067874,5169.996662445377,4861.244747685527,5392.474405319036,6143.103071289484,7142.234902851133
E06000057,6848.978036966413,6715.5260477887205,6417.485326886599,5874.897242175822,6461.386393618815,7357.212173188618,8603.90585475638
