LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,37329.13246339928,34997.76997138383,27216.489403302025,17426.530198987126,7975.672445227578,3334.380498707138,698.145127173519
E06000002,52765.87964308087,49490.01091200626,38490.57119228792,24648.084375489834,11275.842702248428,4712.192046276231,986.4770811280716
E06000003,54186.039888408086,50826.66597770458,39527.74545557829,25313.12495077505,11584.80637348593,4844.440442943168,1014.5044949301137
E06000004,72746.2290308949,68210.73067506647,53045.77877030627,33965.75688186683,15546.527528597177,6499.759475323293,1360.9980966543194
E06000005,42015.976215830575,39412.706507166105,30650.61507447965,19624.000375960288,8973.97234393135,3749.022836379895,784.5420869691033
E06000006,47740.6489837879,44673.90510462205,34704.90174246076,22122.52975342076,10027.243566052328,4137.596211897886,857.208764169258
E06000007,79443.9065215188,74331.03914386491,57745.44177190364,36811.09842864423,16683.8290236701,6884.064450732281,1426.209827654245
E06000008,53143.40009360418,49827.92135630325,38747.69824000114,24805.24706613183,11346.468162622226,4740.736457668899,992.1040052398672
E06000009,61415.20832981724,57627.987416664415,44833.81430000952,28718.703708490884,13115.035521841315,5472.395981447342,1144.7922417156817
E06000010,113658.2250673768,106591.682772367,82876.43594355539,53028.99563135747,24225.49036470605,10108.473736115717,2112.8211959654527
E06000011,137214.80828144596,128853.75674661018,100235.74116493482,64227.25618089808,29381.03566444644,12289.309363993523,2574.641653814854
E06000012,61628.78191586541,58556.73046182591,45538.90748227357,29159.513064428487,13343.383106811609,5577.846077116316,1167.8245921284656
E06000013,62819.13267405394,59820.87350499925,46526.500741723714,29804.375088855788,13641.745020804605,5708.067292149661,1195.910620291623
E06000014,73799.95784418896,69250.79209942461,53869.41043628737,34509.02890929301,15781.044577050758,6595.073772335079,1380.936322467246
E06000015,97985.19647216854,93821.10186238338,73821.71380019859,48122.90914565786,22440.855158016333,9471.938573999503,2144.4822085035057
E06000016,110321.88173378278,103119.96528957476,80504.60006724071,51072.27458967642,22158.7419773661,8550.6844216035,1735.867231778568
E06000017,13755.875885777265,12822.677428865803,10010.4372115144,6349.988925425671,2751.726312620453,1060.637848406267,214.8857219819852
E06000018,113581.64415399576,108618.47907831818,85503.5891816496,55792.38732679864,26030.77774522074,10998.52755034205,2494.653225305398
E06000019,61652.49786787202,58868.57731276457,46398.48538721302,30360.41223523292,14187.629228069174,6014.452592482584,1371.1913734002064
E06000020,64372.08156304959,61305.49045584611,47802.98859637756,30223.627464049663,13058.057237945235,5001.700100521201,1008.8469631700664
E06000021,97631.5370761985,92813.67286531844,72389.65026628601,45796.44594217306,19805.6686639734,7596.798302965491,1536.1942495320734
E06000022,69130.83131469786,65725.38016465037,51759.80981860116,33815.05747918065,15812.802288313103,6700.316671064781,1524.9380651541414
