LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,53.47461939220985,135.35492355602807,238.0861897605564,250.3798730020204,244.28048084470944,218.9752382799753
E06000002,0.0,81.82481519114735,210.60180335092423,379.7182945803969,394.95330643138726,377.7622987614553,322.65610886204985
E06000003,0.0,102.04977677687454,252.51614435761468,434.8070085716345,456.5632002555637,445.21584495965607,406.82254466585294
E06000004,0.0,105.06811287503142,265.18214231122454,464.110710863694,490.1376583026874,480.65814380284513,435.8077740936798
E06000005,0.0,76.34822006339178,191.74707854239145,335.55384996730737,351.6484424130793,340.6536509498792,304.47164690452774
E06000006,0.0,71.49176747184647,178.8392192471309,310.12217516385874,328.9812217119013,324.6584794880072,299.3106369748507
E06000007,0.0,119.99632335361284,301.6632419243218,529.1559793037284,556.6012301635425,543.4391577856154,489.1261051336669
E06000008,0.0,84.74358296433239,212.74263085175505,370.7841493070554,390.8104778481089,382.1386549221805,346.6426246778068
E06000009,0.0,126.33514301646493,336.6105667753741,637.399454680018,649.4012393645918,596.078152739741,456.152130470092
E06000010,0.0,182.9510033507684,467.6621455933017,838.3064336497697,872.5415310996813,836.2783043334671,720.2237415696949
E06000011,0.0,437.2685256467762,1060.1356642007213,1773.1238818978768,1883.174738791964,1854.152290196288,1764.5990840755842
E06000012,0.0,106.91424530876934,267.9840329413721,467.4073245903693,491.8776653940485,479.4988060545373,433.22098193326536
E06000013,0.0,167.81309828714646,407.01063644036265,676.7513164740333,725.6879727892302,723.4079166460799,701.4423744550946
E06000014,0.0,154.8537390422998,393.5838432546855,705.5010290678322,726.8858355665515,686.310338320433,579.0439297486521
E06000015,0.0,146.6251427063788,398.5497967115242,729.2319220599388,771.2757197595242,745.4881188654813,642.4598911041036
E06000016,0.0,198.50357756362152,549.2880172492172,1029.7623842037,1081.9994632066944,1027.5231776866206,846.5243101917009
E06000017,0.0,51.890155000838185,134.1685008034759,224.0670101093707,243.87759719841,242.5310757760652,236.6912530847441
E06000018,0.0,179.09004682490658,511.2618421421482,983.1411754352026,1049.1701742164178,1007.2834985714652,826.5900794119033
E06000019,0.0,374.0257088203195,971.5323265220272,1627.1682311115271,1802.510677826602,1816.965958399241,1797.2525536303076
E06000020,0.0,94.47782980520698,242.61999745314847,414.089945911432,445.32281679189566,445.1871242871932,424.6500567291726
E06000021,0.0,142.39400929347437,371.2175722856146,654.8456450785708,691.8100374958624,675.476920129958,607.792245175484
E06000022,0.0,169.9484660086381,456.241890735034,811.0537970331253,873.9062314840414,855.8431539247792,775.3347302678067
E06000023,0.0,328.82055943974274,917.4290707802552,1741.9237264694957,1832.5321372877845,1736.5199768852017,1409.54103560042
E06000024,0.0,187.1983904790516,499.8634923733465,881.5115403958113,952.664788139895,939.5807483473992,863.7326473674318
E06000025,0.0,194.2987531208895,520.7385781013871,917.3895085031668,995.6481626077324,986.9441715663236,913.921347520009
E06000026,0.0,155.83200075550312,423.888449367216,775.755375109671,821.2082027446781,794.569589947437,685.6286417981328
E06000027,0.0,118.80478139879094,327.5597569775185,613.7426963974663,642.3843250964865,607.2528002238786,496.7346905826277
E06000030,0.0,129.14737390928497,354.3538608753523,653.448953838304,694.3113719737765,670.6544546677277,574.9563740838653
E06000031,0.0,114.9787897110388,311.36174175182094,559.3186566194254,603.7744340470429,595.5335062204456,537.9858317238023
E06000032,0.0,112.44801996971184,312.90124108879843,585.9064092302857,621.0944847286838,596.2527639857134,500.05971624108565
E06000033,0.0,117.90880096557257,322.32058724861963,590.6578789382272,628.7480240065379,609.2327952261237,527.5521832909263
E06000034,0.0,107.71620397787645,293.0979735316967,546.5879936623768,562.6533030369329,524.0426728723005,419.2010579363696
E06000035,0.0,151.03920465617637,409.3482775791441,738.5329873657832,793.6866048678194,780.3036111115663,698.3779581014203
E06000036,0.0,73.48179709422216,199.1320699789069,363.56659921517615,384.26972433339984,369.811821133281,317.7506535165429
E06000037,0.0,225.16614245428391,594.1694547142795,1024.1852195734011,1120.743885521826,1112.8164789584368,1056.3441745509297
E06000038,0.0,116.14059531772614,327.3462458211593,632.1158996252202,659.1119947251829,615.7286491281068,480.3935731517384
E06000039,0.0,92.07982797180624,254.3421691308497,484.94057087127374,502.184813500804,467.77740777043,366.5131531448868
E06000040,0.0,122.09231741138004,326.0342443041874,581.0660193730163,623.8382123620099,610.7312065173747,550.0471866222
E06000041,0.0,89.73205203404389,241.93581336150183,433.99948467294695,466.1848354522692,458.2462822201606,412.1570370120922
E06000042,0.0,146.6150106349456,394.2357366668988,701.1683260185464,749.6797892442528,734.1941025637852,662.3459000110107
E06000043,0.0,253.8822761350416,705.3712770110684,1317.1819073608922,1404.401978123752,1351.972108283794,1143.8359034062703
E06000044,0.0,153.36392785162062,425.1243537271412,794.7959816163776,843.1261483892018,808.8579912481174,679.0229441876177
E06000045,0.0,201.61016186305787,570.6211115930528,1120.694971919456,1148.2543148499174,1046.334243765159,766.5509429513131
E06000046,0.0,159.09498965647444,427.8500433596007,769.6752102518602,819.3159441019818,791.4903871766612,695.9820794561607
E06000047,0.0,418.0340666630112,1017.384378412748,1699.8738344611577,1819.153947863068,1817.732863073012,1756.1728306961422
E06000049,0.0,388.33634612128174,950.9525701349432,1611.9562479306742,1705.747888112393,1671.082753155545,1561.8847147619892
E06000050,0.0,316.3916788396502,779.1908374419704,1328.2699786096352,1405.6640924681742,1376.8862727095743,1279.9857462311195
E06000051,0.0,530.5695931699427,1331.373403436517,2197.543364389376,2376.513493483649,2357.8835806535826,2311.653265686198
E06000052,0.0,1281.0329195368006,3375.100419315472,5860.908465051245,6346.143342878185,6215.464858464234,5769.884803269932
E06000053,,5.85275218642057,16.264195699041966,30.89185745729932,32.37977023936516,30.08830680085468,23.85537859596488
E06000054,0.0,724.3878533788484,1898.3299281164584,3248.46159415305,3544.935528685007,3517.841401985445,3355.223056176176
E06000055,0.0,151.76469428878968,402.0582449621187,707.4863423715242,751.9957264630615,728.3330607291182,655.5720463766561
E06000056,0.0,205.7084457726104,548.4346145428676,966.6290135017464,1044.0455993493708,1030.2698368994177,947.6821357677624
E06000057,0.0,587.311339554112,1432.071438925852,2376.4825619417784,2578.5716438015165,2559.635509449872,2484.442351693453
E06000058,0.0,308.1431751690993,845.7863202132152,1573.3522411371305,1651.5404899033826,1570.4330659001323,1304.4194932056398
E06000059,0.0,511.6984825081673,1347.6747938870285,2323.204810901047,2532.0762430758623,2511.943262489056,2378.078209267229
E07000004,0.0,223.6229880673621,588.3057150002238,1010.5999246428208,1106.605615273363,1103.9277917527786,1054.9556653369514
E07000005,0.0,73.94679854767095,196.23957793405023,340.93698501126727,372.2341580528775,371.8575630526419,351.69434308206866
E07000006,0.0,43.73603836253262,117.38831993764325,205.5004521266661,226.00731749447263,227.7421201733378,216.1161045785384
E07000007,0.0,143.3683553129109,382.1809924808184,677.932289970425,724.8866294162532,706.5003300266089,636.0703494649491
E07000008,0.0,83.05220457929278,233.8950212743949,440.52594726391686,473.4904085497032,458.4490659464452,388.87688811007234
E07000009,0.0,134.11021634593448,349.2937189830557,587.1763824401868,650.1297545134837,655.5942177633426,646.4649391815004
E07000010,0.0,132.49797465611488,346.7166769235536,588.0168209766895,648.712409801286,652.2320445711831,635.984484381294
E07000011,0.0,181.7629045104416,478.9274647148446,824.9085395291589,901.8202178233448,900.426873581794,858.3252636892572
E07000012,0.0,220.92177702249256,575.2567443088368,970.1618349927328,1069.5235809414912,1074.9431973824005,1052.646035169478
E07000026,0.0,139.3432162623526,335.45087431685687,554.6060194345707,591.8221184320314,585.9805663950248,567.1599483510863
E07000027,0.0,50.8636237093401,127.1894960231208,222.7831277962184,231.89647780111144,223.5161623485084,197.9617274047379
E07000028,0.0,132.73375882778058,323.90370300043725,547.0997726172708,578.9672327107186,566.3749502684802,530.5752982020816
E07000029,0.0,79.93875149920524,193.9868927641133,325.1281490271176,344.34813070365163,338.6121606516606,320.88491988688
E07000030,0.0,168.946257701931,403.6844971189026,661.2501343846354,707.0672174326156,697.8290100590992,680.3082146294296
E07000031,0.0,187.90397334995043,458.0309365781416,774.819817345541,815.2800060530193,791.1951741324632,733.4423959432249
E07000032,0.0,93.45335048316116,244.01365447449376,418.2303907885877,447.70863627370994,441.2714161438019,414.4713948091563
E07000033,0.0,61.481897252458495,160.10708126946008,267.1694438742875,294.2364829942427,298.2920424483198,296.6178619818611
E07000034,0.0,66.17762018696321,176.20844375057766,307.45282357903017,332.3109489324318,330.2630179782254,308.61179545823023
E07000035,0.0,116.86200474012811,302.3942930097912,503.39632600479865,551.0628429703507,550.6048435673629,542.0125119754487
E07000036,0.0,71.14343750619273,187.9938795891441,330.91282309189813,350.16331249799987,340.9315859204445,307.2951925950289
E07000037,0.0,76.44337723929502,201.0024458468055,346.46262581263574,372.6394549049647,367.71120702184527,344.7156649588746
E07000038,0.0,83.90703422997889,217.2392321722409,360.9980849087023,395.906749054935,400.00699467326086,397.5838862410848
E07000039,0.0,84.18111948380395,218.92651883746552,369.4700193419751,400.9925355029527,399.64059861699394,386.4118495009847
E07000040,0.0,218.0959310273737,578.6885735754664,999.6133354773864,1098.400691220607,1094.358165781252,1041.6049381375915
E07000041,0.0,83.83341174844072,228.2901698887743,423.1204258588329,440.06570830002494,415.65010439574166,342.069501521355
E07000042,0.0,165.4922463036675,430.2168343254129,724.4066292079452,798.4748906778647,800.1216696124782,782.9660835245128
E07000043,0.0,168.52128525293958,443.0217324011475,762.0002971410272,831.8108566768339,824.4579488762396,782.1631906238513
E07000044,0.0,200.9991698093556,526.7190086514083,903.4877522389296,983.9842504266394,971.645117170304,920.5268652900728
E07000045,0.0,176.3196810673265,465.3189014836408,809.1708564155939,875.1390131406032,860.7972759242238,800.2039406858139
E07000046,0.0,181.4698263430205,473.3005576706232,800.6854054689537,883.3758489721735,883.6997471469319,860.5942717687317
E07000047,0.0,139.68906799261575,362.0605702404295,605.3770971596624,670.1207232949148,674.2588417979154,666.8851432088322
E07000061,0.0,84.41792338928826,234.75584996914688,442.9196498142052,465.5146873915123,441.0080374665342,360.0100049830101
E07000062,0.0,72.53024959456526,201.3454430256241,378.9410758428075,397.9725113166301,377.35896419068376,308.96095967265234
E07000063,0.0,97.00748078090618,258.77524977229933,457.24946635061485,492.4298198939504,482.5840371128402,439.7574428941461
E07000064,0.0,135.929303091352,360.72026633141314,628.7211460821272,683.2628168966634,674.4297398693334,628.9024633773561
E07000065,0.0,217.3409276539193,569.7615929722139,967.412797335562,1068.0286765246142,1074.0761086493308,1046.8012075920244
E07000066,0.0,104.91490715767056,286.8240403099793,523.5533962566872,559.7290598674954,544.8971864651451,476.9000036839248
E07000067,0.0,190.07611644530613,499.57133565433264,860.0410361545639,935.417526605128,926.331290585343,875.9736140904126
E07000068,0.0,49.89214986048864,134.2462830137722,240.55390388969823,257.98417582607794,253.0159102346365,227.1684583167966
E07000069,0.0,51.17016881779577,137.1834032879519,244.98036656283867,262.0705508573004,257.26340337908465,231.56021714761349
E07000070,0.0,157.461738740239,420.2400880686957,743.8636430203343,798.6397601515781,779.2162041324016,705.2002613557321
E07000071,0.0,178.4537848096958,476.7567905748091,850.5326840297918,907.7782264331988,879.5110304843802,782.7908897004231
E07000072,0.0,104.95654365383368,280.00800109714004,492.87764114421793,533.7347420747525,527.6425995253259,487.2767204068205
E07000073,0.0,55.63570630658658,151.55545818245332,269.6387524925713,296.3756263682924,298.5995611700181,279.3325610254426
E07000074,0.0,111.74446708819148,291.0926523186294,490.845604208158,541.9642597286419,544.2888165190868,533.1650296547359
E07000075,0.0,52.24176788122086,140.38192307380967,248.4476408738613,269.7421795370961,267.7915417627812,247.25250007899444
E07000076,0.0,149.6223351542102,399.2090832483103,707.8570133225992,757.8113033795386,737.6272969072331,664.1090182668214
E07000077,0.0,139.51842086303222,363.30997288947776,609.0418806865666,677.3572561858957,685.9853340981198,681.2497743077761
E07000078,0.0,86.71248886948105,237.13697405465163,438.68789521903886,461.54622107770086,441.19472089726776,370.9758424665261
E07000079,0.0,191.22967058752303,498.8883492984697,843.8389722102115,929.541803835588,930.324809513502,905.8147702897832
E07000080,0.0,179.79049100754654,465.2208949686645,772.1422029447319,860.2602416611587,872.866092817121,875.867977961705
E07000081,0.0,77.02692485656088,211.15915198953869,393.35697064398096,412.5265699155765,393.15705076705206,326.5803006596657
E07000082,0.0,129.4947695228816,343.0203464738361,599.6778114600123,647.8675924157368,637.188962382014,589.0655594838042
E07000083,0.0,93.4586928589336,246.1345238410141,424.3639936665184,461.554973012749,459.2626292984679,435.2450415890409
E07000084,0.0,165.67928151033794,439.18304672375024,765.3267813514027,832.9117920845782,825.9071453572258,773.4651217448938
E07000085,0.0,124.4917155784064,328.73785395187355,567.6209067118642,620.0456844797917,617.8012859689852,586.5308736549241
E07000086,0.0,68.40954468147001,186.7869403846376,340.04319035759164,363.5846534724475,354.9557270660801,312.2514228854804
E07000087,0.0,66.04858160848153,177.2043121682174,317.85707888203063,337.66827572298644,328.7717666937738,291.5090864135
E07000088,0.0,56.699207718745264,156.62597086970683,298.2025720481907,306.53987614156443,283.83111948155164,220.2025217543868
E07000089,0.0,63.613767921788686,170.84523037402798,300.9563167604092,327.9865738547723,326.532361122983,304.01622614475934
E07000090,0.0,71.12142015026227,192.3232247043736,350.29635573709857,370.0970672248553,357.53027160494,309.144119994672
E07000091,0.0,167.4195371215794,442.7079746456015,767.4242768756163,834.0402391939169,828.4000311764073,779.9367923665576
E07000092,0.0,53.272750029605646,146.6364846088842,274.1454043269948,287.26444584626523,273.16608601120345,225.4617017893146
E07000093,0.0,167.8185921493063,438.8173272364325,745.2977281121701,819.2293466778857,820.3623315702026,795.3863516032518
E07000094,0.0,143.43926725813293,377.4423651660615,649.4705525268903,709.4149569855955,706.2905914989298,672.186787168396
E07000095,0.0,61.44573172555594,167.6280989234667,310.275566187609,324.49211482394884,307.7257047703465,255.5947264650198
E07000096,0.0,95.07587618281715,259.26203087042114,474.2315975265116,506.288896104392,491.5922892040397,428.0100347638185
E07000098,0.0,58.08543491762205,158.00391011723113,287.4232349281569,307.2614662943057,299.7567130617781,263.6655427652637
E07000099,0.0,114.66488551979072,309.1770401302708,556.5290817766767,595.5305574776372,577.8980196155567,511.41851264125467
E07000102,0.0,56.93881759914646,152.73854480385415,271.1761226169449,291.8243194303644,287.60686554142035,262.0022365713919
E07000103,0.0,56.89622127709839,157.84447425717627,297.5890574902893,311.80425671155325,295.15186663557694,240.397246140746
E07000105,0.0,149.21397012743566,391.1809222445167,665.5052161312387,733.4290052657827,737.4383865311404,716.8055715941437
E07000106,0.0,114.06052439928877,307.7702684084363,554.3388181596497,592.3972755746828,577.0001006603986,511.5426943104201
E07000107,0.0,55.678928790486594,150.83311692135212,275.35770191822826,290.0408728122206,279.4202612909029,240.0143019407619
E07000108,0.0,97.70314712885904,260.5084675850797,456.5833141711772,496.2632121248784,492.7286687753749,459.230146509837
E07000109,0.0,69.06635252348029,184.47319666890644,326.3234671881897,351.74033759439493,347.0975228971588,317.83516784279624
E07000110,0.0,135.98772865987544,363.0573009648172,642.159653789389,693.0545314498506,682.0744795284152,623.7684406369685
E07000111,0.0,117.8865186492052,309.2893376264568,528.3595090745182,579.1744317710992,580.3798739490447,559.4189640657229
E07000112,0.0,114.25011544874543,303.9493990761018,534.3745395137485,576.8560305065954,567.4496805471317,521.7221791012881
E07000113,0.0,99.805419705271,267.0772739583231,472.2181714802985,510.92683006840446,506.09992819413606,465.99845792351647
E07000114,0.0,104.85016409155044,285.69124581075226,527.5482243151251,554.4737343464874,530.0746385984148,446.2474125827363
E07000115,0.0,88.71493190567652,237.2829144650032,417.2046857167168,454.1919437649924,451.8811873168712,420.960931870897
E07000116,0.0,127.34796118343588,337.9012419643654,590.8980137271865,640.009358704001,630.350121335065,584.0064341171189
