LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,41800.14626472093,42723.66954322345,43663.504945484776,44603.34034774612,45543.17575000745,46483.0111522688,47422.84655453012
E06000002,60185.34765901087,61535.74177684488,62888.82919472232,64241.91661259975,65595.00403047717,66948.0914483546,68301.17886623203
E06000003,61295.27709598377,62643.94800278831,64022.52034557733,65401.09268836636,66779.66503115541,68158.23737394442,69536.80971673345
E06000004,81209.59201588183,83003.17352262657,84830.29855440745,86657.42358618836,88484.54861796925,90311.6736497502,92138.79868153112
E06000005,47990.98131623478,49057.30852579047,50136.65813271365,51216.00773963685,52295.35734656004,53374.706953483226,54454.056560406425
E06000006,53098.73053056621,54251.81363093672,55446.04801862309,56640.28240630947,57834.51679399581,59028.75118168217,60222.98556936853
E06000007,88730.15158004746,90619.09213919644,92614.368146388,94609.64415357946,96604.92016077095,98600.19616796244,100595.47217515387
E06000008,59743.232716325336,61068.34902501641,62412.0484449361,63755.74786485582,65099.44728477554,66443.14670469526,67786.84612461495
E06000009,74332.14940799988,76143.4437727005,77816.84878036796,79490.2537880354,81163.65879570284,82837.0638033703,84510.46881103772
E06000010,129204.630034679,132104.5681700962,135008.90405626796,137913.23994243974,140817.57582861147,143721.91171478326,146626.2476009551
E06000011,162221.0565298035,165722.13142273022,169379.48830576008,173036.8451887899,176694.20207181975,180351.5589548496,184008.91583787947
E06000012,70467.40099618786,71949.58229786833,73532.77697504038,75115.9716522124,76699.16632938446,78282.36100655649,79865.55568372858
E06000013,73626.86758871279,74851.11259551876,76500.94629896145,78150.78000240414,79800.61370584676,81450.44740928944,83100.28111273212
E06000014,86713.10639128966,88715.60093549317,90667.04377236406,92618.48660923495,94569.92944610587,96521.37228297676,98472.81511984771
E06000015,113013.1681995109,115737.1934425687,118278.59741703208,120820.0013914954,123361.40536595877,125902.8093404221,128444.21331488543
E06000016,131790.35584354788,134529.34066856973,137487.5731185563,140445.80556854288,143404.03801852948,146362.2704685161,149320.5029185027
E06000017,16669.48732886023,17109.003649493607,17484.523567802415,17860.043486111208,18235.56340442001,18611.083322728813,18986.60324103761
E06000018,137234.16768532002,139769.84797884885,142841.00848479653,145912.16899074425,148983.32949669202,152054.49000263974,155125.65050858742
E06000019,82452.90991494483,84508.59597894421,86375.41669036502,88242.23740178584,90109.0581132066,91975.87882462743,93842.69953604824
E06000020,71938.64291096598,73632.66507592189,75252.89394168013,76873.12280743841,78493.35167319665,80113.5805389549,81733.80940471316
E06000021,110950.42892500796,113576.20703934296,116072.80664011365,118569.40624088427,121066.00584165491,123562.60544242554,126059.20504319615
E06000022,83633.20232015882,85418.23337781962,87296.65751881352,89175.08165980742,91053.50580080131,92931.92994179524,94810.35408278916
E06000023,210847.64283410044,215573.335196102,220308.8485732021,225044.3619503021,229779.8753274021,234515.38870450217,239250.90208160217
E06000024,101154.43415117044,103333.31702967444,105605.17988054085,107877.0427314072,110148.90558227355,112420.76843313998,114692.63128400632
E06000025,110229.73234138006,113857.99114430897,116336.58019743887,118815.16925056884,121293.75830369876,123772.3473568287,126250.93640995864
E06000026,121526.4727595084,124246.35904412756,126975.22496795678,129704.09089178588,132432.95681561498,135161.8227394442,137890.68866327332
E06000027,74802.85024372018,76364.4446050351,78042.6949214118,79720.94523778859,81399.19555416533,83077.4458705421,84755.69618691885
E06000030,91710.03944870844,93637.37431693308,95694.75154924949,97752.12878156584,99809.50601388224,101866.8832461986,103924.260478515
E06000031,79715.98352687285,81485.75372531619,83276.16285758189,85066.5719898476,86856.9811221133,88647.39025437903,90437.79938664477
E06000032,81327.03676878945,83233.38289334036,85058.86446264906,86884.34603195779,88709.82760126647,90535.30917057516,92360.7907398838
E06000033,84061.98274103296,85859.6206738483,87745.1282690428,89630.63586423727,91516.14345943174,93401.6510546262,95287.15864982067
E06000034,66782.76683055668,68196.53502503224,69696.05613637702,71195.57724772184,72695.09835906664,74194.61947041146,75694.14058175628
E06000035,111770.43474564752,114267.5824056465,116776.92941972056,119286.27643379456,121795.62344786857,124304.97046194256,126814.31747601654
E06000036,48189.65641375829,49015.12398681764,50097.26522862514,51179.40647043266,52261.54771224013,53343.688954047655,54425.830195855146
