LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,177.87331753714878,424.5484973280599,1291.9569606839934,2595.468632437808,4226.07033436647,5414.414558461092,6437.568378851049
E06000002,288.6724321409317,645.3557847680737,1907.825164808012,3796.928906125156,6154.489189317696,7860.75708719566,9328.688899293891
E06000003,264.40573014723543,626.9576334066336,1947.5374015563552,3912.2075872132177,6356.326871223958,8102.636426784851,9602.337381379144
E06000004,311.65541721698344,790.6241080657468,2480.993412573283,5020.931702892222,8197.914703831877,10510.998641634684,12501.83628935587
E06000005,228.4816992691697,512.797571619665,1537.715852253611,3064.273697040172,4964.833991934224,6327.3700269842175,7497.875809112189
E06000006,180.7507178830314,493.6567081383008,1609.4358710406814,3282.902011270024,5373.5875515921225,6889.397623150695,8193.454989849171
E06000007,316.7503401614126,840.5466219915172,2712.959273586552,5517.243085417454,9017.681251833768,11549.73086892953,13727.95211349992
E06000008,248.2804220063016,601.0524198202436,1857.528174079884,3738.994007452394,6088.038510138565,7787.9939243377075,9250.110731685734
E06000009,443.6441224451396,890.2046267135536,2517.706436770284,4917.6861265711605,7888.508674136813,9983.651737388038,11780.028186151723
E06000010,556.0700473120347,1321.176581030969,4057.87134649529,8145.208361148587,13240.003616925243,16911.518855416034,20068.47489232008
E06000011,738.2754083833502,1703.426242541496,5498.297856638821,11019.429063710597,17805.85187498306,22432.68349937816,26374.993607269887
E06000012,337.32454283342133,755.2717057283394,2264.733293370249,4521.551039550645,7325.988002268587,9339.580899351851,11065.136535468404
E06000013,321.22931105992075,756.1533918915487,2429.7892087715936,4906.442335055821,7953.175906418677,10072.55385487914,11868.437504619622
E06000014,515.5341737089373,1033.4124358918025,2926.000849638165,5723.150220507301,9190.77022901638,11644.198152147916,13749.24620100316
E06000015,643.3644076053665,1311.331663885052,3454.872992832572,6785.79318225082,10977.680372385928,14109.09162021558,16781.455640723227
E06000016,720.3018551756868,1502.006205356024,4023.015621600432,7934.709621327468,12837.203546824216,16479.06320709597,19579.114570241218
E06000017,85.82376037652735,184.86172807458388,543.2192812688165,1081.2636345320188,1747.1133131229276,2210.9732858591738,2608.9606116227937
E06000018,760.5118911924577,1569.9181099125806,4158.988766847569,8176.858281790538,13228.372666886087,16993.525063068548,20193.974427492423
E06000019,561.4321668249173,1058.681873625536,3100.024219769245,5992.547378194799,9505.077844238893,11748.737333190604,13659.024214233856
E06000020,259.1935376341184,681.6782313608568,2043.8591344429465,4165.4760899377225,6840.929738026862,8845.252495499222,10557.91773311327
E06000021,534.875083166577,1188.4465788208795,3278.474775575473,6534.869013986632,10639.943713989787,13719.210876985251,16348.425286537224
E06000022,567.3282571583486,1064.669800017907,2744.145140594558,5308.352855742997,8502.157522835416,10809.31733048162,12780.337518941393
E06000023,1363.8297518384572,2621.194928390899,6718.799965151425,13037.475881327382,20930.21204896715,26743.3260512528,31691.714729208405
E06000024,559.1334052191767,1157.8756385839931,3162.761303604873,6245.077734460426,10096.121689512252,12904.17880679858,15304.672342584248
E06000025,621.0841753361526,1274.7510971703266,3491.3718258284825,6883.810949746056,11114.674488707513,14175.578844241874,16793.5597741343
E06000026,660.0899561920066,1378.2205757624054,3673.906082698919,7259.19155177294,11765.358247308352,15142.95766670414,18026.06638584184
E06000027,577.964884811964,1023.3989936715228,2476.9013938027906,4716.12038808191,7515.095598434181,9573.561202742054,11327.639395169454
E06000030,521.8713375031871,1064.0085193726725,2815.3728744885134,5538.108699950091,8955.284395220517,11497.40357638555,13665.562445836424
E06000031,354.01901591871336,824.0190326380025,2349.961566183733,4726.378099446227,7711.055728449141,9932.53217329465,11829.468733879216
E06000032,472.2576941112664,954.0469075558816,2509.6217488797947,4924.1279984254525,7951.3754563538305,10200.820904674234,12118.576598312822
E06000033,496.08397363218864,993.8383982926226,2592.222810832454,5077.4104060485215,8192.896188845398,10515.584861540558,12496.882163386656
E06000034,588.6990628631446,987.1804274717468,2291.247191596352,4297.835808967315,6805.630422321683,8646.369824770445,10216.470022108311
E06000035,509.87874410377,1168.8899027510024,3291.763502054976,6604.554308238397,10767.688349315007,13879.642434289652,16537.045133658274
E06000036,313.7000094500468,598.8883640587837,1515.8159156556965,2942.5928332554395,4734.572043969632,6070.385389643954,7210.322256486816
E06000037,475.95454884434434,865.718879385631,2328.4309718020986,4482.959130636504,7125.471918346269,8907.835941206169,10434.662437685582
E06000038,559.4084229987149,988.4294961440456,2392.669286338328,4548.405570911368,7237.232901782058,9205.967064285567,10879.616071840695
E06000039,380.4423768576477,691.4667188009332,1713.8079562744,3284.258743901328,5242.510040344587,6676.431495603523,7896.854397872357
E06000040,336.067013815084,718.6864103807793,1988.427293844056,3947.962368541362,6399.55832404801,8198.326959186334,9734.915613765734
E06000041,283.2176697441695,652.715324964274,1854.8255985099845,3726.9556912546295,6078.834130502473,7828.445425162136,9323.122742776872
E06000042,504.43626630163584,1129.0953434282096,3122.3186076627503,6243.126218723747,10173.916849967962,13126.126929606931,15645.88980022939
E06000043,1021.8700764350916,1984.215389059961,5104.535623904156,9925.02017251056,15950.787270091898,20402.129935764773,24193.078787324062
E06000044,652.8940457865016,1264.3173551049674,3242.450035567774,6302.859142123632,10132.184220008936,12967.503990121237,15383.032587638558
E06000045,1139.225388873346,1799.3120348343036,3988.180479342189,7311.560833194456,11435.944479787324,14410.864110125503,16936.001812476876
E06000046,557.1967808038207,1019.5201639627612,2589.733373181701,4982.136080170303,7959.651335160831,10102.093709585171,11931.635113957684
E06000047,734.6587381334575,2122.8786121463645,7240.670062924682,14854.016258307229,24325.283169998584,31073.67160980053,36861.56478545352
E06000049,761.5977767090923,1759.3691841713314,5573.705299675758,11165.199053103472,18066.26739913821,22850.1313980033,26937.64146581766
E06000050,687.2044222774564,1580.1529809279114,4933.059880761322,9872.143800094913,15984.707862568575,20265.823219376834,23929.079788161456
E06000051,827.978972599563,1652.034943596047,4978.417591620273,9725.370995384665,15506.077774197913,19247.8401511122,22434.295434601063
E06000052,2697.9907824797283,4322.338771028397,10976.231715875454,20452.429535984087,31890.182811946343,39095.49736226346,45273.64481039516
E06000054,1595.0576919726846,2836.384647577801,7505.648067713406,14381.314470590029,22814.45133147692,28498.59361305229,33374.31724792752
E06000055,413.5940934365741,846.8293603203052,2308.292719496948,4546.950967341453,7338.8927322607215,9363.319058894089,11092.913511279205
E06000056,564.7910650974637,1235.620998652767,3483.471436383167,6945.281629808623,11274.239548064128,14435.414438500266,17138.427046907505
E06000057,695.5305810065485,1554.8880367142044,5083.8297787483925,10155.44624451692,16348.205686212232,20454.93308031516,23935.69348420064
E06000058,1459.9498988387622,2664.4792149157747,6577.8318115288575,12624.682090881472,20192.09490802024,25781.7183873452,30547.46551860399
E06000059,1179.8764871624287,2248.342861765309,6099.820646321778,11863.157592606593,18982.065477931134,23927.83139443225,28164.516419741045
E07000004,433.62185233556727,909.040201121104,2623.1594049748537,5193.93065280089,8371.615504853678,10585.412909714363,12482.25389465042
E07000005,182.5340517411652,418.4676239374527,1210.456361650761,2430.541979025002,3956.59458551912,5070.829295229689,6024.118031784277
E07000006,108.33427710466924,281.030892502248,844.1692754192394,1722.5415657077524,2827.2511788810625,3649.428519333541,4352.210419870611
E07000007,469.6489922032065,903.8301018233848,2370.6935470400163,4615.393957619539,7414.481596431758,9441.132772191802,11173.692051854978
E07000008,328.0347187289722,659.4959796132773,1728.9067382927535,3385.116222524918,5459.982658004167,6997.7653171522925,8306.4696445205
E07000009,201.47887918589905,413.08272626439583,1228.1257749222946,2424.924239485361,3891.156841050208,4869.904458888934,5710.99628813866
E07000010,224.764783438562,476.7392761912397,1405.7894225515329,2789.70074771703,4495.63633927428,5667.890684370321,6673.574135932131
E07000011,379.3254384969903,844.3467320716403,2464.483282028163,4927.396570457247,7990.454035013298,10175.548295909748,12046.924044725642
E07000012,348.27966301205186,725.0296162336052,2151.4851219896104,4259.034259431727,6848.048395387536,8597.68090548493,10100.777053439964
E07000026,224.538767598846,495.6098379998052,1584.3361154004638,3158.294383689677,5086.571219962992,6383.052355530738,7484.871400689208
E07000027,148.93116586273902,341.6059557531032,1038.0402799368858,2075.438393171968,3366.756043056044,4292.424571153318,5088.028373536008
E07000028,237.52009026807133,529.3959070267592,1677.943987015731,3346.537703839917,5395.719902102464,6789.647741345977,7977.158184662116
E07000029,161.18239473739118,357.14036608983747,1110.1877906383802,2212.3271503942647,3571.592634205598,4510.724212124953,5312.800808350276
E07000030,202.10199568060128,356.0343459463727,1120.1208307197094,2160.326537366428,3391.07022363368,4102.129085638061,4689.711838007841
E07000031,393.81905192764367,743.1695312594838,2155.6436651374693,4183.399404857951,6657.792524827476,8301.134170530655,9696.316227504958
E07000032,253.340161166055,577.9041418566032,1643.143918879153,3287.6879954225456,5354.46581479921,6884.145220672624,8191.324477266447
E07000033,100.28522739942495,298.6757175146743,958.0423683494424,1974.5006149915969,3251.664503868173,4193.281962619685,4997.958868912681
E07000034,166.3568065789157,445.13249233718943,1338.9769448249351,2733.73411310084,4493.350014320704,5814.531286105326,6942.452982178426
E07000035,170.52643970382556,379.60416221734334,1154.431750749638,2296.1118990206714,3705.412529928581,4672.874281770288,5497.950904729321
E07000036,213.41221108487755,502.8908200050646,1436.8226263345591,2888.8218777950487,4717.6257739575785,6084.647653924745,7252.396355609641
E07000037,192.9344060078872,446.01705108666056,1281.8144057958416,2568.62416146032,4184.011808780595,5374.366706759361,6390.689077300961
E07000038,141.81128801960708,397.19765435257887,1253.2675460685523,2568.0901990027523,4217.96858861772,5428.265279240689,6462.91659265918
E07000039,161.68903689267432,401.44698060111153,1213.4103595775296,2453.260255057785,4005.135040368521,5134.106598888658,6098.481275629354
E07000040,501.6316983190191,914.3328070471596,2423.224319980212,4664.677644404355,7425.278333085551,9318.060494305197,10937.403158589716
E07000041,432.0359105557952,770.770958067768,1867.4791141452704,3564.6528561461373,5690.1290170967,7264.05150862803,8606.844229104961
E07000042,246.0725757427205,451.3702128778498,1297.9481622156895,2510.6578452958456,3979.156499308161,4910.832875158832,5712.909869231173
E07000043,337.271553885545,613.9690171806008,1668.8596525157336,3215.128300668649,5106.989621590356,6370.500984760151,7453.8024460321985
E07000044,411.193997317195,673.9290027323723,1736.876476829562,3260.148537479975,5105.012244598177,6281.528913145085,7291.723168907559
E07000045,443.8400455115696,816.5158334795407,2159.00303836102,4166.132124110486,6643.905314004407,8364.035725075444,9836.895828414386
E07000046,235.7178487969364,422.1375301821814,1242.225868963907,2391.9046401876594,3769.171011404465,4600.510617113466,5316.525545165103
E07000047,185.3165598111148,335.06012521261164,981.8725304944568,1895.3914997514808,2994.200084186852,3668.626916888036,4250.4385213429305
E07000061,416.14393490560775,737.7251175395703,1781.5991259145776,3390.4858575501453,5400.620676591333,6881.854288565472,8142.988731870048
E07000062,365.1615360887049,654.1822865129309,1587.5041200689875,3030.346006643347,4836.539207815407,6173.0226615287365,7311.532247993515
E07000063,283.90184427065253,551.9702309000228,1470.888043781399,2869.725652649351,4610.119953255463,5858.465030937739,6925.616714771172
E07000064,351.6896060902224,648.1986298025773,1704.8062600176856,3289.3631624654304,5248.607399012204,6616.706566296397,7787.100833828136
E07000065,384.79229318824446,803.5103558287683,2340.1198369413805,4632.044695780079,7459.562833158669,9407.28082021278,11077.632807168586
E07000066,417.2014890386788,857.7699399528744,2278.4193007799413,4489.91532459462,7267.974083059334,9337.687571685008,11103.670780231028
