LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,427.7082094758966,418.2270238964127,377.1578262470373,328.9495624311752,287.55847766398665,272.5403951846675,263.26934227708506
E06000002,1226.020705913431,1198.87592462743,1081.0648212276974,942.7817842223116,824.0056971575447,780.9407087548923,754.3617797361542
E06000003,904.1435228302336,884.3861199255855,796.9861301919119,694.4626363600453,606.0648066766759,574.242252391642,554.6399797335624
E06000004,947.852562596335,927.2059856230117,835.9791319393561,728.9038264950399,636.5680238076684,603.2327770678742,582.677252214448
E06000005,763.2567516830287,746.4584133651255,672.9750805117018,586.7318619493269,512.5294890128205,485.69096817749374,469.137312188502
E06000006,821.1507963787219,803.3066322295383,724.1704065915802,631.2993214271908,551.1551283263108,522.2636973491942,504.4556941057608
E06000007,1864.9862355959604,1824.0780238978805,1644.219988844869,1433.1817306346964,1251.4324914737838,1185.834216421146,1145.397270565909
E06000008,717.9801088391118,702.2319015553521,633.2691458213559,552.311515680903,482.628149642872,457.3994789907349,441.8311593585097
E06000009,4138.010629512874,4047.114292880688,3651.039931272689,3185.8874359516685,2785.844731177726,2640.583078168558,2550.8564444147087
E06000010,3163.898479768305,3093.733566288859,2790.7740290003485,2435.029571190228,2129.740155478006,2018.7216619590013,1950.1353724856224
E06000011,3283.6362828482897,3213.405965689607,2894.3470294181293,2520.238339775616,2195.9009166354417,2080.0579120355496,2008.841104881968
E06000012,1408.1427488072347,1375.3518381242857,1231.557934957469,1063.395232959315,919.0270435831808,867.9769552206697,836.92054394227
E06000013,1066.905702317138,1042.0610552659468,933.1129139094932,805.7012961378862,696.3180360890967,657.638981409526,634.1085102875483
E06000014,2499.04596684074,2444.4992324763475,2204.294174577368,1922.319480655512,1679.3174127501077,1591.4658256526882,1537.2715628792182
E06000015,2477.981658577028,2440.192955430529,2224.077962903584,1967.9604527627464,1734.3250852258286,1649.2312864215028,1598.2345689300423
E06000016,5560.942325807404,5456.123555560796,5004.600161478781,4466.172732274121,3998.549681645271,3814.196591460514,3700.7794274011153
E06000017,241.71828282395649,237.88869730116664,215.9332246331956,189.9929392277237,166.3550303713779,157.85871340371503,152.79307373100133
E06000018,5713.911083835627,5626.263951600967,5131.35683391041,4544.35218790647,4009.741251737676,3814.003870721008,3696.464152582711
E06000019,1895.7540697635927,1867.345937394872,1702.4640398717654,1506.921080283448,1328.0751840068456,1263.019620660309,1223.9920959829087
E06000020,682.8786836695698,672.3874901182195,613.9795899416042,544.5829079156947,481.4720258174832,458.179085465312,444.1394556097092
E06000021,1643.672677204862,1618.187258043618,1478.2976955880372,1312.0052616247544,1161.0859939694326,1105.1222669400963,1071.3447199413033
E06000022,1992.4027964789057,1954.7354830729423,1791.9000635552304,1597.908645211195,1429.387906577283,1363.228197753033,1322.5940252400485
E06000023,9612.94772448064,9427.594312389774,8639.810251590878,7701.76636868489,6890.203083538238,6570.875050441564,6374.8242719889295
E06000024,2053.665966368388,2017.14345644848,1843.909157791482,1637.9752546698926,1455.8619743522424,1386.3926766041488,1344.1055461705698
E06000025,2236.2571863109474,2198.046314838888,2004.7094570057789,1775.3200811203085,1570.2079891273595,1493.545911997109,1447.202413148615
E06000026,2497.352336765648,2450.7748428264663,2244.227400516763,1998.3672094795247,1783.7365769506905,1700.2320768108443,1649.111694627364
E06000027,2492.544267450341,2447.2876655749537,2240.6282911763674,1994.569163962048,1778.4200796825858,1694.8027050491685,1643.6607816799524
E06000030,2452.297781243967,2407.95818817185,2204.056609010236,1961.3377190982235,1747.8474616399344,1665.4569637723548,1615.1057133124243
E06000031,1738.607630641981,1706.997323785809,1560.4969411662853,1386.4020547637415,1233.1796744568908,1174.5088598316936,1138.77843942032
E06000032,2439.212437636209,2394.281238939876,2194.160788565177,1955.6741297432227,1747.1450816786953,1665.7595736104004,1615.8372648709696
E06000033,1892.6164456851752,1855.6440517659703,1702.0522876664706,1519.020595937708,1361.4044824383072,1298.8625997989,1260.3625539075188
E06000034,1805.2076635008325,1773.5377626427685,1620.201171202279,1438.0046610072816,1276.2873159884184,1214.9696050542148,1177.718392552706
E06000035,2359.8230978358,2315.650609025383,2122.097104533947,1891.523320558848,1690.6550058713103,1612.066051018439,1563.8541470485568
E06000036,918.7205028143636,902.5570315832928,824.6869895239151,732.1420256089579,650.0683318373152,618.8932736238992,599.942811658466
E06000037,2042.6766300170627,2008.4911597522355,1829.1747935691983,1616.7204000739357,1425.6728783454926,1355.1379319403304,1312.678003222374
E06000038,3833.9601299186206,3761.757528600356,3451.051457388405,3080.4505121835023,2758.6078845506486,2631.582902760876,2553.395232977744
E06000039,2813.0687222637043,2760.4066724611616,2530.278176839114,2256.038242293552,2017.2169739191888,1923.605105419782,1866.1291299540903
E06000040,1778.184171415828,1747.1119214568923,1595.54241721695,1415.5072028225372,1255.511018155584,1195.0152344682303,1158.2977987823924
E06000041,1329.0928056774926,1306.3700626849534,1191.4809158598782,1055.1681092925082,933.2974486852912,887.7412325264494,860.2002800236476
E06000042,1475.0178524745315,1449.1843226301266,1323.7593929212026,1174.7397758055033,1042.4067267757691,992.2741760754202,961.8272717189597
