LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1751.541166473684,1698.6849704470706,1568.6323959411852,1426.117019841986,1331.8935114377373,1295.6823084854052,1274.8220357769178
E06000002,2842.594131159235,2756.9036927583447,2545.8079064223207,2314.487420961537,2161.4499650544944,2102.676431896849,2068.8181004022463
E06000003,2603.6368321948503,2525.576732681332,2331.8853689689968,2119.6657061928936,1978.7192452250736,1924.7920622829188,1893.791842855372
E06000004,3068.9105064680048,2976.6351930108385,2748.5918794902013,2498.711053228735,2333.1076775536803,2269.606830635364,2233.064271779388
E06000005,2249.8883339949525,2181.9039551362093,2014.8598771654144,1831.808406318683,1710.8780270828574,1664.3886991096826,1637.5727836473136
E06000006,1779.8752934131255,1726.3733405008268,1594.1012441242908,1449.164472985054,1353.0910750930436,1316.2607314286356,1295.0657114388036
E06000007,3119.080860294768,3025.333607087435,2793.465142267479,2539.4030501146035,2370.958739670541,2306.4069524637684,2269.2597688305705
E06000008,2444.8488733149748,2371.1164965276635,2189.5824140784907,1990.6508315034368,1859.0806596470488,1808.5273584478928,1779.4161656094766
E06000009,4368.6200633463,4236.50994622719,3912.5077272684216,3557.41867639312,3323.058282295309,3232.807268172569,3180.794862048428
E06000010,5475.692435469367,5309.451481999533,4903.508014949388,4458.601652842815,4165.6696677685695,4052.6370645722113,3987.411163634997
E06000011,7269.891785250484,7054.234405204134,6511.742628208914,5917.504388509762,5519.963982825913,5368.919658661477,5282.420439505368
E06000012,3321.677649101545,3221.844353167203,2972.9704109430786,2700.577790056502,2519.337583684809,2451.5250071841883,2410.5360489496475
E06000013,3163.185856034644,3068.1160440237604,2831.116967911765,2571.721392332756,2399.128950229048,2334.552008843405,2295.518813380816
E06000014,5076.530535765179,4923.958462068338,4546.696097181184,4133.3068051386335,3859.259361394261,3754.191469309504,3693.7601655601
E06000015,6335.291096875337,6193.175186322778,5774.653877743101,5310.1523368859525,4971.31346865456,4847.451204860646,4784.273029127482
E06000016,7092.90392227648,6912.395539314115,6455.315667808681,5946.162479911237,5597.844093912487,5460.069859358155,5389.791256618521
E06000017,845.1174771036858,827.0969424371752,771.4639396133682,709.6140319996872,663.4563640581532,646.7878492247621,638.4148209679627
E06000018,7488.857257852345,7319.197065553114,6825.638146365588,6277.7988561400025,5880.243403621553,5734.098586506768,5659.471947305159
E06000019,5528.493907867696,5405.067002680462,5038.2487044463205,4631.460033980368,4333.903135066802,4225.68493346438,4170.632536052414
E06000020,2552.3117100196,2494.38114380947,2326.0650187065844,2139.281617690263,2003.8584512492755,1954.062461739999,1928.6479794590823
E06000021,5266.9829295314175,5146.679588942212,4800.173280843621,4415.544455343455,4137.645196092892,4035.017277757418,3982.571238657448
E06000022,5586.55345880686,5448.319112704808,5086.720799392853,4684.0923291502295,4404.216381953451,4295.378023928618,4240.017911699343
E06000023,13429.804916680429,13084.53819996607,12217.403918667913,11251.67080996287,10593.894399316536,10332.862233336456,10199.761736128856
E06000024,5505.857710150687,5375.832429620496,5017.883749835885,4619.484116285728,4335.893457448651,4228.256897811537,4173.71768142358
E06000025,6115.894817779102,5974.767152164661,5576.273252980869,5132.843290571105,4813.66539048239,4693.9044606104935,4633.335848829789
E06000026,6499.989699717865,6338.034900126458,5917.503930049516,5449.242549990629,5124.919698199758,4998.341980286165,4933.943583792337
E06000027,5691.29368328638,5551.403371269637,5183.419336179728,4773.641139356667,4488.000703525215,4377.160107067091,4320.786289345699
