LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,37329.13246339928,37792.37485847672,37307.81715382689,35957.976451792565,33908.119927904954,32438.045580827045,31386.56054396416
E06000002,52765.87964308087,53434.91496506336,52762.74797858825,50857.13839377779,47947.16882226995,45859.04686057493,44370.715184078006
E06000003,54186.039888408086,54868.934019162014,54173.4285009622,52215.9596277157,49231.7476254554,47092.13735715759,45565.096113223226
E06000004,72746.2290308949,73648.65857639383,72702.74630261566,70072.75398871285,66079.32178258883,63216.975514940204,61168.85497897452
E06000005,42015.976215830575,42549.11917674485,42014.6202580444,40497.010044956805,38179.08936554296,36515.261377676696,35329.7639347384
E06000006,47740.6489837879,48329.83135750271,47706.5451840875,45980.0987621647,43362.03016440293,41485.58602274797,40141.83967518288
E06000007,79443.9065215188,80428.57067885742,79395.34541658053,76522.87224553578,72162.16037854158,69036.02483006161,66799.08234639438
E06000008,53143.40009360418,53805.772627821934,53118.70448353206,51197.32560241671,48276.29292189518,46180.93020667972,44683.40496247629
E06000009,61415.20832981724,62253.60665609755,61522.509458540175,59314.574133450056,55875.71346383581,53405.03597048587,51665.14539821933
E06000010,113658.2250673768,115083.13503654106,113626.8211753116,109516.6027397522,103258.12036666524,98761.43960191667,95553.6161859734
E06000011,137214.80828144596,139051.968346663,137378.87207370732,132440.72978568927,124791.60303856072,119306.13070522006,115427.838967636
E06000012,61628.78191586541,62405.43675722577,61636.8392667717,59429.315170798574,56052.92613441563,53623.81524060908,51877.49480744004
E06000013,62819.13267405394,63632.42440208876,62867.73269078628,60621.1765808206,57160.68281140668,54669.81304277194,52886.91072603168
E06000014,73799.95784418896,74774.95153548109,73866.29363163759,71208.05621297909,67104.87039325584,64160.77568794282,62075.376927665
E06000015,97985.19647216854,99328.50451681818,98583.1493445964,95666.49932899373,90878.11241102248,87361.26779281785,84913.83322566637
E06000016,110321.88173378278,111673.62476729476,110756.41578574816,107296.8621804467,101851.06647091644,97732.30543308488,94882.2036450388
E06000017,13755.875885777265,13948.377745067144,13843.137674078467,13419.951437274209,12727.0178418653,12215.045156976556,11862.726896904416
E06000018,113581.64415399576,115224.27917143752,114430.6877436289,111071.41232008649,105455.786667369,101335.18046461532,98494.49989138788
E06000019,61652.49786787202,62669.38997812216,62345.11102451423,60545.215084855685,57390.26437644084,55072.30107069722,53515.70632527214
E06000020,64372.08156304959,65235.35535396166,64725.23006940013,62812.93919221245,59693.78272930988,57411.39106575134,55813.13847398613
E06000021,97631.5370761985,98963.77020324043,98210.26324684964,95313.72121014164,90562.79783364394,87085.10727075736,84658.2886326795
E06000022,69130.83131469786,70016.17943815472,69460.98158869185,67304.11945759233,63865.88594771861,61279.17515686491,59495.09725837914
E06000023,174389.2755743564,176418.93644636887,174959.91312913908,169437.3185945434,160862.5848724244,154283.55589531286,149740.0915058431
E06000024,86034.4386003934,87127.05297480071,86410.79900136944,83732.22108282722,79473.40848210349,76289.27866007583,74080.39777715968
E06000025,93186.17790310938,94391.33807604753,93628.38411073246,90734.21969603444,86107.66552446585,82655.14014227872,80264.07705164277
E06000026,106208.31331750636,107428.77404413628,106481.88862051732,103134.9975047564,97958.47380255807,94037.95463542726,91300.27965707154
E06000027,61732.32699375817,62522.20237474481,62026.60585344928,60100.82077738755,57031.61933713641,54722.12305492171,53129.339749816376
E06000030,78389.87061905798,79368.29042720678,78706.6959126474,76262.09849888078,72394.39716149232,69497.38408096113,67484.74638579512
E06000031,69478.90598070162,70321.98893558537,69717.25373784215,67545.03969961604,64135.79436883463,61579.71599358888,59796.97496847888
E06000032,69051.44005739401,69888.5651017371,69302.8781756402,67137.80709655849,63740.054675707375,61175.02043854706,59394.804285424325
E06000033,72255.67732087389,73022.82953632767,72370.5575460555,70063.10198404174,66563.60839162313,63861.414828775225,61978.67308315483
E06000034,55351.56846787311,56081.09219571125,55641.21460457151,53923.54366098373,51162.06830739059,49099.05377936448,47675.925094344646
E06000035,97952.00363141389,99102.18420840846,98233.0482880956,95157.3035715302,90373.24577379694,86768.83576952489,84250.95464857027
E06000036,41329.681372658924,41850.33999235766,41501.98262716535,40215.24030136994,38174.10956186346,36649.15875863388,35589.366760290635
E06000037,49496.75142288333,50230.692721929714,49902.48725935993,48381.90573281132,45843.8702028596,43950.84780250071,42670.19633605178
E06000038,57577.2246139392,58319.26968908068,57873.902906621086,56073.74145183829,53198.20877363818,51020.49917945701,49527.17758542352
E06000039,42624.08964857424,43146.931209273054,42801.39076912306,41461.29819244673,39350.70677830246,37744.72125708754,36638.176135199705
E06000040,55363.163606391085,56064.94078241742,55600.15477997076,53877.43567957172,51139.99689917708,49096.51886582283,47676.93867909991
E06000041,54845.451016699735,55532.38345929246,55059.169792419474,53353.66673827427,50653.17696378667,48644.00705124874,47242.179236430165
E06000042,92581.34258458175,93725.46459446724,92924.9654515458,90039.33240095852,85487.3250469107,82088.35959305416,79717.9029440496
E06000043,134523.70173064747,135999.61507842914,134841.10209794785,130546.6150668468,123978.56228306236,118889.36111004766,115368.3792250154
E06000044,86215.96871936697,87204.85520357372,86467.3826817254,83736.04138757939,79512.27778403151,76276.22047980627,74034.61967277943
E06000045,83443.97563923817,84566.70754832613,83977.05087265362,81369.84389401131,77150.26730205941,73936.3207012632,71756.59006660587
E06000046,63638.81220350253,64493.52984696284,63998.652193658585,62026.92219916543,58838.97639202028,56459.746533205165,54822.51726136631
E06000047,210861.24932201632,213497.05437731987,210763.61696766823,203144.31324382624,191553.9174423224,183253.4661245577,177318.50431764143
E06000049,143755.39242689015,145646.9104562949,143868.1832852208,138689.29993060254,130704.24205012542,124977.3908900912,120917.38307610572
E06000050,129561.28129261086,131253.23699837126,129639.09826577088,124969.17293456012,117783.38036855755,112630.31135332624,108972.68830751767
E06000051,104454.38358066214,106139.78447989408,105557.8830424484,102502.269211593,97190.11752648132,93289.08250271024,90656.89132264144
E06000052,178838.50200682093,181926.0184581561,181109.88914075017,175690.66518060974,166140.85404951085,159010.08446948722,154328.56778946222
E06000054,159374.3909748312,161721.39950546113,160642.4170924995,155746.24373691954,147592.95549225472,141521.18593423822,137403.9116560644
E06000055,61297.68367531728,62084.05141754967,61583.26473555281,59674.90498541832,56631.62699919242,54352.928524417584,52776.453242445736
E06000056,97327.00680320377,98586.52642176008,97775.72795289411,94757.30435077912,89932.1269249405,86346.96406099499,83856.53788859796
E06000057,118191.07281990696,119835.14771119456,118447.66388874046,114204.59139376567,107562.30626586352,102795.07650108296,99446.32230935292
E06000058,169763.47990514414,171876.23403575912,170472.74008225038,165162.92420321866,156768.0988699857,150441.07345134582,146062.9440984885
E06000059,143823.36227239025,145831.24701257405,144765.59252250564,140327.32172555194,133064.09995301338,127655.4411485714,123952.54354683644
E07000004,65103.08789698395,65990.31097309117,65492.13489423692,63478.12785495964,60207.21832976204,57768.88044798383,56093.78529441766
E07000005,34491.65641826045,34931.25451274947,34640.0960202159,33568.30632195395,31862.713276387403,30593.32925972288,29710.37169659669
E07000006,25887.361040314107,26215.62683558124,25991.9445490026,25188.74247792123,23912.593743203903,22967.071772324696,22306.71595156811
E07000007,61409.8853837766,62210.54486915822,61712.50532961432,59805.921544730125,56750.946126056086,54471.5271227145,52894.840980655696
E07000008,46164.6131335768,46738.21134296905,46362.1809664564,44915.4245954008,42628.97070687696,40898.48725779925,39704.31612059873
E07000009,27649.740739453915,28058.29513383005,27867.86904939412,27020.126262042228,25606.969519158218,24559.354817751733,23847.13208079932
E07000010,34154.948684043404,34629.87925413942,34374.69468681386,33320.44766548352,31597.41525118492,30314.87317377828,29435.935953952565
E07000011,66164.9476644906,67044.37414414008,66510.97418959031,64463.925461667306,61164.99507010912,58715.589198221336,57020.882348616746
E07000012,50269.24054834741,50997.733019042455,50637.550803695856,49094.51094529237,46538.886672738525,44646.69317941951,43354.59835010418
E07000026,37891.63684578744,38409.5534143977,37956.284601876265,36594.418823100576,34472.99428298627,32951.39971371965,31879.224953257213
E07000027,28710.814307447643,29071.910782841835,28703.493829671537,27665.881535328524,26084.80027998895,24950.3907667294,24140.884190758657
E07000028,41020.31620406877,41574.082670846765,41078.90110440953,39603.37078325447,37312.463407902505,35668.351222396435,34507.84767391954
E07000029,28203.18218720188,28576.01523609205,28227.67304133324,27211.96318082717,25644.07700953687,24520.295522648525,23723.95338064
E07000030,16779.858371779563,17079.120807794254,16938.783095920156,16347.315382974037,15346.827438905371,14625.209541423948,14141.268103048047
E07000031,46496.46926001328,47162.44417191013,46632.521606095535,44966.50151310256,42336.806465976624,40448.95363132382,39129.34950037124
E07000032,48539.38536896061,49201.908739748826,48826.99650271725,47386.984177113605,45024.76452327988,43295.77945426117,42088.81445843394
E07000033,30057.53420062755,30464.119259512267,30228.71488023924,29336.376625269048,27876.79765116134,26808.66847352902,26061.665698864057
E07000034,42123.55701345592,42693.53377194322,42364.08163271857,41113.57855732511,39068.021783967,37570.99071949525,36524.44802220888
E07000035,28733.846565348224,29162.12062249096,28971.22346925273,28124.75147598439,26694.5115970361,25645.92234918985,24926.338613749496
E07000036,43505.04494322471,44095.16368418349,43756.147341265154,42464.870941478905,40350.94458201024,38803.808504893845,37722.73171571675
E07000037,37382.0575678985,37899.151053633046,37616.34319074278,36508.46730600228,34683.17340684724,33346.83813165304,32416.36132895545
E07000038,38609.95493181744,39132.99110865022,38831.20748831488,37685.08523192495,35809.510721715385,34436.93569979827,33477.22607965615
E07000039,35456.281085955015,35946.50072766881,35678.00956912596,34627.12821829347,32896.00591660174,31628.611224802484,30745.99727993416
E07000040,53153.131251343664,53933.06302311289,53572.35533869528,51938.2790794975,49220.43654085915,47194.75390374789,45821.0403485782
E07000041,48205.03107192191,48800.835186787575,48396.94741585034,46889.23603061512,44510.319528882734,42719.50329369585,41477.88221158464
E07000042,24570.129312487745,24965.62571280479,24825.61084328,24077.41547775621,22792.558796156914,21837.575604224705,21199.864604450715
E07000043,34892.29744168103,35409.872650445344,35180.292833964995,34107.5847549581,32316.95066956325,30979.46944032505,30075.606111846857
E07000044,30246.329258338505,30747.7615701267,30590.377421190937,29670.681274308925,28074.41713494632,26884.67316743065,26096.24725932984
E07000045,49764.521270246834,50463.40196968363,50098.57005976077,48563.339428396815,46046.20486549095,44171.21546999087,42889.158770300426
E07000046,20136.11521778883,20493.38060752192,20409.488175739418,19801.11686772618,18717.68976954475,17908.76471721746,17380.60913294827
E07000047,17105.185636503662,17393.856492824652,17308.361344612527,16789.498102374404,15882.934205329651,15208.093434145048,14762.083401159438
E07000061,44296.26593983982,44831.03187363189,44468.12844104556,43072.30510945659,40883.73546015352,39214.51598882129,38063.530816161365
E07000062,40273.53391827899,40777.16683774132,40448.78237077876,39188.38684338012,37192.88898374477,35686.001583075595,34645.52332866697
E07000063,37356.65375359656,37852.557588807445,37557.02216084236,36398.78916457612,34532.7669914543,33140.40291753893,32180.23361048804
E07000064,39514.07799346346,40071.11204518542,39783.316951547145,38564.574467320446,36563.93891471478,35073.50457622094,34055.16052492012
E07000065,56653.22902796567,57451.08959694937,57032.0992242888,55286.872190843205,52422.95119930494,50295.80346122888,48839.07690727784
E07000066,64059.70905620003,64868.0606048563,64327.66107517376,62334.157391910594,59170.410070099024,56808.53466038707,55166.65916871832
E07000067,52108.700183766814,52836.67343821158,52452.76508320162,50844.48687400488,48211.81369398197,46249.5500994147,44907.18488171751
E07000068,28884.78476271252,29243.222523272183,28994.242678769184,28093.90323468292,26672.11481707556,25610.737106343186,24870.870035480933
E07000069,32748.37539203236,33153.625013272744,32867.56207841163,31848.364549282323,30240.08629249592,29043.009756744086,28206.42714235324
E07000070,56800.15355129577,57570.41142829884,57134.66789176424,55376.78729189168,52525.92722302363,50398.79204927344,48937.21507319281
E07000071,62491.678754846434,63332.120020134826,62853.23116567815,60915.308504581975,57780.42279128751,55434.17309277499,53823.262851836174
E07000072,48121.723598906174,48739.280628459295,48339.14795106382,46843.95706567939,44459.52699470501,42682.25423538296,41448.76430511114
E07000073,40709.90535850284,41181.86148297833,40815.07987318094,39536.1074485486,37553.724441341634,36060.9044882353,35015.775483300924
E07000074,19665.0243907223,19965.537142338668,19840.298836641698,19238.45019905896,18223.651735349144,17469.18971857574,16960.469285889285
E07000075,29041.181067576566,29410.2637924508,29163.265918343943,28261.39949749441,26827.335371932124,25761.31851800016,25018.84379304419
E07000076,55946.11242726616,56703.2179615334,56270.4226071834,54539.376934108375,51733.9649373349,49643.19668270992,48204.88940710184
E07000077,28111.77799189118,28524.516618595768,28329.603508926044,27466.794657644667,26031.609474465244,24966.63106929485,24242.250196418256
E07000078,51038.84147868457,51654.93938010583,51220.36406526967,49619.05728262752,47109.1464485159,45213.57249568536,43897.48248346359
E07000079,30891.89867021753,31382.689716584056,31201.332907877262,30259.471070465293,28649.56921740093,27452.94347093475,26651.877132494923
E07000080,28382.43098681371,28819.50316503148,28640.82051376616,27773.054104897827,26305.99685141521,25216.0910588556,24481.8731013932
E07000081,47785.92038132496,48370.78248163345,47963.30893959646,46468.738383478674,44117.17861120375,42349.57184313255,41120.82961602703
E07000082,43442.11802891857,44043.456167854696,43711.433119452326,42372.23280261737,40186.655535210906,38565.7097285784,37451.128154999846
E07000083,37637.91859273505,38132.17106634994,37823.81447432636,36657.92470202484,34786.031310056824,33395.94516915768,32432.303728653656
E07000084,58988.66711129482,59771.58111153394,59302.79556477039,57475.08015653914,54530.53613737325,52335.88547512821,50821.21748305973
E07000085,43714.658016621775,44302.62837662326,43956.74032201974,42605.14123107295,40419.006368557966,38794.93661982323,37673.97729661698
E07000086,45649.00128403952,46222.604139100775,45831.94075237328,44412.16397653792,42161.89137481753,40485.8567482222,39317.99676297412
E07000087,41317.33134035538,41827.01161773597,41468.42092119158,40180.63401471258,38150.27220451845,36634.83310435342,35577.33784774671
E07000088,30037.85824610665,30428.19626448541,30190.044315783627,29255.020583060712,27757.98149408406,26633.850242234043,25859.39799951736
E07000089,33464.928498134264,33896.20048179638,33615.52987098197,32577.73646224275,30920.747393326525,29690.143206726865,28834.44384060963
E07000090,45745.697547415984,46310.67163005043,45914.92597097998,44489.168599199176,42240.423896025335,40561.28700956408,39390.1399994733
E07000091,69043.77932990796,69947.0877812598,69382.60378588509,67242.62340334505,63810.224909527824,61257.32111214631,59488.48349666176
E07000092,33141.30888935767,33554.71494678393,33276.23381339612,32242.170041159687,30606.343361146217,29379.492847867787,28527.869281605963
E07000093,40921.682803454736,41499.82262672736,41202.18141472389,39941.01301614661,37869.1026702242,36326.556548107066,35272.55939154473
E07000094,43773.74219905102,44367.999911749066,44029.943779002206,42675.83717907754,40479.31567236619,38843.22972924188,37717.87259067535
E07000095,33002.54673720933,33429.1137124075,33160.851074146296,32134.911528627363,30495.10255806356,29268.96712276852,28420.926694754933
E07000096,52974.700213315984,53647.837135935166,53204.178784844495,51556.636676255206,48936.65934788175,46981.42624284579,45623.42668926357
E07000098,36156.65512182674,36603.67279725145,36292.40420093857,35164.77261869698,33385.768492188006,32055.92642961948,31129.281338223896
E07000099,45014.468974730735,45619.021428422784,45269.94483602312,43875.29340658895,41620.2461207303,39936.37015094291,38778.07969311422
E07000102,33567.26417407431,33986.59353624167,33697.85741327132,32653.09055790733,31000.006545872035,29768.0695123406,28909.187463324462
E07000103,32614.947240804664,33020.006056357706,32751.67458108694,31730.638232775986,30117.25888467472,28899.050755893088,28056.915012852856
E07000105,44508.001293263536,45110.58380296858,44763.8828502956,43387.79495097404,41157.40582324482,39498.09806235188,38355.268219966165
E07000106,59849.7626796124,60609.53940384916,60108.73069533624,58246.2056735048,55285.33654510697,53074.22075800855,51538.9778871761
E07000107,37281.53322852359,37744.5190776274,37422.61206516569,36261.38778960468,34427.11606794529,33058.989261203635,32104.83322376665
E07000108,45635.73429110943,46213.776559309495,45830.82085657952,44410.22625483317,42153.43125350913,40468.02126464925,39297.400345339534
E07000109,37592.712818634885,38022.575370816005,37687.9835031411,36501.61375676956,34669.00077647874,33278.077567455184,32307.45102338872
E07000110,59635.143550044064,60401.89651996531,59909.65726807119,58056.19314903389,55098.63390167173,52891.5263139829,51361.50960914701
E07000111,41501.89428711021,42054.18761232811,41719.65990501581,40435.77248164474,38366.02310142989,36829.73483507505,35766.781289862
E07000112,45074.61511112552,45647.30709232373,45279.639039040856,43873.05593688792,41636.24900573872,39955.45523640622,38793.753588510095
E07000113,55119.07314117907,55808.007407080186,55333.38843277808,53617.64407395472,50902.67951502928,48880.008617703126,47469.64128014006
E07000114,61574.173915736574,62327.85497852576,61803.34935791334,59877.02458556372,56846.145185611786,54567.19476253234,52983.363359893214
E07000115,44495.38438192655,45063.08085188468,44687.533456542784,43305.52530550851,41105.4856843762,39468.79421993439,38330.2146444487
E07000116,40753.94523628803,41302.27056328102,40990.38057390938,39726.38125971183,37681.443835361584,36150.62592680967,35099.809471089786
E07000117,35722.198153342746,36162.461117639104,35695.969671990846,34403.67661844547,32444.680684246752,31040.058262269864,30034.29166950321
E07000118,42084.02137087554,42613.31685632444,42071.1339547875,40551.047029868685,38234.944017496826,36575.61053445637,35390.44444774661
E07000119,34216.428265049944,34677.14628638745,34262.62655701797,33031.61529504498,31121.79123863291,29751.61196912277,28783.94018455892
E07000120,32419.16299709658,32822.772471282195,32402.13732404813,31230.23872942786,29449.2710110331,28172.9024514786,27260.073828298995
E07000121,57481.47059841039,58239.52059244488,57530.09641369942,55459.41463356186,52264.79175412632,49973.13622983713,48349.263068126784
E07000122,35260.96898229165,35698.086118154955,35239.23446370455,33963.84768896416,32027.78376277396,30639.83437076765,29646.883171591544
E07000123,50874.622404276815,51536.46806830687,50903.22449484743,49068.32899552378,46247.47958145753,44221.82624041036,42784.28490965432
E07000124,21665.06597063047,21955.39847418764,21690.98121842663,20911.372331720453,19703.54693687625,18837.799213753704,18225.644383363284
E07000125,28284.74395064701,28638.615484251302,28272.18575540437,27250.24908317936,25695.33286188368,24581.82940712705,23785.720922958204
E07000126,41690.82133220362,42214.20491003055,41676.53426722944,40170.457873994,37876.7487859196,36233.246689036816,35059.141949580946
E07000127,41596.076696669086,42145.57057304128,41631.92344109132,40133.768366339056,37821.53352819008,36163.83707147089,34989.16404248674
E07000128,43617.74086912452,44187.05233573144,43643.331527242095,42071.20502124039,39652.434612229416,37918.007239358936,36686.75537755833
E07000129,34792.50247368556,35217.105386709554,34906.243083588444,33822.70666708975,32119.895835464868,30854.4726943974,29967.1224081476
E07000130,68803.03200931886,69630.67357416441,69017.64437196217,66867.67392480312,63502.30023012543,60987.98218545758,59227.637717096426
E07000131,31568.0539836763,31995.32662541965,31746.103257024013,30771.017492580835,29190.894668714533,28018.80308587026,27209.799827394047
E07000132,41663.9594287338,42190.64795213172,41833.37028737039,40539.07775620021,38484.30407877756,36957.45864795767,35892.79675187557
E07000133,17970.008368355582,18217.00534019776,18078.81630068287,17524.104215790845,16620.88404853515,15950.225255606763,15488.878306847137
E07000134,34851.16021481453,35316.655905854,35035.30616517109,33958.107286852384,32219.675996516056,30931.341008043364,30039.49982360503
E07000135,19503.377276396008,19732.421068485783,19555.995599212707,18945.05953804662,17994.928526597858,17282.991540398896,16783.745682186018
E07000136,22989.58654427413,23316.798774967017,23151.20038552811,22443.076562669703,21277.021993476683,20409.227191267404,19816.883425513966
E07000137,48524.116241530784,49299.630845214335,49018.605539703385,47539.57775873287,45006.32526429498,43123.14571832872,41864.0011194731
E07000138,42570.55722027725,43074.761624889055,42699.50852584757,41364.30566676615,39282.63598027796,37715.82266611222,36622.0952184035
E07000139,38594.83963322139,39141.41960757119,38854.514614300126,37667.52796697927,35716.29409215454,34271.43098459451,33280.80068820393
E07000140,30721.82761816837,31162.58296423326,30942.414014498907,29997.251353442887,28436.93521147932,27277.61940798491,26486.493939312608
E07000141,49590.28017646232,50276.97856476608,49907.017518324894,48375.13376499086,45874.54944188488,44010.18782174808,42733.09114176047
E07000142,33184.890357927936,33654.98065720079,33410.02123164888,32388.772315216112,30709.83306213289,29464.76198776756,28612.04414129304
E07000143,41223.13504625408,41893.66518379297,41665.60849676366,40411.032366207706,38248.50374764654,36639.92981868639,35568.51273455549
E07000144,44958.829338167685,45584.60832314033,45245.33645410932,43859.48226041084,41593.74929081348,39911.72238426808,38757.055356429
E07000145,35356.565277350535,35850.51141227116,35597.51436806917,34503.256265385295,32711.91095004464,31368.29652185585,30453.21475327089
E07000146,48285.94208344374,49091.701487123486,48849.07567458392,47380.25959229149,44824.79982242356,42915.446846587554,41653.903928309584
E07000147,35951.04628934071,36570.60942269072,36402.66362227232,35314.007958173795,33396.87434839897,31968.570583687662,31029.08277207853
E07000148,61499.57242978495,62228.77912614706,61700.81826977814,59766.320256194114,56748.81952135071,54462.258674842575,52874.04084859169
E07000149,38657.229446695164,39295.98906295723,39088.57794043288,37914.59454791102,35879.313810438405,34367.445076567434,33362.60213648784
E07000150,27613.48945936395,27934.144897533217,27680.422648992306,26815.2071332805,25473.780173501007,24469.682777350787,23763.813123000804
E07000151,25851.632107159723,26226.69339932206,26044.778112656662,25250.21513918655,23933.70438563357,22955.653849478043,22289.50927756217
E07000152,32318.42113368228,32743.715477963902,32480.906105483857,31479.723902309688,29871.133374611065,28675.332230311367,27847.29230720516
E07000153,36963.37820089152,37388.40657099625,37057.17538163964,35892.35554234123,34090.67624169447,32727.745487420405,31775.16064389367
E07000154,83762.15787217209,84773.07966462128,84040.78216215271,81421.28128694327,77316.16229023655,74237.48236907972,72089.0956760883
E07000155,29339.500169978364,29753.60556403113,29534.486659142505,28631.80754062053,27149.560509702384,26051.80056257133,25298.78580024632
E07000156,29472.183867539326,29837.822534400308,29580.969246962963,28663.54439421957,27214.933550301168,26136.68577713059,25383.452461322828
E07000163,23912.230942864066,24248.83459023765,23970.931887282382,23113.08214829083,21765.79758021053,20799.127840720445,20121.34678275351
