LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1121.7957029231693,978.472846163326,752.8035249463089,495.32881994821406,371.74915283725136,316.1485909737132,279.38243325778325
E06000002,1581.5092468419714,1377.7467152078948,1059.7616107504573,696.880397921022,524.4481224062597,445.9853182284714,394.114351567372
E06000003,2392.957602086297,2097.279854495467,1615.327679511718,1065.6579030896512,791.6322549405664,673.2020138341124,594.9071901804492
E06000004,2278.560334708457,1991.170409595013,1532.6708154893945,1009.583557450366,754.760471069121,641.8476602660958,567.2035240088065
E06000005,1672.8960846796294,1463.7158935266034,1126.8530748716369,742.6505195290813,553.6105732546813,470.8178663649027,416.065205011844
E06000006,1637.6789514109846,1428.529244150012,1099.1488731038787,723.3086710577617,542.8509951021521,461.6445180213737,407.9584519960853
E06000007,2644.321601970939,2311.199924607928,1779.092711994133,1172.018069516829,875.8642724400794,744.8087030107755,658.1803448331331
E06000008,1877.217176941672,1638.2826995863793,1260.493885984166,829.5478349742099,621.7817578443728,528.8294143002622,467.34118740534905
E06000009,2071.82632484982,1800.7629963627844,1384.125756764855,908.7945202824992,687.1068571715352,584.4851973676257,516.5552403144003
E06000010,3778.129618115647,3284.321588336125,2524.292739951185,1657.2726229473217,1252.2754591486855,1065.1815236233097,941.3316802697772
E06000011,11421.167877933374,10071.165062692538,7766.673063735613,5140.178453616441,3768.658492630808,3205.048180257183,2832.357170653572
E06000012,2702.9346775538534,2378.08527256019,1860.180793407445,1251.2072269757152,940.2974778535776,786.6504763872389,691.6417516361058
E06000013,5175.736352511301,4553.695839109412,3561.982253820266,2395.884289384216,1800.5362388949136,1506.3240340837451,1324.3958082247304
E06000014,3135.3274421690644,2744.3312577494203,2113.0217913929127,1392.9774246969755,1037.6679283843046,882.4863616849582,779.870319089282
E06000015,3248.880185686417,2937.278495344265,2332.007354830961,1630.2838746604496,1214.3661830998117,1039.6989027957882,927.1205830741148
E06000016,3500.3260492792656,3040.0352703829144,2385.860991847722,1628.1872979082807,1301.3945498276871,1103.3881730676603,985.7601858474692
E06000017,1413.9920822846914,1298.555699980212,1041.339513315255,741.1294160320376,544.7209459216629,462.6638999707001,413.368172026144
E06000018,3047.800289766191,2744.791528937595,2175.839664421102,1516.598312188834,1136.2585906891604,973.3121352542923,867.9755095518892
E06000019,11156.042215371595,10108.693382909743,8013.53485435645,5589.126742742885,4124.767922679685,3537.648167901635,3150.437591754656
E06000020,2645.445110694632,2386.257519806092,1890.896319010387,1317.3330758605905,982.1479402259804,841.8528485440696,750.3185661134323
E06000021,3441.276243709993,3093.65118791654,2450.3801910860307,1705.2968486616603,1280.688064641552,1097.3858056663605,978.5900939054144
