LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,41800.14626472093,42739.98166698231,43679.81706924363,44619.65247150499,45559.48787376632,46499.32327602766,47439.15867828901
E06000002,60185.34765901087,61538.4350768883,62891.52249476575,64244.60991264318,65597.69733052059,66950.78474839801,68303.87216627545
E06000003,61295.27709598377,62673.84943877281,64052.421781561854,65430.99412435088,66809.56646713991,68188.13880992895,69566.71115271798
E06000004,81209.59201588183,83036.71704766274,84863.84207944367,86690.96711122457,88518.09214300546,90345.2171747864,92172.34220656728
E06000005,47990.98131623478,49070.33092315798,50149.68053008116,51229.03013700436,52308.37974392754,53387.72935085072,54467.07895777393
E06000006,53098.73053056621,54292.96491825258,55487.19930593894,56681.43369362532,57875.66808131168,59069.90246899804,60264.13685668439
E06000007,88730.15158004746,90725.42758723893,92720.70359443042,94715.97960162192,96711.25560881342,98706.53161600488,100701.8076231964
E06000008,59743.232716325336,61086.93213624504,62430.63155616477,63774.33097608448,65118.03039600416,66461.7298159239,67805.42923584362
E06000009,74332.14940799988,76005.55441566733,77678.95942333479,79352.36443100222,81025.76943866968,82699.17444633716,84372.57945400458
E06000010,129204.630034679,132108.96592085075,135013.30180702254,137917.6376931943,140821.97357936608,143726.30946553784,146630.64535170957
E06000011,162221.0565298035,165878.41341283335,169535.77029586324,173193.12717889302,176850.48406192288,180507.8409449527,184165.1978279825
E06000012,70467.40099618786,72050.59567335989,73633.79035053194,75216.98502770402,76800.17970487603,78383.37438204807,79966.56905922013
E06000013,73626.86758871279,75276.70129215547,76926.53499559815,78576.3686990408,80226.20240248347,81876.03610592615,83525.8698093688
E06000014,86713.10639128966,88664.54922816058,90615.99206503152,92567.4349019024,94518.87773877331,96470.32057564423,98421.76341251512
E06000015,113013.1681995109,115554.58389951344,118096.0072507249,120637.43060193636,123178.85395314785,125720.2849555682,128261.70830677966
E06000016,131790.35584354788,134748.58722638377,137706.81967637036,140665.05212635692,143623.2845763435,146581.51809348082,149539.7505434674
E06000017,16669.48732886023,17045.0069793,17420.526897608794,17796.046815917594,18171.56673422639,18547.086920404225,18922.606838713025
E06000018,137234.16768532002,140305.34115088516,143376.52224776355,146447.70334464195,149518.88444152032,152590.07316971192,155661.25426659032
E06000019,82452.90991494483,84320.19446984839,86187.48302286808,88054.77157588777,89922.06012890747,91789.35268004332,93656.64123306295
E06000020,71938.64291096598,73558.86837675556,75179.09724251386,76799.32610827206,78419.55497403032,80039.78723975726,81660.01610551552
E06000021,110950.42892500796,113447.0233277555,115943.62292852618,118440.22252929676,120936.8221300674,123433.42692886118,125930.02652963182
E06000022,83633.20232015882,85511.83664604707,87390.47184408043,89269.10704211376,91147.7422401471,93026.37831032553,94905.01350835884
E06000023,210847.64283410044,215583.17722170887,220318.71302606523,225054.24883042168,229789.78463477807,234525.32185588236,239260.85766023863
E06000024,101154.43415117044,103426.59865081531,105698.76431479816,107970.929978781,110243.09564276382,112515.26247108469,114787.42813506752
E06000025,110229.73234138006,112708.32014775596,115186.90920088589,117665.49825401582,120144.08730714572,122622.67760702968,125101.26666015964
E06000026,121526.4727595084,124255.36239667896,126984.25303564564,129713.14367461237,132442.03431357906,135170.92595434192,137899.81659330867
E06000027,74802.85024372018,76481.1624337601,78159.47531565963,79837.7881975592,81516.10107945873,83194.41465321791,84872.72753511745
E06000030,91710.03944870844,93767.51847742364,95824.9984135292,97882.47834963478,99939.95828574034,101997.43912923634,104054.91906534196
E06000031,79715.98352687285,81506.52379431197,83297.06490119771,85087.60600808343,86878.14711496914,88668.68906130144,90459.23016818716
E06000032,81327.03676878945,83152.51767665123,84977.99924595992,86803.4808152686,88628.9623845773,90454.44461533288,92279.9261846416
E06000033,84061.98274103296,85947.50643306707,87833.030665573,89718.5548980789,91604.07913058478,93489.60390356251,95375.12813606842
E06000034,66782.76683055668,68282.41433664698,69782.0625859507,71281.71083525436,72781.35908455806,74281.00807707517,75780.65632637887
E06000035,111770.43474564752,114279.9108398336,116789.38798216732,119298.86512450108,121808.34226683486,124317.82045731624,126827.29759965
E06000036,48189.65641375829,49271.79713935573,50353.93838116324,51436.07962297073,52518.220864778224,53600.36262279577,54682.50386460327
E06000037,64936.03306314618,66397.38555479693,67858.73887717957,69320.0921995622,70781.44552194484,72242.7996750594,73704.15299744204
E06000038,71828.65862360477,73438.35074583211,75048.04344122055,76657.736136609,78267.42883199744,79877.12210054696,81486.8147959354
E06000039,52052.06021223023,53219.27836774733,54386.49693397262,55553.71550019794,56720.93406642322,57888.15304335671,59055.371609582005
E06000040,64636.839869231495,66088.84946617571,67540.85981696974,68992.87016776376,70444.8805185578,71896.89162320162,73348.90197399566
E06000041,62688.53874174151,64096.49003092327,65504.4420795512,66912.39412817913,68320.34617680707,69728.29898488118,71136.25103350914
E06000042,106181.9219672439,108566.17962509338,110950.4384349551,113334.69724481682,115718.95605467857,118103.21601655248,120487.4748264142
E06000043,161803.3779809254,165434.23591272114,169065.09477753457,172695.95364234803,176326.81250716146,179957.67230499268,183588.53116980608
E06000044,102866.44846527575,105175.49005743537,107484.53231771255,109793.57457798974,112102.61683826696,114411.65976666176,116720.70202693896
E06000045,109418.57489765708,111871.7907844087,114325.0074785498,116778.22417269088,119231.44086683198,121684.6583683625,124137.8750625036
E06000046,77546.49730353244,79289.62468580613,81032.75302602767,82775.88136624923,84519.00970647077,86262.13900464014,88005.26734486171
E06000047,235771.85089658145,241079.17656216124,246386.5022277411,251693.8278933209,257001.15355890067,262308.4792244806,267615.80489006033
E06000049,167949.36937874704,171732.21475246354,175515.06012618003,179297.9054998965,183080.75087361297,186863.59624732943,190646.441621046
E06000050,150468.39765095356,153856.834544523,157245.27143809258,160633.70833166206,164022.14522523156,167410.58211880102,170799.0190123705
E06000051,137001.29094677418,140102.29537372742,143203.30644013576,146304.31750654403,149405.32857295236,152506.34627881573,155607.35734522407
E06000052,264085.89312933653,270070.4117423972,276054.93399926764,282039.45625613816,288023.9785130087,294008.504413689,299993.02667055954
E06000054,206483.64565655263,211139.099284446,215794.5556913548,220450.0120982637,225105.46850517255,229760.92769109705,234416.3840980059
E06000055,72968.0058076452,74608.18053150804,76248.35607877836,77888.53162604872,79528.70717331907,81168.88354399687,82809.05909126725
E06000056,113396.7589102008,115946.37556220117,118495.99371258916,121045.61186297714,123595.23001336512,126144.84966214068,128694.46781252867
E06000057,144103.27479338003,147356.56504009056,150609.85528680112,153863.1455335116,157116.43578022212,160369.72602693265,163623.01627364318
E06000058,202701.69398610725,207249.3329899256,211796.97375602028,216344.61452211492,220892.2552882097,225439.89781658063,229987.53858267545
E06000059,178911.01648750342,182939.0280834412,186967.04203691683,190995.0559903925,195023.0699438681,199051.08625488167,203079.10020835733
E07000004,79784.47173422296,81580.64010168865,83376.80950471212,85172.97890773554,86969.14831075897,88765.31874934016,90561.48815236356
E07000005,39976.27936803883,40874.71249958377,41773.146155456016,42671.57981132827,43570.013467200544,44468.44764740011,45366.88130327236
E07000006,29437.85903794233,30098.553053320436,30759.247480335333,31419.941907350207,32080.636334365085,32741.33117301676,33402.02560003166
E07000007,73018.15403360031,74660.85017703267,76303.54720097271,77946.24422491276,79588.94124885277,81231.6391533005,82874.33617724055
E07000008,55820.98213225103,57075.0561245852,58329.130556807824,59583.20498903045,60837.27942125306,62091.35429336414,63345.42872558677
E07000009,35367.15378728941,36164.615275046,36962.077298207536,37759.53932136905,38557.00134453057,39354.46390309704,40151.92592625857
E07000010,42286.83383115608,43239.05091385037,44191.2685676147,45143.48622137905,46095.70387514336,47047.92209997773,48000.139753742056
E07000011,78436.51036320195,80201.52046503997,81966.53162064501,83731.54277625,85496.55393185503,87261.56614122697,89026.577296832
E07000012,62961.563963694505,64383.000439247735,65804.43788542165,67225.87533159558,68647.31277776948,70068.7511945641,71490.18864073802
E07000026,45489.9107447693,46516.4894471052,47543.06814944113,48569.64685177703,49596.22555411294,50622.80425644884,51649.38295878476
E07000027,32536.407954841285,33267.77126816141,33999.13458148153,34730.49789480165,35461.86120812177,36193.22452144192,36924.58783476204
E07000028,48961.75885209587,50065.22007967305,51168.681307250255,52272.14253482744,53375.60376240463,54479.06498998181,55582.526217559
E07000029,32968.87227760691,33711.78485460165,34454.697431596374,35197.61000859111,35940.52258558584,36683.435162580565,37426.3477395753
E07000030,25100.93311669096,25671.64234505596,26242.35157342096,26813.060801785952,27383.77003015093,27954.479258515927,28525.188486880925
E07000031,58070.64809611964,59380.78035787398,60690.91261962832,62001.044881382666,63311.177143137,64621.309404891326,65931.44166664567
E07000032,55045.20173809813,56285.31536350503,57525.43162130611,58765.54787910717,60005.66413690825,61245.78302710348,62485.89928490456
E07000033,33863.26569853717,34624.88509487263,35386.506128229164,36148.12716158568,36909.74819494219,37671.37086531975,38432.99189867626
E07000034,47530.88364219336,48599.46971093451,49668.05801564238,50736.64632035024,51805.23462505808,52873.82516573269,53942.41347044054
E07000035,35152.73683428901,35946.30234903138,36739.8695912656,37533.43683349984,38327.00407573405,39120.57304546014,39914.14028769436
E07000036,49088.28229321298,50194.28519496245,51300.29041239391,52406.29562982534,53512.30084725677,54618.308380370174,55724.31359780161
E07000037,42938.09667157197,43904.54060182086,44870.98658822136,45837.432574621846,46803.878561022335,47770.32660357443,48736.7725899749
E07000038,43487.32161156223,44466.75560058985,45446.1916944762,46425.62778836256,47405.06388224888,48384.50208099398,49363.93817488033
E07000039,40635.8684428544,41552.01800984328,42468.16954195708,43384.32107407088,44300.47260618469,45216.62610342344,46132.77763553723
E07000040,69246.41813113539,70799.08401542391,72351.75081434494,73904.41761326599,75457.08441218702,77009.75212574059,78562.41892466162
E07000041,57006.090577652816,58285.31172285129,59564.53338221725,60843.755041583216,62122.9767009492,63402.19887448263,64681.42053384862
