LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,177.87331753714878,472.63080048934165,964.0577523357138,1733.207852750827,2880.4165403305465,3699.444839859352,4244.663746509739
E06000002,288.6724321409317,716.5181979076051,1425.4685237621702,2524.464770103036,4154.577393069726,5319.083507506419,6097.263493307053
E06000003,264.40573014723543,711.1522902717238,1463.573175650475,2614.4507916632674,4302.697134495471,5495.061854487083,6295.961919504507
E06000004,311.65541721698344,885.2698483330928,1844.5754508347384,3345.615187346777,5584.519183231538,7180.876744324344,8243.931654932694
E06000005,228.4816992691697,576.7902210215807,1159.8132546136846,2051.150456351136,3358.8529676078056,4284.723097416244,4906.236492121183
E06000006,180.7507178830314,556.9001181056117,1188.5290550472866,2175.501613855322,3646.372791629434,4693.547672606471,5391.935923199622
E06000007,316.7503401614126,945.5419225743432,1996.7421671907623,3638.809297406011,6086.8272488337525,7833.272558148819,8999.15098471259
E06000008,248.2804220063016,674.831421962302,1389.3871129977372,2497.352715393781,4138.992438247959,5305.654010778258,6084.925829467076
E06000009,443.6441224451396,989.6803688592648,1882.74802644544,3217.962996222045,5155.914868456508,6537.888982828081,7475.624456121002
E06000010,556.0700473120347,1479.4424310501574,3013.9919178229634,5387.111431202051,8901.352552725277,11406.672432394327,13084.04877563701
E06000011,738.2754083833502,2021.4117290535064,4257.970289250461,7463.805912847364,11935.546875002545,14982.758188490045,17081.37345484001
E06000012,337.32454283342133,775.8821162346886,1626.9207566430716,2939.3394443697,4877.389875685312,6251.481977737478,7172.000304435209
E06000013,321.22931105992075,815.3376407764365,1791.177951721424,3226.935416275948,5270.938174415295,6677.637058133032,7635.576645068095
E06000014,515.5341737089373,1155.7454030060562,2218.2718535466074,3815.2315794521937,6132.769184098543,7773.476298721797,8882.762050663989
E06000015,643.3644076053665,1493.7595833785767,2836.4261230268407,4804.411344847735,7701.635455293181,9758.301854611738,11134.194882497117
E06000016,720.3018551756868,1701.5451781150157,3258.891819237896,5517.379872707329,8772.568421147811,11084.216468931863,12632.142461578702
E06000017,85.82376037652735,234.6978884549352,475.3780818279663,799.3768402002006,1230.9102503782044,1520.847029221624,1721.88684860396
E06000018,760.5118911924577,1801.60968096032,3426.060379128621,5772.889176634871,9195.162895670126,11619.690659855723,13244.488145495194
E06000019,561.4321668249173,1414.12197839832,2824.1208071465026,4553.9168298446775,6628.213097735129,7927.44437080234,8886.026239755458
E06000020,259.1935376341184,793.7322367974135,1665.4476931814056,2961.705852698585,4855.888277141698,6195.929120811004,7084.885557913343
E06000021,534.875083166577,1352.5925432945678,2667.35768285462,4620.36203470253,7475.837436982434,9506.53879377676,10854.037920242405
E06000022,567.3282571583486,1241.4895152167226,2314.821521946558,3814.7392536900616,5895.273349390783,7340.004665802958,8322.673918083956
E06000023,1363.8297518384572,2948.466039781684,5459.681010710741,9064.799265333542,14204.616517060022,17849.649259740192,20303.369718395094
E06000024,559.1334052191767,1356.842826230777,2636.456248182774,4460.2995360926925,7033.855415273099,8831.830252984024,10044.500778668538
E06000025,621.0841753361526,1510.5478028681357,2933.729709045118,4940.461858498515,7743.844427130445,9691.68832932035,11011.671278745707
E06000026,660.0899561920066,1550.6569849185917,2968.9759358426613,5075.003051050126,8153.3572831768015,10350.101612808763,11809.234463020704
E06000027,577.964884811964,1140.0085200298554,2033.7683419141144,3317.0369688133824,5147.9602769611465,6448.223990859831,7320.964027395006
E06000030,521.8713375031871,1204.1809321609333,2292.802553566231,3887.151910328316,6196.852683022254,7838.813278478927,8932.891655481402
E06000031,354.01901591871336,953.1335432115144,1913.9017842371527,3325.4523513264235,5370.963707432802,6818.735885224069,7783.2903243548035
E06000032,472.2576941112664,1080.4755607684738,2045.471987345155,3449.9154972217275,5474.847674765433,6911.604016420898,7872.456206790591
E06000033,496.08397363218864,1119.066205576765,2111.025308579406,3561.895967598116,5652.386389985743,7134.439701066228,8125.481437053045
E06000034,588.6990628631446,1095.2297032071192,1889.609073967885,3034.992910804718,4673.40772950897,5842.642581137161,6625.9416103630665
E06000035,509.87874410377,1337.8583220321746,2665.606050856792,4628.164381517465,7486.7538719520035,9516.270995689129,10866.47928991889
E06000036,313.7000094500468,670.040092756808,1238.2529489762014,2073.9878627843555,3288.216735441548,4154.000038809891,4729.556936878144
E06000037,475.95454884434434,1088.5967112183637,2074.5408035566893,3337.640640309297,4938.4820413581565,5988.710988814858,6737.009880143748
E06000038,559.4084229987149,1098.3167349152534,1952.379815969578,3164.960838868303,4884.268913252768,6105.868027505518,6929.828038442371
E06000039,380.4423768576477,770.7994468111133,1385.8635405226694,2267.649537094369,3526.0901826238,4423.416359684802,5028.040296229339
E06000040,336.067013815084,834.3986503900765,1632.0008260599338,2784.123852523743,4431.243195053017,5591.921821515564,6370.77089716596
E06000041,283.2176697441695,753.8401076705168,1507.8760604002257,2620.004056580455,4237.709927910959,5385.396759817352,6148.720593758167
E06000042,504.43626630163584,1287.6100495359638,2549.047550249272,4415.924136356746,7139.114989503172,9071.452951940231,10352.125649721218
E06000043,1021.8700764350916,2237.076210441508,4177.036310048935,6959.212951386414,10910.32862193409,13697.833260833708,15575.095469255391
E06000044,652.8940457865016,1418.4557728138943,2640.776323777127,4405.238217259992,6929.451415195686,8717.086398948275,9917.470487396498
E06000045,1139.225388873346,1977.808633774766,3283.5040097520787,5092.46004337589,7607.650320110501,9396.813052406183,10615.851585092722
E06000046,557.1967808038207,1180.333724608004,2171.968487766462,3559.6909781619825,5488.849975838296,6834.878849333273,7748.780046150378
E06000047,734.6587381334575,2464.372679258764,5431.084688036692,9953.12216883029,16565.77392627261,21197.337520024088,24310.806001235705
E06000049,761.5977767090923,2119.113543848505,4334.780191539199,7622.738156313061,12270.56688266119,15517.730612157511,17718.900968285423
E06000050,687.2044222774564,1825.271935724047,3769.755445166358,6649.630160754323,10774.632286356476,13642.521719109478,15590.342228507812
E06000051,827.978972599563,2213.0801486275227,4494.044348179567,7334.043257149493,10804.314140975805,13006.2302663827,14613.472436019363
E06000052,2697.9907824797283,5530.626313255008,10034.055915826377,15386.850437339152,21597.075260183214,25481.00002753167,28406.674418812618
E06000054,1595.0576919726846,3557.3972456186407,6701.014842629369,10738.673598456942,15862.199417672758,19228.522660879265,21625.587940371057
E06000055,413.5940934365741,992.9641410755607,1921.4528768789123,3234.6455186547364,5077.034094269733,6362.534967213217,7232.754261201187
E06000056,564.7910650974637,1457.062190658031,2888.222437048123,4942.7578691605,7860.644393748566,9905.070458269376,11279.855299448178
E06000057,695.5305810065485,1897.1117464231825,4036.76605881936,6985.407561534226,10959.565724934497,13594.534397198891,15439.738228895369
E06000058,1459.9498988387622,2979.034681422559,5388.931767800023,8873.427315615028,13870.440145259705,17421.272888504962,19800.50821511789
E06000059,1179.8764871624287,2766.252450639813,5313.66648741829,8713.900281635164,13213.200937640848,16243.498719704532,18353.09533593116
E07000004,433.62185233556727,1137.0786036162033,2271.3540925644884,3795.084049674896,5824.30348931156,7192.293273763949,8142.813572251368
E07000005,182.5340517411652,498.6258040789243,1009.1279258119388,1740.4397559501815,2775.791737993642,3497.7294697417246,3983.566302773889
E07000006,108.33427710466924,331.505641463666,692.9239406284969,1224.795810327563,1995.937017258208,2539.3167868369933,2900.496870664648
E07000007,469.6489922032065,1055.5396157491036,1984.598275951937,3298.984323645118,5141.695829093544,6429.510369142309,7300.939944797758
E07000008,328.0347187289722,744.1488771602212,1413.7661852134884,2375.3332382896724,3748.6764178942094,4718.407410082114,5368.769302653592
E07000009,201.47887918589905,549.190682673516,1111.8065491305424,1829.2475133912824,2730.3693337488085,3313.0609508779226,3730.714340237404
E07000010,224.764783438562,612.4718412100799,1239.5875203957394,2067.0286743552897,3147.06036133033,3864.017385170293,4367.132458568756
E07000011,379.3254384969903,1038.546702529596,2096.4015876696108,3565.44619598608,5586.487628210668,6973.988189713758,7921.685308275366
E07000012,348.27966301205186,949.2718378892398,1919.793650533515,3179.504290974309,4793.952513455387,5853.623776355172,6604.9408811563135
E07000026,224.538767598846,595.3181608136962,1248.1811180316386,2164.522389168675,3419.385634512344,4262.282747558346,4847.57838648545
E07000027,148.93116586273902,383.6060019683374,776.1557913437117,1380.3521618812647,2271.098789057148,2903.670016718617,3327.864511313612
E07000028,237.52009026807133,625.4890796002562,1298.7481233615945,2260.239574842007,3598.170450231853,4510.739646490822,5140.395020389947
E07000029,161.18239473739118,417.1725147163001,858.4918719366208,1501.3679431958344,2409.4157100649145,3034.1995468983287,3461.3243148406004
E07000030,202.10199568060128,463.55592614268687,953.019692526537,1532.9705416554032,2202.4044777110425,2593.186347004285,2895.7518705386537
E07000031,393.81905192764367,875.3638201446663,1710.6763799086957,2862.804213992629,4419.013726280871,5464.4970377237605,6196.588874083543
E07000032,253.340161166055,697.7810714253644,1393.2528185550168,2392.281757199212,3835.8497507610296,4842.005974874959,5521.167281591061
E07000033,100.28522739942495,374.6853410712216,817.260377866171,1447.1910326391414,2349.767549764016,2970.461343347229,3390.956981665362
E07000034,166.3568065789157,531.9996506862407,1111.2374735136675,1959.3082083606,3206.232016286791,4082.2347256886096,4668.525983006704
E07000035,170.52643970382556,511.45364810347166,1059.82840236207,1768.8788193300754,2692.8393487216026,3291.6008421997967,3717.234674932741
E07000036,213.41221108487755,596.1659946965726,1192.432527110248,2064.982155882512,3347.427310517087,4252.293111791109,4858.936029012118
E07000037,192.9344060078872,542.4003125039493,1091.5051553075753,1873.1930016172944,2994.2359951231488,3771.95178306217,4298.4122482623525
E07000038,141.81128801960708,500.4441953103237,1076.5479648343462,1891.5451280419704,3052.551182682341,3848.684373307494,4389.799017268972
E07000039,161.68903689267432,503.62796089545134,1047.584100796404,1808.586114796761,2882.2915383703835,3617.1838097001264,4119.054165798535
E07000040,501.6316983190191,1134.5478936116417,2155.5204799326707,3482.558228928241,5190.255884883496,6319.171988870106,7114.138557737941
E07000041,432.0359105557952,856.890150887348,1528.6577642279117,2507.3402315233625,3918.391062440384,4924.851211606419,5597.2765150317055
E07000042,246.0725757427205,614.2666438578051,1207.2828957553015,1922.4892302018893,2762.70064872647,3283.312281845318,3672.711543667284
E07000043,337.271553885545,779.7633666289798,1489.4777404496117,2391.328217679513,3523.4541990319617,4262.468141521587,4792.781924760722
E07000044,411.193997317195,866.0909821347941,1594.0717067935952,2471.853015126316,3505.847173979189,4155.4041522541975,4639.210081820022
E07000045,443.8400455115696,992.140568477452,1869.4468651620743,3041.8259492872075,4596.569528987354,5648.821586042041,6381.002553895269
