LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1751.541166473684,1709.4377629496369,1671.8455494369937,1450.5519823218383,1115.065866494608,741.4281911832718,555.4066569225769
E06000002,2842.594131159235,2773.7196920829606,2712.707982125416,2353.785482023624,1809.7352505942408,1203.814125769983,902.1661409886063
E06000003,2603.6368321948503,2548.789376721655,2492.5642184867747,2163.571866330984,1665.5310567356064,1110.772500876462,834.6923377654435
E06000004,3068.9105064680048,2998.842107102956,2932.8203210294155,2545.141732319067,1957.759833227441,1303.5555905350843,977.9156224520168
E06000005,2249.8883339949525,2201.2001145497,2152.7693795878904,1867.858149409724,1435.9979730545483,955.0114696175206,715.5507701402037
E06000006,1779.8752934131255,1740.1901548684489,1701.8739558224577,1476.9255267857504,1136.1173189655608,756.5354539199052,567.5951501318756
E06000007,3119.080860294768,3047.21887881057,2980.0701457297523,2586.3505175831947,1990.0298901862784,1325.8329539947322,995.2434352940028
E06000008,2444.8488733149748,2390.6681130334605,2338.07781399243,2028.7315067499496,1559.838874028216,1037.61861688843,777.6394555079712
E06000009,4368.6200633463,4266.548920339167,4172.879688959671,3619.9787452770006,2781.2105974884835,1847.1484936911872,1382.0439793113762
E06000010,5475.692435469367,5361.402977171173,5243.6739337604495,4548.407586988887,3493.569323178372,2318.8381690192145,1733.8312908932714
E06000011,7269.891785250484,7110.129388525625,6952.637742928901,6038.482482970221,4657.26834545022,3118.4575875973264,2353.085338031446
E06000012,3321.677649101545,2597.4523366248613,2540.260436205817,2204.436100291937,1695.6234266530842,1128.9180048373837,846.8261997795979
E06000013,3163.185856034644,2455.474595020284,2401.027446511241,2085.5816545616613,1609.1894486672045,1078.4106021426276,814.4434126332558
E06000014,5076.530535765179,4957.331911486347,4848.166067229012,4207.461181963535,3236.819203538223,2155.7400072051933,1617.633261836998
E06000015,6335.291096875337,6294.183910567404,6170.049889280217,5466.809095361111,4415.667921999679,3240.648525640188,2664.077431756887
E06000016,7092.90392227648,6980.013711078972,6846.899406614757,5988.691552342024,4663.562230449492,3188.267511158672,2455.509731281716
E06000017,845.1174771036858,820.0031164871765,804.0728957834697,712.6636951838525,575.3052469722029,422.11296743082033,346.9657119810024
E06000018,7488.857257852345,7589.582734530722,7439.874316383048,6592.160768914638,5325.219744909,3908.947221035793,3214.0287659147443
E06000019,5528.493907867696,5190.445282969009,5090.274168613777,4498.538776407047,3602.998826525214,2604.793602696702,2113.639994554756
E06000020,2552.3117100196,2436.5813462870888,2389.870805568165,2106.6442286178462,1675.3558042994573,1194.8691041396976,957.8488787378944
E06000021,5266.9829295314175,5113.705185474082,5016.037635419453,4410.860315813665,3484.6912844656044,2453.2161122579423,1943.2449572464527
E06000022,5586.55345880686,5464.9142895805135,5360.26769646586,4702.077911781989,3691.3115134181767,2565.611140023771,2007.8646293063416
E06000023,13429.804916680429,13111.786922196548,12859.96459411322,11262.773068515657,8805.50564294271,6068.3590152566285,4710.229611419895
E06000024,5505.857710150687,5357.225798968992,5254.516983555411,4626.970688768615,3669.637158505359,2603.16514680237,2076.5728419022967
E06000025,6115.894817779102,5970.802357386139,5856.278916609933,5163.266546766066,4108.461414027212,2933.287083989665,2353.694504869722
E06000026,6499.989699717865,6348.586458527912,6226.9179945982605,5463.728672907009,4292.478421431735,2987.892764436516,2341.6220283341127
E06000027,5691.29368328638,5519.682843519392,5414.368010452978,4756.156295866998,3746.836151692938,2622.88878322115,2066.682829313132
E06000030,5138.933393135828,5014.442124308604,4918.604780738514,4326.731195317783,3421.603708598286,2413.5086861625764,1915.2605881972515
E06000031,3486.070247532335,3405.9542604091444,3340.553099341385,2940.007241306175,2328.6389562693453,1647.5084959326568,1311.0089437581578
E06000032,4650.381540486284,4570.790315673719,4483.672455051124,3929.0767351582112,3075.132916243736,2124.368080136473,1652.8750631489856
E06000033,4885.0019433811685,4774.792931951445,4683.007009086867,4094.569710865932,3187.119953462569,2176.3221749625445,1674.0854464109796
E06000034,5796.9944989299365,5651.754568547177,5543.608902176206,4878.522546986183,3862.402395799264,2730.598654106301,2171.423742132843
E06000035,5020.840801606633,4897.348350244206,4803.679695331589,4221.952073891807,3331.194700746763,2339.100389335539,1848.3718062312955
E06000036,3089.0438660659843,3002.386391383438,2944.999179504565,2590.6028615172963,2048.642335797392,1445.0283983837512,1146.6940556992904
E06000037,4686.7849389336325,4551.357566470802,4463.817312214222,3937.483839032423,3137.5602978492925,2246.203551794856,1806.8038208551689
E06000038,5508.565845182096,5350.495466453413,5248.504197798441,4602.764203592052,3609.687795056328,2503.971565402379,1955.9889793426155
E06000039,3746.26444125377,3646.163597576317,3576.41134782459,3137.619238505098,2463.780100938309,1713.3219719375409,1341.5163131319223
E06000040,3309.294601018829,3218.170321577823,3156.441059937068,2780.3238230942047,2206.9172433284866,1568.1154444031035,1252.786624499803
E06000041,2788.88039250774,2721.811859803982,2669.549458741456,2354.656306448028,1875.8535117904185,1342.3682368190464,1079.3650071170964
E06000042,4967.248030919899,4841.53675360658,4748.834715980227,4182.732387330803,3319.259245254231,2357.3957238027724,1882.560910891092
E06000043,10062.484528011795,9799.286508646595,9610.2904441601,8405.311814125145,6549.305448314653,4481.492719375738,3454.293766948072
E06000044,6429.130655314673,6251.168991878792,6131.71482884049,5366.087422589741,4185.441292400412,2870.786110504945,2218.0899053064754
E06000045,11218.097206102357,10932.45342812891,10723.666953048514,9398.073786853773,7358.198065689246,5086.729167450922,3960.3484065195
E06000046,5486.787523376959,5337.219750210963,5234.661326619746,4614.959800003637,3672.033576582677,2621.415459139945,2103.238269480688
E06000047,7234.277973600962,7080.717956217899,6923.8434245522585,6013.638869406663,4638.536053126953,3106.518949957186,2344.548463324897
E06000049,7499.550110556554,7449.645925874158,7278.416653143341,6358.56917336537,4989.166363118793,3462.3815672404785,2708.555373885796
E06000050,6766.989293660231,6624.042951149039,6477.749576172858,5623.58250924474,4331.180750132541,2891.5113924683337,2175.1472296857096
E06000051,8153.214183908251,7688.923841387898,7540.675924046171,6659.65172659158,5324.3638283579385,3836.140253488591,3103.392017400622
E06000052,26567.458164672567,25824.007322362348,25325.03163930953,22389.804361039907,17952.074554175946,13005.151809932611,10572.0649192215
E06000054,15706.735833535777,15281.684732570233,14987.050169781109,13236.915662717509,10584.712930213524,7628.731507743502,6173.407188734357
E06000055,4072.713608173514,3957.455817593149,3881.653215460041,3415.16471156653,2702.3391625475765,1908.3325676288016,1515.9702211042008
E06000056,5561.569406092115,5412.042263445061,5307.799185506758,4687.156590311772,3746.105669404066,2697.3327461086874,2180.8943951913857
E06000057,6848.978036966413,6707.813211975566,6558.95202850184,5697.983321628039,4398.267161500848,2950.1168805889906,2230.013687527674
E06000058,14376.312221596118,14000.834318928064,13733.864336619465,12047.074635833163,9454.166880881116,6567.078518213363,5136.566167444844
E06000059,11618.393737934952,11288.910996032158,11071.359618740407,9775.936992451214,7811.666760926343,5622.506207680028,4544.432982471775
E07000004,4269.929495691144,4140.18178789859,4060.469205367471,3582.6563816956696,2856.9914297953246,2048.325643267273,1649.795659905655
E07000005,1797.4360085857872,1742.1939183242264,1708.631150517242,1508.4404119967346,1204.7658911697672,866.3329215003122,699.6386389020537
E07000006,1066.78139653725,1037.565603856391,1017.541757365078,899.5862037137242,721.1935749068573,522.3442787559142,424.53888148621246
E07000007,4624.693321217138,4529.165578268809,4442.239268046095,3912.784278703657,3105.6735127721367,2206.4834807811903,1762.6064517904597
E07000008,3230.19957035662,3135.85504501349,3076.1127421231995,2698.699272933145,2118.566885337577,1472.642749831802,1152.6364717352542
E07000009,1983.9881324267285,1927.987448846098,1890.64430656316,1673.1450147786995,1345.1037688437516,979.3501627995528,799.6407017604257
E07000010,2213.2873913703047,2147.6578301347413,2106.2569414526683,1860.237486074309,1487.3774951139558,1071.815364574602,867.2142665799057
E07000011,3735.265807247296,3654.133170462423,3583.744444016172,3164.79663004605,2529.613545129133,1821.7171237960035,1473.1448472094062
E07000012,3429.554109956808,3327.1940009934087,3262.626125976816,2890.469969649728,2330.617945036937,1706.2873987401772,1399.8836914238825
E07000026,2211.061784668703,2166.293067805214,2118.198239990791,1840.2552619931828,1420.7549120167505,953.3357407178008,720.920991129312
E07000027,1466.5441202277316,1431.357778638866,1399.8350299179003,1214.8088964735468,934.496487709846,622.2859198307797,466.8788047130226
E07000028,2338.8905189907305,2289.402604299205,2238.795092311371,1943.9018406466373,1497.925535487742,1001.1148419955106,753.9476286749832
E07000029,1587.183528155537,1554.6168356559012,1520.12164175957,1320.558408704788,1019.2781376215604,683.5927549461269,516.6678669008709
E07000030,1990.1240397515485,1950.591492780104,1907.141745694204,1657.630803808996,1281.6251744464105,862.5979491977901,654.3352340708143
E07000031,3877.986260917492,3797.927430775553,3713.580615854453,3226.438396308878,2491.3032772629786,1672.1811856078891,1264.9062746375726
E07000032,2494.6727679419573,2591.0230139082714,2539.7754720151693,2251.7310356095027,1821.9940359527304,1341.495277794378,1105.9040689612084
E07000033,987.521381010849,1025.215744357788,1004.9290003988816,891.0451948780471,721.1907063237628,531.2652440235506,438.15526899925993
E07000034,1638.1366192555186,1696.9786915683233,1663.4473844335696,1474.4695118785571,1192.3494994943214,876.9310266334877,722.2378249791493
E07000035,1679.1955266199911,1753.5502279454556,1718.7925226032962,1524.5812183197418,1235.244260005452,911.6706020456336,753.1147674360855
E07000036,2101.4971684286547,2178.5697904599465,2135.530116347876,1892.847033584964,1530.5102838797372,1125.4131819142324,926.7285962012
E07000037,1899.849618992911,1974.1684185899408,1935.122561899611,1715.6442228902883,1388.1963748050223,1022.0702441748336,842.5553176291531
E07000038,1396.4337781304353,1452.5686706359768,1423.8151070227946,1262.562431926503,1022.1161258016864,753.2489648339625,621.4514627928179
E07000039,1592.172497855672,1656.1414450220575,1623.362942277024,1439.4642870976736,1165.2239045420863,858.5720138000478,708.2465484610254
E07000040,4939.631093518883,4809.847231917821,4717.205658130862,4162.918039520473,3321.476656130333,2383.761863775265,1921.7213667460592
E07000041,4254.312525403753,4142.169023290873,4063.105276756468,3567.88884255411,2808.136211291723,1962.0932295165933,1543.2805813935795
E07000042,2423.1079305279445,2355.1799546235948,2309.559942229285,2044.5164772614503,1645.0157483361852,1199.5754906180357,980.783888649172
E07000043,3321.1558601963625,3227.54435399174,3165.3245846424,2794.569732320392,2232.287060324101,1605.6246244541207,1296.9781531902056
E07000044,4049.07955662044,3925.402930075695,3849.4036313210327,3405.801280367028,2736.389140015581,1990.04797722336,1623.2543612337258
E07000045,4370.54934268428,4241.002523567168,4159.340733590744,3670.857362691845,2929.3563881574028,2103.0233057757414,1695.8893311896577
E07000046,2321.143618149596,2254.709092082649,2211.108790642769,1955.7209343812349,1570.0052455621094,1139.998527462023,928.602362394146
E07000047,1824.8357192227784,1772.6320501499113,1738.327853063402,1537.8370518511356,1235.1935598647956,897.7816099995648,731.9395405590465
