LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,5741.668694607275,12376.999254060003,20056.54334442409,22182.457187515567
E06000002,0.0,0.0,0.0,8237.232889710831,17817.883495662216,28885.58040458419,31995.45857161043
E06000003,0.0,0.0,0.0,8395.638703775356,18122.39680761344,29366.862070629857,32496.612153319424
E06000004,0.0,0.0,0.0,11164.499690196915,24047.59192257328,38963.62276762141,43078.079261038205
E06000005,0.0,0.0,0.0,6544.823400102448,14147.319452819956,22930.004973439805,25391.49552363667
E06000006,0.0,0.0,0.0,7320.301126722328,15760.040164834423,25533.95760976498,28222.634536863763
E06000007,0.0,0.0,0.0,12251.830712510991,26415.40480865501,42806.894564891016,47342.45839083834
E06000008,0.0,0.0,0.0,8188.804443926897,17655.4502164902,28608.71786353689,31643.68382495641
E06000009,0.0,0.0,0.0,10057.641461689873,21985.287773383072,35685.55781889016,39706.8229363983
E06000010,0.0,0.0,0.0,17721.235169090287,38312.84066264433,62106.40842863487,68773.7669600446
E06000011,0.0,0.0,0.0,21657.73849941635,46886.92118962546,75958.06155931122,84170.13946076589
E06000012,0.0,0.0,0.0,9656.078282645723,20828.75830793172,33751.452946852674,37337.41504894976
E06000013,0.0,0.0,0.0,9866.748826994351,21265.41446907574,34436.48639457983,38083.82358867936
E06000014,0.0,0.0,0.0,11776.450494331128,25604.356774627657,41529.13156989648,46102.52204267917
E06000015,0.0,0.0,0.0,15735.324033450515,34821.906776512464,56949.9741434624,63694.6110851018
E06000016,0.0,0.0,0.0,17967.475816618688,39748.03234876656,64975.67639870325,72705.82676569579
E06000017,0.0,0.0,0.0,2213.8385522639824,4877.825323732402,7965.123762387322,8899.707689240457
E06000018,0.0,0.0,0.0,18582.7631387982,41273.13057254949,67509.33448215523,75634.94992925352
E06000019,0.0,0.0,0.0,10326.895199343571,22890.583717454472,37367.06108707769,41889.686639525295
E06000020,0.0,0.0,0.0,10051.00667825908,22009.068436610967,35942.02273633319,40034.62076639963
E06000021,0.0,0.0,0.0,15434.737680061313,33907.193720194264,55393.594235032695,61791.13293597943
E06000022,0.0,0.0,0.0,11267.777773539732,24932.629071934327,40748.93719364367,45608.40117118918
E06000023,0.0,0.0,0.0,28634.302266992392,63477.012957702165,103779.33966705088,116231.72115033383
E06000024,0.0,0.0,0.0,13784.341514780906,30384.681180193907,49644.63816268459,55467.30789875339
E06000025,0.0,0.0,0.0,14953.397499635992,32969.832582941875,53866.59146358418,60195.58279863719
E06000026,0.0,0.0,0.0,16857.87114373379,37113.892234715655,60646.44567733532,67712.75593994815
E06000027,0.0,0.0,0.0,10165.001618527544,22557.28056454281,36888.97809024845,41335.60204524977
E06000030,0.0,0.0,0.0,12593.000107793325,27787.917199737203,45416.80379964072,50762.99454308304
E06000031,0.0,0.0,0.0,10993.268505622313,24169.318900951308,39484.388968835,44060.69918027567
E06000032,0.0,0.0,0.0,11134.543874810815,24587.473571773407,40186.18244094919,44932.3884105473
E06000033,0.0,0.0,0.0,11526.1657819283,25401.98614175821,41503.36566986955,46363.431443216105
E06000034,0.0,0.0,0.0,9144.945349186772,20322.64399519453,33245.15710910937,37273.103943343376
E06000035,0.0,0.0,0.0,15471.116051437257,34005.25056554451,55553.0428934372,61982.68477616286
E06000036,0.0,0.0,0.0,6640.61617871529,14660.79072461974,23964.87342783292,26791.71281757809
E06000037,0.0,0.0,0.0,8299.645482018252,18440.581572367613,30127.784004904013,33798.33629307011
E06000038,0.0,0.0,0.0,9668.523639903804,21537.012002161755,35232.912068317375,39544.96547682855
E06000039,0.0,0.0,0.0,7092.822107946176,15773.40060731609,25801.492723979594,28934.80792621023
E06000040,0.0,0.0,0.0,8875.345701618802,19568.06738495357,31976.520152560064,35726.90867623174
E06000041,0.0,0.0,0.0,8683.13721675416,19094.095535917982,31196.019228570352,34812.621502486065
E06000042,0.0,0.0,0.0,14604.308650483994,32090.632096901933,52422.05117499804,58487.462755908426
E06000043,0.0,0.0,0.0,21876.319026099794,48391.73137783315,79084.03714023677,88494.00420064904
E06000044,0.0,0.0,0.0,13995.347415617402,30949.30106737732,50585.606322615495,56597.08654568683
E06000045,0.0,0.0,0.0,14571.650680900406,32737.892266560782,53606.01476269891,60388.65387270343
E06000046,0.0,0.0,0.0,10445.446831883968,23149.23636272832,37843.13380725641,42384.36292587212
E06000047,0.0,0.0,0.0,32245.92352785786,69338.19207799232,112287.77619869536,124045.4132643666
E06000049,0.0,0.0,0.0,22618.14149769393,48829.61166840744,79058.48310430827,87502.90409418986
E06000050,0.0,0.0,0.0,20301.89208390917,43910.663871507306,71152.03736245856,78811.55007796161
E06000051,0.0,0.0,0.0,17378.543995161075,38472.14132789992,62805.04459136199,70356.04140982189
E06000052,0.0,0.0,0.0,32155.512334833224,72376.93324208377,118337.44312139346,133557.4374045329
E06000054,0.0,0.0,0.0,26591.272695083768,59045.366782786776,96469.31864674864,108189.75019247108
E06000055,0.0,0.0,0.0,9904.984504627995,21870.59441322253,35738.839696659845,39960.86466616755
E06000056,0.0,0.0,0.0,15542.941969139309,34232.45527187984,55929.20095147787,62461.2780086612
E06000057,0.0,0.0,0.0,18810.18752048672,40761.15411208887,66008.56366999344,73187.8670893783
E06000058,0.0,0.0,0.0,27708.55968495872,61375.419553487394,100353.89718060948,112356.60753270693
E06000059,0.0,0.0,0.0,23571.565520816348,52163.84884217952,85222.2733395889,95412.89581318368
E07000004,0.0,0.0,0.0,10577.109567600904,23355.80234806168,38148.88760533735,42666.54529280278
E07000005,0.0,0.0,0.0,5467.543278514031,12019.20819410832,19631.34244818788,21906.75153139295
E07000006,0.0,0.0,0.0,4061.636245596533,8908.473486827545,14548.569378194285,16216.988424556892
E07000007,0.0,0.0,0.0,9938.741207428398,21962.695178251903,35895.139846867365,40149.62012474919
E07000008,0.0,0.0,0.0,7516.2630767732435,16622.10552844242,27165.959423667948,30398.721567378925
E07000009,0.0,0.0,0.0,4535.34939301519,10022.975836275373,16363.125796489428,18313.882066526145
E07000010,0.0,0.0,0.0,5541.6409037524645,12227.313708441092,19965.662177848568,22325.48434607525
E07000011,0.0,0.0,0.0,10595.883362686003,23336.7913589752,38117.44256458464,42575.843862434514
E07000012,0.0,0.0,0.0,8200.306050698053,18109.493986136906,29569.621784524883,33079.631034874365
E07000026,0.0,0.0,0.0,6001.913247997069,13000.330690315546,21056.546851052142,23340.58873956048
E07000027,0.0,0.0,0.0,4468.589688725222,9657.693427445536,15653.914292244288,17331.120717708312
E07000028,0.0,0.0,0.0,6525.268078121258,14152.175818242988,22932.82675671752,25432.57820271662
E07000029,0.0,0.0,0.0,4428.5590760606765,9582.168754515946,15524.770536332477,17198.869634234565
E07000030,0.0,0.0,0.0,2974.4281396315446,6570.6178350220325,10642.199645040831,11903.689011775015
E07000031,0.0,0.0,0.0,7602.510579101736,16594.64678804507,26904.081157203625,29922.70712298444
E07000032,0.0,0.0,0.0,7659.392316930608,16899.738403555333,27625.14000559928,30856.898784373687
E07000033,0.0,0.0,0.0,4676.602951338751,10278.662975116014,16791.58564754005,18725.41255577634
E07000034,0.0,0.0,0.0,6608.588295596027,14554.35491876558,23787.001220215177,26548.47449665737
E07000035,0.0,0.0,0.0,4641.927983183823,10275.275063324862,16786.330870359267,18784.90234218008
E07000036,0.0,0.0,0.0,6878.39060833174,15181.713313428549,24821.207914056693,27727.23306897494
E07000037,0.0,0.0,0.0,5922.401695393119,13074.666909078793,21371.40374368199,23878.952062667533
E07000038,0.0,0.0,0.0,6017.1526500587215,13232.076231171626,21617.704621709403,24112.68695000129
E07000039,0.0,0.0,0.0,5595.837017408986,12339.298656978866,20164.445149055133,22519.410728580653
E07000040,0.0,0.0,0.0,8839.524425564336,19609.00572504762,32031.93936198681,35909.605815899464
E07000041,0.0,0.0,0.0,7839.684984028375,17358.73961168305,28384.744219047567,31773.508428318248
E07000042,0.0,0.0,0.0,4178.032564627264,9294.610579781309,15176.429485777042,17041.57964783653
E07000043,0.0,0.0,0.0,5867.488971541093,13043.166738668291,21309.934237050045,23911.68043758897
E07000044,0.0,0.0,0.0,5288.45611761793,11841.456632994208,19351.55425244605,21791.041116858683
E07000045,0.0,0.0,0.0,8223.299781783904,18234.85755413831,29800.41819684708,33391.449689180954
E07000046,0.0,0.0,0.0,3572.4018153339807,8000.0543141848975,13061.7812114442,14716.03215430806
E07000047,0.0,0.0,0.0,2948.3285650265425,6569.953240275863,10723.874112982914,12054.372803776132
E07000061,0.0,0.0,0.0,7320.647434080089,16257.83601412758,26587.565036118787,29801.680332514512
E07000062,0.0,0.0,0.0,6612.984264731942,14667.26953236745,23984.32215241353,26869.082381897617
E07000063,0.0,0.0,0.0,6069.066595725471,13416.33904249684,21924.775848449288,24529.606923519408
E07000064,0.0,0.0,0.0,6518.573666005377,14447.337853814064,23607.316209431166,26447.79169481736
E07000065,0.0,0.0,0.0,9195.897417607195,20293.5104936523,33136.96642930755,37057.12766849199
E07000066,0.0,0.0,0.0,10236.46446789016,22560.01569035687,36865.555152960325,41183.99816052328
E07000067,0.0,0.0,0.0,8570.926768113239,18986.868375865422,31023.94032904344,34749.650711308524
E07000068,0.0,0.0,0.0,4589.76001605131,10100.536491515826,16503.193089714747,18422.67199214521
E07000069,0.0,0.0,0.0,5166.114959643412,11353.923831750142,18550.249648296514,20695.678226087595
E07000070,0.0,0.0,0.0,9324.715431242284,20664.367258842,33777.809272210434,37833.68550766147
E07000071,0.0,0.0,0.0,10322.634204979726,22902.98828419977,37442.767614378674,41958.07152765788
E07000072,0.0,0.0,0.0,7686.851403024118,16929.013211441903,27656.574888862982,30888.106172965367
E07000073,0.0,0.0,0.0,6340.451264148775,13889.577336585891,22680.63995891328,25271.253764663503
E07000074,0.0,0.0,0.0,3284.6570954615745,7283.4561898329985,11892.043068073255,13331.550205164163
E07000075,0.0,0.0,0.0,4600.761580823559,10116.343745981903,16526.026529184706,18442.770816001936
E07000076,0.0,0.0,0.0,9165.063589317971,20302.39689832076,33186.23711032819,37163.03183046017
E07000077,0.0,0.0,0.0,4598.636811907949,10152.048771937782,16570.446065134118,18537.09018311329
E07000078,0.0,0.0,0.0,8251.748401852921,18240.09206746296,29817.161839617045,33351.867892032584
E07000079,0.0,0.0,0.0,5243.462489830092,11665.64466951805,19051.325278180564,21391.376068035832
E07000080,0.0,0.0,0.0,4695.499127401889,10382.34882276018,16940.65422962837,18971.19310445233
E07000081,0.0,0.0,0.0,7704.3581375142,17017.807940214367,27819.777503336587,31106.48628326968
E07000082,0.0,0.0,0.0,7091.536790888728,15687.5884180034,25635.636514484628,28690.76205866996
E07000083,0.0,0.0,0.0,6015.06567858823,13248.904159277352,21643.184935038746,24174.264568050097
E07000084,0.0,0.0,0.0,9541.916942468146,21061.37364292609,34409.732747456466,38471.5570023055
E07000085,0.0,0.0,0.0,7041.521030939146,15528.8731384345,25366.751072376483,28351.530931878813
E07000086,0.0,0.0,0.0,7254.009215770289,15969.352737627183,26094.391189276383,29135.19736337284
