LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1121.7957029231693,906.578039916682,603.4746248002218,279.5642740269742,129.42525598132474,57.09723877198429,5.576157219431447
E06000002,1581.5092468419714,1274.926009631428,848.5970670287743,392.97196639094216,182.0163906366213,80.28133763961411,7.842442677784648
E06000003,2392.957602086297,1936.8602480276209,1289.7696391281106,598.4638258163551,276.46858587925016,122.081327403738,11.909273340470127
E06000004,2278.560334708457,1842.2162525898168,1226.466269819461,568.524165180737,262.9791608271197,116.05851474406944,11.329990529386825
E06000005,1672.8960846796294,1353.4328697102835,901.1322232644156,417.8797758607472,193.19391310612505,85.28229650254548,8.322480856766889
E06000006,1637.6789514109846,1323.0117110908884,880.6855142549623,407.99846170475627,188.8731289399417,83.32508899055968,8.137904755456901
E06000007,2644.321601970939,2136.3001459921047,1422.2836535610504,659.3519009515464,304.96259089586465,134.5927649519007,13.138199186388972
E06000008,1877.217176941672,1517.4347780888183,1010.1408607696944,468.0481983249515,216.6216259684153,95.57782645269964,9.332772062602958
E06000009,2071.82632484982,1667.2657746769296,1109.5288282751285,513.3995558845646,238.01932731121013,104.9418594971261,10.256717671804582
E06000010,3778.129618115647,3050.179696916381,2029.8821827786264,939.3348276231752,435.49997658454737,192.00630136447683,18.76246716210174
E06000011,11421.167877933374,9268.766378283488,6174.80723533709,2870.683233794636,1322.7067280646506,584.7530917010117,56.96431393343026
E06000012,2702.9346775538534,1965.0036286103964,1308.1903461814295,606.3709791631748,280.50192954224383,123.79015027792704,12.084455602898874
E06000013,5175.736352511301,3612.289851076365,2406.281693085911,1118.2358308951243,515.5399253225178,227.8528279157357,22.20343470928634
E06000014,3135.3274421690644,2533.103368236514,1686.6378320352935,782.2754264644182,361.5726294401902,159.62615503064654,15.576549990758304
E06000015,3248.880185686417,2721.64374586823,1812.079377558537,842.2332588673622,391.9628069899904,175.5349954231551,19.388934237803674
E06000016,3500.3260492792656,2767.8593649399763,1811.671311633184,797.3080891798413,378.34022535513145,169.2997065860474,18.43435696351389
E06000017,1413.9920822846914,1112.389826025626,735.1851343437514,334.67396923070567,154.78897945178682,69.56586448456333,7.6492229485114525
E06000018,3047.800289766191,2588.1740540566825,1723.3057388034435,801.1025832380028,372.8000957098718,166.95398963927445,18.44272388087965
E06000019,11156.042215371595,9005.493798049052,5948.980568283236,2703.7608158652138,1252.0187474468808,562.5711976476215,61.83017050056261
