LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,41800.14626472093,42723.86571176026,43663.701114021576,44603.53651628294,45543.37191854428,46483.20732080562,47423.04272306695
E06000002,60185.34765901087,61524.93364791136,62878.021065788766,64231.10848366621,65584.19590154363,66937.28331942107,68290.3707372985
E06000003,61295.27709598377,62667.49329811642,64046.06564090544,65424.63798369448,66803.21032648353,68181.78266927254,69560.35501206158
E06000004,81209.59201588183,83020.21454303636,84847.33957481726,86674.4646065982,88501.58963837911,90328.71467016004,92155.83970194092
E06000005,47990.98131623478,49069.32958895461,50148.6791958778,51228.02880280097,52307.37840972417,53386.72801664737,54466.07762357055
E06000006,53098.73053056621,54282.42757022104,55476.66195790743,56670.89634559381,57865.130733280166,59059.365120966526,60253.59950865289
E06000007,88730.15158004746,90699.4196165286,92694.69562372012,94689.9716309116,96685.2476381031,98680.52364529455,100675.79965248608
E06000008,59743.232716325336,61073.39015506707,62417.08957498679,63760.788994906456,65104.48841482621,66448.18783474591,67791.8872546656
E06000009,74332.14940799988,76040.03372550136,77713.43873316883,79386.84374083628,81060.24874850373,82733.65375617119,84407.05876383864
E06000010,129204.630034679,132090.61945077084,134994.95533694266,137899.2912231144,140803.62710928617,143707.96299545793,146612.2988816297
E06000011,162221.0565298035,165908.33660526804,169565.6934882979,173223.05037132773,176880.40725435756,180537.7641373874,184195.12102041728
E06000012,70467.40099618786,71964.57782157685,73547.77249874895,75130.96717592096,76714.161853093,78297.35653026504,79880.5512074371
E06000013,73626.86758871279,74927.85442891314,76577.68813235582,78227.5218357985,79877.35553924115,81527.18924268383,83177.0229461265
E06000014,86713.10639128966,88644.47627037663,90595.91910724757,92547.36194411849,94498.80478098936,96450.24761786028,98401.6904547312
E06000015,113013.1681995109,115192.97788588988,117734.40123710132,120275.82458831274,122817.24793952428,125358.67129073574,127900.0946419472
E06000016,131790.35584354788,134816.58357161857,137774.8160216052,140733.04847159176,143691.28092157832,146649.5133715649,149607.74582155157
E06000017,16669.48732886023,17038.294047219595,17413.813965528392,17789.333883837196,18164.853802146,18540.3737204548,18915.8936387636
E06000018,137234.16768532002,139684.92074981658,142756.1018466949,145827.28294357337,148898.46404045177,151969.64513733008,155040.8262342085
E06000019,82452.90991494483,84416.40763878875,86283.69619180841,88150.98474482814,90018.27329784779,91885.56185086748,93752.85040388716
E06000020,71938.64291096598,73784.05591382558,75404.28477958385,77024.51364534207,78644.74251110032,80264.9713768586,81885.20024261683
E06000021,110950.42892500796,113714.3330989026,116210.9326996733,118707.5323004439,121204.13190121455,123700.73150198518,126197.33110275584
E06000022,83633.20232015882,85553.02405348344,87431.65925151676,89310.29444955011,91188.92964758344,93067.5648456168,94946.20004365013
E06000023,210847.64283410044,215632.81718279145,220368.35298714772,225103.8887915042,229839.42459586053,234574.96040021683,239310.4962045732
E06000024,101154.43415117044,103406.03406472852,105678.19972871138,107950.36539269422,110222.53105667706,112494.69672065994,114766.86238464272
E06000025,110229.73234138006,112674.93992199124,115153.52897512115,117632.1180282511,120110.70708138106,122589.29613451098,125067.88518764096
E06000026,121526.4727595084,124281.81778256908,127010.70842153572,129739.59906050244,132468.48969946915,135197.38033843582,137926.27097740254
E06000027,74802.85024372018,76463.46094013962,78141.77382203916,79820.0867039387,81498.39958583824,83176.7124677378,84855.02534963732
E06000030,91710.03944870844,93771.00927564064,95828.4892117462,97885.96914785178,99943.44908395736,102000.92902006296,104058.40895616855
E06000031,79715.98352687285,81521.97450058033,83312.51560746603,85103.05671435174,86893.59782123745,88684.13892812323,90474.68003500887
E06000032,81327.03676878945,83190.48864384994,85015.97021315862,86841.45178246731,88666.93335177601,90492.41492108474,92317.8964903934
E06000033,84061.98274103296,85960.64465793363,87846.16889043954,89731.69312294546,91617.21735545134,93502.74158795728,95388.2658204632
E06000034,66782.76683055668,68276.70084993626,69776.34909923995,71275.99734854366,72775.64559784738,74275.29384715106,75774.94209645476
E06000035,111770.43474564752,114296.69279748994,116806.16993982368,119315.64708215742,121825.1242244912,124334.60136682488,126844.0785091587
E06000036,48189.65641375829,49270.59634953496,50352.737591342455,51434.87883314995,52517.020074957465,53599.16131676495,54681.302558572446
E06000037,64936.03306314618,66291.99732122278,67753.35064360543,69214.70396598807,70676.0572883707,72137.41061075337,73598.76393313601
E06000038,71828.65862360477,73413.90501995185,75023.59771534028,76633.2904107287,78242.98310611716,79852.67580150561,81462.368496894
E06000039,52052.06021223023,53185.885505955375,54353.10407218067,55520.32263840597,56687.54120463126,57854.75977085658,59021.97833708188
E06000040,64636.839869231495,66067.00630325147,67519.01665404547,68971.0270048395,70423.03735563353,71875.04770642756,73327.05805722161
E06000041,62688.53874174151,64100.4880211682,65508.44006979614,66916.39211842406,68324.34416705203,69732.29621567995,71140.2482643079
E06000042,106181.9219672439,108594.9649886904,110979.2237985521,113363.4826084138,115747.74141827556,118132.00022813729,120516.25903799896
E06000043,161803.3779809254,165419.65011030997,169050.5089751234,172681.36783993687,176312.22670475033,179943.08556956373,183573.9444343772
E06000044,102866.44846527575,105244.30184910884,107553.34410938605,109862.38636966325,112171.42862994043,114480.47089021764,116789.51315049482
E06000045,109418.57489765708,111851.76849443204,114304.98518857312,116758.20188271425,119211.41857685531,121664.63527099646,124117.85196513748
E06000046,77546.49730353244,79245.13956055355,80988.2679007751,82731.39624099662,84474.52458121821,86217.65292143975,87960.78126166126
E06000047,235771.85089658145,241055.7947309737,246363.12039655348,251670.4460621333,256977.7717277132,262285.09739329293,267592.42305887287
E06000049,167949.36937874704,172288.220009305,176071.0653830215,179853.91075673798,183636.75613045448,187419.60150417103,191202.44687788747
E06000050,150468.39765095356,153886.32615310414,157274.76304667364,160663.19994024312,164051.63683381263,167440.0737273821,170828.51062095157
E06000051,137001.29094677418,140332.04655956817,143433.0576259765,146534.0686923848,149635.07975879314,152736.09082520145,155837.10189160978
E06000052,264085.89312933653,269297.74545180204,275282.26770867256,281266.7899655431,287251.3122224136,293235.8344792841,299220.3567361546
E06000054,206483.64565655263,210839.79203434303,215495.248441252,220150.70484816085,224806.1612550697,229461.61766197864,234117.07406888748
E06000055,72968.0058076452,74589.73594389723,76229.91149116756,77870.0870384379,79510.26258570826,81150.4381329786,82790.61368024892
E06000056,113396.7589102008,115937.79448751452,118487.4126379025,121037.03078829047,123586.64893867844,126136.26708906644,128685.88523945444
E06000057,144103.27479338003,147420.330115202,150673.62036191253,153926.91060862303,157180.2008553336,160433.49110204406,163686.78134875454
E06000058,202701.69398610725,207267.43272219464,211815.0734882893,216362.714254384,220910.35502047863,225457.99578657336,230005.63655266803
E06000059,178911.01648750342,182758.2125219934,186786.22647546907,190814.2404289447,194842.2543824204,198870.26833589605,202898.2822893717
E07000004,79784.47173422296,81510.2732753363,83306.44267835974,85102.61208138318,86898.78148440662,88694.95088743005,90491.12029045347
E07000005,39976.27936803883,40878.92324857161,41777.35690444388,42675.79056031611,43574.224216188384,44472.65787206064,45371.091527932906
E07000006,29437.85903794233,30117.38001959193,30778.07444660682,31438.768873621702,32099.4633006366,32760.157727651505,33420.85215466637
E07000007,73018.15403360031,74658.99637733454,76301.69340127453,77944.39042521459,79587.08744915463,81229.78447309468,82872.4814970347
E07000008,55820.98213225103,57116.09069619432,58370.165128416935,59624.23956063956,60878.3139928622,62132.388425084806,63386.462857307415
E07000009,35367.15378728941,36115.170764265626,36912.632787427145,37710.09481058869,38507.55683375022,39305.01885691174,40102.48088007328
E07000010,42286.83383115608,43198.99786878078,44151.21552254511,45103.433176309445,46055.65083007377,47007.86848383809,47960.08613760241
E07000011,78436.51036320195,80185.16066202655,81950.17181763155,83715.18297323656,85480.19412884158,87245.20528444658,89010.21644005162
E07000012,62961.563963694505,64305.44896514155,65726.88641131547,67148.32385748938,68569.76130366328,69991.19874983722,71412.63619601114
E07000026,45489.9107447693,46533.016173903445,47559.59487623934,48586.173578575246,49612.752280911154,50639.33098324706,51665.90968558298
E07000027,32536.407954841285,33262.62299063874,33993.98630395886,34725.349617279,35456.71293059912,36188.07624391923,36919.43955723937
E07000028,48961.75885209587,50080.05786478233,51183.5190923595,52286.98031993669,53390.44154751389,54493.90277509108,55597.36400266825
E07000029,32968.87227760691,33717.14999647729,34460.062573472016,35202.975150466744,35945.887727461464,36688.80030445621,37431.71288145093
E07000030,25100.93311669096,25711.983593308323,26282.692821673318,26853.402050038305,27424.11127840329,27994.820506768287,28565.52973513328
E07000031,58070.64809611964,59409.45524303261,60719.58750478694,62029.71976654128,63339.852028295616,64649.98429004996,65960.11655180428
E07000032,55045.20173809813,56183.86461329983,57423.980871100925,58664.09712890197,59904.21338670304,61144.32964450415,62384.44590230521
E07000033,33863.26569853717,34495.89384789229,35257.51488124879,36019.13591460531,36780.75694796183,37542.37798131835,38303.99901467485
E07000034,47530.88364219336,48379.37413478274,49447.96243949061,50516.55074419848,51585.13904890634,52653.72735361421,53722.31565832208
E07000035,35152.73683428901,36196.56346807793,36990.13071031219,37783.69795254638,38577.26519478061,39370.832437014826,40164.39967924905
E07000036,49088.28229321298,50077.337336222605,51183.342553654045,52289.34777108548,53395.35298851691,54501.35820594835,55607.36342337981
E07000037,42938.09667157197,43827.90345136624,44794.34943776673,45760.79542416723,46727.24141056771,47693.68739696819,48660.1333833687
E07000038,43487.32161156223,44368.65500912546,45348.0911030118,46327.52719689816,47306.96329078452,48286.39938467088,49265.83547855721
E07000039,40635.8684428544,41556.38816644804,42472.53969856187,43388.691230675664,44304.84276278948,45220.99429490329,46137.14582701709
E07000040,69246.41813113539,70702.56294884463,72255.22974776567,73807.8965466867,75360.56334560775,76913.2301445288,78465.89694344981
E07000041,57006.090577652816,58282.197928704816,59561.41958807079,60840.64124743673,62119.86290680272,63399.08456616868,64678.30622553465
E07000042,33831.74600409737,34513.111430286,35278.807350046234,36044.50326980645,36810.19918956669,37575.89510932692,38341.59102908715
E07000043,45895.77104289338,46847.77595633824,47883.24736657176,48918.718776805246,49954.19018703877,50989.66159727229,52025.13300750579
E07000044,42995.48130632563,43850.71037724608,44824.6082277329,45798.50607821973,46772.40392870655,47746.3017791934,48720.19962968022
E07000045,62226.62048815223,63563.41167425598,64965.082544394216,66366.75341453246,67768.42428467069,69170.09515480892,70571.7660249472
E07000046,30408.695140977616,30967.23840927532,31655.984264240626,32344.730119205906,33033.475974171204,33722.22182913649,34410.9676841018
E07000047,24580.047976160644,25055.84079432841,25612.41174279544,26168.98269126248,26725.55363972952,27282.12458819655,27838.695536663585
E07000061,54064.97651369752,55251.88545453469,56461.9916373294,57672.09782012416,58882.20400291892,60092.31018571366,61302.4163685084
E07000062,48562.2974992935,49708.86033501313,50799.1738628126,51889.48739061207,52979.800918411536,54070.114446211,55160.42797401047
E07000063,45058.390748618745,46042.21589474689,47055.511818197774,48068.80774164866,49082.10366509953,50095.39958855043,51108.69551200129
E07000064,49661.18194488387,50728.75433248656,51845.52085213332,52962.2873717801,54079.05389142684,55195.8204110736,56312.58693072038
E07000065,70347.08254472482,71864.04744514896,73447.24212232097,75030.43679949304,76613.63147666509,78196.82615383713,79780.02083100917
E07000066,74639.28901764282,76319.59538101003,77994.35117975055,79669.10697849105,81343.86277723154,83018.61857597207,84693.37437471254
