LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,232.42113373301376,801.5661519608572,1988.792885445768,4217.362336623618,9773.271907467231,14544.809554218742,18041.2142705374
E06000002,377.1986427455561,1206.140870490952,2920.118835424093,6098.919769848664,13985.980512919728,20758.22818531552,25718.77583245644
E06000003,345.4901523017414,1237.2401734000375,3090.562337795494,6454.007998865317,14616.652733212475,21583.9835993321,26689.769904471148
E06000004,407.2297430921775,1517.1946738764154,3838.573877447685,8191.984413939455,19031.30651170937,28334.283572959648,35152.99595025632
E06000005,298.5494188598304,987.7746664460605,2416.24375255457,5012.869557254674,11335.051743361964,16738.106954092378,20694.407471889805
E06000006,236.18093683250916,968.460295541537,2502.749401256044,5370.493821389569,12490.193682464884,18595.40681284544,23073.16993804097
E06000007,413.8871090390377,1637.9255000532323,4188.184668165027,8951.15878875631,20798.383929517106,30966.522725117728,38426.902747961736
E06000008,324.41974977142723,1157.8943527446354,2897.0090506983324,6118.297658049861,14062.815775479265,20868.31442132913,25854.49684829559
E06000009,579.6949837130657,1656.349371968735,3831.015808778025,7681.144730652441,17018.755595527397,25014.154725261345,30864.72089407765
E06000010,726.5981914586002,2525.7594542444053,6250.849513434934,13128.932626649404,30126.913021286942,44705.38490157106,55389.96186810334
E06000011,964.67986204746,3721.060858517749,9469.017869449506,19045.441547646857,40538.61572190172,58524.69841219521,71673.07703504147
E06000012,440.7707337270557,1350.0928411799362,3431.526000484023,7254.108435366313,16626.047707029793,24642.55652576471,30518.64607586897
E06000013,419.7396309833218,1508.1551782416611,3984.7211176308497,8251.32071120646,18096.69604509775,26384.788091821967,32449.553376576427
E06000014,673.6313168866269,1954.4731604377648,4568.107878693817,9214.690242006847,20403.182632804528,29955.7341845542,36946.9720464274
E06000015,840.6628216617022,2489.9281397898994,5653.420346468386,11131.308683870737,25006.35731075592,36704.91624383543,45620.88103673389
E06000016,941.194419308908,2843.149767952341,6530.63898596784,12841.162950067552,28407.222569989128,41509.29392940696,51393.11418687881
E06000017,112.143046321587,428.9069855838961,1050.5706430073094,2009.0284645424515,4095.589661061422,5798.216947508944,7077.559722175044
E06000018,993.735532770242,2991.7612697128543,6807.158668468651,13305.75454620381,29594.457920297893,43301.80596790122,53707.0737041632
E06000019,733.6046942531257,2681.3222561503158,6525.997197879505,11854.646947523,21936.283657687647,29856.772992477003,35753.16362618236
E06000020,338.6795541192404,1386.3097526782374,3476.54387421348,7148.008925961587,16267.58916952992,23937.980420288644,29743.90304909573
E06000021,698.9034384493941,2287.834601249976,5410.621331463073,10901.134186632196,24626.131181560617,36199.40872982839,44952.38777499684
E06000022,741.3089189162895,2109.083627994906,4756.619919471836,9054.07043099638,19061.798161926738,27378.20901789896,33636.26733841366
E06000023,1782.0708666712103,4891.69193923151,10872.360074913217,20957.426669760694,45556.21390293003,66230.4910197542,81815.5013739404
E06000024,730.6009791035683,2336.279241830396,5472.734268233747,10684.86870219011,23066.57817801568,33394.295180380446,41183.02387066842
E06000025,811.5499849780047,2618.1265174413847,6137.012772723673,11901.005750149548,25395.496964235783,36615.67597447989,45071.27616229611
E06000026,862.5175383704186,2585.5414386784964,5935.394243625582,11827.568723019996,26616.10115701657,39105.16236801572,48550.30450230609
E06000027,755.2074456463196,1865.0519163212025,4001.697059710789,7598.423951717616,16365.686269357802,23737.176205646952,29289.947700286088
E06000030,681.9118775356593,2012.055189145743,4601.94010714308,9073.826524097884,20146.24538983091,29471.992948652303,36513.00963901521
E06000031,462.58484511420886,1634.5054623668805,3934.549903594058,7916.219746916178,17739.72086873871,25998.216789046783,32240.32312119616
E06000032,617.0833838332993,1801.3078633377934,4095.298048015271,8033.406691873696,17740.04517677231,25908.89316872929,32073.46269110697
E06000033,648.216388915621,1862.0509588347168,4217.0588784502015,8287.252549901243,18335.83964795994,26793.186566561104,33179.273767307786
E06000034,769.233438228517,1771.0008585477092,3671.669454207065,6878.497176626227,14734.636999787605,21353.1234404446,26342.20296859455
E06000035,666.2415555734628,2277.410684136016,5436.6406824741225,10956.89642248958,24690.472706130764,36258.72236499001,45006.49255296539
E06000036,409.9013435964566,1104.499870893934,2453.512454454271,4794.392845316203,10620.75715600623,15535.141567240436,19245.8661463471
E06000037,621.9139406599498,1956.527435740869,4548.435946398033,8322.643879319783,16048.078680989718,22263.41935511344,26903.57338831379
E06000038,730.960335667006,1792.7693141683917,3827.0119246929376,7207.941254388688,15408.773945804038,22301.783171756662,27488.34912842577
E06000039,497.11136989880094,1266.27989484147,2730.262316169466,5188.752358092042,11204.11176433113,16269.935840483771,20090.4468102813
E06000040,439.1275624847822,1431.2701356677446,3365.117708508072,6633.147827661825,14545.19738289394,21174.332424597444,26180.25331902346
E06000041,370.0710865833697,1291.3001497233247,3096.7752980191403,6234.085734451279,14005.06906836521,20544.203547951565,25488.479608481237
E06000042,659.1300512815121,2175.36902374308,5170.61149274927,10418.030282757452,23487.38064730278,34494.14545969615,42806.73304633804
E06000043,1335.2435597502413,3723.663345766356,8356.26972993222,16171.211832090114,35123.696531973575,51018.60012362197,62993.58331843424
E06000044,853.1148821550549,2352.408379610736,5260.062731063623,10203.96168174077,22300.04568926008,32467.77524342788,40134.09109874617
E06000045,1488.5878338895693,3158.607007091652,6281.253037801359,11307.684007540716,23282.7400261586,33334.29543239232,40876.89899036336
E06000046,728.0704565470414,1995.74694125983,4440.217222586763,8404.476298499925,17667.19096503438,25376.202889767468,31176.563709190348
E06000047,959.9540796116388,4457.475678392499,11830.153331550791,25129.000908006743,57074.82624708516,84232.66995549672,104137.85225767495
E06000049,995.154423171425,3812.827441285657,9478.364120265713,19273.465325675326,41822.36484118723,60917.88160648043,74807.78091871986
E06000050,897.9471072085271,3242.53297098579,8122.521757143809,16615.496986641272,36500.91417005597,53326.00891363203,65635.05464035783
E06000051,1081.89251869379,4210.307530277996,10379.7143538807,19071.627119115776,35917.033481271705,49242.61073634778,59183.82931937453
E06000052,3525.374604508572,9986.791813627486,22280.03263297376,38677.587998872914,68653.69499448032,92069.80670578516,109392.22721349265
E06000054,2084.208706909773,6368.21165734115,14649.254410946898,26729.708050819587,51503.87567348068,71451.1746009097,86358.92904613382
E06000055,540.4296126749296,1711.5671920747936,3992.532925551039,7745.54762236394,16599.433665378565,23975.80549348509,29535.66267858522
E06000056,737.9936546402585,2530.1737773106165,6034.142062053036,11900.9364645017,25936.550138098748,37659.11893096226,46508.0716806414
E06000057,908.8266212258663,3595.210078075414,9224.134581341625,18161.426439417537,37191.02297965483,52882.508718861965,64323.28531886311
E06000058,1907.667858112757,4892.252143617584,10639.95888016989,20406.96600619353,44362.30268544782,64522.371294605146,79725.77349153374
E06000059,1541.7052687171158,4911.842160408004,11462.033286187712,21468.8278021718,43177.97564531083,60904.97302017752,74203.92916147126
E07000004,566.5992175031699,2058.0487092107505,4971.561417671259,9456.431241133923,19248.596359180847,27251.859608841707,33264.56772159682
E07000005,238.5111597286177,875.7573943992307,2131.258371052216,4228.552679013627,9214.220151008896,13369.550778375116,16505.46865081397
E07000006,141.5567880300807,580.3559681430219,1452.5672204053303,2963.2765943943577,6671.443147656848,9781.554491162293,12131.739491685154
E07000007,613.6746800241041,1798.6546744669718,4084.0505989598046,7840.410470584844,16703.945149140058,24092.722787157934,29662.50110377144
E07000008,428.6320302923147,1241.9165165741658,2836.1436738987327,5532.277307273031,12094.835676804643,17601.66200414191,21746.104154443048
E07000009,263.2657341304895,1030.848513456891,2532.5046312227537,4705.456057264584,9073.41013944072,12563.873895543256,15173.32634584307
E07000010,293.6926488658708,1128.0963962797364,2763.087746650518,5226.485313870782,10448.731954845072,14682.576113102852,17858.00382840067
