LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,252.87452468239115,394.511200680982,484.677065004846,356.6654612276926,458.0026539630628,709.7366480539813
E06000002,0.0,386.2306099900776,612.7352091858036,752.3803876341583,558.8536253075924,692.6476457142387,1054.5364578652932
E06000003,0.0,433.4104311061885,666.9480228085067,822.7360579153584,600.415566114156,746.606728443242,1119.5269772529969
E06000004,0.0,482.6884414918968,752.7762037213895,925.985673808092,685.9848435180567,887.9723933570758,1379.1352438655554
E06000005,0.0,354.04907313048966,551.739865513801,679.4806688130324,495.97630594670943,600.0618183213356,890.1008561173628
E06000006,0.0,320.8243590614228,496.885758233914,612.7688344498107,455.7545265872821,592.3616810840795,915.6526072639368
E06000007,0.0,539.9418909222825,845.1066060771278,1042.7995506460582,783.1563715355954,1005.744937369882,1546.7041157410922
E06000008,0.0,387.4767795399276,601.8299294538938,740.9361486288973,544.2938532264737,687.5784144572847,1049.0605489209454
E06000009,0.0,658.5795443474817,1089.497632855234,1342.9305155341635,1024.2725125367297,1122.9286631600169,1573.6325323998722
E06000010,0.0,847.3497834888342,1339.4392047856995,1649.944491147886,1233.8019419785676,1529.1916220008852,2312.10285043339
E06000011,0.0,1803.851187135983,2711.8984111540053,3362.503932405444,2384.5495973124453,2706.910987468506,3714.342365252517
E06000012,0.0,474.73725232707193,742.3338836239187,914.6244833709932,679.0843009281692,843.691553037889,1271.551589185602
E06000013,0.0,694.4142909100667,1042.6083656800092,1292.0125447702512,923.10504577534,1089.4652706113434,1541.5037748396076
E06000014,0.0,716.5142301596031,1141.2091695355707,1405.4227417505926,1036.4836091945058,1190.2021688279276,1713.8399265527796
E06000015,0.0,736.6633477236621,1169.8934933255189,1439.6501811285757,1064.3014214387151,1305.9870690381636,1982.5141764480268
E06000016,0.0,1018.2027654597556,1653.9064399785418,2035.289040794593,1523.0448745511687,1742.2302218135126,2525.826157398963
E06000017,0.0,228.79067760033905,341.5582067590253,422.97131901199066,292.53114114035094,317.9820212818356,421.7427517466877
E06000018,0.0,1161.9671655921163,1890.2577826643,2322.679459527194,1724.3666602518067,1916.903013049172,2726.466421613409
E06000019,0.0,1749.3366322437423,2594.304157272525,3219.334224084335,2197.856131092335,2242.01060645282,2769.514865703997
E06000020,0.0,492.73319051144057,750.2842817547604,926.3928525299908,670.10256066474,848.6587052817247,1286.5752032445812
E06000021,0.0,723.643670842425,1130.092685386306,1391.524165912253,1019.3859840714229,1273.5939723422234,1941.4209361784008
E06000022,0.0,905.4863563692644,1408.3191811846564,1736.6015311012509,1231.8909252667336,1342.6955494333042,1843.1382820056128
E06000023,0.0,1912.9672176803008,3108.310883231933,3824.3224102600616,2831.8261737145904,3103.1915453707093,4360.404701182286
E06000024,0.0,981.8234954611736,1517.8722945908344,1874.3315439173043,1336.7413214455064,1508.7832355023995,2119.105505834644
E06000025,0.0,1068.077692548714,1652.049519248346,2040.106097446588,1453.334675762046,1639.7358056303628,2305.03116260166
E06000026,0.0,852.6099184856403,1353.100900010464,1663.6434232036129,1219.3022723518989,1463.2736487843945,2190.63905788386
E06000027,0.0,672.4906892926048,1084.051112451171,1330.8060893257816,968.1632993792036,1063.826954151494,1505.654635801049
E06000030,0.0,677.4694333466416,1078.504808448328,1325.9621520116496,974.2602025741824,1147.639169511202,1694.6404260392114
E06000031,0.0,589.8232162569329,921.0264742868944,1135.2613455439189,829.5475163241526,998.7929484529902,1479.4145124507595
E06000032,0.0,605.829502500849,970.7734720330616,1193.9792995020564,881.9022493438022,1030.021712057876,1513.9298138394013
E06000033,0.0,591.5198659697774,941.9196707254924,1159.211198082681,853.586364344186,1018.2456856365576,1517.4483462393014
E06000034,0.0,518.6591462126927,839.9047887224863,1027.4335704246175,746.2064572236818,845.1382784895059,1238.7458981736745
E06000035,0.0,753.5306643444511,1184.773552781693,1460.24385811452,1077.025511018046,1323.6190288732985,1995.5466507696508
E06000036,0.0,341.906870731169,543.0685080796624,665.9126071053573,484.3585506498858,576.5707484903086,862.9573412657231
E06000037,0.0,1090.8491340783771,1653.970101489537,2046.15519435834,1419.8725349402423,1462.8180125719266,1863.3214848320265
E06000038,0.0,617.6658615215941,1021.0283548760148,1252.936584805896,934.3100127516856,1016.5658485946212,1438.5990652063056
E06000039,0.0,413.6854489355084,686.3477895001027,843.5814578747634,635.8507636957356,706.4665067839512,1015.108121436868
E06000040,0.0,534.9565087156199,838.2493632996083,1033.6309864332318,752.4111020784566,875.2253041333272,1266.0499888119302
E06000041,0.0,456.7000550381501,713.1200839802016,878.9518272573723,642.6608985510691,777.7853626762402,1156.677928355428
E06000042,0.0,731.8744192107422,1143.3855161395038,1404.5197357298389,1019.6751289659868,1248.2231248219894,1882.0602098946008
E06000043,0.0,1494.293314586852,2392.968022295985,2943.168318167084,2148.011919591637,2368.157392253005,3328.5474714089296
E06000044,0.0,889.0279391177686,1427.3612400524646,1755.2436085246884,1286.8965434096865,1440.3814546526623,2052.4382797550115
E06000045,0.0,1176.1790901732954,1961.6472053195248,2404.39271259346,1777.2042180919443,1812.805561668444,2450.036393507844
E06000046,0.0,827.6102982956966,1301.7138229760833,1604.4910179532776,1147.9787154446444,1242.999311107038,1707.5299988022998
E06000047,0.0,1811.500114198402,2724.575281967811,3375.269279524003,2436.8803097649584,3036.520373872232,4489.02206739522
E06000049,0.0,1663.5715594973103,2526.977848809786,3123.885137149085,2232.006853187822,2576.3647412969945,3614.001419992295
E06000050,0.0,1363.469755587599,2077.81561871894,2567.969408929053,1842.8094235299864,2161.787236650126,3082.8691834801903
E06000051,0.0,2833.7981405454248,4232.744465812983,5261.84598476265,3617.345552802052,3678.8543878580767,4543.971252842773
E06000052,0.0,6316.375123655887,9689.926798507468,12013.295206848472,8358.091328427641,8113.601920283149,9758.310846413118
E06000053,,32.72861010804306,53.63726975470333,66.17300549932304,48.14238790188981,43.58636938657756,50.746736860300366
E06000054,0.0,3575.450766457421,5415.789454232807,6709.98443261715,4633.46436540637,4744.9995929475535,6011.158082251573
E06000055,0.0,692.2179825898378,1077.5858006980195,1329.6430978445069,957.5026512893533,1081.5616694906005,1523.290250933405
E06000056,0.0,1011.9314186068134,1560.1409420876123,1925.5897613348247,1382.103253990416,1602.2579810789962,2292.489844973429
E06000057,0.0,2038.013731303792,3035.018161790076,3767.825989228852,2626.837685440216,2860.865695720652,3762.1851856607454
E06000058,0.0,1715.147166155488,2752.3173050922355,3380.265947010707,2461.5550837283545,2762.6788003039533,3964.450129832293
E06000059,0.0,2563.973333579096,3906.046857978812,4835.968211332971,3372.8502651279223,3552.347215150077,4643.409388877592
E07000004,0.0,1061.0738831844546,1605.2635113080862,1988.296069236702,1394.760483098048,1508.097011866526,2002.59868482935
E07000005,0.0,370.0265978961276,563.5082848890502,696.1296931327828,495.1081337035369,575.6510021311652,819.4344583321891
E07000006,0.0,234.340151887368,358.1234712546547,441.8746430724746,317.1376390463988,382.2995072219592,560.6994945244578
E07000007,0.0,696.9628991077801,1080.6359380648476,1331.8988218028626,950.4932916807757,1073.6820509762056,1515.5827350843133
E07000008,0.0,467.21603806969085,753.7395390924335,926.5034921032706,683.7903952228928,767.8765039508934,1097.5679785364707
E07000009,0.0,626.0386720779094,931.2195786133376,1154.760408232798,793.1207217474367,828.3152013937657,1051.451142224327
E07000010,0.0,628.9288547423682,942.536229329338,1168.1528562066376,810.6004028574272,865.5378143729712,1128.983449569556
E07000011,0.0,875.3294366979471,1326.8130221798986,1641.8183852610648,1158.425915302863,1296.160602871039,1779.1998649663233
E07000012,0.0,1040.088484300085,1549.774390303208,1921.9554580685144,1325.4055934815435,1399.2002874078128,1796.979754665815
E07000026,0.0,582.110286456576,869.5872113098743,1078.6484035844762,754.6099464334402,834.7912362614675,1117.7633793920108
E07000027,0.0,225.5306679381032,352.9512678382053,435.24901489485137,321.5178224195537,395.4291500735416,592.909953430097
E07000028,0.0,566.7679373534468,862.205009224456,1069.2497844755171,763.8836877292817,849.8169195939745,1153.515969977691
E07000029,0.0,340.6205344083903,514.3002189587996,636.7590937392283,451.0466216020282,516.7511071722279,719.6080331828987
E07000030,0.0,692.1117026336052,1027.7172805765306,1278.4098547493436,877.8912253341323,870.8550273697099,1034.4208588226784
E07000031,0.0,804.4444577402095,1225.1009780077989,1517.0540972739243,1069.2747486760763,1140.8355528120255,1499.0798129621094
E07000032,0.0,424.9748574966275,646.8756222360868,798.6757783262534,571.8212969403569,698.779203633352,1034.6816273478285
E07000033,0.0,291.40244119828606,434.6944378215042,538.4698071789501,381.5565519528264,463.1192682149981,671.3260446110984
E07000034,0.0,325.72374744602456,502.0317517782652,619.7695404817773,453.1516608165008,566.7187205423618,854.6601814136047
E07000035,0.0,517.437624280422,771.0223749614606,955.744117993478,661.1742799607428,712.1395146693062,932.5531691910304
E07000036,0.0,319.1945873887973,497.4437313905232,613.6502515473426,452.36452577779687,568.9299036393039,867.2819327016023
E07000037,0.0,356.3582000096644,545.2562710472507,673.2328644248407,482.4975833516656,574.6268603545003,835.8499026134674
E07000038,0.0,379.3035858016498,564.6758045383202,699.2999599115196,493.4987048400928,598.0877353769163,866.3606546973531
E07000039,0.0,378.3844102036765,569.9793417361558,705.347435415209,499.7741475674736,588.167895078368,838.6264070649868
E07000040,0.0,1143.629384770619,1741.7748447944214,2154.787468474419,1492.3989785006988,1527.5415020084604,1943.4062332722183
E07000041,0.0,448.6532645924829,719.2854963084708,882.4607427007495,640.7366147476791,732.7942025975403,1070.7908939605534
E07000042,0.0,798.5751419987167,1195.928701495978,1486.2502621448575,1019.0803471003578,1014.554254283896,1228.5522135859787
E07000043,0.0,831.4565938432097,1265.863293997823,1569.372618246323,1091.6440289814873,1108.1655244684696,1391.3922596070947
E07000044,0.0,982.379557711211,1492.1956899145791,1850.257014037336,1275.8421479541023,1254.3208522552088,1521.448175931935
E07000045,0.0,877.8246366813753,1347.1746999533548,1667.0665780900608,1168.972755719751,1226.4497251532664,1605.7269686513705
E07000046,0.0,889.5723163995433,1336.4900804129263,1662.2793994042672,1143.441682528188,1110.910578620748,1306.608949806943
E07000047,0.0,668.7658830571993,996.0604979817113,1238.7800575958297,844.5936385251732,831.3684161961631,988.535962553036
E07000061,0.0,493.2917257231072,797.3753102433737,978.853748145482,714.2289524564618,779.7916689615413,1097.7592910350982
E07000062,0.0,418.2426762576303,675.3524442232479,828.3697554207678,603.5413884492483,669.0476282599418,955.2554384222274
E07000063,0.0,506.9428580203087,785.0091975645056,969.9355584628238,689.0564154708427,750.5166584774333,1023.1002890477212
E07000064,0.0,704.9686801253612,1080.9332841004475,1336.7794975199947,934.9072709211972,978.6926439904717,1279.0252383163163
E07000065,0.0,1095.244866902376,1648.6549192032087,2044.9326216701163,1416.690920780694,1489.8953601047656,1922.4607546562693
E07000066,0.0,551.1964500777108,870.951080249004,1070.103583129138,779.8575006108348,924.304133654762,1368.8843086645336
E07000067,0.0,903.3573203052672,1368.6936301493884,1692.0068558580392,1176.1856507173836,1252.9799539026671,1652.6662262044254
E07000068,0.0,251.0621882208221,391.27459643176826,482.5393407029927,352.0145061801795,422.4568121772802,623.5743779246086
E07000069,0.0,254.86183552793327,396.7215812363264,489.0549060106719,357.5943149450966,441.78484790311205,666.2367072701687
E07000070,0.0,770.0624799625232,1191.5550012144445,1468.1346645197978,1037.5012692787532,1131.7185454476237,1551.6161188175338
E07000071,0.0,856.4530795840747,1335.3473745703498,1647.491307472007,1177.5339783830254,1278.0064942052804,1744.9851190336835
