LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,692.477903984255,739.6952366413992,1069.7337853568074,2568.755971263148,5511.708574111103,8109.989416324652,9291.246855349444
E06000002,990.0618709327676,1161.95196006037,1652.760402217797,3848.926681455384,8184.512798351329,11902.03415240274,13521.954288403696
E06000003,650.8319438815453,819.9415572201787,1336.7058270079465,3605.055260146386,8074.649739350531,11901.679220135042,13577.628963788982
E06000004,1291.7188696488752,1374.059981832918,2011.5728283944327,4925.922008264368,10661.298447939864,15732.393380365533,18044.141694844555
E06000005,730.2718534550219,800.4166311530258,1187.8887541925142,2892.734069043397,6212.025744053274,9138.982396872429,10473.097478607284
E06000006,641.562543326572,801.4609510112613,1241.284938595647,3223.2241669119685,7145.445114180604,10507.907892143585,11974.238365029512
E06000007,886.5937397609363,1140.4146871972462,1870.4118279629377,5163.213949533565,11686.829113631822,17282.165183690784,19725.0316489983
E06000008,914.3841314098408,989.2602619446108,1467.249420879508,3616.342189562988,7819.726002517921,11526.639649954148,13210.058642354395
E06000009,1261.7913493582978,1377.7328417830124,1957.2739739289764,4462.261168513185,9326.909770325845,13611.619994838293,15561.521229094124
E06000010,1744.9950709070083,2089.3114240257264,3157.2839140661736,7896.72371701578,17208.240270180766,25205.06043677898,28697.177205274467
E06000011,1494.9709217081236,2084.544300543952,3584.773305953427,9562.428380147196,21064.288928426824,30840.623040834667,35160.42031505901
E06000012,872.1659784065561,1033.6854272654805,1620.5736766989762,4238.717344442989,9551.9192079207,13978.415760193968,15851.89872940206
E06000013,893.0140278584844,1111.0758491111585,1787.8388805159907,4547.3007012856815,10035.478749430667,14575.689389137517,16511.89645997349
E06000014,1109.5029130434257,1263.5139665640831,1951.8321192315325,4945.305783539969,10774.310930481824,15928.181402704482,18296.24278519972
E06000015,1394.6863015833042,1605.1657653019238,2525.5141406700227,6510.044409435433,14909.741230628371,21951.134255120844,25095.6488094188
E06000016,3135.787960653027,3455.106850384236,4519.8342638110325,9059.598648401805,18485.215886961752,26360.403109896484,29833.500172134623
E06000017,218.5339343881257,253.2880878665218,378.1969984053408,903.8647466492812,2104.9619912102867,3128.524807045473,3637.110211106257
E06000018,3959.6069000568336,4656.449460442966,5506.577009308498,9469.265904979138,18536.38164222856,26739.32528293228,30963.57936159544
E06000019,968.933442068632,1314.9849799679766,2068.9112958266337,4781.076722165205,10393.21761340484,15062.338320400737,17305.354997285496
E06000020,918.4503687195806,1087.6852407945807,1609.9220259876556,4056.10209121206,9558.429665569298,14244.607704406815,16453.400650573174
E06000021,1533.0758361325463,1734.275774761274,2572.393743265532,6397.057005464375,14741.77212290748,21804.516787459565,25045.349258903705
E06000022,1503.8512796675304,1775.9581772071615,2316.3546613736185,4760.144544164193,10263.399463229598,15265.942612988789,17869.80460661984
E06000023,4207.457109888799,4964.930438717484,6294.222373176813,12374.5329998889,26234.693726733884,38752.78317518487,45205.978890374856
E06000024,1442.6683334632185,1713.0028147874414,2363.757539033464,5373.76265500458,12191.378951270692,18408.24268662141,21648.61674010562
E06000025,1444.1547914728003,1759.0745147817845,2469.488577847344,5644.396060016244,12905.843960382388,19683.01996640031,23359.686753638915
E06000026,1568.935900282548,1888.1000725393933,2650.520547201392,6292.780770954591,14655.247335601493,22249.33512668848,26169.062691586405
E06000027,1379.6775923575055,1607.027893406596,2070.6905825718995,4214.523347695711,9094.270275593855,13527.0197753905,15822.00357391411
E06000030,1660.04347100455,1810.5317438102368,2490.079685774488,5546.755851494543,12224.421595146045,17875.595348248706,20480.772030005493
E06000031,1343.906831067258,1446.7811576338572,2046.5564759158424,4751.458975814262,10678.712596091407,15691.65284405411,18008.686645566973
E06000032,1601.8327082083167,1753.0335000424136,2394.5866089548435,5184.090326346,11073.889393843136,16020.146088492502,18235.96366174383
E06000033,1362.0849022575426,1541.8162588860862,2285.644254737885,5325.649931286378,11481.526059497435,16582.815376365586,18788.5058620398
E06000034,737.0218344524702,850.9677727320686,1321.6514838496482,3438.4782558917555,8139.480856659859,12136.15845725111,14011.211322752792
E06000035,1596.8311071649805,1810.90962251892,2678.295716098559,6546.868112725568,14884.955825609184,21917.030665274964,25117.55958063842
E06000036,737.2940232017723,852.9412895499057,1197.644666146842,2778.2188900989504,6292.125918793015,9278.17232403269,10673.171764415987
E06000037,1294.6132364712576,1456.7575590071908,1995.8562680373443,4061.336290037172,8449.415773545075,12127.651567724582,13884.332073555368
E06000038,1626.9226839006556,1799.9522238649106,2354.2252548700826,4704.519626605421,9632.647025342792,13762.47834631641,15608.784225386991
E06000039,670.2403754062151,789.2200891529777,1198.563093358944,2927.783777995471,6552.374841649016,9589.052420798036,10946.230471185374
E06000040,823.3226469617583,938.3596181637184,1409.7073109604669,3531.069114038128,8254.577717846942,12268.09030128614,14160.059690203838
E06000041,896.5028049000647,983.3872150849202,1425.2772737119958,3483.014535574064,8146.563731231425,12124.694462624677,14015.069477933324
E06000042,2384.558701440451,2534.479325217208,3300.14103572272,6838.558347594852,14727.87386384034,21427.710955778348,24558.12899305772
E06000043,3481.618792836197,4602.09077229871,5647.728985713872,10370.46097006248,21121.72325472741,30782.69480241936,35746.46831423833
E06000044,1977.9523196489488,2503.098265589242,3155.0979806492687,6175.194153180915,13062.549167836263,19268.27302344816,22450.908438663653
E06000045,2312.64272701651,2911.652388069728,3575.728444988305,6512.878688079179,13162.383747121929,19164.64877305948,22263.72040784416
E06000046,1180.2530737533234,1288.1885100505797,1778.6134413030584,4007.381954932376,9041.467772084645,13641.525104263472,16050.622430251682
E06000047,2569.275681127708,3019.548325905688,4954.12659976014,13460.879737614228,30099.59879701773,44865.658633691884,51723.55671619285
E06000049,1855.3643437018145,2236.558779149981,3618.830313263146,9630.081444467973,22020.50178894684,32470.458091176948,37128.90308404817
E06000050,1990.1420377510324,2560.88159055508,3879.90432698245,9404.081945199734,20174.499618461254,29362.036582486988,33401.22199241493
E06000051,1511.5666503640025,1991.265297728372,3014.320687450061,7115.071060661426,15859.920027424172,23738.126055780293,27883.99816473264
E06000052,2718.103389602575,3710.5385787384703,5640.864585147066,12890.337229882947,28035.292569327587,41601.06243956352,48762.4095184483
E06000053,,57.36172974198411,64.95639890500742,90.18400036462285,141.99816079509145,188.4554938504617,213.5275463225203
E06000054,2487.1939479771413,3144.20903252924,4590.332079440233,10589.801887208574,23622.003313483667,35425.215702657595,41632.66844699205
E06000055,1072.4073286104488,1211.4994201624545,1766.60194702082,4173.593807704267,9433.907228046806,13882.687058185693,15963.571889831592
E06000056,1448.7836083818795,1641.3664334424343,2446.65711871159,6102.848829517881,14432.109621317397,21540.34127858408,24965.581580301983
E06000057,1884.465096617116,2331.0512998735435,3655.383741186875,8756.832334061197,18315.809260575286,26717.181449911062,30644.20335090077
E06000058,3256.206228022491,3982.256921543121,5242.574870252895,11132.7853969696,24565.98171325652,36764.978938996486,43070.200087173456
E06000059,2608.8401038942425,2941.605441611209,4151.026026069161,9388.429695756136,20968.37570803809,31505.22682169397,37040.4329324473
E07000004,972.9753549002252,1175.0086499201427,1808.226442235725,4412.762001559912,10103.314518079782,14909.716319490704,17209.670917222837
E07000005,629.363231987897,694.4641866103821,982.4618747754172,2282.209247214365,5240.291974223274,7763.034422056768,8980.023357555176
E07000006,569.3098898008865,620.5721000235753,824.4822690234613,1775.9341872768716,3979.972104774097,5866.482698585798,6782.304261225556
E07000007,834.2038093149298,981.9798597273808,1520.9450041049884,3892.777943045748,9158.705700856071,13628.89868209965,15747.256991797742
E07000008,1683.9665793730103,1870.655486132599,2319.18354034042,4216.805604930492,8170.719000114344,11476.119236867864,12943.74318834848
