LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,56.67760284925574,336.9141121005715,1631.3485590804266,5202.166370952793,8884.18320466097,11917.231222148006,13563.494740479751
E06000002,90.66117744585064,491.6590778751872,2337.5522909716874,7387.536918505792,12566.761955083808,16857.322191974537,19199.630182333807
E06000003,82.89288492397344,500.5865234954517,2430.8296416047024,7645.335216177096,12988.721472514437,17407.18848581628,19801.043062294804
E06000004,99.08752116257384,644.1617214884467,3166.049969099281,10132.391083019613,17314.82384270365,23231.462626972818,26441.98410188111
E06000005,73.60988056690822,399.7861403986344,1886.4684362100409,5931.274467824524,10106.447471491098,13534.853375380577,15387.099903450804
E06000006,55.13594754500206,414.59536260208006,2082.650614898703,6643.219315653913,11314.864008380377,15188.043393137352,17296.13496083157
E06000007,95.65468095741672,696.1426352839267,3472.6340207612066,11064.179598083358,18840.00689931182,25284.50121233156,28792.5789685232
E06000008,78.17142145547244,482.0612894291552,2341.577284891052,7443.345536526775,12704.969794384724,17035.34375998657,19380.80091509913
E06000009,138.17765323998034,641.2618222730338,2831.336564191648,8773.83046277486,14918.62660858488,19951.732032315263,22686.559660787618
E06000010,173.42930384485706,1038.5818236794908,5031.9768809141215,15923.125123909143,27100.99589272017,36350.560413312814,41387.74580240797
E06000011,230.71307251867,1401.507670103506,6650.027165397245,20195.911506237528,34107.27553958276,45505.44585497212,51565.69270905273
E06000012,85.3008140174602,571.3858897172479,2760.254993426472,8687.755127090139,14697.899294764404,19709.83037667349,22446.36952156469
E06000013,80.18319578456091,608.1902363080612,2965.979326511268,9135.121404062971,15397.955562432631,20588.953661952502,23378.841451336968
E06000014,162.1964753794409,754.6325009534828,3397.594615481027,10548.69024084494,17936.90514031079,23986.98994947521,27252.692116444272
E06000015,192.8452928611761,958.3856866031164,4539.547386647004,14140.1536104018,23725.36173397735,31664.997360866462,35902.73322356226
E06000016,221.17320844988075,1108.3714276681171,5147.517424048432,15903.801405527109,26679.069028174938,35589.54820666397,40361.99963752993
E06000017,27.088872115673308,151.94196008483772,706.6741046379643,2115.5386116117115,3512.7725300298134,4650.974041786327,5235.41023342581
E06000018,237.67729950766469,1143.7143133079635,5254.695359292011,16590.269129590124,27988.32704209394,37289.12723018165,42234.0076416825
E06000019,169.44793981680922,844.4944244037097,3686.352144298719,10309.703252588391,16950.188841676245,22263.13831127729,24897.197846654886
E06000020,78.34393477641258,575.1762026384514,2919.4224061638697,9248.696370729967,15524.891132148216,20722.48690205488,23477.094168850766
E06000021,163.97856199872118,918.2457213251288,4466.374838431892,14033.831010641978,23552.39591791468,31438.19814597168,35637.32980569726
E06000022,169.20383120338002,759.8938087822951,3377.737851145311,10354.732138810276,17383.626384348714,23070.104344838262,26033.90927815545
E06000023,398.1718654710843,1839.6626606944048,8207.925593989692,25577.80375876877,43040.002385519256,57250.655963671736,64767.22868371669
E06000024,166.4197343776679,876.8387637724313,4090.546196677016,12737.285297429697,21438.95405682196,28494.30780951857,32175.4528059962
E06000025,192.7706709575697,958.6768449674162,4476.773548133207,14014.767592519873,23651.261060926183,31427.843334514248,35471.51213080317
E06000026,197.20807560878373,1023.0231567170928,4819.239850007996,15306.40936238389,25828.121221460005,34417.310994748645,38955.18494857482
E06000027,170.62646621281476,682.5925025489901,2944.075400803984,9103.49007315388,15300.993856751262,20335.549226487587,22992.2985601594
E06000030,161.68490908271912,783.1531664529808,3641.3057803560414,11315.469334311603,18957.337849527343,25275.130868113672,28641.818830608307
E06000031,110.36363670336635,655.8597418638824,3192.5183491465223,9994.188874628551,16761.936195825452,22359.89310161761,25334.468669088223
E06000032,145.8915100875179,696.737842196167,3222.3898111254307,9964.648882519634,16702.262862425116,22273.61364989916,25248.732662382245
E06000033,155.17130737199332,723.9219958747807,3366.114850706859,10374.908681958228,17404.52253444275,23223.94313142551,26334.29246035831
E06000034,184.17150555529852,638.9003521997506,2673.2091320804057,8119.196387195503,13535.88570447568,17998.103552868884,20372.21391274992
E06000035,160.43717447330695,919.275326056326,4473.794293753381,14024.84225196579,23540.446409096166,31420.66189403924,35618.310945447134
E06000036,97.80664356682888,423.628743859151,1924.8396635894464,5973.077504728425,9996.732684893052,13323.060900676695,15094.93853144626
E06000037,149.51172157726592,644.7717579360252,2750.4109610161854,7895.789171882784,13043.8834193026,17204.80283975337,19327.913328945368
E06000038,171.49331183560355,654.8153917677874,2789.653825013705,8447.677971328849,14115.7114956971,18786.221104140703,21287.24999098282
E06000039,119.86958621011472,470.4294154119716,2038.8098135502848,6204.700525132603,10373.9409205194,13811.590171742895,15649.96958024509
E06000040,106.93101470503422,553.8994377907346,2601.868679712187,8060.291200200661,13484.346104473443,17957.1658248835,20323.46406920532
E06000041,88.75019704077829,518.1661103487122,2513.169141823115,7895.98610627177,13233.881649952697,17647.3603129108,19988.974851698324
E06000042,158.69155153157467,876.1667109612309,4222.263447966383,13279.441837686869,22278.6209409148,29732.611159361782,33706.061151769456
E06000043,318.7930311774208,1407.0942986256248,6328.4062319906125,19717.80304401354,33168.82637811481,44127.1128322965,49919.64515699283
E06000044,200.5421261333293,889.8881180430632,4031.078316259431,12614.439055172874,21233.651418539288,28260.21702674357,31976.45862591915
E06000045,349.86292651586854,1077.725429633193,4193.380781191698,12587.19795544556,21052.01278022128,27901.02479877768,31533.07203217581
E06000046,174.2600553291739,716.6535523716008,3124.151465421108,9554.098143072542,16036.281078273358,21273.14897160655,24003.56697157062
E06000047,229.46872779399607,1865.8690943751444,9436.846506660895,29894.28447202041,51008.68365763156,68312.9100659728,77581.92075188023
E06000049,237.6468536503771,1441.003153068939,6764.660239057447,20863.31551433488,35213.41164472952,47070.959905602576,53474.32245961313
E06000050,206.54510195064992,1263.5802658014047,6028.052000509825,18639.42204034881,31579.96289659257,42237.009453607854,47969.66783745858
E06000051,248.2623208555772,1351.951591153791,6031.966331039823,17269.597320905494,28662.63517451263,37675.90371009047,42129.23130190135
E06000052,841.7782944917177,2993.951039005705,11499.936610116089,31175.56222871272,51222.73451927682,66881.85669995008,74547.98288729771
E06000053,,15.268298533391288,46.25526980225045,115.96012020186178,188.17931870641783,243.4474093305984,271.30435715794687
E06000054,492.31710551094255,2079.005307044527,8826.540171699422,25576.20764900868,42533.24213929397,56027.84076444704,62823.51220186457
E06000055,129.09204034309522,640.3835726171765,2954.626820624421,9036.591835488833,15093.455745797724,20074.99925357645,22700.167517952763
E06000056,176.9855393383638,971.5842376821444,4607.759722804056,14270.545196776398,23851.04339296932,31740.075972976723,35892.67604036564
E06000057,217.83822809724893,1295.9071211073835,6028.800765798764,17949.127332128934,30312.21414245273,40296.22010822007,45501.2658715665
E06000058,449.7466920074149,1810.4049936149613,7999.588755712788,24916.65422796104,41923.57357674932,55758.57883762566,63060.27605638213
E06000059,369.2616565133827,1691.9523095642903,7475.848054909629,22311.27825132395,37298.79489442153,49314.40904913194,55454.38870403524
E07000004,133.32656699913457,724.1340711696248,3344.260560095069,9979.898879378676,16589.60997776109,21979.398490836946,24762.178614511547
E07000005,55.95425708508673,337.47973873961485,1631.5949850207132,5060.942641029079,8460.973233138062,11260.766018893326,12731.76344371994
E07000006,35.089871866963875,238.38106006137087,1185.2528044687592,3735.859276125661,6260.373404190374,8346.312755517505,9448.786695869798
E07000007,146.04616184332974,660.533930746423,2982.8923515252086,9088.988145812433,15159.773055190357,20148.4237516775,22771.69950473395
E07000008,102.13206850687924,478.53872725142753,2178.8466313021563,6695.985010123586,11222.06233973186,14962.057312994142,16964.980792485967
E07000009,62.88575619878298,339.7256761143726,1535.1961387482074,4442.980150002425,7340.923032095332,9680.256286862415,10860.579706488916
E07000010,71.28694975070302,391.22494863679816,1799.2669734170938,5303.1422191600295,8799.696039687598,11641.819448268514,13098.084762780476
E07000011,120.28906942998968,687.0822316403974,3249.536573026698,9896.176431491424,16497.723740380618,21907.953733003204,24725.468111043585
E07000012,108.31471832274016,596.9425720990461,2722.601483611264,7953.978765837774,13159.255778592424,17370.923674422545,19505.061932470733
E07000026,69.94803963504899,404.6872402565488,1888.546769157966,5683.727074793864,9616.406752516516,12800.034873376617,14468.745452724175
E07000027,46.68518445379274,267.89613879597044,1280.341426709119,4045.793403980973,6899.123875844908,9242.471259649845,10508.076814793892
E07000028,74.52927913778159,428.0274884872469,1995.5534067314848,6061.843417179562,10270.626496789691,13690.610853069677,15499.439633597176
E07000029,50.92783830499384,285.8876061458424,1343.017371342933,4120.901951903171,6994.304419933394,9333.411468970038,10573.906836954777
E07000030,63.2471742541715,279.7252716417612,1145.366650091704,3020.27787869994,4987.246610523738,6517.979496270706,7259.7698731431165
E07000031,122.68879317349152,549.6580496757815,2397.357872140429,7081.1232268584445,11941.20416644317,15863.039798928778,17917.87380730634
E07000032,75.48426411573698,459.2996817324231,2252.858306849824,7059.719443006993,11821.989481778766,15754.64145558525,17828.94069894942
E07000033,30.443560917139468,269.0636489539466,1389.9483734158566,4381.261393735529,7341.220439325167,9784.350643913383,11067.3611109765
E07000034,50.294281528786,374.9850415428497,1906.700052151052,6051.648553230743,10164.530530528731,13572.594323148507,15383.701093841068
E07000035,51.23254380445078,317.5311907362825,1496.6133943940408,4464.0112500448295,7410.815029508438,9807.982057818834,11034.976920957404
E07000036,64.07614252045596,399.9882069214289,1980.938839813293,6258.52595457603,10502.64188117374,14017.128327119804,15884.097592296846
E07000037,59.21549831826224,358.94232614143004,1747.7692179060205,5450.170243975893,9124.880055296211,12157.271589837805,13757.346962360796
E07000038,43.43574595101621,351.6034102677892,1796.3910991735715,5644.8995655439,9450.951433839791,12589.533606358898,14234.403743370896
E07000039,49.83028877462798,339.02205391422405,1677.4503082086703,5216.036558414568,8722.042686227473,11608.327379069377,13120.028584942427
E07000040,153.84560694012737,671.4187748418368,2875.090369701901,8426.226772265021,14047.968564886503,18539.229907254103,20825.35127420349
E07000041,126.92181866297916,516.2344619339865,2265.844799200988,7059.377178702229,11874.810444891436,15793.169496678767,17859.907551643046
E07000042,77.82983324276387,357.8241146659218,1512.6243535148303,4197.733233723987,6927.70382684837,9068.248164958037,10109.223844056354
E07000043,105.16041812575035,459.80631010510206,1954.437296390127,5639.0336794774485,9371.14558653667,12337.102583776134,13828.180666335424
E07000044,128.2440887808961,477.2018973911264,1887.946921240152,5190.793692390458,8551.791645802441,11186.170210495142,12478.487205299156
E07000045,136.57777748248552,596.7160126389263,2591.4981215607354,7717.41465423022,12895.738095121693,17046.123914487136,19169.925492727627
E07000046,73.54944023305809,338.2170622444603,1384.5753410930763,3677.429295559845,6018.924732431733,7829.704676439691,8685.408898564247
E07000047,57.82159105702585,269.28060263895725,1126.523461967176,3046.6078614425014,5003.890381311128,6525.249408068697,7249.459229667371
E07000061,127.04227477415628,486.9102279090083,2108.1161801442568,6526.970333234351,10973.01554776226,14587.77797655236,16499.10815800439
E07000062,113.1949495350085,437.6613592674846,1903.9506461309693,5916.165481146673,9950.537181170714,13233.892413215966,14971.1878622055
E07000063,86.31498657163908,406.6271864421585,1834.8239801441528,5620.556759040323,9436.623080650224,12517.83692350105,14116.467919170998
E07000064,108.89966957679484,471.86532292187246,2053.7356818569247,6125.901872272205,10241.12355795817,13542.220710786023,15235.186701406084
E07000065,121.07005400034704,651.0241923670787,2970.831111193126,8850.741636538269,14795.719802413443,19552.54033442316,21966.01546114173
E07000066,130.0146441431597,636.8755318283296,2967.7482015505047,9244.926881963307,15486.903142142844,20648.575651283456,23397.978229339984
