LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,13.534022820965388,74.14793421140853,153.77598767406303,237.4913246265092,358.3676006040177,498.9768740501235
E06000002,0.0,19.50275130241477,107.7770375586449,226.16674859176925,354.9331803896522,550.7452276469853,781.7353605033702
E06000003,0.0,24.81403490897405,133.15954718911172,273.8304320181672,418.87613805899343,602.1898380705071,816.4641219554119
E06000004,0.0,25.88728168282677,141.37716544020788,292.81814942561266,452.46644872568254,684.8364190467712,954.3559284164288
E06000005,0.0,19.83068740483158,106.74886134580032,219.67065090104668,337.579775246634,491.3016193467868,673.0017661966449
E06000006,0.0,17.31590749093106,94.42810338488624,195.7927317585759,302.5386196033206,453.0885059654517,626.6314914940335
E06000007,0.0,29.45078315798301,158.94629494252294,329.1302781192277,510.34373562893126,776.0060115205739,1087.5497111169575
E06000008,0.0,21.3482657147913,115.84078372038437,238.9720226635432,367.5095849073337,543.0192047631677,747.5238103071016
E06000009,0.0,32.829348981573375,176.41628731515289,370.2168106689999,595.1023594212547,950.6626256410896,1389.3399099041314
E06000010,0.0,44.50133084371298,242.56492101874355,505.3394206953537,789.4339210294796,1208.666140541657,1704.4726181918666
E06000011,0.0,110.43754932136773,582.5421187972713,1183.6582328058423,1785.1842217262094,2329.836465045307,2961.740244455707
E06000012,0.0,24.77681828377473,135.83470626279905,285.1246372466656,444.681188222516,671.2467192219314,935.0973639840686
E06000013,0.0,39.22611841971215,212.87985253050613,441.5844300552577,673.7430924823169,904.5113958918377,1161.7762808593754
E06000014,0.0,40.17980808391445,213.4937265739796,439.6450554131555,681.8716569200973,1014.2674592878076,1419.769825336658
E06000015,0.0,35.308902950515574,207.1078529111467,438.8393871436601,692.7787275599468,1069.672444891461,1524.0683684571786
E06000016,0.0,42.57989413556035,256.9294095080746,554.6118357217131,900.1476819574956,1434.4333089978918,2082.30650598092
E06000017,0.0,11.970203696176164,69.08416248923709,144.09090017225827,220.2801165950803,280.7130425734541,348.2157721454505
E06000018,0.0,46.58623884486688,281.37896076952546,606.9084809498038,988.9360989832552,1571.6831933043604,2264.954310985318
E06000019,0.0,93.53262620459464,537.9060701393405,1119.6096221027326,1704.9582983678122,2079.3627072744853,2493.897656716636
E06000020,0.0,23.86139627828861,140.9142430919014,297.3188435789715,461.6269772750228,662.6771213088316,888.7746962127945
E06000021,0.0,34.355717544637045,202.94891271811832,429.9512619728853,675.1942970612764,1018.0291278120296,1419.585563429849
