LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,42203.29375596841,43119.71079274692,44084.06620263766,45048.42161252839,46012.777022419126,46977.132432309874,47941.4878422006
E06000002,60786.68542549802,62178.2706780654,63566.68707054415,64955.10346302285,66343.51985550158,67731.9362479803,69120.35264045905
E06000003,61884.02810615325,63310.49666502509,64724.956306191634,66139.41594735815,67553.8755885247,68968.33522969123,70382.79487085776
E06000004,81930.06544209452,83756.38946194475,85630.63373350393,87504.87800506312,89379.12227662226,91253.36654818144,93127.61081974058
E06000005,48465.34378807557,49518.21731906577,50625.67328611368,51733.1292531616,52840.58522020952,53948.04118725746,55055.49715430539
E06000006,53627.28464985045,54852.4412724383,56077.82418191881,57303.20709139933,58528.59000087985,59753.972910360346,60979.35581984087
E06000007,89532.98913579492,91631.64915622296,93678.69885031437,95725.74854440572,97772.79823849713,99819.84793258851,101866.89762667989
E06000008,60308.43434696806,61651.22452465213,63030.09782863981,64408.97113262747,65787.84443661514,67166.71774060279,68545.59104459049
E06000009,75045.40278961776,76965.82923436826,78682.96726494165,80400.10529551504,82117.24332608841,83834.38135666179,85551.51938723515
E06000010,130416.59106789982,133389.9784086537,136369.8478389172,139349.71726918063,142329.58669944416,145309.45612970763,148289.3255599711
E06000011,163811.4322389756,167649.0730996534,171402.07000831782,175155.0669169823,178908.06382564674,182661.06073431124,186414.05764297568
E06000012,71040.09973895579,72621.41117161744,74245.79587448282,75870.1805773482,77494.56528021359,79118.94998307899,80743.33468594436
E06000013,73965.91299792066,75615.38004209065,77308.25986211121,79001.13968213183,80694.01950215238,82386.899322173,84079.77914219355
E06000014,87536.20120646365,89615.50145558766,91617.8336558864,93620.16585618518,95622.49805648396,97624.83025678276,99627.16245708152
E06000015,114319.18010594824,116926.47921135972,119533.91645432494,122141.35369729012,124748.7909402553,127356.22818322052,129963.66542618572
E06000016,132824.40573632251,135986.71180666704,139021.5512574473,142056.39070822758,145091.23015900783,148126.06960978816,151160.9090605684
E06000017,16820.084029446574,17204.493048318847,17589.78666423096,17975.080280143073,18360.37389605518,18745.6675119673,19130.961127879404
E06000018,138189.86830707025,141442.61489085306,144593.80221186954,147744.9895328861,150896.17685390258,154047.36417491912,157198.5514959356
E06000019,83706.1225424825,85461.21320126778,87376.87951160103,89292.5458219343,91208.21213226758,93123.87844260084,95039.54475293407
E06000020,72859.11027464201,74385.89316233345,76047.96963197285,77710.04610161226,79372.12257125163,81034.19904089106,82696.27551053045
E06000021,112127.1403843794,114707.29600941185,117268.8486182654,119830.40122711896,122391.9538359725,124953.50644482604,127515.0590536796
E06000022,84356.0353742621,86298.23619149176,88225.07446342279,90151.91273535378,92078.7510072848,94005.5892792158,95932.42755114684
E06000023,212405.1735655948,217696.71403267435,222555.08673403808,227413.45943540183,232271.8321367656,237130.20483812923,241988.57753949304
E06000024,102077.03853759875,104341.13616841876,106671.5350466966,109001.93392497442,111332.33280325228,113662.73168153012,115993.13055980796
E06000025,111274.013038038,114350.54526779026,116892.78284861876,119435.02042944728,121977.25801027576,124519.49559110428,127061.73317193276
E06000026,122579.89704506792,125329.61115018456,128128.93638068136,130928.26161117814,133727.5868416749,136526.91207217163,139326.2373026684
E06000027,75341.13728702262,77145.31364834278,78867.20414983171,80589.09465132072,82310.98515280968,84032.87565429865,85754.76615578758
E06000030,92459.98673274471,94556.10470789338,96666.6834515079,98777.2621951224,100887.84093873698,102998.41968235154,105108.99842596604
E06000031,80390.3028839402,82225.13827154993,84061.85097206516,85898.56367258036,87735.27637309558,89571.98907361076,91408.701774126
E06000032,82031.85775854863,83953.7471312731,85826.7556072003,87699.76408312755,89572.77255905476,91445.78103498198,93318.7895109092
E06000033,84887.18316662825,86863.73729701217,88798.60420984899,90733.47112268583,92668.33803552264,94603.2049483595,96538.07186119635
E06000034,67370.0244819134,68896.32279654563,70435.16297955597,71974.00316256633,73512.84334557668,75051.68352858703,76590.52371159737
E06000035,112708.77614821022,115325.39992572847,117900.15723976029,120474.91455379206,123049.67186782388,125624.42918185572,128199.18649588757
E06000036,48579.6696844129,49705.81735927492,50815.92799842107,51926.03863756723,53036.14927671337,54146.25991585953,55256.37055500567
E06000037,65506.80189961608,67032.40403468859,68531.63010216414,70030.85616963965,71530.08223711523,73029.30830459077,74528.53437206628
E06000038,72429.55597600999,74125.69483265953,75777.26703942749,77428.83924619544,79080.41145296338,80731.98365973134,82383.55586649927
E06000039,52496.31834942699,53683.71066427819,54881.01355078861,56078.31643729906,57275.61932380949,58472.92221031995,59670.22509683037
E06000040,65186.45275553667,66678.03518362231,68167.85547323254,69657.6757628428,71147.49605245308,72637.31634206334,74127.13663167361
E06000041,63217.59701856808,64648.486473904144,66093.17733784449,67537.86820178485,68982.55906572519,70427.24992966553,71871.9407936059
E06000042,106995.63289186504,109411.13998365289,111856.2302967487,114301.32060984457,116746.4109229404,119191.50123603625,121636.59154913208
E06000043,163212.8693609239,167111.1614922449,170836.61971935417,174562.0779464634,178287.53617357265,182012.99440068184,185738.452627791
E06000044,103785.99143690577,106200.26747961478,108569.65386770244,110939.04025579015,113308.42664387784,115677.81303196547,118047.1994200533
E06000045,110356.91028082315,112732.21703327529,115248.73175687614,117765.24648047693,120281.76120407776,122798.27592767858,125314.7906512794
E06000046,78252.28283795113,79980.46855920966,81768.17560673905,83555.8826542684,85343.58970179777,87131.29674932714,88919.00379685652
E06000047,237913.74860571,243418.0136874034,248863.66156504548,254309.30944268763,259754.9573203296,265200.6051979718,270646.2530756139
E06000049,169538.73154053718,173967.88551725197,177848.94746955167,181730.00942185152,185611.07137415127,189492.13332645103,193373.1952787508
E06000050,152150.01654962552,155451.77124367125,158928.40763286818,162405.04402206515,165881.68041126215,169358.3168004591,172834.95318965608
E06000051,139061.68524349126,141874.14312705133,145053.9017658959,148233.6604047404,151413.41904358496,154593.1776824294,157772.936321274
E06000052,267503.3140382687,273068.5086283726,279204.9724115259,285341.436194679,291477.8999778323,297614.36376098543,303750.8275441387
E06000053,,1250.2527445926132,1278.365681511022,1306.4786184294308,1334.5915553478394,1362.704492266248,1390.8174291846562
E06000054,208743.2116757645,213085.52750148467,217858.8355271487,222632.14355281283,227405.4515784769,232178.75960414097,236952.0676298049
E06000055,73567.74505053146,75248.10683280912,76930.20776870672,78612.30870460431,80294.4096405019,81976.51057639954,83658.61151229711
E06000056,114363.9256126058,116963.5681901948,119579.49580685346,122195.42342351218,124811.35104017088,127427.2786568296,130043.20627348823
E06000057,145520.15146128082,148727.6226295032,152065.41509094185,155403.20755238057,158741.0000138192,162078.79247525783,165416.58493669642
E06000058,204433.49503171927,209024.6472475119,213690.79813515645,218356.94902280107,223023.09991044563,227689.2507980901,232355.40168573472
E06000059,180534.6700501028,184629.22491841557,188759.60445588283,192889.98399335015,197020.3635308176,201150.74306828485,205281.12260575223
E07000004,80437.93124153708,82337.96840423184,84180.31084040363,86022.65327657542,87864.99571274724,89707.33814891904,91549.68058509084
E07000005,40321.62130162956,41237.23434714197,42159.046348148135,43080.858349154296,44002.67035016044,44924.48235116665,45846.2943521728
E07000006,29668.704584013467,30346.5434744794,31024.446033908494,31702.34859333762,32380.25115276672,33058.15371219584,33736.056271624955
E07000007,73655.4405198592,75370.51444881219,77055.93372483258,78741.35300085293,80426.77227687332,82112.1915528937,83797.6108289141
E07000008,56302.55644835599,57716.78695213969,59002.838273106485,60288.88959407329,61574.94091504008,62860.99223600688,64147.04355697365
E07000009,35689.50623179113,36524.36509030623,37342.57622416851,38160.78735803082,38978.99849189311,39797.209625755415,40615.42075961771
E07000010,42662.16362704191,43657.797755497566,44634.78574295921,45611.77373042082,46588.76171788245,47565.74970534408,48542.73769280568
E07000011,79107.56174024586,80911.36884792242,82721.96964443692,84532.57044095144,86343.17123746595,88153.77203398047,89964.37283049498
E07000012,63522.46740596187,65024.28474007226,66482.45493044241,67940.62512081258,69398.79531118272,70856.96550155287,72315.13569192305
E07000026,45946.16407181865,46984.70199292371,48038.057573418046,49091.41315391239,50144.76873440672,51198.12431490107,52251.47989539537
E07000027,32855.92467892912,33589.67314014713,34340.167250400256,35090.66136065339,35841.15547090653,36591.64958115965,37342.14369141279
E07000028,49443.19819614725,50577.310303386446,51709.52795328165,52841.74560317685,53973.96325307206,55106.18090296729,56238.39855286248
E07000029,33282.87158911476,34040.742829835974,34802.95411348819,35565.16539714039,36327.37668079262,37089.58796444484,37851.79924809706
E07000030,25405.88724538491,25932.210763530456,26517.77192712889,27103.333090727323,27688.89425432575,28274.45541792417,28860.016581522617
E07000031,58674.70577457927,59974.37449862727,61318.69129512936,62663.00809163144,64007.32488813353,65351.64168463563,66695.95848113773
E07000032,55636.48171169465,56907.70601240263,58180.14069631384,59452.57538022506,60725.010064136266,61997.44474804748,63269.879431958696
E07000033,34231.56512359759,34992.5726444058,35773.9845305616,36555.39641671739,37336.8083028732,38118.22018902898,38899.63207518479
E07000034,48057.26278431465,49132.73709266927,50229.13955434266,51325.54201601607,52421.94447768947,53518.34693936286,54614.74940103624
E07000035,35557.51473743178,36374.55061240801,37188.871278540144,38003.19194467227,38817.512610804406,39631.833276936544,40446.15394306868
E07000036,49641.77669933408,50777.13972709179,51912.12647460668,53047.1132221216,54182.09996963652,55317.08671715145,56452.07346466636
E07000037,43388.86592703389,44373.04510712296,45364.86264216781,46356.68017721264,47348.49771225748,48340.31524730232,49332.13278234716
E07000038,43930.55852277752,44945.8028941609,45950.7793641754,46955.75583418994,47960.73230420445,48965.70877421897,49970.685244233486
E07000039,41059.54402282438,41993.31334305767,42932.92995520539,43872.54656735314,44812.16317950087,45751.77979164862,46691.396403796345
E07000040,69757.60752975669,71288.030132137,72879.81329284192,74471.59645354682,76063.37961425168,77655.1627749566,79246.94593566148
E07000041,57415.604397332165,58714.79044682624,60026.91616171712,61339.041876608,62651.16759149887,63963.29330638974,65275.41902128063
E07000042,34286.50850196061,34952.27115407194,35737.15685153006,36522.04254898815,37306.928246446245,38091.81394390434,38876.69964136245
E07000043,46407.76070934669,47381.76682824273,48443.54092619957,49505.31502415644,50567.08912211327,51628.86322007013,52690.63731802695
E07000044,43584.976799330005,44451.12751708786,45449.6171687045,46448.10682032114,47446.59647193779,48445.08612355441,49443.57577517103
E07000045,62859.13518105769,64194.94995581695,65632.05873300516,67069.16751019342,68506.27628738164,69943.38506456987,71380.49384175811
