LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,241.4958770153751,1023.735157861928,6219.337251123479,15825.582877357889,26823.215769089184,33421.33633625988,35822.64689123052
E06000002,386.2954581329922,1504.2210553400378,8932.692064081584,22580.42437098198,38122.22371275138,47552.64309307972,51146.31457387438
E06000003,353.1957764038029,1558.9974282218488,9271.473344424694,23346.16537504396,39288.62647549242,48880.43818664474,52458.115186476505
E06000004,422.19901021713054,1941.7248920237691,12057.207526143076,30782.093664446555,52227.50726947529,65084.64939844216,69733.37776682734
E06000005,313.6421050089597,1251.558949124004,7223.358596079712,18169.43005735177,30669.15127429264,38188.500297994935,40991.89480426892
E06000006,234.9270847404816,1247.5856247276963,7912.546876034829,20169.80379742532,34102.892300372274,42483.76011785459,45561.047634691655
E06000007,407.5721256221073,2100.077795807429,13215.051865797772,33652.33778328825,56893.07195467188,70921.3490052025,76135.63914648711
E06000008,333.07823607390964,1475.3378155334317,8930.25644795238,22670.71186715269,38383.63194407416,47806.91483119277,51245.18804120991
E06000009,588.7569670486324,2034.3383727297808,11005.012202560889,27386.47907063641,46192.86849889647,57861.586103814334,62691.26276912074
E06000010,738.9596547259167,3170.8548656664225,19207.108169361934,48634.37205672372,82153.1976302682,102465.60772277524,110171.21561329604
E06000011,983.0383252974676,4686.993818714546,25499.651221342552,62484.36968887352,103903.65371923316,128679.10321560438,138112.88768340572
E06000012,363.45564836361694,1769.873742670908,10536.61142308742,26555.369799287277,44552.400906168616,55518.72095896385,59721.44976512034
E06000013,341.6501442269785,1986.012120765051,11322.816036925777,28067.048102621025,46690.0233400438,57904.367963263474,62137.52473233678
E06000014,691.0980369924848,2415.5562115232174,13112.972465969478,32632.556020577496,54927.64776267761,68487.00624713866,73781.03281187286
E06000015,821.6886527762978,2955.6493198508565,16528.58307779199,42114.92971565614,70873.13446790818,88767.31112443043,95496.63282105634
E06000016,942.3902081562431,3413.786091402804,18833.39181125609,47756.12759232028,80409.65832043387,100996.07681685172,109149.64093558918
E06000017,115.422152668157,518.6025090407269,2607.1688483107805,6418.440037887903,10572.761862494644,13097.530724653956,13997.191878123407
E06000018,1012.711988612299,3511.0044638869867,19399.21236809321,49896.91039203152,84508.34325358507,106091.97109665144,114045.7321848697
E06000019,721.9955816294021,3144.667391681958,13768.352083113668,32125.595291149097,51858.48417711754,63759.75856467674,68355.14548382499
E06000020,333.8132928448942,1744.5293307314423,10579.869834328128,27343.418500628854,46012.642867270326,57451.95732741964,61404.85129709558
E06000021,698.6912757571016,2806.298201619305,16233.072246038457,41651.93467162131,70108.31887905179,87694.43037711344,94058.66716938675
E06000022,720.9554666505782,2491.427164405102,12514.782997396733,31344.041629904903,52493.30121684476,65474.05265951872,70184.7173401919
E06000023,1696.5584114510011,5810.525063712412,30449.559642010627,77386.40723523483,130489.9611216929,163710.64299387377,176251.25917540074
E06000024,709.0927930225298,2811.8339098714755,15060.90630704752,38240.96736539216,64312.76129630026,80233.46008536188,85810.06784810942
E06000025,821.370698573089,3074.492809397378,16499.22894139149,42058.234409937606,70921.59660841935,88464.63317044088,94472.47696161624
E06000026,840.277901313576,3153.498256988393,17672.887013342926,45608.46745439343,77191.65907886099,96618.22534082612,103414.10715197276
E06000027,727.0171289652365,2194.148947871945,10938.358067246623,27567.0305586946,46362.77364507088,58068.30760541265,62466.09547515225
E06000030,688.918319692044,2435.3141075597696,13325.200658132071,33863.208267105176,56868.48054120085,71224.25085893586,76643.59816813542
E06000031,470.2450685356653,2016.5778224500043,11625.659713998348,29757.06587059573,50028.12518299888,62581.692282129065,67166.77341016893
E06000032,621.6247054659042,2166.057601386818,11785.107497188925,29854.846339523127,50174.89146804419,62895.27369726267,67805.85816631718
E06000033,661.1647119425093,2253.7545739173856,12264.106361626466,31002.70729697593,52137.85980103653,65327.76916876792,70429.43590591618
E06000034,784.7307758165475,2076.8222106225744,9904.743402225096,24598.62458590148,41006.37475239309,51341.62518908368,55436.55077774567
E06000035,683.6018851811459,2808.522780345596,16265.251446818484,41687.39470197365,70190.26366824801,87864.1447923225,94362.91869796088
E06000036,416.74135776212506,1329.2482011037876,7055.9096880090365,17879.804232233844,29977.258136024364,37511.086757532656,40330.37848674663
E06000037,637.0499546780795,2291.417423228651,10269.709831802124,24450.14884113388,39925.052144898254,49459.386424284094,53240.36274429635
E06000038,730.7106451583708,2091.090452457193,10331.822595088504,25707.24725967359,43046.51610418293,54126.52532583241,58763.09735538334
E06000039,510.7486801492564,1497.4950809436234,7536.118706189301,18824.804939019647,31550.081881141115,39669.52638235504,43037.1000326075
E06000040,455.6191136914883,1748.1642233914467,9534.707134690048,24161.945442517703,40453.7124808192,50578.37880059582,54345.68896378337
E06000041,378.1530197502251,1596.5486774790586,9168.643914993325,23513.70334543935,39498.18799468834,49389.46949623996,52950.91342950199
E06000042,676.1640133930118,2672.5349472934604,15368.62062128896,39461.61460744592,66398.97157218993,83049.83040377362,89039.49762701108
E06000043,1358.3355466768342,4443.990915009323,23410.72065846502,59502.65565386952,100244.86898669414,125580.80348935968,134960.0445332632
E06000044,854.4838559581137,2795.2412857877152,14892.663243410616,37975.40151865949,64053.66315516482,80258.54146784161,86218.5026501581
E06000045,1490.7203203147285,3570.814841233172,15867.078866845615,39002.46585231333,65212.018593817775,82004.94599124216,89059.02916486684
