LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,184.81827416611932,442.0865995313163,1322.2251848087894,2939.248909942636,5516.285397944192,7951.099772875543,10624.779117485736
E06000002,295.6342806871416,667.4147314891608,1939.1654037252367,4263.834159754038,7949.969160286851,11418.572509869944,15214.194583142793
E06000003,270.30289147982944,651.605684362867,2045.5317338423915,4504.002920700747,8336.771931721818,11860.690277698915,15736.84938876801
E06000004,323.11148905455667,822.603789395306,2529.977466247544,5672.583354413705,10687.151036001693,15430.909085056985,20643.203312690814
E06000005,240.03222444205144,538.3770971941442,1609.7847016860987,3510.389746365592,6479.022626275518,9218.494175887008,12224.269308968884
E06000006,179.79113719547954,507.7513773039306,1660.7627908972463,3731.485672578919,6990.965509818427,10027.506986205944,13370.410175958184
E06000007,311.9174446646906,860.3605378660138,2784.662719554237,6242.399529106145,11681.561709597649,16748.240545100096,22318.85618161752
E06000008,254.9068146184372,623.9123154662584,1914.731084625315,4252.443486116483,7950.180096594933,11412.214421570394,15217.024718269971
E06000009,450.5793138086521,916.6445191646424,2539.2139684115955,5421.265056947777,9888.851595870558,14003.484399238649,18458.9413458744
E06000010,565.5303508810597,1365.1772712212576,4152.893058997689,9196.958972523378,17154.08156585153,24594.27820069864,32746.12186424118
E06000011,752.3252527787978,1791.7050317198543,6220.830862426183,13299.15919565262,23698.50702322771,32524.937061029512,42278.6613317507
E06000012,278.15483434615675,714.3413678419678,2269.844472637817,5054.451622903235,9429.828308805452,13494.259120285977,17961.28604708928
E06000013,261.4669484424176,724.4157520491519,2602.3652754608843,5709.586828534078,10384.082995967528,14480.325567544684,19012.01609396149
E06000014,528.9015616130439,1072.114347082793,3040.8757946324977,6488.613653103955,11818.330002268724,16685.347046732706,21999.4690734704
E06000015,628.8433599151217,1334.386047276665,3819.2330747046367,8046.71363699408,14719.788936710109,21110.97212786154,28629.870688857685
E06000016,721.2169997063625,1543.4951912894007,4389.450549308139,9217.654683683231,16793.026086909016,24021.449711186306,32476.239816426347
E06000017,88.33328055248369,198.8959537593556,692.7281726914986,1419.184908398848,2463.943413335264,3339.1988618342066,4389.8928305672935
E06000018,775.0346891046344,1625.2177108691712,4501.011958633573,9445.236411383266,17254.3772358898,24773.669158452056,33546.10060075958
E06000019,552.5476418125928,1140.0617939195606,4263.407556545008,8378.17714019803,13763.59137795074,17590.647613356006,22285.839098644414
E06000020,255.4693580684816,706.6835321801744,2353.994725686324,5157.399277358757,9593.384668904971,13808.091928893937,18800.46746370676
E06000021,534.7127137583805,1226.6502783645144,3682.902004200992,7864.505325836519,14483.774027948317,20820.3416354472,28300.455669212715
E06000022,551.7516354471982,1089.0695130888375,3183.9802093733315,6537.837482581183,11611.90756001051,16186.322149270894,21573.761996298424
E06000023,1298.3865459799167,2626.6323252125007,7317.567116636444,15318.042193789985,27828.40770697264,39644.50417501285,53376.324189876446
E06000024,542.673058644862,1188.0660391669812,3674.7090566546703,7715.465627659428,13903.894997239951,19563.35543098724,26248.882843296706
E06000025,628.6000276155194,1336.427561583267,4117.812335381714,8574.215681234742,15335.811169153008,21445.18373975118,28669.20900654337
E06000026,643.0698257047923,1400.491241699487,4044.934433294249,8649.445241018762,15989.036103609991,23048.96291053149,31326.86919912944
E06000027,556.3906627524217,1028.2137135495614,2710.242145174805,5556.673273964296,9992.6505223229,14160.332188289452,19011.709961563145
E06000030,527.2334106093248,1099.8462009779996,3127.0747981475024,6557.381749807351,11945.309863343578,17067.936661912907,23081.479081160887
E06000031,359.881431832299,858.7025977480246,2662.1489864332234,5692.940636154576,10445.285936672775,14946.41194361734,20254.77448315597
E06000032,475.7331953783863,983.7823610179682,2770.990556437619,5789.371921118274,10523.725324739884,15026.129940080022,20309.758474684684
E06000033,505.9934045705159,1031.174390476474,2888.1145616592407,6012.183720390818,10906.362510051313,15565.649880422,21042.20386862049
