LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,447.0048218291061,431.6360533506369,394.3592889381972,355.09238902945106,334.6982865214318,334.59247609904304,341.8050724307749
E06000002,1277.8554653835663,1233.927498547078,1127.4226034932994,1015.2338184543698,956.9867262547856,956.6852817670166,977.3025894751868
E06000003,946.4611938276496,914.375636906482,835.4137110171448,752.0231909492574,708.1211935736136,707.6307958529736,722.9168832983501
E06000004,964.4286599310716,931.7468456393336,851.9323185635715,767.7188237632123,723.6879386550464,723.2615348316368,738.7936807255845
E06000005,785.2599005078232,758.4808759230658,693.1711097821777,624.3001611075807,588.3457100223861,588.0612039025726,600.72785250466
E06000006,753.216297286892,725.2837789389041,662.8333574773864,598.0322853120281,567.0982854352643,568.0841215149184,580.1721131146403
E06000007,1679.7182734263629,1617.5887679843054,1478.3043021181866,1333.7003356138866,1264.4555333943986,1266.559476696229,1293.5219938237651
E06000008,734.5440862400743,709.5057423988762,648.6149493877332,584.4229225411436,550.9944716139092,550.7420662673495,562.5746668752981
E06000009,4164.208261604886,4021.238756366016,3677.132384828389,3315.014887126657,3128.283722485761,3127.5941975400256,3194.57389595866
E06000010,3212.250825565105,3101.603550375736,2835.033727983275,2554.514482127829,2409.7425379757065,2409.275367556788,2461.009086096972
E06000011,3361.068028253447,3249.23848748046,2970.30309730485,2674.956158666319,2517.543748559974,2514.779603775524,2569.0123817260487
E06000012,1330.9938756834051,1285.766150658999,1175.4975427804586,1059.193314000482,998.4810990031228,997.9495748695056,1019.3896071271832
E06000013,1083.5067128388685,1047.2775931559606,956.7269352941394,860.8478937119487,809.6623838455699,808.7931968670576,826.3149303707821
E06000014,2533.4435351339675,2447.2751440440547,2237.726684284104,2016.8005255851867,1901.7501838905064,1900.8363246790384,1941.6204110225049
E06000015,2396.4991035760504,2326.8755048639505,2155.880647315855,1977.2987836972893,1884.026816298177,1885.9273498109308,1916.4655471853189
E06000016,5558.966884849638,5400.809882622098,5008.102169328858,4596.121982565855,4378.139031964325,4380.027508901908,4450.481961042412
E06000017,246.05111505480545,239.93929102227847,221.63644951805503,201.7685452702281,189.6207674238947,188.9010037459969,192.1587423991468
E06000018,5669.782959912292,5504.061347761552,5103.25203100351,4685.756196187743,4470.830603212272,4476.502964498289,4548.247374321597
E06000019,1898.5097037413625,1851.2578631272088,1696.3432038283686,1528.1534088603228,1421.3176883913834,1415.7743082801755,1443.437471897592
E06000020,668.887483463537,652.1493071721019,597.9771439050139,539.2015142735031,502.09538703826655,500.19642265563056,509.8797016334522
E06000021,1672.5155077782224,1626.918514495228,1507.4283216269314,1380.5546488530554,1310.0584473685103,1308.798123423628,1330.2337883702282
E06000022,1861.84625184199,1815.07738930968,1664.079818002167,1500.3523829655835,1397.1494962317463,1391.9831248181256,1418.962257314292
E06000023,9047.271010638677,8817.037313411887,8070.20846524078,7262.526831455559,6753.618870081507,6731.269129840448,6864.4400236356005
E06000024,1961.466671212661,1912.2610798223448,1753.2930055046634,1580.8849485118317,1472.160201701051,1466.6730746684818,1495.081626284595
E06000025,2182.8604373295043,2128.2329382655143,1951.4060077777883,1759.5557334676184,1638.4304383544131,1632.2368150210773,1663.843509029237
E06000026,2353.8792037458725,2294.314497665037,2102.071015128074,1893.9148223870664,1762.9028761284517,1756.7635241445469,1791.0890192288516
E06000027,2337.812536513944,2278.939047889507,2090.057383858936,1885.315677789244,1756.6540631307605,1750.256025645226,1784.0218090403118
E06000030,2460.218846977029,2392.468767347961,2217.3918432501737,2032.0282329452705,1930.2538090945432,1929.0418127617388,1960.46312691278
E06000031,1753.6787163719305,1705.3884479484925,1578.692322105789,1444.413204103836,1369.8751517818707,1368.88689253398,1391.5173744067392
E06000032,2437.9038377332777,2369.933696873768,2197.337544188152,2015.254492807872,1916.810671307352,1916.397864492081,1947.3934458764484
E06000033,1932.7157841530905,1875.674628825754,1737.7584450841955,1594.2786911513392,1520.5536862516544,1522.804172421687,1547.4135094399164
E06000034,1821.2722714664808,1772.0830821753382,1641.3543154171466,1502.2216478631306,1424.037524242394,1422.2599042466363,1445.686805456197
E06000035,2383.5270421140867,2315.426349367613,2146.020326222824,1968.373841419509,1874.304881513808,1875.2583803658456,1905.5931808829791
E06000036,926.1666178585056,901.0970699873476,834.6970041462839,764.0665082514224,724.4827072572895,723.6266824998575,735.5291273946324
E06000037,2059.788583403339,2006.871338477854,1855.779315615016,1692.986716690071,1596.5102864502735,1592.0493329861026,1619.0165692924122
E06000038,3831.5231638357,3723.174241354476,3453.4658461432405,3170.1504247094813,3019.7665199474586,3020.572660522765,3069.035986880661
E06000039,2818.084702694809,2738.369509630502,2538.6111278751546,2328.642982180144,2216.593242960067,2217.0859958680703,2252.9055109617543
E06000040,1788.9325213765617,1741.0158940580814,1612.0922061321014,1474.6069293570654,1396.604544958042,1394.5154143402026,1417.5963100932254
E06000041,1338.720997321674,1303.5910064767395,1206.3845761251966,1102.1449034010209,1041.7110365180893,1039.4484058287617,1056.8399302756386
E06000042,1483.1095093825477,1443.3342955310516,1336.5828745530216,1222.7522572830314,1158.2810531792163,1156.5701203979872,1175.6934563257355
E06000043,5898.789092219481,5720.762464088863,5300.255063669444,4865.620929439623,4648.011461195291,4658.376346912102,4733.281214292345
E06000044,3570.2784333353584,3468.322664406593,3216.1227334271184,2951.775164483305,2812.428742015098,2813.9454514433,2859.18366870338
E06000045,7138.739925287284,6936.374763921545,6429.552139384919,5896.977442631337,5612.980627761634,5614.469480696513,5705.305430654697
E06000046,2327.6728876455136,2267.4024559320155,2097.266062703663,1914.2900208366584,1806.7051781387704,1802.089301113864,1832.4760383913128
E06000047,2404.152850440312,2324.744864897075,2125.0499395074767,1913.3147862420487,1799.648087981246,1797.3119679016909,1836.1313676768168
E06000049,3559.385533282649,3440.479735211088,3145.2976287274987,2832.9836519792448,2667.228096630674,2664.593610104604,2722.001789762519
E06000050,2482.42918189728,2390.8906902454164,2185.0161182474667,1971.1450885497693,1868.356165336355,1871.3008645200453,1911.1580279818368
E06000051,3664.178829365799,3572.8958132914186,3274.047237802893,2949.631907823373,2743.706107549593,2733.05978709942,2786.4262704617768
E06000052,15892.5792933523,15497.669515712836,14198.677410621807,12788.077159976385,11890.625831932584,11843.820132128569,12075.729544603584
E06000054,4988.050914818678,4863.963761292117,4456.877633506218,4014.875721428202,3734.015585031889,3719.409743883237,3792.101561491269
E06000055,2109.98272608098,2053.0055513081547,1901.3772385742343,1740.0421624713522,1649.3160995347794,1647.2911397609375,1674.443161408154
E06000056,2508.7042846149952,2442.980296038527,2260.5339915236186,2064.857205991667,1951.1740240756064,1946.8786130842343,1979.497778314488
E06000057,2428.6671637467884,2349.088040661892,2147.0443820820205,1932.4962435927616,1816.3708447059007,1813.6123542467865,1852.8626103329327
E06000058,6037.105371566468,5867.379580432896,5441.363489598488,4993.071918758424,4753.269463360646,4753.606304226803,4830.131968273597
E06000059,4233.983614372138,4124.69029977717,3814.687590116438,3481.0698332774427,3284.270170922292,3275.586762502732,3330.9303293035537
E07000004,2150.274982087897,2094.3616676645133,1937.3625925904985,1768.7110356879016,1669.9389523468485,1665.90948935781,1693.9483669736042
E07000005,645.0705102761053,628.5204311506601,581.2266363656984,530.2435743975395,500.0045463539829,498.5786953599736,507.0235815854628
E07000006,394.620783625832,384.5225134639829,355.5240761350413,324.2529286389465,305.64870734446947,304.75939801630136,309.93301004069804
E07000007,1697.3522289682105,1652.9195285539215,1529.4753337387083,1397.0459715041586,1320.0560632858962,1317.111602120524,1339.184011167327
E07000008,2103.922899708667,2044.9411775190024,1896.308117324909,1739.7696627897476,1655.7263316665403,1655.6844710147973,1682.380470871822
E07000009,731.2642041156464,713.0924107100006,658.7213095289403,599.6993648557306,563.6282477471598,561.4898065622807,571.1700129399211
E07000010,913.1764443454456,890.0921810679532,822.647371233887,749.7137534960533,705.8189572472933,703.5048771871948,715.5265138062995
E07000011,1654.2163228705997,1611.9758799789877,1490.4028890794063,1359.2053540098752,1281.0148583557566,1277.1777507073446,1298.8757287928752
E07000012,1376.735723170703,1343.0217854506889,1240.0488774066478,1127.9189255120689,1058.519481579612,1054.0463378261693,1072.3590457897726
E07000026,687.9016712341472,665.2892280386156,608.1196551531156,547.4497770113975,514.7291875918216,513.9945546744027,525.1068414548007
E07000027,634.3942295207389,612.5657182306951,559.5921711096706,503.7906663747224,474.7958446550172,474.6478980188944,484.88933861058257
E07000028,1280.2259509603164,1237.4066962340405,1131.268740524747,1019.0007198542212,959.4976081268252,958.5855913372212,979.2303722810512
E07000029,473.9917385726405,458.31725201559607,418.9470603666692,377.2115568645529,354.8303171612389,354.380455394792,362.0333488018517
E07000030,1016.0145683360682,982.5891289913584,898.1214217625716,808.4933916152568,760.1758865777216,759.1052073972473,775.518334703677
E07000031,1615.7223404383803,1562.302205653169,1428.0946370020945,1285.8224716087216,1209.5131712153575,1207.9763054840794,1234.0632415177315
