LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1819.929037141674,1755.768821996179,1624.4957095959126,1474.3292728421482,1382.198768758701,1353.3132328667234,1355.6967224841196
E06000002,2911.148338683313,2808.4280278292244,2598.535484537905,2358.426869330017,2211.237450835461,2165.034427626638,2168.8433580113388
E06000003,2661.7069293988447,2568.566750381325,2376.418388469779,2156.512105548153,2020.7732495805249,1978.350104062676,1981.8252935704709
E06000004,3181.719901982873,3069.790126403783,2840.37091778538,2577.860477126392,2416.552839746698,2365.9537172841683,2370.106828014833
E06000005,2363.627823508147,2280.2983921227715,2109.747973005969,1914.668509989944,1794.9717975381436,1757.4753504414225,1760.5755396045358
E06000006,1770.4261804147302,1702.2459815560226,1575.457642352317,1431.289230638065,1349.4507860944566,1322.695269060157,1325.0686943030582
E06000007,3071.490724050689,2953.349769691716,2733.376813302327,2483.225710126118,2341.062616066344,2294.6091861856034,2298.724770027395
E06000008,2510.099803617936,2421.533928147698,2240.537577551215,2033.4927673239752,1906.56136245013,1866.725793838792,1870.009546338399
E06000009,4436.911774204092,4279.508169758866,3959.907540503121,3594.391922612685,3371.3373394816063,3301.080789270128,3306.882513976742
E06000010,5568.849247170625,5371.737530351891,4969.997028050813,4510.631691871845,4229.671518005966,4141.551555727904,4148.870211248925
E06000011,7408.242388825738,7151.517824420281,6616.148525751427,6003.074135121323,5621.69176441641,5502.983025325073,5512.61651164287
E06000012,2739.02600882906,2642.640365531471,2445.066564393768,2219.0231332167536,2080.138608891148,2036.609291732656,2040.19017820348
E06000013,2574.6982752120425,2485.770396054065,2299.575366456248,2086.32998405386,1953.3125456969333,1911.999716339412,1915.3480511303649
E06000014,5208.160903526084,5024.94798666005,4649.366620996374,4219.623794885093,3955.532827743526,3872.707921627786,3879.5049595581054
E06000015,6192.300494563698,6002.313970837186,5617.142279492397,5174.751341240426,4900.486871115321,4814.266605317256,4824.867739545357
E06000016,7101.915466789984,6882.3604000011865,6442.258349469804,5936.582021591414,5625.186340667222,5526.111867395162,5538.23065099853
E06000017,869.8290412502507,847.39395312229,794.2716246766117,732.1511314064038,689.2795512793302,675.9537198086674,677.3280749392396
E06000018,7631.865094821685,7395.868845529348,6922.056390403087,6377.924888639477,6042.732655657097,5936.555441587005,5949.614624695939
E06000019,5441.00686079896,5298.621750235882,4934.544075760223,4512.201018440895,4211.789796601628,4125.289324365442,4133.516878847958
E06000020,2515.6392404729213,2449.2719257132544,2281.3433642701016,2086.543417016962,1948.653175382061,1908.7439521730005,1912.5591138952043
E06000021,5265.384057330909,5112.62196912772,4788.839132712844,4414.023762966815,4172.963905876131,4096.5078169096505,4105.2237902830575
E06000022,5433.168484942162,5289.590589011215,4926.177812786018,4504.737863335464,4206.442927300381,4120.242953413425,4128.480665454371
E06000023,12785.377350396995,12446.76025665987,11585.011565229706,10587.066742322251,9879.854011316054,9677.55332377178,9696.998379689438
E06000024,5343.770585232082,5202.8601556083695,4845.708567815556,4431.456949273851,4138.022433497792,4053.2148242321214,4061.3143095837872
E06000025,6189.904370480565,6026.809049532624,5613.697994922235,5134.451509054901,4795.033220103998,4696.819315884425,4706.205190573218
E06000026,6332.39031145732,6164.673604510157,5739.62600441999,5247.081494214408,4898.500507608581,4798.238933309433,4807.864048870596
E06000027,5478.849576462831,5333.561804938448,4967.423350426259,4542.833726052069,4242.926750367413,4156.081582014439,4164.399035012177
E06000030,5191.7344085612185,5040.5760001263625,4721.180679410405,4351.60416102681,4114.457500129922,4039.236142868688,4047.84378494821
E06000031,3543.7982021790062,3442.41209363144,3224.2077889647944,2971.454044581173,2807.326303099216,2755.6759982597896,2761.527863970226
E06000032,4684.605243219121,4544.493202306396,4255.639924349965,3922.341304856584,3712.330386356646,3645.476463596689,3653.335227576485
E06000033,4982.581369374557,4824.6157522463045,4513.011701988477,4156.6475974142495,3940.856114516713,3873.1426124942896,3881.831436088376
E06000034,5913.783468677228,5744.744575682328,5381.4018731627775,4960.2365603261,4686.722095935367,4600.2306435022665,4609.960998234375
E06000035,5151.6694034769625,4999.752802637741,4682.061396027021,4315.0990640411455,4081.554516961564,4007.594921937932,4016.199565620989
E06000036,3140.5906690524653,3048.7959667160594,2855.4861152993835,2631.918974052481,2488.8277085305444,2443.444947075758,2448.66194217573
E06000037,4800.850950157599,4668.271193260147,4373.917989540056,4031.678926899025,3804.5788284335786,3733.206116539799,3740.996211406693
E06000038,5506.684160854476,5341.806391906999,5002.206409931528,4610.415100840562,4363.731124029408,4285.211233061302,4294.454561368003
E06000039,3849.036120919886,3732.524185284905,3494.239275349623,3219.8910098675224,3048.340430126503,2994.044198598477,3000.5633308208307
E06000040,3433.5760309112347,3336.267807262733,3125.3544990583905,2880.729433450543,2720.9856697937107,2670.5964088350697,2676.2281771046937
E06000041,2849.7863799240868,2771.035943495305,2596.403970526464,2393.3124175200305,2258.613111731008,2216.2070792454456,2220.830284143776
E06000042,5095.617105570032,4950.802285021695,4637.866942280677,4274.926495301452,4038.356507810877,3963.609097525565,3971.973176406294
E06000043,10236.507281743212,9909.709767257356,9267.947571512088,8535.0503931223,8093.420070205892,7955.454458139531,7973.417739288685
E06000044,6439.447333206099,6238.968542498741,5839.056147095258,5380.126267343592,5098.876948389072,5009.6789146104775,5020.734921187548
E06000045,11234.16776604082,10893.068310549344,10197.708662072204,9397.226562378914,8897.805262339136,8739.476750588383,8758.518528298915
E06000046,5595.5248416374325,5439.800529338812,5096.525881116528,4697.706035659307,4434.308237752403,4351.450563691438,4360.5604125372665
E06000047,7368.286233610905,7113.021794242705,6580.547226265941,5970.768178563852,5591.3539577123465,5473.261134677744,5482.840951192708
E06000049,7630.887472322817,7364.407013608048,6813.578589781484,6183.053498317243,5793.253891943886,5671.447367839995,5681.389846077559
E06000050,6632.204073963892,6377.739165790462,5902.714803239544,5362.414361955631,5054.640599290206,4954.177880682024,4963.0555774655
E06000051,7971.7522238004285,7762.90682841973,7229.311721532087,6610.3647674970825,6170.29015261581,6043.564308039102,6055.619312726909
E06000052,27029.667522382333,26323.37497902176,24513.81515127921,22414.644739239047,20920.146673343108,20490.2157015026,20531.059579963417
E06000054,15808.399628048992,15394.26467039373,14336.772889916405,13110.042226386337,12238.015283827272,11986.748158553472,12010.659700989612
E06000055,4145.170947139724,4025.7439664007866,3770.739378962359,3475.4760128529097,3284.678697045376,3224.3862244166858,3231.233891356865
E06000056,5683.040672216695,5528.542763299134,5180.525318296164,4775.28021775351,4503.840171676096,4418.690525535697,4427.852510412635
E06000057,6994.82858807714,6753.4751861495615,6247.669962801694,5668.317704483337,5306.667266057798,5194.339212973267,5203.424544986938
E06000058,14441.45523090744,14007.247723100516,13116.19242183352,12088.727491483947,11443.667221158375,11238.311657580924,11262.600786068771
E06000059,11857.064822926906,11534.656120633435,10808.356208889818,9962.755231223702,9396.403218848798,9218.863543923158,9237.985164492762
E07000004,4281.142435566546,4163.18297188885,3900.683546722233,3595.44940118404,3392.6211097417217,3328.9341785919623,3335.8760379276177
E07000005,1796.7022615914084,1748.158073782683,1638.1795182843198,1510.045632351192,1423.9093556917053,1396.9135945781754,1399.8033833747986
E07000006,1126.7427256956855,1096.345867036394,1027.3722154856964,947.0064622935824,892.9310606401724,875.992267653022,877.8032620753819
E07000007,4689.571141685192,4558.493382963128,4270.763908157443,3936.576003961156,3716.455821347767,3647.127464079464,3654.773978131682
E07000008,3279.48091935662,3180.571647765888,2978.189921264098,2744.889023383602,2598.737506050616,2552.173940387445,2557.6963983492387
E07000009,2019.2740690387063,1966.406486862764,1843.0105403340904,1698.871288416185,1600.213634722248,1569.456699347809,1572.6646744358395
E07000010,2289.038055572361,2226.618142863034,2086.3748046046067,1923.1377733945733,1813.991344329055,1779.7623100666642,1783.4578607587175
E07000011,3862.505810075259,3757.782059547992,3521.3054644716008,3245.866459536047,3061.0802624243547,3003.124715943732,3009.344217029244
E07000012,3478.007027743651,3388.596568716778,3176.298898014593,2927.927532082721,2756.2160417269456,2702.8176869966865,2708.30395568771
E07000026,2246.045386949983,2168.777552536588,2006.3053583537487,1820.1755027619283,1703.7148114074762,1667.5891706719783,1670.5035982721618
E07000027,1499.0705061705708,1446.228464194373,1338.0906742690536,1214.3885012702483,1138.4805623121988,1114.6790962582147,1116.6398085070502
E07000028,2393.1498934567567,2309.772873113222,2136.9751681498315,1939.148424145536,1816.6176263402424,1778.3684931217283,1781.4838086530794
E07000029,1635.3029604414044,1578.9163270483682,1460.6582152188653,1325.1983829547196,1240.5951832411718,1214.3246618767164,1216.448295807876
E07000030,2030.8792742780663,1961.4191093916493,1814.365211001836,1645.8554105717808,1539.9293866408118,1507.1749666088394,1509.8067194170624
E07000031,3939.561414094369,3803.8369874446826,3518.8947999362085,3192.4951150660027,2988.4951239693805,2925.181252362601,2930.295593661403
E07000032,2423.8146499751465,2357.801931451677,2209.360211019916,2036.534548136496,1920.8983149947665,1884.61150208894,1888.521991730346
E07000033,977.5487621530556,951.4745411656048,891.7014083023565,821.9731253780641,774.7503706569362,759.9684920665181,761.5324223215728
E07000034,1614.959327053063,1569.9664221681903,1470.9453709299803,1355.8747753200437,1279.9337100084008,1255.997996101131,1258.626663103513
E07000035,1645.0871142934502,1602.6138775371817,1502.153064033197,1384.675307448994,1303.6439430361197,1278.442037796904,1281.0416822019624
E07000036,2057.497609261281,1999.441344025906,1873.153207056068,1726.583830541675,1630.6156815970478,1600.324261514928,1603.6914987482176
E07000037,1901.421362594429,1849.1391171735609,1732.6054599223746,1597.053018398271,1506.8707831798797,1478.538795445814,1481.6186043203454
E07000038,1394.730393175054,1357.763819397946,1272.4805340407122,1172.9593901853518,1105.3109206494014,1084.177543023751,1086.40397494209
E07000039,1600.0604279489294,1557.2997384832863,1459.424630199885,1345.2814996951151,1268.0598185850597,1243.895546663521,1246.4574870643671
E07000040,4940.012866311414,4810.441462206522,4479.654148854867,4095.9896567643095,3823.32117881858,3744.804745783497,3752.27664241927
E07000041,4075.48469976652,3967.415546203783,3695.012370367023,3379.1289733519206,3155.9875458225456,3091.3855692397265,3097.5722957854327
E07000042,2499.1313385487483,2434.005453537483,2266.639010140276,2072.4761293707693,1934.044907746396,1894.2717406427944,1898.0452666220583
E07000043,3376.721824563189,3288.259060642543,3062.225251445837,2800.038481973752,2613.618912129979,2559.9411586879487,2565.0476670531834
E07000044,4117.943054770144,4010.571926981074,3734.652836509124,3414.576686683756,3186.387600550664,3120.8409656497333,3127.057186685336
E07000045,4385.539447208736,4270.488617487121,3976.987020265608,3636.54872150974,3394.6713098884693,3324.976645251604,3331.611293529066
E07000046,2361.687072434297,2299.950295696436,2141.9193301916607,1958.5863477362848,1828.1103843543008,1790.54861042506,1794.117796788001
E07000047,1856.6627247501856,1808.2221195737936,1683.8408167666175,1539.5567324692456,1436.7332339893164,1407.1893160329123,1409.9932309408769
E07000061,4079.3525693199977,3953.466622827791,3700.553455023505,3409.9489365546474,3230.722966061885,3173.797301759883,3180.757345663014
E07000062,3634.7122171778014,3525.64436530945,3301.4067263317243,3042.792409411307,2880.204116239124,2828.4645653227885,2834.572659697917
E07000063,2771.591290126009,2695.5084272923555,2525.716698913153,2328.1505415793176,2196.5855694185084,2155.22488665822,2159.709595561751
E07000064,3496.7899282025164,3400.157099625329,3185.659486687887,2936.3376966959395,2770.9525937226567,2719.031427861255,2724.7092412164293
E07000065,3887.5833790919337,3783.5982869459135,3545.752812638902,3268.414498790766,3080.877602240653,3022.2062906266247,3028.433811495567
E07000066,4174.795937631728,4058.050436582928,3802.0316591668425,3504.602120772717,3308.765522392493,3246.9849266407,3253.789416942933
E07000067,4619.261326159721,4490.768775737566,4207.461394362717,3878.25224807122,3660.7675483424846,3592.306850680081,3599.8231233894207
E07000068,1553.0768130417553,1508.884185382655,1413.4390426459006,1302.7940547290846,1230.7266363684364,1207.9952228823504,1210.5479249847924
E07000069,1720.1059155249875,1672.674150175126,1567.3033967361216,1444.724032093023,1363.3211068497646,1337.6881143839482,1340.4757098052137
E07000070,5081.643657244554,4938.927820582229,4627.140916574682,4265.1061480430135,4027.358475733999,3952.349927812568,3960.648646359917
E07000071,5470.845477058539,5315.598226813814,4979.613179465542,4589.9086024566905,4335.6465156286185,4255.353819606416,4264.328932123399
E07000072,2859.6408040602946,2780.970569303075,2605.705953962892,2401.845704878063,2266.2609469191875,2223.6605154908893,2228.29331728375
E07000073,1761.592839468269,1710.2434106081002,1601.869456988847,1476.4783087204687,1396.0826914193356,1370.571842940493,1373.4938497995788
E07000074,1661.563366946175,1618.0044906446458,1516.4852583768024,1397.896681291154,1316.788153704494,1291.4789446697364,1294.1191259483908
E07000075,1625.3144605906116,1580.4015666599978,1480.8000361657898,1364.9691697100077,1288.1440443001331,1263.9611641690226,1266.5980597076766
E07000076,4935.602201844661,4798.419605091922,4495.744440795061,4143.995110825994,3911.509915578263,3838.326995398684,3846.3554404952088
E07000077,1772.529198214986,1725.0456112297409,1616.5871683044736,1490.137366084832,1404.7049825705728,1377.9719328665128,1380.8128540872306
E07000078,3683.849214894081,3586.037498878269,3339.7514183950457,3054.1762567630985,2852.557465974236,2794.1769799308368,2799.770753324276
E07000079,3179.798574256441,3096.667058973035,2883.7728211099047,2636.81374588616,2461.0316155054884,2410.460278502292,2415.2659391105794
E07000080,2157.1874179586266,2100.9834734672604,1956.5187897407504,1788.922542928422,1669.421263027635,1635.088122227408,1638.3450955464536
E07000081,3170.238956646624,3086.159166793489,2874.4352615835223,2628.896610473734,2455.5171151163645,2405.2778721698314,2410.092401947805
E07000082,3393.511199039447,3304.515422878065,3077.664596834888,2814.497041059871,2627.5672592004817,2573.646098555109,2578.781477155779
E07000083,2456.403555384072,2392.06871690008,2227.683074407966,2036.9966780272348,1901.4099476191489,1862.361296744278,1866.0760365465287
E07000084,3659.898275432385,3557.191363689085,3332.5617890127564,3071.7669023718486,2900.411658165752,2846.4178142940723,2852.3953829270868
E07000085,2855.9315554643977,2777.9107762701287,2602.957121881643,2399.328022580141,2263.328318703885,2220.63995275096,2225.253538296565
E07000086,2793.005524062836,2715.4729910437904,2544.264403290243,2345.2382369274537,2213.598866877162,2172.1289077360725,2176.6682753824
E07000087,2598.4091389665427,2524.609387919055,2365.081422656001,2180.0264832513426,2059.362415899593,2021.2132556879733,2025.4762711112944
E07000088,3100.188570319581,3009.0782769406524,2818.217674227661,2597.5765748797976,2456.878514334945,2412.1870230070103,2417.34766916378
E07000089,1972.0510598377884,1918.1640076030449,1797.3642841636747,1656.7630034081424,1562.8733762991794,1533.3961550028198,1536.582120428401
E07000090,2827.2545805200484,2746.8704329614,2573.2998192898244,2371.9625927881025,2240.771950270156,2199.2736309931247,2203.913543538021
E07000091,4649.513763911266,4522.951561796584,4238.276081913797,3906.781742779748,3684.9183228903967,3615.2578743543017,3622.755883834096
E07000092,2485.7937019251644,2413.7040434918554,2260.8230123307344,2083.8566915926835,1970.0089326974664,1933.9228131231243,1938.03786417582
E07000093,3123.256574891194,3038.226451681548,2846.926766689401,2624.2090327880733,2475.151702903974,2428.394334512659,2433.4325139908915
E07000094,2991.0694869936456,2909.334348745889,2726.057670434205,2512.770638317673,2370.3381433845425,2325.6550890779786,2330.4882297709923
E07000095,2925.643031498078,2841.20632992891,2661.303542033171,2452.9798854507458,2318.528462251916,2275.9653004674155,2280.7991582895183
E07000096,3078.486420771896,2991.663169278315,2802.731928545358,2583.4355281248004,2439.804598573912,2394.456511872528,2399.492629400981
E07000098,1998.116135267604,1942.2256030166125,1819.708744647808,1677.367564196274,1583.664239747981,1554.0906684974211,1557.347524149846
E07000099,3574.683595059352,3474.690824827687,3255.418513047497,3000.7226110077777,2833.051799979161,2780.1959433427464,2786.025459678945
E07000102,2057.138851885152,2000.8452089928603,1874.8862165302603,1728.2625883565186,1630.446428090609,1599.6899424196176,1603.014479156917
E07000103,2839.9529590286265,2754.449304953434,2579.224303473612,2377.187113655777,2250.466088509963,2210.097873996681,2214.8762277894907
E07000105,2677.9677398277804,2604.734757804467,2440.6870891348763,2249.7569595985487,2122.3148397645778,2082.292879476284,2086.6197593907336
E07000106,3961.820497902819,3848.888852644284,3605.461274555304,3323.258328292267,3139.6573529303623,3081.6663627423,3088.179179334992
E07000107,2466.3526762899,2396.046010227981,2244.5492390395266,2068.89573681178,1954.6260966498792,1918.5048802346728,1922.5586362658075
E07000108,2703.0337555864226,2626.9969953601594,2461.011950046261,2268.3821335113475,2141.9982040556856,2102.200096286781,2106.620871860155
E07000109,2149.315637223158,2084.4388810695264,1950.803754720608,1797.1147259979289,1700.7111828472357,1670.5617760568011,1674.2218066072962
E07000110,3611.431796659757,3507.943518132503,3285.886939048806,3028.636453241813,2861.828111669058,2809.151667720312,2815.1039205467805
E07000111,2458.829167111508,2392.924017733727,2242.495490833026,2067.106659791122,1948.653153791196,1911.5677821877944,1915.509376893088
E07000112,3337.313712529512,3240.737896206528,3035.34217033568,2797.646943406773,2644.492076287367,2596.085683528061,2601.609952829668
E07000113,2831.216176984163,2753.029193426221,2579.450855378137,2377.628911151369,2243.708429600566,2201.613923675106,2206.2079980566
E07000114,4354.9346896919815,4225.620575269282,3957.178934287525,3647.250702784481,3450.985259670269,3388.630160348069,3395.9157299407507
E07000115,2302.0283483391213,2240.0187167001936,2099.1240605586177,1934.9311988059287,1824.356287924934,1789.721411353534,1793.4192011551474
E07000116,3343.0720376672966,3248.820241074477,3043.5397304185426,2805.3320061340505,2649.2678241833146,2600.079358580021,2605.5509025051783
E07000117,1406.4002192654737,1357.02239064123,1255.564268942844,1139.465826977472,1068.0040632308812,1045.621620008842,1047.4579231295436
E07000118,1904.477921550208,1838.106067307948,1700.6008877614152,1543.180970856759,1445.7029952229475,1415.2702795092553,1417.750198959
E07000119,2797.595632426293,2699.709354314876,2497.806584395522,2266.721095670079,2124.0819338521133,2079.471446313214,2083.1180423947767
E07000120,1231.2888977966545,1188.1262297940152,1099.2958528141585,997.6336221352273,934.9800732307738,915.3624431875096,916.967792398736
E07000121,3788.0640869597614,3655.479696640843,3382.11818506552,3069.2471337597644,2876.178603561556,2815.7813050878804,2820.7189730257533
E07000122,1364.5499796525453,1316.9627114171883,1218.3783884588952,1105.54058020203,1035.6881187557833,1013.9063764693808,1015.6868271387624
E07000123,3242.764258078124,3128.119476806947,2894.20990841454,2626.7013423284548,2462.9425840988965,2411.575761479261,2415.8331754217347
E07000124,1073.7593618291246,1036.842322861832,959.155197763681,870.1557009298799,814.4401639886444,797.1655976113848,798.5586778964343
E07000125,1278.4774065934414,1234.2097738117363,1141.8249341444352,1036.0206889708627,970.1631480156688,949.6648900322368,951.3265878370328
E07000126,1812.1478087364128,1749.0482419543928,1618.1932803323114,1468.3801945136904,1375.5485937224494,1346.5806952679256,1348.9405443057008
E07000127,2488.39493273682,2401.7330945691338,2222.043201965093,2016.324140007976,1888.865406731632,1849.090877893084,1852.3311652723053
E07000128,2700.413268549129,2606.1389263672154,2411.204579914473,2188.062244126471,2050.079350270876,2006.9672432906443,2010.4851495967848
E07000129,1523.1222727180148,1482.099594468413,1388.916615630361,1280.3016700564426,1207.1552254958244,1184.2203257485812,1186.666220457059
E07000130,3426.964569467256,3330.740363603469,3120.3774419032147,2876.1736985119232,2715.774504248937,2665.245257396113,2670.844546758857
E07000131,1816.5200387857128,1767.6933221128131,1656.5136430328962,1526.9351032269783,1439.5609474372034,1412.2131222459277,1415.1290497706168
E07000132,2211.2306216492016,2148.6619199618217,2012.501076836876,1854.6746665380824,1751.4446649049607,1719.0767091919556,1722.7114718114217
E07000133,1143.791328618766,1113.1916799292862,1043.1871005077896,961.5759665605632,906.3933195789584,889.1465388832654,890.9795736198288
E07000134,1875.13449711602,1825.671620032312,1711.0595038881345,1577.2494066393067,1486.0482101250043,1457.5667651866563,1460.5539190459117
E07000135,920.9106396339648,894.6375301490393,838.0822309207733,772.5045394561201,729.8675433702483,716.3774185000423,717.8911484010933
E07000136,1495.2369172942651,1454.6064255467718,1363.031826336404,1256.402607996216,1184.9603422752762,1162.559920724423,1164.970496437481
E07000137,4193.606541046784,4082.746923065645,3826.295845680536,3527.0030281415006,3323.252249838485,3259.667750988709,3266.356434839433
E07000138,2464.669591387371,2391.960493762941,2240.1797885892847,2064.78394143405,1953.2245744915908,1917.7687485127435,1921.8782732331808
E07000139,2055.6871121204567,2001.9652454110824,1876.3548215855035,1729.6088774057826,1629.0646099507956,1597.7312337333567,1600.9949985977566
E07000140,1913.7304049944728,1863.526584555114,1746.583218382665,1609.99403803241,1516.609460050318,1487.476903408501,1490.5192022361773
E07000141,3882.5048308410014,3777.211000575328,3539.415071494579,3262.5019095927605,3076.7454660124235,3018.545310639787,3024.799932254531
E07000142,1871.2544896488264,1821.9657857477869,1707.5594069331894,1573.9978173255668,1482.8862968585463,1454.466174724604,1457.4462932617205
E07000143,3976.011257138403,3871.5587446839504,3628.553989852034,3344.7741318193835,3150.909952122833,3090.4348916979,3096.760065135069
E07000144,2929.720043416964,2852.2493817968407,2673.1676781051,2464.1214266265715,2321.8384299850736,2277.375556001535,2282.0463980720865
E07000145,2679.219721555104,2603.3073460057144,2438.706411030149,2247.8094310108336,2123.129844349126,2083.8219776795227,2088.2167936515425
E07000146,5523.515787493195,5373.513561777423,5035.104363663626,4641.123028732476,4377.041295376463,4294.3376371671175,4303.243070876302
E07000147,4405.454188165189,4290.365343680913,4021.165841890209,3706.667673005096,3491.141208862538,3423.9854239267565,3430.978730502512
E07000148,3557.683762646868,3449.1664778499107,3229.1381164198883,2975.8978858090168,2818.47562032773,2768.398820762824,2774.431762811323
E07000149,3533.288714760701,3441.8208851778545,3226.049664104893,2973.7669582171006,2800.010127975245,2745.9284410361984,2751.517050107237
E07000150,1049.4645114220289,1019.3562185456776,954.8776030970048,880.1524413427707,831.7403439648183,816.409320246766,818.138074798747
E07000151,1944.265169732053,1891.850421602292,1772.808141193289,1634.1140791953055,1540.7503349898934,1511.5283733679407,1514.653317726106
E07000152,2121.787249999445,2063.9498250697816,1933.966844334557,1782.6645877046344,1681.4797760009085,1649.746911009618,1653.1724573285526
E07000153,1995.5916948823813,1936.175662833336,1812.1947224627968,1669.4373074839752,1579.0376711366018,1550.8554583716034,1554.2360620121838
E07000154,5099.635200976737,4950.427667159135,4636.5916656751615,4273.619716987776,4041.472824618306,3967.7765836042654,3976.249319896693
E07000155,2024.7395682132087,1971.2020403345184,1847.406639076978,1702.916318073956,1604.5656522569695,1573.8532001955566,1577.081930719768
E07000156,1504.9162945860369,1462.9991163412494,1370.6810771398618,1263.425714948429,1192.626639837836,1170.3437092160352,1172.7941632457214
E07000163,1479.2229374342785,1428.4744240636403,1321.410746306516,1198.7460292045091,1121.8233938720637,1098.0021428880343,1099.9203896644517
E07000164,2382.0025654652327,2300.2391990920605,2127.853401821272,1930.3518310873003,1806.553533025504,1768.2055861942054,1771.295791852971
E07000165,3561.789974439351,3437.507370568255,3180.3502700279773,2885.9801389011213,2703.868145140176,2646.990401752952,2651.629150531053
E07000166,1333.8258195900569,1288.2066442782043,1191.627552313097,1080.9562839724454,1011.3877138908032,989.8745454467368,991.6028006548846
E07000167,1543.225476878733,1490.4474498186648,1378.7058103990682,1250.6593107382594,1170.165783780193,1145.275659552913,1147.2755942710814
E07000168,3753.979349159081,3622.732378961021,3351.7783238950465,3041.6458771384705,2850.088778387525,2790.196692944277,2795.086614836665
E07000169,2011.808060639212,1942.6850624982635,1797.1228115260706,1630.3567722548728,1525.9062197109747,1493.5291757549426,1496.1388741263156
E07000170,1954.282692085476,1899.6751886231607,1779.8014130228885,1640.5503598927032,1548.8159287578635,1519.9049521070224,1523.0903569119794
E07000171,1902.031651457384,1849.7016547548208,1733.0972601813378,1597.4864572819988,1507.2933658046109,1478.973728104053,1482.0557452319656
E07000172,2078.247773293387,2017.7550484405408,1889.5200757162152,1741.2770941359674,1646.0740923903284,1616.101738629292,1619.5623473105206
E07000173,2317.898364054237,2252.0660263117943,2109.7373018961484,1944.6464202017528,1836.9957017366048,1802.9749440239384,1806.7780553152315
E07000174,1478.322698107325,1436.8178063982682,1346.10182802054,1240.773195060477,1171.589715319712,1149.775368797484,1152.1899272299072
E07000175,2025.5825188764447,1969.848395758778,1845.321117950922,1700.6221471681024,1604.3383510205445,1574.3059880237531,1577.6029519095127
E07000176,1930.0755257251,1877.42034348284,1759.200279309577,1621.5824242046192,1529.594970808855,1500.7225034324345,1503.8383525994
E07000177,3786.443215725665,3680.2158143149127,3447.793483311502,3177.964316657344,3000.6389215313648,2944.789324848756,2950.973959649303
E07000178,4474.818946864893,4340.676762891194,4064.065634053381,3745.195743890857,3544.482173728806,3480.9406623721834,3488.4824517574543
E07000179,3786.091089059267,3684.3698366157673,3452.7192892855223,3182.676442926436,3000.544966351056,2943.4905473408644,2949.56452984263
E07000180,3267.1632009515747,3178.298651577893,2978.17557083192,2745.181302868722,2589.159190357285,2540.241475228921,2545.5108606476488
E07000181,2964.4421765058087,2884.0330870479547,2702.488427053886,2491.070148980426,2349.2662900845976,2304.8222318621074,2309.598008524791
E07000187,3161.778232154207,3078.785608816761,2867.3530334962848,2622.091293943927,2447.935059478012,2397.70383040496,2402.4893656135696
E07000188,4098.678317419162,3990.985524381075,3716.756951977354,3398.684990915608,3172.8955330688405,3107.789144342243,3113.993630879744
E07000189,6218.862387565044,6055.929659342047,5639.741255902342,5156.973068928387,4813.756427777979,4714.903204458142,4724.308504912737
E07000192,2211.2916202628726,2148.204723989158,2012.410397529024,1854.9467790507647,1752.566876568328,1720.1677578325714,1723.8019579184063
E07000193,2781.874586963035,2704.4229228763847,2533.800692827869,2335.547045148402,2204.647604592111,2163.4332565631166,2167.961321486104
E07000194,2218.371686990019,2158.05428406616,2022.222063129016,1864.0436232862344,1758.1033621053489,1724.8557498769508,1728.4315875935465
