LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,37606.0611561887,38095.95947782078,37941.08974080516,36428.79019190872,32449.573422931106,27224.76933364103,20562.116444113504
E06000002,53251.435730316014,53957.5859453258,53744.60764535847,51601.72009782733,45951.30642466008,38543.00355355569,29105.083906218413
E06000003,54680.22587440376,55401.03993070327,55182.50389595894,52989.95818551329,47203.75462293778,39611.158861344426,29938.341645832348
E06000004,73382.31176407669,74336.0818348425,74034.71232348883,71087.37405750251,63329.13528500612,53137.16993791272,40133.52252098963
E06000005,42302.13959090044,42865.55385067927,42697.61769867221,40995.47120676855,36504.434872997415,30618.3800263888,23122.91869819444
E06000006,48224.95301493893,48832.3128365188,48601.732461923966,46587.52475386005,41398.72172020764,34594.750161555385,25855.6382532633
E06000007,80285.85008239576,81301.73726566392,80921.31384205713,77570.13875714327,68929.30659810553,57601.38466607585,43055.06772687815
E06000008,53618.662617854825,54319.09565004079,54098.82416898736,51940.556019470656,46261.80049882799,38807.36042601917,29301.600615456136
E06000009,62020.89565649202,62905.63251964031,62696.19671679796,60205.89756012645,53559.60643567632,44886.10330268245,33867.50606760227
E06000010,114665.32316922049,116171.1987863928,115695.05354284769,111060.90766118716,98885.97787424763,82925.89921579664,62599.15635085204
E06000011,138597.01847179074,140531.48850462656,140048.85997524564,134520.18985405305,119770.63233927533,100483.68347186517,75984.04285424575
E06000012,63013.29843999893,63839.60376475121,63583.596405951525,61050.40725611331,54377.63502553295,45619.629660973085,34454.40745369841
E06000013,64352.81949499678,65219.87159864628,64975.8974525967,62403.53636284274,55583.74710281429,46645.93450464675,35274.566149809725
E06000014,74452.34274167477,75481.10417826379,75212.66893091485,72230.78431354024,64301.71458868638,53928.305658049714,40735.64582578911
E06000015,99614.21957206992,100815.93894020985,100166.20504120077,96245.60420956936,85687.30129351863,71597.30031197537,51617.92025435368
E06000016,111291.40504822864,112735.4093456034,112092.591360203,107762.7271587052,95900.09244633444,80084.82898897947,57631.05452512204
E06000017,13862.8132779198,14065.657104747284,14022.218310639882,13540.895844042618,12123.984777434069,10227.493511646224,7527.327034576469
E06000018,115213.87073361648,116701.8614550874,116020.87470328357,111514.45866999748,99213.87987580927,82833.07918141385,59609.03077086859
E06000019,62672.02166055956,63670.0416497876,63509.82068355314,61307.61260857937,54772.79054730909,46126.23373051408,33998.93405906348
E06000020,65376.03219011734,66215.47157921425,65927.07259519187,63607.65944142117,56986.59060069166,48077.35185150092,35424.121197182576
E06000021,98867.52289760004,100121.2151356666,99594.3748294432,95892.7315811828,85598.91824353393,71780.66458457679,52048.56827644823
E06000022,70006.8240744338,70991.51639163263,70731.90226225907,68251.87870100827,61070.91161532126,51478.16499345195,37933.677020616095
E06000023,176863.65149459612,179308.97439371372,178594.39553973012,172253.03297403714,154067.33912804667,129812.232803273,95661.07583100125
E06000024,87203.96742296341,88390.76347199318,88045.35906155965,84956.58829454392,76057.37497299485,64136.46761611111,47266.96006307959
E06000025,94317.043652117,95614.05236798756,95248.9339730018,91910.36243061598,82271.78694621459,69368.18348632881,51109.69426121012
