LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1119.0172854172404,986.3719667368104,733.8545110035848,419.76987354335256,238.3051970823841,158.5952734758955,116.9141333424056
E06000002,1573.4112833478491,1385.5082053469846,1030.008489809347,588.2125048652058,334.03398026016515,221.9493819230355,163.23627541170606
E06000003,2330.9761331212885,2060.6158470180835,1536.4644537911286,882.9739573508981,500.8397625220722,334.86814175130013,248.4703011507496
E06000004,2170.409278847898,1914.313311405393,1424.9459856042731,815.9226682880824,463.1410249910104,308.500912670115,227.7165036944146
E06000005,1677.959985929382,1481.5160012075314,1103.6107389395688,632.9492487541355,359.1307690494008,239.66357486377612,177.35657391799325
E06000006,1745.2812710391129,1500.0734924677786,1094.2218691037226,599.1457333777759,342.47654041969935,217.7869841083121,150.4398818725164
E06000007,2846.721456772286,2448.7621574686623,1787.4140822668094,980.1741651809044,560.1238688021746,356.74291317191285,247.01046865329
E06000008,1831.4938791136533,1614.4082215930866,1201.115058344939,687.0434030855886,390.0157829107165,259.55596389849154,191.35275185366183
E06000009,2067.5455106908785,1816.715817275795,1348.3955348147715,767.3242574713478,436.0024080955018,288.60879824946284,211.1964759462772
E06000010,3787.417482205551,3334.2868484960004,2478.113377314552,1414.4450016410335,803.128854168547,533.5417690773539,392.31404562773474
E06000011,11368.422423906595,10082.62553305236,7536.531222667352,4353.511593375544,2466.921736430233,1657.8072740790583,1238.8978149989666
E06000012,2371.89475298614,2092.067527639404,1557.2480271697978,891.6716380778221,506.0980090188149,337.1475716199344,248.90163325612724
E06000013,4362.610559242792,3868.084115721612,2890.6603812364287,1669.038535021928,945.8341827486312,635.3510526589129,474.5229608343843
E06000014,3097.344787298349,2734.895617224086,2037.460200986873,1168.704410573776,663.1426614708469,442.5090698458717,327.468290935092
E06000015,3341.273987605189,2881.095805895778,2115.6194888334658,1193.551531992758,725.3442147267932,512.9065803200565,371.1276800139333
E06000016,3538.1917000735552,3039.271888751498,2225.784997375838,1246.4783553192176,756.1529131810285,527.8887405794868,377.760233702516
