LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,287.2031219499238,836.2766265727616,1411.9676383230308,1654.2840741070777,1611.7784279521686
E06000002,0.0,0.0,413.539259803626,1215.744298853985,2071.7905346866187,2448.1360461523723,2401.589592107388
E06000003,0.0,0.0,406.9483463828155,1188.312012805493,2010.022007375955,2360.105642343555,2303.3729740673625
E06000004,0.0,0.0,554.232375898201,1612.054765357111,2716.223180750062,3177.393696947457,3091.142573767056
E06000005,0.0,0.0,252.48316594662109,731.5077893297915,1254.5062043663336,1481.9421683781009,1457.9575600552514
E06000006,0.0,0.0,366.3304117646206,1065.1912272931347,1792.9315457455216,2095.9741757051315,2037.673556159144
E06000007,0.0,0.0,606.4639756880317,1769.1590954012454,2988.3268431325123,3504.550269027385,3415.9550520894813
E06000008,0.0,0.0,411.72694002310806,1199.7959033820227,2026.6190226885155,2375.62475723147,2315.3621860737658
E06000009,0.0,0.0,523.5568675417064,1588.8350556091766,2784.040003245376,3374.021312925441,3374.732211141125
E06000010,0.0,0.0,2937.2775758982707,8607.298418937806,14395.586835116472,16838.59407840855,16373.802528789693
E06000011,0.0,0.0,3675.35657244284,10807.893585148437,18110.251545458465,21236.676423422763,20695.54558488
E06000012,0.0,0.0,1574.7574766410091,4595.619190706286,7653.183920579113,8917.32375832579,8643.899834427557
E06000013,0.0,0.0,1703.5124223818957,4962.276366624591,8234.367706806477,9569.170509089914,9255.236902024262
E06000014,0.0,0.0,1893.055076956996,5619.095734148597,9526.68163274655,11279.508087495731,11079.295532152264
E06000015,0.0,0.0,3372.435346505112,9938.009335117042,16652.612689535716,19525.297183191706,18979.01214511174
E06000016,0.0,0.0,3847.7162652725024,11489.166802406233,19507.19286237062,23140.290869430704,22706.916889342752
E06000017,0.0,0.0,463.5789634309168,1359.6056778253674,2255.938029410708,2625.830488793293,2531.5872856740007
E06000018,0.0,0.0,3977.4428965642815,11870.84942966565,20144.798848006543,23883.4834169042,23421.324157292383
E06000019,0.0,0.0,2174.2666260942788,6493.639045756995,10983.032250773187,13010.23724622581,12743.114242113304
E06000020,0.0,0.0,2129.1862867442733,6158.490213261091,10096.792451035832,11607.307846410478,11080.399785271136
E06000021,0.0,0.0,3288.079382473192,9604.043710324762,15932.378624132309,18513.40388823485,17849.208752094844
E06000022,0.0,0.0,842.4798620099757,2475.769142561273,4163.521183855016,4878.157349591089,4719.06137002672
E06000023,0.0,0.0,2490.697291012886,7368.996808020459,12458.267989367814,14675.08798528932,14262.418882102493
E06000024,0.0,0.0,1012.837024187548,2948.3995286327736,4909.46647458086,5699.273156218155,5468.041486874883
E06000025,0.0,0.0,3164.603168700888,9328.812460263302,15611.355423871177,18294.496821537763,17760.748634176045
E06000026,0.0,0.0,1363.1084588533474,3972.531444754097,6619.143385886689,7691.556960544077,7387.797623569797
E06000027,0.0,0.0,770.3718068239083,2276.565825012391,3850.7386371538646,4535.79001651383,4408.152409427437
E06000030,0.0,0.0,2670.135700826757,7892.710025086812,13255.58941082872,15578.16444262867,15161.801968136397
E06000031,0.0,0.0,2335.407662626377,6838.674660806115,11366.82951221122,13233.025247749683,12774.343065231424
E06000032,0.0,0.0,2374.757478676004,7042.810173656822,11875.938992534431,14004.12848530448,13673.64909612614
E06000033,0.0,0.0,2506.728937327994,7428.947524522429,12534.549128237571,14782.527234111816,14448.539967092458
E06000034,0.0,0.0,1928.774031433454,5808.319258771689,9948.341842715505,11901.06475662372,11757.352318254594
E06000035,0.0,0.0,3308.1816682376125,9695.718199534344,16140.213327433474,18814.04992773888,18188.677010859094
E06000036,0.0,0.0,1403.8226543324492,4148.939260653133,6968.83285252927,8191.482587041671,7974.060993090382
E06000037,0.0,0.0,1743.9446047264476,5241.690079309718,8934.883451121508,10650.513108014951,10485.341155567672
E06000038,0.0,0.0,2062.8648407582127,6273.049371478646,10849.456700181829,13081.462692278465,13008.244009909886
E06000039,0.0,0.0,1515.910863390562,4597.5249583974,7927.795320098109,9536.436468802334,9464.93352456757
E06000040,0.0,0.0,1877.8379668031448,5538.667623087642,9270.81024410792,10866.467228829506,10548.542555875296
E06000041,0.0,0.0,1832.2375508324344,5359.089817759012,8889.188572958765,10332.688951831396,9956.708947721005
E06000042,0.0,0.0,3095.733830604746,9036.1133440139,14973.918209095013,17380.626590429467,16734.600775749128
E06000043,0.0,0.0,2154.9875117995093,6357.784692499237,10710.64744339833,12580.262181321645,12201.199246331094
E06000044,0.0,0.0,1238.358705585886,3641.353071126964,6117.172692201233,7165.134653400109,6931.782751110295
E06000045,0.0,0.0,3102.4116421397675,9653.025488863284,17076.028585596432,20983.88601943609,21187.25619651933
E06000046,0.0,0.0,746.7640344754274,2197.560846929724,3702.4079097263134,4344.647621852992,4207.677207389512
E06000047,0.0,0.0,1524.250544118297,4405.927674734142,7364.717190038212,8557.625866339253,8278.113006680358
E06000049,0.0,0.0,3734.191444002345,10971.57930682942,18382.06679748746,21545.96943272521,20989.43479024464
E06000050,0.0,0.0,982.5148066820492,2882.8864792093104,4895.63845847733,5770.441149032981,5649.1263336454
E06000051,0.0,0.0,3659.305489307239,10891.21688637897,18347.844704538365,21657.778875085834,21144.150965151304
E06000052,0.0,0.0,2208.705687909896,6720.857267119628,11688.629626086346,14118.753067963584,14011.166828911688
E06000053,,0.0,8.367519127814232,27.57777439368836,51.53335811777988,65.88544352847398,68.28196513859196
E06000054,0.0,0.0,1853.904955882325,5474.956472490646,9253.560776825698,10893.229141935282,10580.242680126625
E06000055,0.0,0.0,2098.395993115099,6216.625768815183,10453.13435547695,12303.307745698305,11986.3149519781
E06000056,0.0,0.0,3273.4048514147803,9609.8958792616,15991.85708687676,18650.401150305148,18019.576817855395
E06000057,0.0,0.0,884.1655005509523,2596.790130955837,4408.265408452441,5196.938633109528,5089.261578831328
E06000058,0.0,0.0,2118.821355588564,6238.199412850602,10509.793333326705,12335.4993625675,11951.714615808032
E06000059,0.0,0.0,1652.3648021683484,4847.951885216792,8139.931557970069,9522.585211491749,9197.679344587745
E07000004,0.0,0.0,2229.5123044909787,6588.49352381148,11031.385495425626,12941.825493910494,12568.527369426063
E07000005,0.0,0.0,1153.4277322912046,3367.4263098897154,5571.00716203666,6461.39135889293,6213.714345950498
E07000006,0.0,0.0,854.6532770885502,2480.933250819969,4078.20994826202,4701.331344165083,4495.815949312423
E07000007,0.0,0.0,2096.666261837438,6212.216645931987,10449.400993676418,12304.262065638572,11992.19256453968
E07000008,0.0,0.0,1605.869843605931,4785.874237759957,8111.858388425058,9606.342282695095,9412.649780603146
E07000009,0.0,0.0,953.4523758905916,2820.099903728428,4720.247782849281,5538.8830995938415,5378.867744061003
E07000010,0.0,0.0,1167.7321756147614,3445.9827261017963,5760.318012732038,6748.39679158822,6546.321416268293
E07000011,0.0,0.0,2231.035136372787,6550.289770498367,10897.303593404593,12707.661288237834,12277.85257305677
E07000012,0.0,0.0,1716.5323350189478,5067.676960454061,8463.686060539574,9913.013513184096,9609.413832911336
E07000026,0.0,0.0,277.2654882180359,814.046519240989,1381.7764182348496,1628.8206096291376,1594.9397759264414
E07000027,0.0,0.0,219.8497028296948,644.8695532616595,1096.2285906695324,1292.7444392538223,1266.1197165165158
E07000028,0.0,0.0,315.8502052420647,933.3661955072188,1594.6919103499183,1890.7568453297567,1859.7419263268769
E07000029,0.0,0.0,206.2894854133341,604.6510047943061,1025.2041035347452,1207.1077296857295,1180.865407507904
