LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,1119.0172854172404,841.9924674839581,529.4583752924583,201.7578937972796,111.62704880794372,48.230329752132256,0.0
E06000002,1573.4112833478491,1184.944543549272,745.0547482257906,283.8275962179512,157.02152641734722,67.84208486649476,0.0
E06000003,2330.9761331212885,1738.4705711430893,1093.5578396002318,417.2770165325593,230.91181189019656,99.77186018269146,0.0
E06000004,2170.409278847898,1617.505333205581,1017.2892281261404,387.904736941545,214.63596235761528,92.73378812623106,0.0
E06000005,1677.959985929382,1314.577376937655,827.9433693555417,317.9093661330932,175.4035106693638,76.00175751451407,0.0
E06000006,1745.2812710391129,1214.859253396518,763.9276169434672,291.0968779643964,161.04900647064952,69.57495197231485,0.0
E06000007,2846.721456772286,1971.868404646992,1240.1210204245513,472.8262009392037,261.6227346291564,113.03764968312456,0.0
E06000008,1831.4938791136533,1376.6618335494422,865.7058559470578,329.9437631470667,182.5542239172527,78.87405435982319,0.0
E06000009,2067.5455106908785,1559.3478359728906,980.3442979471444,373.2587038839469,206.49122402533013,89.2045839939397,0.0
E06000010,3787.417482205551,2869.5949075370386,1800.036577288559,670.7992293291287,366.4216255296383,153.37130390934382,0.0
E06000011,11368.422423906595,8720.506445619996,5470.082761954932,2035.304346897012,1111.1562079182925,463.4007382627176,0.0
E06000012,2371.89475298614,1819.4122737335024,1141.338705596422,425.4043601165917,232.3860694723108,97.26264606478018,0.0
E06000013,4362.610559242792,3369.8942780377806,2113.8025022866964,786.5001942614188,429.3111066141417,179.05028716997467,0.0
E06000014,3097.344787298349,2374.877634311814,1489.808558631918,555.2634905135442,303.3553396238125,126.93967359266752,0.0
E06000015,3341.273987605189,2505.216140345264,1570.604452980327,580.4751804744842,313.8983602711298,129.19040902789905,4.292557615880414e-05
E06000016,3538.1917000735552,2651.889931336584,1662.2273168029376,613.8971712433153,331.84808282163294,136.59029908794662,4.638023602183976e-05
E06000017,1419.9210484980006,1063.205444351399,670.6799066295881,253.8137682496571,137.40739624874703,56.53339875155181,1.912477429368556e-06
E06000018,3116.37804150758,2336.049177955553,1465.082242876802,542.2812425933315,293.16704929048666,120.66651066985445,3.725394119473723e-05
E06000019,11615.63904375835,8594.692615659607,5419.766379421003,2048.444515267397,1108.8572493801455,456.2308219214548,2.237775764971648e-05
E06000020,2678.4877528756533,2009.493934627263,1265.0177746997797,475.08171902574026,257.010494014485,105.77530548864856,1.2709368585989627e-05
E06000021,3476.019748098291,2607.992317863797,1638.077180591208,609.8870001595884,329.7261959764068,135.72559174869693,3.068001841178036e-05
E06000022,4227.161935378916,3140.92314137561,1985.5635656696868,762.0988121626992,423.7209493745671,177.80788651829215,1.4630817804453087e-06
E06000023,6119.952230563715,4663.125705091724,2945.884332203037,1127.1736021065476,624.3566996103476,261.44367273067934,3.0588139156453963e-06
E06000024,4838.345993898591,3586.6471680576765,2267.49382892774,870.5650959045288,484.1604690368088,203.19253838237705,1.6212221459147854e-06
E06000025,5740.357087635423,4288.7778949627855,2700.243685200539,1014.5787668776668,548.9248935622721,225.8971057292039,2.645675952997028e-05
E06000026,3350.3708098563857,2532.8216364162413,1600.3550639181326,612.8828550525403,339.9109214210096,142.45264327792262,1.5023195480540148e-06
E06000027,2326.543113961201,1750.0750864436843,1105.8065056073006,423.662899078045,235.2217253668474,98.6733503073666,9.407582692452568e-07
E06000030,2808.5233252109088,2105.463245563256,1323.1889068035089,493.7146971455164,266.97655082669576,109.88835101624797,2.2104046037404863e-05
E06000031,2772.95251660778,2079.4762856968177,1308.7721103804406,491.0544176994889,265.68590404207754,109.33620080613608,1.4934770312481289e-05
E06000032,2420.055808221955,1814.2832301306703,1138.229861134804,421.8717495478009,228.0370949071991,93.86618962828142,2.694050054273227e-05
E06000033,2592.7886260224245,1939.7473380599768,1213.4580473204926,444.607370799088,240.4622369133736,98.95044820969837,4.5287943746491215e-05
E06000034,2034.676333046766,1523.8087080282517,957.8584101755472,357.6982817724309,193.44523953925952,79.6177121601637,1.5331480690017656e-05
E06000035,3519.089241854151,2636.674345415997,1655.5216867071986,615.5093185969073,332.8333716700838,136.98684835038097,3.443217208129339e-05
E06000036,1423.6009633715737,1068.2303976563037,671.7125353578244,251.1740672097576,135.83961411332166,55.90950899510826,9.726482528445668e-06
