LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,241.4958770153751,2625.850571767696,9904.79108889513,19033.119184081635,27637.91199017284,31280.92409607232,32774.20691337378
E06000002,386.2954581329922,3791.5290442445457,14137.288232214396,27129.051666657328,39350.83794337018,44547.4278031477,46675.12414667408
E06000003,353.1957764038029,3908.7029048381055,14641.50138018041,28079.89868741688,40678.02887726967,45985.38965633792,48143.11692266436
E06000004,422.19901021713054,5064.230277417228,19254.74440111615,37055.77768923328,53841.70699514548,60945.61804848669,63853.58706571074
E06000005,313.6421050089597,3058.682953319609,11324.595328792588,21698.65480622965,31435.180385451476,35556.21058871135,37230.60529753213
E06000006,234.9270847404816,3307.5692914589627,12636.60650269937,24325.73109363424,35337.679511874376,39990.57159602668,41897.06289318619
E06000007,407.5721256221073,5529.825679266566,21072.82230572125,40565.48847948633,58909.346566068,66670.2063857619,69840.96049535112
E06000008,333.07823607390964,3763.272382589235,14183.269338842532,27237.44016586581,39527.72188458349,44725.05233568765,46857.006590425146
E06000009,588.7569670486324,4715.17181924578,16973.266342339564,32432.098177708653,46851.39242292252,53073.85878496346,55610.52170995906
E06000010,738.9596547259167,8154.63305379749,29344.171275221102,55773.21371305203,80425.02534285725,91139.47522011312,95735.52102945032
E06000011,983.0383252974676,10854.731890679326,37805.97912529229,71056.41685254782,101552.0402068984,114559.78650404896,120122.80719984652
E06000012,363.45564836361694,4452.889154522875,16131.340349839427,30667.14388453869,44224.17207896457,50080.0559888988,52588.78839033957
E06000013,341.6501442269785,4764.254517920574,17027.775753230162,32183.12488680374,46174.51434053508,52145.94422331794,54699.86359207715
E06000014,691.0980369924848,5668.364550196853,19677.44483604436,37145.98647946929,53342.67655932766,60400.69366521991,63428.96929476858
E06000015,821.6886527762978,9292.002730416772,27941.490928987834,50146.304549657085,69019.1614271233,77547.3560950084,81701.51855251261
E06000016,942.3902081562431,10522.866098622331,31542.399771218155,56652.7187259192,78020.09696700673,87830.5475420409,92653.95749994964
E06000017,115.422152668157,1413.1544557785232,4216.3087554178455,7540.186127088888,10295.209895603684,11492.178720240978,12051.58678280678
E06000018,1012.711988612299,10862.33791583259,32555.95707124968,58527.32986276593,80653.88289622421,90842.42659901826,95839.94790808012
E06000019,721.9955816294021,7328.884034100387,21072.093410531805,37177.27627082033,50270.98343109513,55866.83646229017,58508.72508536021
E06000020,333.8132928448942,5855.680678103352,18087.983714516595,32649.068458942027,44988.00897513845,50453.64951969645,53061.214380113146
E06000021,698.6912757571016,9075.104780801175,27605.987017020067,49680.30932975088,68420.51098550533,76812.9559983967,80859.1466494817
E06000022,720.9554666505782,6938.337816628165,21393.983043511696,39121.81975263878,53900.911238795416,60232.422486079726,62755.75873879795
E06000023,1696.5584114510011,16951.8745202934,52508.97318524392,96347.8831136356,133080.1971904145,149169.66598219893,155698.64505669827
E06000024,709.0927930225298,8325.20844906808,26152.944867647337,48007.42003962202,66277.8758213803,74074.99916336985,77177.98396635051
E06000025,821.370698573089,9174.861887420338,27368.13345810372,49011.102422580734,67201.11421261825,75303.33576966537,79185.00588675484
E06000026,840.277901313576,9881.885613039893,31226.70561530223,57470.413588978525,79555.16681821701,89085.48245113195,92924.51215905214
E06000027,727.0171289652365,6142.401066468387,18818.08664237157,34452.78345262819,47531.698889025865,53215.3490765012,55483.64156582469
E06000030,688.918319692044,7457.401491655977,22381.147711875343,40209.53530191041,55319.839168264,62155.516749955226,65459.19752207014
E06000031,470.2450685356653,6456.981133878857,19666.32754188023,35413.191259799976,48758.26925792356,54743.280213486,57624.57574379457
E06000032,621.6247054659042,6601.744843931185,19755.017362404797,35454.97335446265,48784.215615137,54843.586806530526,57795.85729765055
E06000033,661.1647119425093,6914.43205167385,20592.54930985904,36850.04977977366,50693.29502540163,56993.1752977017,60096.4767737285
E06000034,784.7307758165475,5644.470584843106,16280.231504082183,29022.73318164186,39760.299279914936,44654.58834449035,47015.13444488787
E06000035,683.6018851811459,9076.96448725507,27607.44530361597,49679.51024278153,68424.97524751208,76852.44158095561,80932.01091754856
E06000036,416.74135776212506,3972.9540591117056,11829.507312825805,21221.088136552717,29171.733224486885,32759.32352211128,34484.3756511151
E06000037,637.0499546780795,5576.298831600709,16040.85077808242,28429.973548803584,38637.36488858433,43136.85404805806,45279.33761070552
E06000038,730.7106451583708,5831.622810510524,16946.66631710054,30270.555254103765,41558.53556998979,46805.52464116873,49391.54123533516
E06000039,510.7486801492564,4255.47043264019,12422.29212448278,22199.328496454684,30474.505342167144,34305.49352964239,36190.51373841193
E06000040,455.6191136914883,5298.518659319039,15940.644496777157,28637.418390066163,39347.14475960594,44152.25221288475,46457.003621950105
E06000041,378.1530197502251,5091.40938211714,15519.2058140816,27971.41595816744,38502.70543600545,43211.533809175926,45458.9187107107
E06000042,676.1640133930118,8571.785118068612,26090.472709262653,47014.34138404683,64783.74350951551,72757.50028789684,76581.56692611126
E06000043,1358.3355466768342,13018.85500883419,40280.692252846224,73776.34607371848,101897.70120079222,114219.64376090004,119306.34849422186
E06000044,854.4838559581137,8301.570296817594,25830.577162274403,47390.96154185674,65499.3983721465,73396.20016631621,76619.1948833729
E06000045,1490.7203203147285,9064.751570042514,25396.568941661502,45032.61494817887,61601.49511031599,69435.36428322522,73327.30595381676
E06000046,742.4993785004269,6461.354913022503,19802.067271307813,36199.58687159548,49836.60218139449,55687.03303421769,57993.61965268316
E06000047,977.73633464352,14901.484216301618,56862.35476946561,109299.52717912164,158432.888262536,178997.88510481018,187330.19831710655
E06000049,1012.58226278347,11049.642753898772,38859.833391232816,73282.48590563746,105032.00832666807,118646.22097890232,124474.68008492318
E06000050,880.0617533430838,9725.33556940865,35892.80878589891,68590.09903113678,99074.36432828932,111887.80329015432,117083.83341466286
E06000051,1057.8133846688668,12001.821808434464,34921.866567956415,61839.45331833169,83807.7936381007,93235.5097155224,97685.09170064388
E06000052,3586.7075751502043,23694.4843377984,67378.09483676785,120283.44964767204,162469.3069709334,180033.62580387737,186774.32669023445
E06000053,,102.17643628678948,263.1895511110607,465.27746199321575,622.6738839834888,694.8213793896058,721.5378412430504
E06000054,2097.6990061003626,17986.01471257036,53815.99320765018,97319.89588981868,132865.3601933373,147690.1318790285,153481.12315946567
E06000055,550.0443549328623,6013.593129655166,17954.391715857768,32184.558762401743,44156.93348524736,49525.667746291765,52104.80876947309
E06000056,754.1123105582933,9333.37408617281,28183.504217163078,50666.12678871844,69572.67236228072,77982.70866659231,81976.81229299243
E06000057,928.1802916354296,9769.99177083062,34941.44896617475,66114.26024509322,94741.69336141,106585.40143297588,111353.0463548517
E06000058,1916.312023815924,16608.512633209386,51334.33717792086,94120.10342300525,129973.82752351326,145515.2071505835,151734.5383856221
E06000059,1573.375779935992,15203.293610118471,46468.38508063965,84591.27739328732,116032.91497071263,129269.3484570239,134469.38782743632
E07000004,568.087120983948,6710.444259490723,19950.186774233203,35647.902942375185,48695.09904028545,54429.84749746747,57150.5797143997
E07000005,238.41379501257725,3283.872044354432,9973.227557847164,17938.42452602681,24639.323452794142,27605.32914532149,29012.777827416765
E07000006,149.5133695651872,2377.461095174316,7314.903840481262,13208.682228061256,18187.65386254026,20395.72058681491,21440.066529849973
E07000007,622.2836564363874,6113.20798223079,18098.653458113306,32381.21829701096,44371.04019289471,49729.3253228735,52291.61644611799
E07000008,435.17142955150007,4461.143573056258,13302.302019797677,23876.4536516368,32866.23758797969,36991.185643932055,39009.81073109023
E07000009,267.9480091173229,3054.0077583471093,8960.813271598698,15926.42992403931,21643.20493296572,24107.07023811873,25262.806332436816
E07000010,303.74439962792553,3592.6385624826144,10639.253279353949,18972.18086817349,25871.30963122028,28879.239837220302,30301.924427382208
E07000011,512.5360434636033,6534.707093093488,19638.510689686653,35206.06814196481,48221.70804621035,53957.89701966134,56678.27213382459
E07000012,461.5148944212523,5423.802696661607,15993.857469252776,28478.869780639958,38742.703422334016,43173.290076959,45246.47986675072
E07000026,298.039478170935,3062.7650690286664,11026.792045558945,20914.794127108104,30023.496117375485,33800.630911766435,35316.44050112304
E07000027,198.91948488504025,2072.5347805876736,7734.819502175718,14831.17569960128,21489.331817285583,24303.60775633848,25450.763799819146
E07000028,317.5595424628682,3244.364068095199,11740.708470877897,22318.422158373367,32099.82025141457,36191.5224323252,37846.16669090759
E07000029,216.99687985521277,2179.3304405119216,7950.24268260149,15146.636177943894,21820.029619850717,24605.38995741193,25724.078583721333
E07000030,269.48796433537456,1937.331722227612,6169.41526256615,11310.853491893156,15807.362739776649,17615.117396101574,18326.00235393421
E07000031,522.7609534967895,3998.8199390439545,13895.591375058826,26210.80825304789,37482.65938935107,42188.13956061334,44063.30450672888
E07000032,321.628608958177,4545.358007876078,13870.779111216105,24973.667098020465,34340.68227251028,38482.77217199218,40449.75955666462
E07000033,129.7160443201789,2754.419366200003,8559.718785009305,15464.556094969928,21284.49467521352,23834.097993086023,25035.37198403559
E07000034,214.2973770248614,3820.223891771561,11825.940124240567,21370.363009909124,29470.486929013223,33078.24186783024,34802.99620779694
E07000035,218.29519026574704,2971.4503663453806,8898.657275494887,15916.159942154596,21727.329250834857,24247.51629807498,25428.01532718355
E07000036,273.02009005031096,4004.968731348118,12274.673610000926,22134.67196963636,30488.42414064425,34216.1859571914,36000.654527879335
E07000037,252.30951875832545,3519.857060535789,10727.061307546912,19316.367077509603,26561.0001873016,29774.79585785908,31301.295591592265
E07000038,185.0740510348785,3569.580579550023,11044.612727354284,19930.94754223401,27409.376598352068,30679.19820836246,32217.55300513764
E07000039,212.32036438739948,3355.030620514753,10260.40754300808,18470.123030382158,25368.00523628521,28399.72741868688,29833.122344374064
E07000040,655.516075226105,5846.811164844236,17642.327464725226,32016.71533755697,43845.52104271627,48835.83220385942,50802.37670313971
E07000041,540.7973232729084,4724.792227321803,14555.583295904022,26661.48912810454,36800.31362127209,41180.64587734819,42927.51146057281
E07000042,331.6227732304,3027.5580371323445,8939.113101920071,16045.078242230746,21751.02373394327,24074.174169242116,24972.98765707868
E07000043,448.074832489405,3970.925901397039,11882.625566156328,21492.49398336715,29327.16468851814,32603.42151410353,33883.629354716235
E07000044,546.4313438687673,3866.451340750532,11138.21475136677,19925.57969328704,26971.738028119664,29882.97701960991,31004.89873265076
E07000045,581.9401050123302,5303.162724754086,16109.493323370449,29304.39336129,40173.219267592016,44762.67663963952,46560.73461411044
E07000046,313.3845766256694,2749.9674830440035,7942.281788127461,14144.670794336378,19044.17033742061,21022.09816811778,21787.805744897
E07000047,246.37026163367344,2237.606504827524,6533.341910636263,11663.674844965357,15744.41767786336,17381.925914894673,18014.643068271373
E07000061,541.31057105947,4390.172709140325,13465.707575091732,24658.460408857005,34036.835766666,38131.98208071878,39783.3423546334
E07000062,482.3089234097078,3967.238766086518,12190.0105106693,22326.881570387093,30829.716301028016,34536.35247152466,36031.47526435325
E07000063,367.7769054052727,3749.975499850704,11616.595720679778,21254.52862616091,29269.61019640443,32685.18107106855,34036.91392279864
E07000064,464.0072954581242,4194.886694322597,12766.489000338188,23236.897040326927,31881.011356700583,35540.55586724395,36980.91925035002
E07000065,515.8637169055368,5959.0017187176845,18390.98844209485,33497.21695129545,45944.77433179962,51144.691596442106,53192.8455608791
E07000066,553.9754494505163,6071.563813596806,18258.422758579865,32826.93741545156,45169.31092311374,50731.80074804215,53402.89092252675
E07000067,612.9538802656737,5592.275147147399,16261.566311455872,28902.78650034052,39387.61004784247,44007.56659328297,46208.27039501249
E07000068,206.08586345038552,2704.7286560508383,8225.683750297265,14814.535415250972,20380.640741687843,22867.952395177486,24055.696388576755
E07000069,228.2498263127095,3035.7221837142515,9246.953548762473,16654.879257669523,22924.043854612664,25721.50166618244,27058.8219773696
E07000070,674.3098036466841,5870.611421546324,17138.705603105493,30562.638442977703,41795.45214253194,46824.32786123492,49232.5516952812
E07000071,725.9550232644677,6472.985713142585,18907.4692576049,33719.20321981329,46099.2550086586,51659.99621535885,54333.09639387435
E07000072,379.4606546913094,4640.7461069121455,13988.144369376096,25127.35227026736,34497.93460691422,38668.75547851689,40655.80918199438
E07000073,233.75494265399792,3693.364201951717,11371.4686083251,20514.575723664344,28301.310529654376,31784.376646884117,33464.46191741914
E07000074,220.48151017333132,2283.408856531094,6594.733973894018,11663.573859341146,15791.99984504984,17568.044487966843,18404.63987281476
E07000075,215.6714537081972,2729.855372772047,8285.055406294383,14917.78836002313,20519.596259338945,23017.856246629337,24206.565526925613
E07000076,654.9308011511885,5754.973170074785,16826.108172576744,30021.41074935469,41066.14339334204,46009.42761103313,48372.90772916583
E07000077,235.20614514211545,3078.8737396323195,9102.444921416656,16199.633975242728,22018.2237708909,24518.221666778445,25689.61946396924
E07000078,488.8291679440868,4945.828019887623,14667.653731241257,26262.730507323624,36099.8295280587,40572.17256500789,42754.60630268357
E07000079,421.94405921912687,3740.417962082678,10638.839992167415,18751.060095442703,25331.824804385396,28165.824984765524,29499.32380266083
E07000080,286.24845076633085,3340.390040420581,9702.865375455624,17149.418069207164,23188.18398399564,25740.13339123789,26933.23337828516
E07000081,420.6755436937855,4560.123855985523,13629.660364894264,24460.146413158665,33640.394419954966,37806.82175502475,39830.02732370462
E07000082,450.30270216505255,4463.735724549008,13149.790901248094,23493.07513827697,32109.000231724007,35929.54631424043,37738.56416451014
E07000083,325.95300080647775,3706.211208714295,11093.417984501652,19885.81094101412,27251.128074019907,30500.443276998005,32035.853202655257
E07000084,485.65099285451504,5881.529315159797,17600.40605544713,31523.934911559187,43173.73758376607,48341.66843267174,50811.24940425478
E07000085,378.96845514701215,4380.843823583079,13079.59841178791,23420.67514206508,32059.77979170208,35872.17586181804,37678.7612640653
E07000086,370.6184718068433,4271.640607785648,12917.13862844971,23255.6794012892,32019.693922024588,35957.11683506117,37839.96048755376
E07000087,344.79646241868613,3891.87309151104,11735.75456899924,21096.678853752484,29016.54553902678,32560.03008379586,34255.97126046653
E07000088,411.3801925366466,3044.1948606942474,8806.415730631054,15711.767510661915,21542.92978838482,24221.79510962749,25525.19138099657
E07000089,261.6817417027454,3172.4682043950443,9599.078279354124,17272.25851932967,23750.833869230843,26638.422170186248,28010.665954090942
E07000090,375.1631577573853,4295.002877077141,12959.63747315148,23306.66682731124,32068.846114600063,36007.97683364809,37900.82179402006
E07000091,616.9682340330795,6811.436403252498,20342.57425009342,36440.00830600431,49943.14735986775,55918.26484172691,58757.26842583364
E07000092,329.8529326553009,3182.260154186904,9473.56740877489,16998.86628139635,23379.35894102644,26279.761316921144,27684.31879015234
E07000093,414.4412063901158,4402.643821712527,12905.995519818169,22948.860822926763,31250.22633610328,34871.696604525816,36591.34595807186
E07000094,396.9006121853757,4505.072906485438,13357.160971147345,23854.26954767978,32582.514110733784,36421.49573015165,38243.528068545726
E07000095,388.2188345295117,3269.993219325529,9599.655370301498,17171.731001480675,23565.40532281346,26467.024382538897,27866.59013744381
E07000096,408.5004211108499,5010.514767679401,15148.21842696787,27262.58265737972,37505.03458796789,42124.93150944842,44346.73478973091
E07000098,265.1404525216442,3377.2887926515623,10248.671379719928,18453.51075750875,25402.254005950424,28525.38978621381,30025.49465296277
E07000099,474.3434124207222,4550.049969488924,13416.8957459384,24003.340531164427,32880.77379936932,36878.967706809904,38796.40121156957
E07000102,272.9724846627292,3165.9502722823017,9555.811058588895,17181.337573040146,23630.22826191025,26510.53726477449,27885.5069501082
E07000103,376.8481718387177,3211.329729021464,9437.603091558354,16884.027110114203,23197.83271347376,26087.959631462625,27498.289934381977
E07000105,355.3535081589313,4536.11398844652,13552.4095556988,24225.391732888984,33103.55056032428,36986.80973241198,38828.82241521152
E07000106,525.7146274347097,5759.8717446459295,17271.207585706594,31014.171033024475,42608.60794645191,47812.382030188106,50305.14182626934
E07000107,327.273201555873,3513.259001199018,10566.218155706896,18994.227146195288,26129.96728014472,29335.63642118373,30871.514158465856
E07000108,358.6796485387928,4394.675340070914,13253.60416568714,23803.372025746103,32685.39458643706,36634.28216789224,38517.58539686865
E07000109,285.2039031199138,3556.7642262257555,10734.46656696318,19265.56206210913,26489.23761336565,29726.096894271974,31294.09519866071
E07000110,479.2197229763108,5791.022961831061,17412.021612523447,31252.000295869744,42885.18067030933,48076.49849836993,50561.8958480861
E07000111,326.2748678790174,4120.882316078399,12374.882045288565,22175.36676031041,30359.79224525638,33951.02068213625,35647.652141767285
E07000112,442.8455645438611,4513.593745009961,13373.984014582718,23912.36466742392,32755.352976436763,36702.58957143097,38597.48534235974
E07000113,375.68884265661234,5157.332180939873,15713.37020546004,28305.37343499365,38932.48709793328,43664.10303872481,45916.16669495369
E07000114,577.879000097515,5913.675144864657,17638.195163611057,31630.73400321596,43488.71767746549,48869.68590204769,51485.966931744144
E07000115,305.46814933484893,4207.90511918448,12796.349129781298,23035.49755859022,31660.12109866843,35491.12274734873,37310.82058796968
E07000116,443.6096667428503,4240.573904499809,12424.186783244715,22143.72944163117,30258.434523269138,33875.93384344134,35613.65896816894
E07000117,186.62258113072448,2473.6338066827384,9447.87958509293,18193.83868927297,26431.131217258127,29916.960014093427,31343.593898555824
E07000118,252.7151095097275,2993.5160756002742,11297.377552749786,21703.140747463247,31469.588442676384,35586.237044874666,37257.88781468922
E07000119,371.2275572284233,2676.0020357671665,9541.191398808029,18177.895588308234,26210.66593980115,29631.797712081087,31006.359892623168
E07000120,163.38614647289302,2248.610843928028,8596.444561203189,16557.81127562837,24053.522108692792,27224.71683520224,28520.39915770402
E07000121,502.6579829219968,4382.14268625556,15934.309686173228,30408.650627840107,43905.171684192486,49612.168511187694,51923.66790228642
E07000122,181.06925453811385,2468.966790907284,9407.957447421752,18101.400432694296,26264.828804207224,29704.49949440459,31102.593451799807
