LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,692.477903984255,789.7976167042133,933.1059451165664,1448.1102996005195,4089.586895970601,6854.320378403138,8659.567410056585
E06000002,990.0618709327676,1138.9912272003714,1351.8007524181703,2090.4531865748963,5847.2295756491085,9778.341994937991,12350.215398753293
E06000003,650.8319438815453,821.3085467015953,1055.9729642692212,1825.915693247368,5641.366340618506,9635.505332618108,12247.629038706413
E06000004,1291.7188696488752,1477.801722702907,1752.34851971846,2752.1549598519982,7901.978877859694,13294.167155757348,16815.242972484113
E06000005,730.2718534550219,859.751956015445,1044.3295244826763,1646.8725840769007,4629.211364367477,7746.97776545191,9785.605460307052
E06000006,641.562543326572,793.7337089938554,980.728250640558,1642.9614481732394,5021.988752890045,8561.218054131563,10873.223280484455
E06000007,886.5937397609363,1137.4954150300389,1448.1986624259548,2547.195535804522,8159.175422843101,14039.21523111708,17883.806165617752
E06000008,914.3841314098408,1061.325946012659,1276.1699785117128,2022.1843775749364,5798.878870492415,9750.103367731528,12330.231146004033
E06000009,1261.7913493582978,1481.1122247129765,1778.3788197384129,2683.956504654837,7107.244406154096,11728.585851549144,14773.670391413769
E06000010,1744.9950709070083,2076.932903531946,2554.2468402002,4170.621074193268,12300.86230614214,20802.96208590731,26361.74226930313
E06000011,1494.9709217081236,2147.595183343637,2981.857570614288,5168.500713422805,14839.047093892004,24917.38924046026,31521.511579502272
E06000012,872.1659784065561,1059.2473245363426,1320.4844158609071,2203.5167485630604,6632.430969067385,11267.321294851983,14297.034849331643
E06000013,893.0140278584844,1147.870061742955,1487.3819379784247,2457.5296102482725,6937.945846733749,11612.847339663189,14668.979214915566
E06000014,1109.5029130434257,1363.43466509574,1709.9101476732644,2782.547220984029,8014.914034612251,13487.93577740738,17080.88143273921
E06000015,1394.6863015833042,1626.6157139948966,1919.5420673609,2996.5088468216413,9389.745326968286,16260.311909702545,20868.86767990555
E06000016,3135.787960653027,3687.080535961669,4051.252444779096,5301.648465015649,12572.668383888336,20363.361981494043,25602.278269737963
E06000017,218.5339343881257,240.1390296770353,306.6182038074952,492.19906498795626,1369.5407769422882,2297.508575438813,2913.9142913795367
E06000018,3959.6069000568336,4400.577215036744,4768.300210013197,6047.544041146392,13561.343519106083,21612.97006528695,27029.48723037917
E06000019,968.933442068632,1311.6056937570693,1779.0861274632534,2864.4430480862616,7076.112395447596,11457.298772756789,14343.166426027134
E06000020,918.4503687195806,1036.7727302583253,1225.500626707189,1935.5798787834644,6109.968826003673,10590.441222616331,13586.89097955914
E06000021,1533.0758361325463,1689.2465368063,1975.606667369664,3048.3866216943525,9442.591957751942,16312.955543791646,20918.00286100472
E06000022,1503.8512796675304,1721.833657068189,2103.485518663864,3215.940513048535,8438.257616178162,13675.183633078072,17026.65750859942
E06000023,4207.457109888799,4621.602016160386,5583.357534167094,8505.682532284209,22387.19749966776,36146.98049501302,44834.56759714538
E06000024,1442.6683334632185,1785.1229036370337,2201.26091997454,3494.591988652298,9796.11132602582,16166.593248065075,20265.054950508693
E06000025,1444.1547914728003,1687.6864293336655,2041.029438815268,3167.834425185729,9256.72811889202,15760.244803488811,20110.21434708472
E06000026,1568.935900282548,1841.4364937396165,2314.716512322701,3923.2205300103246,12022.80615868607,20145.253439440847,25306.24070341575
E06000027,1379.6775923575055,1573.9129226377368,1887.5045579792643,2846.769437970925,7549.548159036544,12273.506010263249,15301.057626446776
E06000030,1660.04347100455,1789.3964969270685,2036.6034518206573,2911.649709129651,8030.591770798851,13522.517176211477,17209.67208792244
E06000031,1343.906831067258,1429.225278169268,1643.2851417638758,2416.8841931457605,6919.69680629188,11748.271824740086,14982.929199098058
E06000032,1601.8327082083167,1820.1927282937208,2155.161473382287,3233.947681107478,8586.05147293855,13945.253840345926,17358.540287352662
E06000033,1362.0849022575426,1626.744922939509,2014.4489310594784,3238.4322551478235,9051.380517886846,14787.925648553744,18374.00903401409
E06000034,737.0218344524702,909.1085633504724,1163.149761249084,1966.527374165176,6021.4402822818165,10134.924595583425,12794.563471229609
E06000035,1596.8311071649805,1904.448632292806,2341.690124800682,3819.221347018965,11256.069940389536,18726.972248106904,23485.038472542383
E06000036,737.2940232017723,863.9399906319608,1041.1620718464362,1634.747053415029,4672.075727533527,7748.645986326849,9729.028932040172
E06000037,1294.6132364712576,1549.3111664918883,1916.18154392234,2807.4896710748,6450.669328798549,10097.065194785902,12448.86559005702
E06000038,1626.9226839006556,1837.5966818182967,2150.121203712854,3088.696500502899,7633.63900262769,12169.555556261264,15066.475963314046
E06000039,670.2403754062151,831.0272615083742,1055.7825313974586,1744.8375936962814,5087.679294829987,8423.03170748696,10545.93078385494
E06000040,823.3226469617583,1001.1030734925272,1248.7871201337712,2049.267255521916,6058.939733740901,10127.700698546929,12754.032037216615
E06000041,896.5028049000647,1049.4659779131466,1269.7964211051922,2022.099844117966,5910.74978721263,9877.517452216547,12446.707530257156
E06000042,2384.558701440451,2539.94690070312,2814.023775058709,3827.728398070799,9827.553968057076,16263.907830123171,20577.711128125884
E06000043,3481.618792836197,4147.252516191636,4938.219874273761,7293.410836247542,18178.329427982226,28883.771549922563,35578.968145086365
