LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,447.0048218291061,415.25589630320167,393.424045553541,331.7279892552335,244.912700855044,160.12328447960402,113.77871694456888
E06000002,1277.8554653835663,1188.2016701861476,1125.7323660453474,949.2309826676136,700.8887205395431,458.3561414290017,325.7871827028372
E06000003,946.4611938276496,880.6362749159202,834.1424593871104,703.6536937452456,520.5198783939527,341.8759008826524,244.1110894159231
E06000004,964.4286599310716,922.3830771440872,873.9195190215953,737.1061291458501,544.6576759524636,356.76925082503664,254.0394717635677
E06000005,785.2599005078232,743.1001140456245,703.9933303029549,593.7041879697897,438.6318361207173,287.23904305324083,204.45792702223332
E06000006,753.216297286892,799.4798568575097,757.4517197043898,638.905352627434,472.2067630937802,309.4824151807252,220.4986547088162
E06000007,1679.7182734263629,1815.177197261032,1719.521213340881,1450.2930390052188,1072.0369731168053,702.8794004795866,500.9560015379688
E06000008,734.5440862400743,700.3429395236252,663.558545321591,559.5969774027534,413.29771378381326,270.4290378438329,192.3331081186448
E06000009,4164.208261604886,4066.9946152426814,3853.9645370044095,3249.8629962488994,2398.628262861568,1566.945480381312,1112.554867425025
E06000010,3212.250825565105,3086.93972792488,2925.0551634100484,2466.101587893259,1819.4855657025,1187.6579829372586,842.4871226810719
E06000011,3361.068028253447,3196.873490561666,3027.864450999404,2555.324943380172,1893.075221911072,1247.5816431148994,894.040207872985
E06000012,1330.9938756834051,1269.3110024821906,1202.6239057581406,1014.2768771400124,749.2929698386719,490.55797630820433,349.1070849214618
E06000013,1083.5067128388685,1002.7903612954084,949.6212319575556,801.4002211874791,593.9214103985787,391.7670878788471,281.0014586471416
E06000014,2533.4435351339675,2423.406293657102,2296.238898393148,1936.5772106781285,1430.2845657634616,935.8291543563516,665.557624843777
E06000015,2396.4991035760504,2381.2900158939115,2267.6579479555867,1963.361846230272,1543.84888902076,1135.0355392542606,907.3593187526284
E06000016,5558.966884849638,5503.17692451029,5240.690255689871,4537.671425353285,3568.3939896794373,2623.8427771858505,2097.800822383114
E06000017,246.05111505480545,248.4973575012671,236.2049229196901,204.79423990039783,162.38865002301125,121.38092812393124,98.40979742072037
E06000018,5669.782959912292,5564.541881668681,5299.081090271173,4588.079830590712,3607.790669051931,2652.489197633505,2120.465155077166
E06000019,1898.5097037413625,1924.5976110833287,1830.376120689141,1586.1695467425088,1254.3845950366776,932.787830580668,753.0011266018864
E06000020,668.887483463537,691.6585077584857,658.3340662366098,570.0920589488604,449.07376849643,331.3702051097586,265.7561305619652
E06000021,1672.5155077782224,1649.1704298915197,1570.3593137490384,1359.338453119234,1068.5595546485488,785.2584498387516,627.5573547701899
E06000022,1861.84625184199,1911.0079581642867,1819.8094242271768,1549.9966525990772,1163.305694770729,779.6902789857353,569.3190322879062
E06000023,9047.271010638677,9315.2227009433,8867.980898414868,7550.192323403162,5663.822002463584,3792.4849973909727,2765.5372827297706
E06000024,1961.466671212661,1975.09096701251,1879.5473970102569,1605.6561621039166,1217.9493304912903,835.1422047948347,624.4247163009959
E06000025,2182.8604373295043,2253.9101077841765,2145.263584322877,1857.7375455687888,1463.514647112537,1080.124489884848,866.3878082929523
E06000026,2353.8792037458725,2416.0756416865147,2300.0274004741354,1960.4447189470527,1475.7704617277054,995.6168820134696,731.9493267227263
E06000027,2337.812536513944,2416.926694653249,2301.6632966350408,1961.194737306404,1473.631558663829,990.150963210706,724.9935038418158
E06000030,2460.218846977029,2425.502445371105,2309.6469072410737,1999.42833646142,1571.903788057562,1155.3536510397685,923.4482351256408
E06000031,1753.6787163719305,1734.0382087069231,1650.9244767330326,1429.2265939875622,1124.2378160284911,827.2682556419827,661.8853025624256
E06000032,2437.9038377332777,2356.6474279570525,2244.536265531778,1911.8553294479195,1434.6318978128463,961.1189860183096,701.5722734528745
E06000033,1932.7157841530905,1844.971495253368,1757.1680622589706,1493.2869112818164,1112.724079685233,734.136512443257,526.8585035868372
