LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,56.67760284925574,224.6484109197599,601.7585123222387,850.0902887053352,1047.3511335656442,1164.45257642691,1388.1193684378695
E06000002,90.66117744585064,333.4999156059398,880.7961680981807,1240.1456309837663,1524.4867683978923,1691.5844261298348,2001.402014903569
E06000003,82.89288492397344,330.44858399086127,898.4611510929483,1285.6675676331497,1601.8044487517673,1797.7595440678306,2134.2851848934324
E06000004,99.08752116257384,426.2189359080666,1157.4204629367828,1638.5738971256108,2021.115522318844,2247.9582232049315,2685.8305440158333
E06000005,73.60988056690822,267.0921163266529,711.3029816566466,1011.7403024710236,1255.2959741168754,1404.6268702927805,1659.7579253853644
E06000006,55.13594754500206,271.71381312430094,752.9422021729814,1073.2920823522231,1330.3633025197007,1485.1558946937455,1776.5797748600785
E06000007,95.65468095741672,458.1590767700092,1263.6260537979351,1797.335259901589,2223.966102232516,2478.313103084805,2958.2214923084625
E06000008,78.17142145547244,319.04732024149484,862.8997610407382,1225.7195610946312,1517.0035973722672,1692.926944475825,2015.8725715585192
E06000009,138.17765323998034,441.6778834531452,1140.0892090777393,1599.816172569866,1963.776670771368,2174.768091460498,2514.469014241023
E06000010,173.42930384485706,695.3815657142336,1875.8644045211024,2658.795811341651,3283.6733887554883,3655.879559565829,4332.585252835145
E06000011,230.71307251867,891.3849289253427,2511.905126523945,3721.364916003423,4777.652894635135,5498.239582691189,6443.627227709903
E06000012,85.3008140174602,369.7002547089615,1015.2741046167612,1449.5565770835644,1800.763754994359,2014.7904480487696,2397.4189604898665
E06000013,80.18319578456091,377.1592881985941,1085.8136061285843,1601.7322555205835,2045.750606128876,2342.92464265074,2775.0596611341084
E06000014,162.1964753794409,513.9820703156631,1329.664921904297,1880.95732599638,2326.439919298118,2596.944416517503,3032.826705124017
E06000015,192.8452928611761,671.3317732771412,1719.2304705682486,2393.965109902447,2964.819879489888,3231.4396096790992,3681.709339678176
E06000016,221.17320844988075,774.1297355073184,2001.8430644240475,2792.450893206963,3459.22764945288,3773.326794687802,4261.856920592255
E06000017,27.088872115673308,102.51475779103023,285.7387074504787,420.6613875718258,550.5621692325947,625.1512593612232,699.5953396156273
E06000018,237.67729950766469,809.4585460194205,2068.776372878772,2871.378106491168,3540.0541649346624,3849.243030886521,4347.663413826584
E06000019,169.44793981680922,564.0149025323735,1624.9056151852924,2472.603857822782,3341.368312207389,3879.244013727523,4247.187012752219
E06000020,78.34393477641258,386.2882154074919,1057.5251906279989,1500.1550637179812,1886.3386196558663,2076.7694340080966,2395.5477051211183
E06000021,163.97856199872118,632.7043372042027,1658.5831979628715,2322.937230870395,2889.950517412456,3159.1625129864337,3620.972932012857
E06000022,169.20383120338002,538.4470837420802,1368.0333484854996,1926.671791837247,2420.419821267273,2675.0947288938573,3013.2100727761463
E06000023,398.1718654710843,1316.3751882574877,3292.75672870925,4550.059162320293,5596.836983238424,6085.6576368187525,6873.808649353513
E06000024,166.4197343776679,604.3346980521555,1589.5384367618565,2250.307056497933,2832.318427657804,3131.727928835949,3567.8497772482788
E06000025,192.7706709575697,676.2057336686156,1776.956810897506,2530.463637886677,3209.072098972664,3562.267419075553,4011.615397724897
E06000026,197.20807560878373,718.1720029846639,1827.337822684084,2529.494598426525,3111.4402462462767,3381.670815140371,3892.137102191809
E06000027,170.62646621281476,497.64634535855737,1204.360405894071,1656.049199413805,2033.261333200085,2210.733340921072,2488.7382250888872
E06000030,161.68490908271912,548.8734481787471,1404.9698758365564,1959.3192965108249,2430.574924886011,2653.8624231515514,3009.2151357317834
E06000031,110.36363670336635,449.6735145846469,1196.4196900771112,1686.027895954625,2109.109361967874,2314.9407821191103,2643.854590311129
E06000032,145.8915100875179,489.84138808598846,1243.820991710869,1725.1211317181717,2127.736412379569,2318.382780410987,2644.1087844510707
E06000033,155.17130737199332,510.5429005285949,1287.527797384828,1783.0834662307627,2197.5306902038733,2393.10229319439,2735.953321495028
E06000034,184.17150555529852,467.65819801526976,1099.612342541553,1501.5434223824043,1834.2634925327616,1987.5583295385827,2233.271566122033
E06000035,160.43717447330695,631.8068243641612,1659.4058163755926,2318.421750132875,2873.442661017483,3139.1631805585457,3622.856100415653
E06000036,97.80664356682888,300.6653936809566,746.7263837636526,1031.2300989512514,1268.4689182765242,1380.2635033806357,1576.963919463732
E06000037,149.51172157726592,441.6813579825454,1184.93215695683,1736.6633286279514,2268.209195119483,2576.1915368496147,2841.3283238807257
E06000038,171.49331183560355,477.37585558604906,1152.857513907698,1579.4576441120098,1931.0773995225472,2092.530397013224,2339.655095796853
E06000039,119.86958621011472,340.6473490513526,829.0823030227167,1136.615977283033,1389.1872390552576,1503.2760913460163,1687.3162580206
E06000040,106.93101470503422,381.5801531857568,998.7505051029124,1404.6911379307971,1755.0065939201354,1929.4047216180584,2203.6228712507864
E06000041,88.75019704077829,353.0899306966793,937.2117539366968,1316.856079247743,1640.65374932137,1799.733195691783,2076.087871917377
E06000042,158.69155153157467,605.9719753100344,1581.0441979600832,2211.994084792901,2749.466482864116,3006.264815789407,3442.338197188616
E06000043,318.7930311774208,1002.2868070738808,2518.63432229232,3490.2921320012583,4306.870865130304,4696.357992753898,5319.718424588953
E06000044,200.5421261333293,635.7265163483736,1592.991214880093,2202.2459761392256,2710.3146241864024,2948.693263633729,3346.267747015285
E06000045,349.86292651586854,820.7660557198776,1875.0008561333743,2538.5298403621,3081.427010306109,3325.166327015813,3646.318253276795
E06000046,174.2600553291739,506.5803303293219,1276.6758294566114,1793.0839430500662,2246.094106637828,2477.372804620104,2784.708938731821
E06000047,229.46872779399607,1182.488236138543,3386.706149928247,4931.412276774825,6225.035640762686,7058.122573644521,8435.464965137984
E06000049,237.6468536503771,919.833282364372,2553.236875361667,3733.276686318444,4740.228231060642,5405.844452683785,6353.28643211525
E06000050,206.54510195064992,823.7769389592586,2266.376521753971,3291.194437493733,4155.617271470686,4717.789296286117,5556.042522192231
E06000051,248.2623208555772,897.2224236401651,2614.569894454609,3970.373742538323,5348.43930631323,6193.250141390542,6808.19801520177
E06000052,841.7782944917177,2081.94694837417,5491.737524463971,8139.6849660802845,10774.92381988264,12346.806424370758,13280.237010835655
E06000054,492.31710551094255,1427.8675520785416,3805.6907208002417,5575.748773132727,7284.587707907288,8273.811560635611,9134.276573518446
E06000055,129.09204034309522,443.34720324336456,1165.3471633579693,1654.961234336507,2091.5210923489467,2315.6373033355626,2606.690885997501
E06000056,176.9855393383638,668.8488202179844,1779.5972535700546,2530.645338931402,3199.493979800427,3541.7328754318737,4014.2969125899126
E06000057,217.83822809724893,806.2915155436021,2314.96753941854,3504.510315242573,4581.322036052739,5351.9834790294535,6230.52515867691
E06000058,449.7466920074149,1310.367579566909,3208.683692714253,4419.002487222804,5428.399873900044,5901.228178798059,6678.783045506194
E06000059,369.2616565133827,1157.1164418844976,3091.024648675212,4481.406893659912,5785.748840691592,6516.294268353074,7277.730644042408
E07000004,133.32656699913457,485.6103399751492,1341.9017844069035,1957.458312460553,2535.8603887999225,2860.1623133207104,3211.597773682847
E07000005,55.95425708508673,227.11026733754343,617.6796723705256,882.5241133197353,1118.503451820569,1242.4942494309637,1423.596745306422
E07000006,35.089871866963875,159.18456630359302,436.2452556654112,620.0316010194285,780.3473399840009,862.6030982601468,998.5624275136324
E07000007,146.04616184332974,459.8655011493654,1181.2456355058068,1666.213218895938,2093.506605496161,2312.505391905136,2616.860698558908
E07000008,102.13206850687924,335.7883635404572,859.310576867507,1198.8828922755636,1487.4267540649175,1625.9237239751903,1830.759334563069
E07000009,62.88575619878298,227.20945611360665,649.4460920016203,975.3067039681112,1300.8780885864307,1496.7306514317215,1654.7146755266012
E07000010,71.28694975070302,262.570175091344,738.2567235902147,1092.9493085945855,1437.8731832467126,1638.412432751191,1823.4050754629488
E07000011,120.28906942998968,466.2778576268984,1278.7641178268982,1852.686713401273,2385.6859955851182,2676.2497951910527,3013.1249189879054
E07000012,108.31471832274016,400.2108608408578,1137.8338249614087,1699.9469533295826,2256.0878818974898,2586.076677942769,2866.846417853715
E07000026,69.94803963504899,255.33090529855755,721.872235233759,1081.2524551614065,1401.7782467234024,1626.9049911489103,1899.458546999073
E07000027,46.68518445379274,178.20268462297778,477.7354641335115,678.8875542679742,840.9161851016977,939.158443837225,1113.1964537280196
E07000028,74.52927913778159,274.2361904828825,764.8154961874716,1130.166407623638,1448.2919773259134,1664.4576421461225,1943.496093000864
E07000029,50.92783830499384,184.69169668710373,508.8659764091488,746.4920233965248,951.2682962255265,1088.772482598382,1278.3175410684191
E07000030,63.2471742541715,168.4128141671724,490.5933927400555,786.8934224936052,1078.1460098169432,1306.4318451753525,1472.5778360435636
E07000031,122.68879317349152,360.1456426421236,965.8350172949606,1430.218738422116,1841.6531081032435,2127.8521936422844,2451.142776857222
E07000032,75.48426411573698,312.7245448758624,840.6726589037468,1194.1465714867554,1506.711331039426,1664.4430991812542,1905.413037160532
E07000033,30.443560917139468,176.5188627552284,506.1118785220336,732.7849950908696,939.2140802178772,1048.843589421782,1207.0071657283231
E07000034,50.294281528786,251.6619504451112,691.1320979344423,978.9548529770092,1228.1620480277522,1350.1052773131726,1557.5240538976273
E07000035,51.23254380445078,211.1294310316649,604.940037091242,898.8893464618218,1185.2730728956317,1352.4134938558248,1512.0130852620016
E07000036,64.07614252045596,272.9547893859156,728.7596559906312,1024.8035926025138,1278.4576997318684,1399.4100271384832,1608.0329055726688
E07000037,59.21549831826224,244.1740784447668,658.9112983591967,938.2346156529616,1186.501048316758,1313.3931481903094,1498.6431203696902
E07000038,43.43574595101621,231.95103992721096,658.5349297797464,952.6455330165406,1220.9721300816968,1363.5656288228583,1566.6613517235276
E07000039,49.83028877462798,227.125975611956,631.4958666683958,910.891811755755,1165.758210791353,1300.943898176694,1483.0784303578346
E07000040,153.84560694012737,461.9631962392148,1230.0117912604687,1793.5540301075391,2331.051205431016,2641.662692858942,2927.575360872337
E07000041,126.92181866297916,375.7470579006862,907.8929998822548,1245.802522631583,1526.026938259923,1655.5104623429197,1875.94252373228
E07000042,77.82983324276387,237.0111392780836,676.2065235156012,1025.678432706872,1381.1536111258506,1599.0547711347438,1745.8578796580982
E07000043,105.16041812575035,314.2845340287404,848.6358181637561,1247.9200509196926,1634.595753307652,1859.0123217037235,2046.3799499975955
E07000044,128.2440887808961,328.03300114403214,875.8508100806558,1302.3588493040215,1728.0121921816035,1983.339798418462,2149.1631318747377
E07000045,136.57777748248552,413.00577157249535,1083.5759306661182,1561.726427630178,2006.658649067957,2252.50041640413,2508.8467402971687
E07000046,73.54944023305809,222.0047813400508,652.3992975306395,1007.261506577326,1377.247212355425,1609.924355842559,1736.1658698219526
E07000047,57.82159105702585,176.9079760194463,516.2729364613808,794.6397023271059,1084.0617438597465,1265.672442089743,1374.2648408487505
E07000061,127.04227477415628,357.3014614996958,864.0965721493428,1186.1314751219218,1453.9128914241928,1578.872850834368,1775.6611034912348
E07000062,113.1949495350085,320.1714348230995,773.0299759923801,1059.6515313629704,1296.7037832258509,1406.3326727173846,1586.989461460953
E07000063,86.31498657163908,281.7534124659164,736.4867760415625,1047.7366296172288,1326.8775074978298,1474.0992275481476,1662.8227972756774
E07000064,108.89966957679484,326.50155061727867,857.7871281799339,1236.3572172653085,1588.4961053641364,1784.130593307072,1988.9997529377656
E07000065,121.07005400034704,434.12849736049753,1213.483275342155,1787.9643367344586,2339.242687474747,2657.9352312611545,2974.6819488109004
E07000066,130.0146441431597,443.66832691763983,1135.2138625797954,1580.2264128816169,1955.1739682752589,2136.5697379888634,2449.3170995245755
E07000067,143.85652053345905,432.47789410488303,1141.3881432608728,1652.2985532834598,2132.6196821425683,2401.774574178557,2675.723677554525
E07000068,48.36708959939512,188.6186895984952,500.4043183966442,704.0078272089238,878.6083539353866,964.7939181118808,1110.2717376342416
E07000069,53.56883589917263,210.2899775579437,555.1511377521824,778.5361149836651,968.4410980708944,1060.9201928603034,1225.734188845037
