LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,37606.0611561887,38098.82825627042,38251.96236795183,30883.198924633736,17943.241345504142,5249.532496191601,77.7212018785634
E06000002,53251.435730316014,53958.26966179115,54183.15759730826,43750.2965801558,25414.631900502245,7433.418914737022,109.95488164141037
E06000003,54680.22587440376,55409.07240447938,55636.71915503024,44924.01760319743,26100.14209784354,7636.514338724874,113.23488198989556
E06000004,73382.31176407669,74335.78177853281,74632.6340281999,60254.54913610214,35009.79958426496,10243.265780700602,151.66911890107158
E06000005,42302.13959090044,42866.75490044146,43046.96980674589,34759.671590715174,20191.31926628232,5905.596444814394,87.3867456816424
E06000006,48224.95301493893,48732.70064292404,48926.045536458994,39499.25232105923,22950.71884407476,6714.989330697154,99.39792625428692
E06000007,80285.85008239576,81150.1771632308,81474.27030952631,65778.58282557077,38219.427101965965,11182.643351546369,165.64023137787026
E06000008,53618.662617854825,54306.52557011841,54526.20520427084,44022.816055676194,25576.254070270148,7481.944591541674,110.70389556029004
E06000009,62020.89565649202,62898.31284847702,63196.60352732276,51052.17359632815,29638.607180451945,8661.91751113119,127.94845165080125
E06000010,114665.32316922049,116149.44647022992,116627.3014621552,94163.9722845424,54698.87301335159,15997.047911896603,236.40697997965583
E06000011,138597.01847179074,140567.17961349196,141206.26795526748,114064.19000237148,66244.15352386289,19375.34413430965,287.70103942799136
E06000012,63013.29843999893,63836.661896382335,64096.47189790197,51751.352320785525,30066.28398237596,8795.788883695923,130.22336365198308
E06000013,64352.81949499678,65233.242062051126,65511.73700595008,52906.69521364657,30734.45227926412,8992.228461017849,133.54137897407335
E06000014,74452.34274167477,75481.64789782585,75819.29256366205,61238.294665163885,35564.627247914235,10399.999607918337,154.01453225678938
E06000015,99614.21957206992,100347.58523042416,100799.97718713396,81418.28876768031,47318.745422666405,13839.570202984978,194.47535946705003
E06000016,111291.40504822864,112503.84852584726,113052.75522029855,91341.5549625528,53065.61936268443,15511.5160072138,217.51960394024968
E06000017,13862.8132779198,14026.134296095104,14096.96708290494,11393.598976434088,6619.492918831809,1936.484948792536,27.67787203394807
E06000018,115213.87073361648,116377.00675621803,116948.95187906473,94492.50699363792,54894.075651562685,16045.328473635209,224.9713039811389
E06000019,62672.02166055956,63249.531264559286,63633.95370654984,51470.82437626938,29869.421198311986,8722.661607107868,123.45378817478552
E06000020,65376.03219011734,65727.08541802733,66007.60224938454,53306.0823520375,30989.711495718097,9067.720183461608,127.76559990938703
E06000021,98867.52289760004,99899.38638040597,100338.7326891794,81037.20721607102,47103.32280748145,13777.973415970053,193.4958063405421
E06000022,70006.8240744338,70802.8826766443,71094.15551290374,57368.71525090026,33288.079644109326,9704.836852773533,138.30715970070565
E06000023,176863.65149459612,178677.61973965442,179341.3992309488,144621.94414931233,83862.7453239464,24410.8245730692,342.13839512278344
E06000024,87203.96742296341,88224.96321772016,88572.96619687279,71473.27969630508,41495.17956789121,12110.846605769448,174.20312336808084
E06000025,94317.043652117,94931.954826868,95388.46186515284,77068.6886217499,44779.48421656357,13093.833354751998,184.4627746282251
E06000026,107505.75144041084,108579.01619542472,108952.35555694754,87856.75881172891,50993.12282644704,14867.444284208095,210.7018487105452
E06000027,62538.73568875085,63207.44582834763,63465.25668742544,51207.39453219863,29709.321084775296,8658.209121045757,122.7701716208626
E06000030,78985.77221221846,79856.8166768811,80230.78374880753,64813.34599505633,37662.37648872956,11012.85752062462,154.74337819728734
E06000031,69967.54455352479,70659.14747658829,70978.61912966894,57332.57991509961,33321.516290057385,9746.622903841944,137.24038527647994
E06000032,69624.37021829304,70670.26771724965,70936.29350042192,57215.11025880942,33199.50637795465,9674.330255051907,136.36315693395477
E06000033,72810.39124004678,73861.0374078317,74098.228721302,59721.49726732654,34636.151550096074,10081.442338218436,140.65589378658188
E06000034,55783.39419205657,56712.134520662825,56949.76781708128,45963.21899504053,26676.502699961933,7781.976154808264,111.63172811379889
E06000035,98734.59515752488,100226.06064252932,100575.24676594428,81108.4193770969,47083.044223869554,13730.959722398567,194.8887331898964
E06000036,41640.02144685935,42307.30107194067,42470.29473193013,34266.60556710983,19893.918583843497,5805.215697361527,83.19563568933609
E06000037,49889.71976833016,50831.73553849589,51093.57546481695,41276.48681975685,23941.338193735137,6981.717629508819,101.02563666366788
E06000038,58178.2216341836,59094.22057102999,59344.71028457565,47882.24874551848,27766.31677101448,8083.422280748546,113.4790430854684
E06000039,42962.81626856152,43628.57592652305,43801.19812288317,35331.845971314295,20490.42534857658,5966.1602419808,83.86948331400428
E06000040,55757.000914371696,56675.22423986808,56897.91538878909,45914.36860997199,26659.550715960995,7782.7468498372,112.1809114515088
E06000041,55207.5371127716,56124.48533396112,56337.26628735586,45460.42207406712,26405.014350377223,7713.589568295519,111.78995289730328
E06000042,93292.67126801354,94281.41361963568,94705.92665974222,76496.97043816758,44460.93856369775,13005.306303466929,183.1433049173185
E06000043,135710.9538212549,137812.48484601738,138287.33835497274,111477.16831435976,64628.00103835844,18802.753248432764,262.52900807546416
