LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,66.97818817575391,179.83745530460877,302.9776035176344,583.3561678883482,1104.1102537458698,2749.8331674974543
E06000002,0.0,101.61872684415974,271.96948566323,454.9493005457087,857.3736138601706,1595.6399564900394,3926.217514281085
E06000003,0.0,115.51912544522116,313.02488520401425,522.9570655335945,948.1454018476004,1703.2980523070246,4097.439848556414
E06000004,0.0,128.17739944072238,344.471517829913,581.724863721322,1127.4465135063076,2143.821300971784,5354.816264097725
E06000005,0.0,89.54956409870691,242.58993232087656,404.97303546257217,734.9620865966098,1320.584131887858,3172.490331728517
E06000006,0.0,87.62573114017263,236.7079644158062,399.1465414982729,760.5446226510231,1425.556252412914,3529.671348118788
E06000007,0.0,148.782929756107,399.3504856046552,670.7116063642901,1271.5323179518664,2378.244675491084,5882.122618794764
E06000008,0.0,101.05115976881008,273.04129104321373,459.13157588902567,865.2302164671138,1606.9052157386095,3952.1774744105433
E06000009,0.0,150.35428344654756,402.7316922455226,662.7551143348254,1164.2967058114102,2031.66703699526,4751.670754829077
E06000010,0.0,225.30005846523983,606.4763348386354,1014.332917131578,1888.1590999804373,3474.447772464689,8488.074566264626
E06000011,0.0,430.6217102629122,1203.7820137996512,1996.8729345496104,3246.547106845078,5168.781860553676,11257.877165609772
E06000012,0.0,124.80284194289364,338.09262883857275,567.1661947069616,1050.7693223785143,1922.3885345307008,4679.674067058405
E06000013,0.0,168.45118237199483,471.0360631033828,788.3499311414532,1338.652237450975,2232.4977244118486,5057.839178086801
E06000014,0.0,177.35430968702232,476.5772215929735,786.5693700010338,1380.7022971011038,2412.107942317793,5674.347125092636
E06000015,0.0,186.44899552349284,505.9190859396794,860.8943333323662,1574.1224901126666,2874.93353570882,7156.103295517894
E06000016,0.0,224.98149384595905,618.0499860648864,1053.8857965070226,1897.41583388786,3383.872637750543,8198.848264571465
E06000017,0.0,44.30187714336779,129.4762314765033,223.7187321047201,356.16555851233176,543.2142952820434,1145.620781720297
E06000018,0.0,223.692647139854,612.8397906267195,1045.3321020388305,1909.968538189653,3452.640909099369,8437.351209577859
E06000019,0.0,314.56275966275524,942.5329844259056,1627.9268506556275,2407.792337110525,3266.612693395183,5983.264234729903
E06000020,0.0,114.94988997176506,321.1205171029214,556.9536022908775,1030.1640337869014,1884.168005511088,4690.116200842016
E06000021,0.0,176.60565970948926,484.3928353929409,831.0736645805142,1538.7748087391424,2833.669808953283,7094.33169984386
E06000022,0.0,170.67674436889655,478.501278566972,811.8408762852232,1381.5758855681354,2352.5764018910418,5407.557982329488
E06000023,0.0,369.46608320026,1003.37067043498,1680.90241706035,3003.7576810977034,5459.397175642464,13179.525424053472
E06000024,0.0,192.26275475858824,537.9832285709053,919.3841920720996,1606.2945655628075,2811.766127884385,6615.238171597674
E06000025,0.0,229.7797001049007,647.923121234646,1109.283090219864,1874.6265163362127,3117.3959335449304,7173.514594021888
E06000026,0.0,186.7044506475524,503.2421387037325,852.0428489765152,1605.6518231312482,3078.0889427743764,7755.37328864866
E06000027,0.0,134.914099882096,365.5633364099103,611.0243609997907,1081.1814777439313,1944.70421634973,4670.897586120869
E06000030,0.0,156.4038296640036,427.9307576305261,728.8202827964564,1313.7418327256855,2356.877791354425,5767.78856272518
E06000031,0.0,134.0545578358185,371.4723789846061,638.6039701623754,1158.2681343256309,2081.5610187711527,5100.992698421897
E06000032,0.0,133.04856356521103,363.9876230261042,616.0495211052556,1129.004455139224,2095.4591471525823,5144.214951228963
E06000033,0.0,135.56903450195898,370.2313193429178,625.6227089442507,1151.390551215939,2159.0441765085243,5346.584261121817
E06000034,0.0,123.15833885545244,327.45152306925826,542.982154852078,956.4121659024222,1724.0583080060685,4164.890591815656
E06000035,0.0,173.34651191345867,474.6900437634128,810.4657841224896,1520.2095763851771,2883.2069932173854,7202.51317893523
E06000036,0.0,78.71869095934693,212.7490027476936,359.38550473961266,661.8040389499822,1236.532519852297,3058.90388791651
E06000037,0.0,194.56194343646052,566.16725768482,967.8368099143748,1494.9723886433103,2207.259678132077,4406.350123744976
E06000038,0.0,130.6087911622609,352.8239763292742,586.3336449408721,1031.8722990314782,1846.0761471344613,4399.477868258756
E06000039,0.0,94.69466496164571,252.46041047687703,417.8145476166776,737.3696107278345,1333.1211549804195,3215.201256010261
E06000040,0.0,116.6386257534737,321.2871612556022,546.7898687421646,973.545153137508,1746.0909355366946,4188.472879500023
E06000041,0.0,102.21574582137612,280.7516637256774,481.0816122967652,889.3364652168435,1653.3034341954376,4071.504471326711
E06000042,0.0,164.5527052612294,455.6141411094657,785.7429585185217,1465.514742437648,2701.049872803137,6732.763688187053
E06000043,0.0,277.72892831599546,764.1536275097423,1288.28613771414,2313.840233083544,4213.774691637971,10174.77966689023
E06000044,0.0,172.37539961839423,470.9054096800117,792.4905638519217,1436.4593399209325,2647.813666022885,6463.724656900741
E06000045,0.0,224.4524949243444,599.3194017256899,979.555675169226,1649.1352887424723,2831.5018185964,6535.998575068155
E06000046,0.0,161.66480340580938,447.6296830456169,756.7447900611525,1282.933654813556,2178.1711277460745,4995.442362678029
E06000047,0.0,459.92144525553664,1269.3319450452432,2136.3831078149447,3833.009189858854,6777.617743026081,16099.353355041569
E06000049,0.0,398.48564398859537,1105.0065227365938,1836.593757928752,3081.630768019804,5092.606188005392,11457.125213195908
E06000050,0.0,333.29770895490884,921.0078612377752,1534.6741449142933,2630.318475599311,4445.941949497267,10182.906041413458
E06000051,0.0,494.35002545715935,1477.2071782594817,2552.966748724281,3815.1370102561946,5266.190704813218,9870.660372827864
E06000052,0.0,1062.0582422407035,3081.740299777901,5219.387979910467,7588.114757183283,10212.399103307016,18206.29619074524
E06000054,0.0,626.7741680569743,1816.6931114239887,3101.4497272249946,4779.440979064657,7055.174601094709,14127.393741565436
E06000055,0.0,149.33337786482687,418.7948902098162,715.8788193363863,1216.899676465495,2038.4047999031447,4711.372379340472
E06000056,0.0,222.1487821920172,622.1280540222631,1066.6608258780043,1841.872890802122,3142.0923577717967,7385.154815030027
E06000057,0.0,454.7263496945655,1292.9401811545663,2143.5451836733937,3333.4347259838987,4994.8778473649845,10244.694025702976
E06000058,0.0,351.23572112418816,951.4180333763,1594.1206811154025,2861.158262001288,5230.008526128268,12726.390257438125
E06000059,0.0,461.73276014300967,1326.0977085589532,2267.533751820539,3632.326200010322,5672.550420039119,12045.301594382505
