LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,110.10340300212036,4031.751455797547,7991.555913320063,10865.61688800128
E06000002,0.0,0.0,0.0,158.36254177700434,5722.658616676496,11338.83666782234,15413.52267777516
E06000003,0.0,0.0,0.0,172.7996086456491,5903.710632792053,11689.979832358733,15878.561180070255
E06000004,0.0,0.0,0.0,213.1716285781544,7862.582762123584,15587.06940821433,21194.68153697004
E06000005,0.0,0.0,0.0,133.57863437531037,4563.093540525153,9032.953931126856,12270.085310573671
E06000006,0.0,0.0,0.0,142.91517090816205,5159.703890179138,10225.172540501222,13900.375589885678
E06000007,0.0,0.0,0.0,236.68407708199425,8599.996094711487,17045.671229928634,23172.982843353213
E06000008,0.0,0.0,0.0,161.56640498358078,5754.759113286206,11400.840826700847,15495.940273247708
E06000009,0.0,0.0,0.0,199.2848609009268,6743.2524906115,13340.793931795655,18116.213976693805
E06000010,0.0,0.0,0.0,347.48695740142404,12317.407180343374,24396.74613586416,33158.11934402082
E06000011,0.0,0.0,0.0,548.5739042305587,15277.01924853244,30131.16568399022,40799.42744766428
E06000012,0.0,0.0,0.0,193.6476008067065,6780.054744955306,13429.104271255394,18248.1369061509
E06000013,0.0,0.0,0.0,234.04599450395443,7029.3655324837655,13887.952364523291,18829.591534986143
E06000014,0.0,0.0,0.0,242.5580226803302,8082.067237968358,15990.848947578115,21710.38527904819
E06000015,0.0,0.0,0.0,238.4651183616748,10237.971929932326,20793.18312631085,28461.81588419741
E06000016,0.0,0.0,0.0,277.1950289908779,11524.300107757212,23382.27770376176,31994.11174011709
E06000017,0.0,0.0,0.0,44.63289254718192,1469.7916320924676,2975.3047244642307,4058.720445995775
E06000018,0.0,0.0,0.0,282.2463156340052,11917.139108768986,24185.577980417904,33098.57087632372
E06000019,0.0,0.0,0.0,268.5135534080455,6775.310110666717,13611.481277934883,18487.871870537776
E06000020,0.0,0.0,0.0,157.89510239120906,6699.591283713311,13609.225231386872,18628.56498379397
E06000021,0.0,0.0,0.0,237.35136103705875,10172.122468201767,20656.99365543105,28277.5094202392
E06000022,0.0,0.0,0.0,211.0187171642509,7158.830106944268,14441.796687194144,19738.86438063896
E06000023,0.0,0.0,0.0,491.2813385210652,17797.479026495766,35907.715696944986,49149.535596937625
E06000024,0.0,0.0,0.0,248.3108865202244,8920.512277939493,18030.68846767528,24657.78449869317
E06000025,0.0,0.0,0.0,258.19105105063704,9776.596834383952,19815.492256883485,27083.73329526681
E06000026,0.0,0.0,0.0,275.1293425877389,10790.8484894248,21823.193054310548,29892.311568675184
E06000027,0.0,0.0,0.0,174.24974163949125,6348.878638799565,12818.702739958591,17537.567526067232
E06000030,0.0,0.0,0.0,194.8636477767213,8165.176170457573,16573.414805529028,22679.418925152047
E06000031,0.0,0.0,0.0,172.12236817659416,7222.6542515900765,14666.069969849385,20070.76149812372
E06000032,0.0,0.0,0.0,189.34822730509103,7045.588592417156,14226.065274261102,19474.42756460648
E06000033,0.0,0.0,0.0,198.7919630156448,7294.964171611162,14721.351300189615,20161.18996924361
E06000034,0.0,0.0,0.0,150.67723161301222,5721.31273245681,11569.771274988514,15829.574697478727
E06000035,0.0,0.0,0.0,258.60181730898773,9982.350506302697,20184.813043219467,27642.06786573257
E06000036,0.0,0.0,0.0,108.73615054997988,4246.130347828478,8592.262030498598,11762.70169458268
E06000037,0.0,0.0,0.0,193.8757052364279,5304.882351976412,10660.244281991532,14513.662067534771
E06000038,0.0,0.0,0.0,163.90240156600646,5921.071158320171,11941.66377995508,16338.940293749203
E06000039,0.0,0.0,0.0,118.1375466591297,4358.5574150519815,8796.382708883282,12039.175718997889
E06000040,0.0,0.0,0.0,152.248399651079,5723.419741409247,11579.578043634272,15842.84185471816
E06000041,0.0,0.0,0.0,143.75713343680655,5663.386610178843,11473.744684086629,15705.576772228284
E06000042,0.0,0.0,0.0,225.11418307819488,9624.687545589024,19549.59987430459,26760.13916633724
E06000043,0.0,0.0,0.0,387.1973090166501,13684.271467017395,27596.279110142867,37774.13821052045
E06000044,0.0,0.0,0.0,242.43258791994927,8758.40599087189,17660.368587857534,24177.254630584528
E06000045,0.0,0.0,0.0,250.8309357205281,8633.048631102196,17388.34631937955,23773.547263964512
E06000046,0.0,0.0,0.0,189.37600487268523,6654.598012473777,13446.655503590697,18377.64170847669
E06000047,0.0,0.0,0.0,696.761286849891,23017.77802611854,45564.22994959525,61863.25871865143
E06000049,0.0,0.0,0.0,532.3491577079168,15865.424916515767,31331.26924423753,42472.84130286324
E06000050,0.0,0.0,0.0,460.4153118917269,14254.44403646338,28172.948104040785,38213.33578534723
E06000051,0.0,0.0,0.0,432.4366704187415,11431.533386401155,22998.38545736564,31264.868516058654
E06000052,0.0,0.0,0.0,884.7402182241347,19844.633107064576,39639.14915343189,53733.345205720616
E06000054,0.0,0.0,0.0,618.9569018169302,17080.933373068994,34339.736203484565,46755.244222616006
E06000055,0.0,0.0,0.0,167.56757807615529,6441.764449607122,13062.149686720466,17855.5784072205
E06000056,0.0,0.0,0.0,258.6586790541025,10213.151309030647,20730.154554928904,28346.52924266552
E06000057,0.0,0.0,0.0,546.1494455940492,13321.942972534756,26191.473408488044,35382.226317071785
E06000058,0.0,0.0,0.0,471.195222428408,17373.983703085392,35074.79709837661,48003.38219132667
E06000059,0.0,0.0,0.0,495.35735161000304,15233.99520781432,30710.39990230424,41889.83444536224
E07000004,0.0,0.0,0.0,221.3535774028697,6883.226936507182,13878.771482583665,18936.65891857731
E07000005,0.0,0.0,0.0,98.694747463326,3585.3468418556663,7254.207035804528,9919.903876850109
E07000006,0.0,0.0,0.0,69.2025676331389,2680.765943149951,5432.946258823519,7434.630557123845
E07000007,0.0,0.0,0.0,178.6082076723909,6378.81387932438,12892.523744885691,17626.4178227344
E07000008,0.0,0.0,0.0,119.15633557590265,4831.904772242377,9798.747568221985,13404.055860430344
E07000009,0.0,0.0,0.0,105.10770751045231,3001.96863704964,6054.3556105550815,8241.159592703621
E07000010,0.0,0.0,0.0,116.62800090970384,3654.826513176068,7384.705009815022,10067.181134593318
E07000011,0.0,0.0,0.0,194.0543880874181,6981.341350672315,14145.638435243976,19321.356678784166
E07000012,0.0,0.0,0.0,181.9985735554892,5415.661143278381,10933.98539883362,14892.771199150598
E07000026,0.0,0.0,0.0,163.96456604834438,4248.375107455167,8366.090625948595,11313.774435679949
E07000027,0.0,0.0,0.0,89.41069619351757,3121.1051566498218,6181.6777494169055,8399.116714758911
E07000028,0.0,0.0,0.0,165.71020959882688,4564.34868368033,8997.620025293123,12181.548462224231
E07000029,0.0,0.0,0.0,107.33675937638564,3121.140914503636,6162.158198702222,8349.467300137618
E07000030,0.0,0.0,0.0,138.31675133036848,2062.709994748011,3988.5849237344232,5320.05213291466
E07000031,0.0,0.0,0.0,209.680017532548,5255.111294721946,10337.698568258988,13969.329664506962
E07000032,0.0,0.0,0.0,124.05814033641091,5086.2774630572085,10331.320118514226,14134.52932472568
E07000033,0.0,0.0,0.0,79.94194844797266,3153.2713952186537,6403.265545727955,8757.512988233868
E07000034,0.0,0.0,0.0,103.2184479627977,4398.1001002570665,8935.412530966787,12231.399240146116
E07000035,0.0,0.0,0.0,97.04395356942209,3086.689437048245,6242.383538745755,8511.810090942707
