LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,0.0024422890304591,0.0875584353551529,0.1699941736637033,0.2264844175438506
E06000002,0.0,0.0,0.0,0.0024394255331805,0.0863063023884186,0.1674993797425413,0.2231153084765457
E06000003,0.0,0.0,0.0,0.0026138775629314,0.0874325986581471,0.1695737165548186,0.2257019171219709
E06000004,0.0,0.0,0.0,0.0024344851064288,0.0879114020685123,0.1707015504515109,0.227444752495027
E06000005,0.0,0.0,0.0,0.0025802650445805,0.0862967001349293,0.1673257027823814,0.2227210663387178
E06000006,0.0,0.0,0.0,0.0024955208870476,0.0882090285124854,0.171220169781435,0.2280813214349027
E06000007,0.0,0.0,0.0,0.0024733806503021,0.0879888703452083,0.1708211772232205,0.2275571377955246
E06000008,0.0,0.0,0.0,0.0025071855557808,0.0874314825269938,0.1696576672590861,0.225960929130624
E06000009,0.0,0.0,0.0,0.0024836851598587,0.0822802336172092,0.1594418507796907,0.2121610211476019
E06000010,0.0,0.0,0.0,0.00249354575047,0.0865384973825278,0.1678895142170931,0.2235969285664676
E06000011,0.0,0.0,0.0,0.0031336585242487,0.0854363961402028,0.1650438536234496,0.2189778495175655
E06000012,0.0,0.0,0.0,0.0025508409369375,0.0874399152344174,0.1696365696602623,0.2258758335509759
E06000013,0.0,0.0,0.0,0.0029617627815773,0.0870882693225704,0.1685261527681907,0.2238921430447781
E06000014,0.0,0.0,0.0,0.0025935921850814,0.0846073871865169,0.163963804989585,0.2181311787070851
E06000015,0.0,0.0,0.0,0.00195715144711,0.0822654845313721,0.1636513309549286,0.2195022329689145
E06000016,0.0,0.0,0.0,0.0019498840440997,0.0793714154274737,0.1577438287129874,0.2115113635690113
E06000017,0.0,0.0,0.0,0.0024815569077595,0.0800054822648508,0.1586285190042222,0.2120352645205557
E06000018,0.0,0.0,0.0,0.0019127819790871,0.0790737312216714,0.1571917095420942,0.2108033758518087
E06000019,0.0,0.0,0.0,0.0030029254940872,0.0741825083823078,0.1459697349184545,0.1942731461480991
E06000020,0.0,0.0,0.0,0.0020346726347055,0.0845221876748959,0.1681679982577427,0.2255589775622751
E06000021,0.0,0.0,0.0,0.0019831794002284,0.0832117681513496,0.1655136880854537,0.2220161517352616
E06000022,0.0,0.0,0.0,0.0023397662092016,0.0777159057362284,0.1535661999442648,0.2056769359389798
E06000023,0.0,0.0,0.0,0.0021599789004978,0.0766123286100491,0.1514045333412514,0.2030784021859537
E06000024,0.0,0.0,0.0,0.0022766984655227,0.08007830859366,0.1585415036898808,0.2124578529484004
E06000025,0.0,0.0,0.0,0.0021738489911854,0.0805894407405165,0.159988332855833,0.2142732700412842
E06000026,0.0,0.0,0.0,0.0020989322935252,0.0806008905322407,0.1596670086931959,0.2143143565738717
E06000027,0.0,0.0,0.0,0.0021582738821323,0.0769955541230115,0.1522777192552221,0.2041583212111783
E06000030,0.0,0.0,0.0,0.0019748516289623,0.0810172913216345,0.1610731605811851,0.2159856474055116
E06000031,0.0,0.0,0.0,0.0020068420535522,0.0824461717979767,0.1639744400009286,0.219886299551034
E06000032,0.0,0.0,0.0,0.0021581444763148,0.0786253824181539,0.1555056906721554,0.2086047895472413
E06000033,0.0,0.0,0.0,0.0021900963338923,0.0786913904761688,0.1555537991418863,0.2087659024681657
E06000034,0.0,0.0,0.0,0.0020915800066354,0.077757679497748,0.1540221338320519,0.2065002891672172
E06000035,0.0,0.0,0.0,0.0021441281350527,0.0810360514446705,0.16050414691856,0.2153923174858839
E06000036,0.0,0.0,0.0,0.0020920732053136,0.0799867535237593,0.1585418952997237,0.2126853893270236
E06000037,0.0,0.0,0.0,0.002775877007544,0.0743581919394989,0.1463485042225037,0.195231647845377
E06000038,0.0,0.0,0.0,0.0021153881380112,0.0748246963887429,0.1478218645640523,0.1982021837455802
E06000039,0.0,0.0,0.0,0.0021055304480133,0.0760582554610588,0.1503582766268336,0.2016608306015691
E06000040,0.0,0.0,0.0,0.002184349657855,0.0803970021829841,0.1593243200421296,0.2136043206073558
E06000041,0.0,0.0,0.0,0.0021254046365816,0.081980370868471,0.1626860352233083,0.2182190588177244
E06000042,0.0,0.0,0.0,0.0019702735512395,0.0824734865686438,0.164081766433202,0.2200840111790529
E06000043,0.0,0.0,0.0,0.0022185184037026,0.076767801016776,0.1516437172520351,0.2034075172755745
E06000044,0.0,0.0,0.0,0.0021836106050808,0.0772393112874635,0.1525569040590342,0.2046632403352641
E06000045,0.0,0.0,0.0,0.0021247777992771,0.0716037762627709,0.1412728095816056,0.1892798717994557
E06000046,0.0,0.0,0.0,0.0022654977069987,0.0779410083136275,0.1542604586063462,0.2065899304327872
E06000047,0.0,0.0,0.0,0.0027397828342666,0.0886123097560856,0.1718083001561249,0.2285733005609762
E06000049,0.0,0.0,0.0,0.0029382376583905,0.0857308737816835,0.1658249120417204,0.2202686190565424
E06000050,0.0,0.0,0.0,0.0028365678406675,0.0859784663728883,0.1664403881721442,0.2212135067737234
E06000051,0.0,0.0,0.0,0.0029116249152515,0.0753549117862393,0.1484874278010778,0.1977960084281203
E06000052,0.0,0.0,0.0,0.003121583988963,0.0685320153615898,0.1340482896704284,0.1780142110683867
E06000054,0.0,0.0,0.0,0.0027862088241388,0.0752707816154822,0.1482060017996286,0.1977141529194143
E06000055,0.0,0.0,0.0,0.002132335899692,0.0802550621817528,0.1593951103448328,0.2135059711888167
E06000056,0.0,0.0,0.0,0.002117088631876,0.0818410522137192,0.1627062774643974,0.2180093444432249
E06000057,0.0,0.0,0.0,0.0035116527105994,0.083858220911129,0.1614759228969089,0.2137404492290475
E06000058,0.0,0.0,0.0,0.0021542115745036,0.0777712841698003,0.153793131046033,0.2062611189534537
E06000059,0.0,0.0,0.0,0.0025714593690625,0.0774204811683044,0.1528622179714325,0.2043053753185609
E07000004,0.0,0.0,0.0,0.0025770442167622,0.0784532165893472,0.1549332288368007,0.2071359708479233
